"URL","Usuario","Fecha","Reseña"
"https://lh3.googleusercontent.com/a-/ALV-UjVs3LzDFpQ4JHLSg3L2GHy7WB1JwMR139cP88TfnTlUMPZkoKrr=w36-h36-p-rp-mo-ba4-br100","Ivan Martin","Hace un año","Es el barrio de Madrid con mayor % de población inmigrante. La limpieza es deficiente y la gente es muy sucia dejando su basura en cualquier lado. Muy pocos servicios y prácticamente nulo mantenimiento por parte del Ayuntamiento"
"https://lh3.googleusercontent.com/a-/ALV-UjXwsH1tE-L_4hf9ztTI9Qs6cwndX-wYcFvLEZ20bAWpnsPfS7Xuog=w36-h36-p-rp-mo-ba3-br100","Mafer Delgar","Hace un año","Encuentras de todo, hay muchos comercios por lo cual puedes comprar.lo que te haga falta donde más te guste, tienens el metro y el cercanías, y líneas de autobús disponible.. pero hay mucho ruido, sobre todo sobre todo verano, y últimamente encuentras basura esparcida fuera de los contenedores.."
"https://lh3.googleusercontent.com/a-/ALV-UjUdGYsBpVABogc9CFceLx4OqWG8HoP7sexLOlBunm-P6n_SH9B9iw=w36-h36-p-rp-mo-ba6-br100","Julio Diarte","Hace un año","Tiene fácil acceso para personas con movilidad reducida."
"https://lh3.googleusercontent.com/a-/ALV-UjVAWZ0a5wJlAW6IcdXYeJwbhxcthNVwFrV-_FTGYGy187LEH3g3=w36-h36-p-rp-mo-ba4-br100","Fher","Hace 2 años","Muy moderna estación  de metro .cuenta con ascensor . Y paradas de bus al lado."
"https://lh3.googleusercontent.com/a-/ALV-UjX8RNx2gJQtkiIUbyI6tmHbBdh4pKACqqGLRwNbGKOdJqZhpA23=w36-h36-p-rp-mo-ba3-br100","Oscar Matamoros","Hace 4 meses","Bonito lugar lleno de Latinos"
"https://lh3.googleusercontent.com/a-/ALV-UjW4Jk0bp2gn8cO7zdLGm3Gwwcvjz440_ioryXPLzuiJbFm3IJly=w36-h36-p-rp-mo-ba2-br100","Rudy Bucardo","Hace un año","Un lugar tranquilo y vale la pena para vivir"
"https://lh3.googleusercontent.com/a-/ALV-UjUtgrgrKGTIiuOl4W9RiT1MEBBU-kfiIE8KSHiKKE6zNW9C-GKt=w36-h36-p-rp-mo-ba3-br100","Gustavo Garcia Campos","Hace 2 años","Mi barrio de toda la vida ,no es menos seguro que otra zonas del sur de Madrid pero al ser más pequeño y concentrado puede engañar a quien no vive allí"
"https://lh3.googleusercontent.com/a-/ALV-UjWHxKG_fqYCMWNhewSaTlb_sAgKJ0zADUGpUNaEDCmi0d9YMqK3=w36-h36-p-rp-mo-ba3-br100","J.C.","Hace 3 años","Es un barrio con muy mala fama en seguridad, pero todo es relativo, atracos, robos,etc hay más o menos lo mismo que en cualquier otro lugar. Si es cierto que hay mucha okupa incluso dos edificios enteros en los que se delinque, pero hoy en día ese problema es nacional, los robos además de la inmigración que supera la mitad de los ciudadanos, es compartida con españoles, bueno yo llevo muchísimos años y me gusta mi barrio. Aunque llevamos una temporada que se están dedicando a atracar y robar personas mayores sin miramientos algo de lo más bajo que puede incurrir una persona convirtiéndose en un depredador ojalá la policía los atrapé pronto y volvamos a lo habitual en un barrio de este tipo."
"https://lh3.googleusercontent.com/a/ACg8ocJXEDrVETa-613Bz_Q4FZd-vwRiD4J6xuGt7YEf98VlWAfKbQ=w36-h36-p-rp-mo-ba2-br100","Charo Canalejas","Hace 3 años","Mucho espacio verde .un mercadona grandísimo buena comunicación de tren ,autobuses y metro colegios y guardería pública centro de salud con unos profesionales muy buenos .instituto .espacios para construcciones de pisos ,desventajas se ha metido en pisos que eran de militantes que dan a la carretera  gente de mal vivir y donde trafican con drogas una vergüenza que un barrio tan populoso que hay mucha población de mayores que siempre ha sido un barrio tranquilo de clase trabajadora se esté convirtiendo en un Geto cuando  esté barrio  tiene mucho potencial .tanto en comunicaciones como en espacios verdes,un barrio donde se criaron los Pecos,Raúl el futbolista,losCamela...Es una pena que un barrio de Madrid y con todo el potencial que tiene se esté convirtiendo en un Geto"
"https://lh3.googleusercontent.com/a-/ALV-UjWLACXdJpxAEtH4VPDZ6W-LTnps140tTNMhBX1wAlTzaIgVmXqf=w36-h36-p-rp-mo-ba5-br100","Gabriel Montero Montes","Hace 8 años","La estación de metro de San Cristóbal fue inagurada el 21 de abril de 2007. Presta servicio la Linea 3 (Amarilla). Se encuentra ubica den la intersección de la Av. Andalucía con la Calle Rocafort."
