"URL","Usuario","Fecha","Reseña"
"https://lh3.googleusercontent.com/a-/ALV-UjVHP8BfSez3y9HMCkHP-fd2P3oEzu2p_ky_R-gGTW4pgHoAujtD=w36-h36-p-rp-mo-ba6-br100","Iván Sáez","Hace un año","Ubicado en la avenida de los poblados , tiene dos accesos con sendas cristaleras , es una estación bastante nueva , está muy limpia y tiene acceso para minusválidos, escaleras mecánicas y tres ascensores , cerca tiene parking para minusválidos, hay  un hotel a unos cuatro minutos andando , hotel eco vía lusitana ,se puede aparcar bien para dejar el coche y coger el metro, línea 11 que conecta con plaza Elíptica ."
"https://lh3.googleusercontent.com/a-/ALV-UjUdGYsBpVABogc9CFceLx4OqWG8HoP7sexLOlBunm-P6n_SH9B9iw=w36-h36-p-rp-mo-ba6-br100","Julio Diarte","Hace 3 años","📌 Tiene dos salidas con escalera mecánica y un ascensor. Es completo por que facilita el acceso a personas de movilidad reducida.…"
"https://lh3.googleusercontent.com/a/ACg8ocKdYtTTZJJrpql3vMJBXLmVso6qCUOjLyTnvT86hVlxjy0Ivg=w36-h36-p-rp-mo-ba4-br100","E Abogado","Hace 2 años","Estacion de metro línea 11, en dirección a Plaza Elíptica y en sentido opuesto a carabanchel alto, ubicada en Puerta Bonita, Avenida los poblados, Madrid."
"https://lh3.googleusercontent.com/a-/ALV-UjWnYsF4vb3uuhfhwzJ9i5D8QBcg8fz4PsxHi7L6sZmzSL6iZpCAPA=w36-h36-p-rp-mo-ba4-br100","FRANCISCO JAVIER MATEOS","Hace 3 meses","Fenomenal aunque que tenga más puntos mejor para mi."
"https://lh3.googleusercontent.com/a-/ALV-UjWBbwZ3NMWVVCwqIz5ew4JqPjlwKlyRmc1Np3_k9j_sHRMyep3t1A=w36-h36-p-rp-mo-ba8-br100","Blacky. (Blacki.)","Hace 2 meses","Un lugar muy bonito para pasear."
"https://lh3.googleusercontent.com/a-/ALV-UjVGewNl4qok3vvub6RPgtotPKotfZfCobLWTP9ljIZnso-oSBnCpw=w36-h36-p-rp-mo-ba5-br100","Jonathan JD","Hace 6 años","No es un muy buen barrio pero el metro de la linea 11 normalmente suele ser bastante nuevo , tiene ascensor y los en la noche los ultimos trenes suelen pasar a las 1:27 mas o menos si esta abierto es que aun puedes entrar y coger el metro aunque llegues a las 1:40"
"https://lh3.googleusercontent.com/a-/ALV-UjWCYfojrIqiLXdX_LyAVsb-AnjW3VJRqs7piDwBr9rYV0-gCdPkaQ=w36-h36-p-rp-mo-ba4-br100","Danilo Albrecht","Hace 3 años","es una línea directa, no hay ninguna conexión con otras líneas, eso hace más intenso el camino, a parte del pasillo gigante que hay que cruzar desde la línea 11 hacia plaza Elíptica para coger la línea 6, es horrible."
"https://lh3.googleusercontent.com/a-/ALV-UjV4ChhNPLefR0y2vEf_9zNX8E5UKCypnfKynxh5rPQZmPVsay8=w36-h36-p-rp-mo-ba6-br100","Francisco Javier Sánchez Sánchez","Hace 3 años","Porque da servicio de transporte a la zona y conexión, pero sería bueno la ampliación de la línea 11 en los dos sentidos para una mejor distribución de destinos y mejor frecuencia de trenes, sobre todo los fines de semana."
"https://lh3.googleusercontent.com/a-/ALV-UjXABHV5oyJ3GlrHFadEX_jmE4zvwcXeuc_d4VbJ7Yslt8BLHU0=w36-h36-p-rp-mo-ba4-br100","euro mudanzas","Hace un año","Un lugar exclusivo dd madtid recomendafo visitar  tu y toda tu familia  lugar muy concurrido y mucho esparcimiento recomendado 200x100"
"https://lh3.googleusercontent.com/a-/ALV-UjWdX3tAK1ZJlSEdh8h8NGSBOAWGhVcUa-CtxrL2cSRL-XqgIQzj=w36-h36-p-rp-mo-ba8-br100","Ma Ca","Hace 3 años","Parada de metro que pertenece a la línea 11. Dispone de ascensor. No suele estar muy concurrida de gente."
