"URL","Usuario","Fecha","Reseña"
"https://lh3.googleusercontent.com/a-/ALV-UjUUnX2_YwbHy2OgyyFv6-4jFu3_D84RWtcFiPOTHL8UMAvEV8sL=w36-h36-p-rp-mo-ba8-br100","David Crespo","Hace 3 años","Estación moderna,muy amplia,limpia y luminosa. Con buenos accesos para personas con movilidad reducida ♿ y en general para todo el mundo. Ascensores,escaleras mecánicas. Personal amable. Línea 12 de METRO. 100 % MUY RECOMENDABLE."
"https://lh3.googleusercontent.com/a-/ALV-UjXKdpuPDKOmKDzORlfskwKyuS60AaSbXB0F3TkPX-8CQqIxqAEh=w36-h36-p-rp-mo-ba3-br100","Daniel Calvo Ruiz","Hace 6 años","El parque de niños, está bien pero no corresponde con la edad que anuncian, ya que debería er en vez de 2 a 6 años, de 5 a 8 años. El suelo es de arena polvo, por lo que muy limpio no se sale de ahí."
"https://lh3.googleusercontent.com/a-/ALV-UjW7O0IWHXphurfXofWeV9P9XavSrGSU28cIa9J0Ej4CZRO8lwo=w36-h36-p-rp-mo-ba6-br100","charo rodriguez","Hace 4 años","Una estación de metro como otra cualquiera de la línea 12. Las estaciones estan muy bien. Lo malo es que los trenes vienen muy espaciados y tienen pocos vagones, con lo cual se va ""apretadillo"" a ciertas horas. Para eso pagamos más que los de Madrid"
"https://lh3.googleusercontent.com/a/ACg8ocIuhGv_K0yt124rwU20O8QzUQDSdGYAaFrXfKnpDL3HaR2dAw=w36-h36-p-rp-mo-ba5-br100","Francisco Javier Aboín","Hace un año","Como siempre fantástico,es la fiesta del barrio,cabe destacar este año mucha presencia policial."
"https://lh3.googleusercontent.com/a-/ALV-UjWrR9AzAMh3YWwjTEN1KboDaO_D1wacnBzozeIkl2Sr1NZXH-Hp=w36-h36-p-rp-mo-ba5-br100","gondumi","Hace 5 años","Estación de metro San Nicasio. Metrosur linea 12 Leganes. Salida zona campo de tiro. Urbanizaciones y chalets dentro de un gran parque de zonas verdes y columpios para niños. También hay mesas de ping pong y canastas de baloncesto. Aqui de instala el recinto ferial en las fiestas de San Nicasio del mes de Octubre. Fácil aparcar si vas con coche."
"https://lh3.googleusercontent.com/a-/ALV-UjWLACXdJpxAEtH4VPDZ6W-LTnps140tTNMhBX1wAlTzaIgVmXqf=w36-h36-p-rp-mo-ba5-br100","Gabriel Montero Montes","Hace 8 años","La estación de Metro Sur de San Nicasio fue inagurada el 11 de abril de 2003. Presta servicio la Linea 12 (Verde oscuro). La estación se encuentra en la intersección de la calle Zurbarán con Avenida del  Mar Mediterráneo en el municipio de Leganés. Esta estación se encuentra en el barrio de San Nicasio de Leganés. Junto a las entradas de la estación es instalado el Recinto Ferial de las fiestas de San Nicasio, estas son celebradas la primera semana de octubre. En las proximidades nos podemos encontrar el Teatro José Monleón, en el interior del recinto del Centro Cívico José Saramago, el Residencia de Estudiantes de la Universidad Carlos III de Madrid Colegio Mayor Fernando Abril Matorrell y un pequeño Centro Comercial llamado Leganés Uno."
"https://lh3.googleusercontent.com/a/ACg8ocKWG5lrrZj4fr2YPyq0w6XOVDrWTEfqSo5pjuQfE3c79IbX8g=w36-h36-p-rp-mo-ba3-br100","Julian Mendez","Hace un año","Como es posible q cada 11 minutos pase el metro, que servicio tan pésimo, otras líneas tardan 5 minutos por mucho,  fatal fatal fatal da ask"
"https://lh3.googleusercontent.com/a-/ALV-UjVKTfiSs9uGX99ggamOPibadht07i4mYtw33Gz5lDjnnEXIfHP6OQ=w36-h36-p-rp-mo-ba4-br100","Jose Nuñez","Hace 2 años","Tiene dos bocas de entrada lejos una de la otra. Personal funcionario bastante funcional."
"https://lh3.googleusercontent.com/a-/ALV-UjWHeOZBhfIpAIPXiTzEAk15kaRg2tNH3FU4pZ7hsFomlxwhVWFJ=w36-h36-p-rp-mo-ba4-br100","Tusvacaciones Santander","Hace un año","Bien a estación de metro muy bien situada"
"https://lh3.googleusercontent.com/a-/ALV-UjWh11cdz3uUGlrNglZsw4AutERRZwNM3qTf2spX1j7TbZaU3a3iqA=w36-h36-p-rp-mo-br100","Rosa Moreno","Hace un año","Muy bueno"
"https://lh3.googleusercontent.com/a-/ALV-UjWeWU4-QqL5amuSPtzbEEiO6Sf3KIwfzDJ5F8-tw121oH2yCBWn=w36-h36-p-rp-mo-ba5-br100","Onix Rivas","Hace 2 años","Es una estación normal  de fácil acceso"
"https://lh3.googleusercontent.com/a-/ALV-UjVFhHWHqYadIwNNeLtQzxehSNj_9AqGHZTHOctLz_GuOOXPEDLN-Q=w36-h36-p-rp-mo-ba3-br100","Saúl Esteban","Hace 7 años","una estación tranquila y  poco transitada.  No se dispone de cobertura."
"https://lh3.googleusercontent.com/a-/ALV-UjWwA_vuDlhzJlY8bpbFvrchKz9Y9tDntc04r3Z5hE9r78MDZHPt=w36-h36-p-rp-mo-ba3-br100","Álvaro Fernández","Hace 7 años","El personal brilla por su ausencia. Máster en escaqueo, siempre encerrados en su cuartito."
"https://lh3.googleusercontent.com/a-/ALV-UjVQdwh68LbwdMrjweG5QCPjOBinf4dxntH5gfP__Nq2Ae3e_DN1=w36-h36-p-rp-mo-ba5-br100","Jose Luis Gomez Gabaldon","Hace 7 meses","Otra estación de metro"
"https://lh3.googleusercontent.com/a/ACg8ocITfSrUnKATlAgdflJ5JN1rODYHiMNni-IVOTMEXriQgO653g=w36-h36-p-rp-mo-br100","Lourdes Santiago Guerrero","Hace 7 años","Hola la estacion el personal es de lo peorcito sobre todo las limpiadoras"
