"URL","Usuario","Fecha","Reseña"
"https://lh3.googleusercontent.com/a/ACg8ocLMD1Tg7_cu1Zbm3MAIxCQhY90YiqfGV8kV--fkpZ44bp7Emw=w36-h36-p-rp-mo-ba5-br100","Jorge Eduardo Nicosia","Hace 5 años","Es un barrio céntrico con actividad y vida propia , tiene conexión con lugares de interés en todo su perímetro y latitudes, podemos mencionar ,la gran Vía, museos , Palacio, parques, teatros , mercados regionales, plazas y accesos múltiples en casi la totalidad de transportes disponibles. Tiene negocios de todo tipo,en su interior alberga en un sector , un asentamiento de población asiática en su mayoría China.Una de las calles más  frecuentadas por su próximidad con el afluente de público y turistas es la calle leganitos y la calle Pza. de Sto. Domingo la que dispone de un destacamento policial y negocios varios,es un barrio tranquilo por lo menos en muchas ocasiones que transitó por el lugar, tiene supermercado y bazar muy conocidos en el barrio y las inmediaciones que lo hacen imprescindible para el abastecimiento de la población del lugar y los alrededores. Dispone de un plaza del mismo nombre con muchos locales de gastronomía variados , estación de autobuses de metro, lugares de esparcimiento con bancos y juegos infantiles vegetación y una serie de desniveles que acompaña la geografía del lugar. Es bueno conocer este lugar y los lugares a donde comunica haciendo muy poca distancia pero en direcciones contrarias."
"https://lh3.googleusercontent.com/a-/ALV-UjX002wNf0gZaQQC5JTdEg5A2PbCiO3izIqnTf4A_1mTfSU-XfCV=w36-h36-p-rp-mo-ba4-br100","Francisco Miguel “FranM”","Hace un año","Zona muy céntrica de Madrid, desde aquí puede desplazarse andando a otros puntos de alto y antiguo interés turístico de la capital tanto para disfrutar de actividades de ocio como Teatros 🎭 musicales y cines y/o a diferentes lugares de variada restauración así como también es un buen lugar para efectuar compras variadas incluso tiendas de Souvenirs turísticos. Se englova en la zona más céntrica de la capital de España, Madrid. Tanto si es turista nacional como extranjero es de ""obligado"" paso por lo que es muy recomendable. Fran..."
"https://lh3.googleusercontent.com/a-/ALV-UjXxRMaK_514vRo-kx_Wa3SlRbzCSPrh4l64vXiD-pjqcbLrmF84=w36-h36-p-rp-mo-ba4-br100","Andrea","Hace 2 meses","Estación en la Pza. Santo Domingo y no tiene perdida, lo único que tiene puertas para minusválidos pero no tiene ni ascensor ni escaleras mecánicas"
"https://lh3.googleusercontent.com/a/ACg8ocIXTOHuSUcvkRuvmXQ_Zl6BBZ9jghN0xKwO0UEC9Doh4MfzOQ=w36-h36-p-rp-mo-ba2-br100","Bernardo Lassala","Hace una semana","!!!Sin acceso para personas con movilidad reducida!!!"
"https://lh3.googleusercontent.com/a-/ALV-UjUdGYsBpVABogc9CFceLx4OqWG8HoP7sexLOlBunm-P6n_SH9B9iw=w36-h36-p-rp-mo-ba6-br100","Julio Diarte","Hace un año","📌 Lo único que le falta es un buen ascensor, por lo demás está todo bien.…"
"https://lh3.googleusercontent.com/a-/ALV-UjVMBvFLkmiqjpOpUJHEApvb8V2Sy7iy_U_2sx_W5YGVTX3p-lI=w36-h36-p-rp-mo-ba3-br100","angela cozas","Hace 7 años","La plaza ha ganado mucho con las últimas obras y el hotel Santo Domingo también le da mucha clase."
"https://lh3.googleusercontent.com/a-/ALV-UjWyZaupLKUQMlAB_CoHumBFm7pdWU3V9uB0Dp7vOKfZGrK-iWvc6Q=w36-h36-p-rp-mo-ba8-br100","ANTONIO CRUZ SANCHEZ","Hace 2 meses","Parada muy importante en la gran vía, un gran número de líneas de bus incluidos los buhos"
"https://lh3.googleusercontent.com/a-/ALV-UjXCF3J7dRnsakfvM_NlsWjB7sue-WaQVl5zokW1SrnBXe7O1Di3IA=w36-h36-p-rp-mo-ba8-br100","Pierre Marteau Van Wetter","Hace 4 años","La Plaza Santo Domingo y su estación de Metro. Zona muy agradable para caminar, comer y beber, con varios hoteles muy concurridos de multiples nacionalidades. Muy cercana a Callao, la Gran Via y la Plaza España. “La plaza de Santo Domingo es un espacio público de la ciudad española de Madrid, ubicado en el barrio de Palacio del distrito Centro. De forma irregular, convergen en él la calle de Silva, la calle de Jacometrezo, la carrera de San Bernardo, la calle de Veneras, la calle de Preciados, la costanilla de los Ángeles, la calle de Isabel la Católica, la calle de Torija, la calle de Leganitos y la cuesta de Santo Domingo.”"
"https://lh3.googleusercontent.com/a/ACg8ocK_6DgftximV08Wd_eGpXijNjYhF0NTxD5IhnFjKs14_9Db6A=w36-h36-p-rp-mo-ba6-br100","Roberto Escribano","Hace 2 años","Estación antigua. Pasillos estrechos. Sin acceso para silla de ruedas. Siendo en el centro de Madrid debería estar adaptada."
"https://lh3.googleusercontent.com/a-/ALV-UjUgEjlKH6Ixwf0sa-hViBxHFf8aukB3RC8Ur6JtSmBhz1Du_S34=w36-h36-p-rp-mo-ba5-br100","lourdes ramirez","Hace un año","Últimamente hay muchos alcohólicos y drogadictos alrededor de la estación de metro con la consiguiente inseguridad y suciedad"
