"URL","Usuario","Fecha","Reseña"
"https://lh3.googleusercontent.com/a-/ALV-UjWfBBLN3gFC8Ll9hru-iL6zClJ538W1-Jv1MXgxvEvyGPyTrxg=w36-h36-p-rp-mo-br100","Rafael Villa","hace 6 días","Excelente parada de metro si vives cerca. Fuí desde la calle Marsella, suelo coger la estación de Avda. De Guadalajara (que está genial) pero una vez preferí esta para ir a Alonso Cano y hacer menos transbordos y me pareció una estación de metro normal y corriente, sin acceso para discapacitados pero bien cuidada."
"https://lh3.googleusercontent.com/a-/ALV-UjXR0YcFsu4Y8fXmY0iViSKlpdy0BMQXgvZg2DbeBNUw3iUUL9s=w36-h36-p-rp-mo-ba5-br100","Manuel Gil Saavedra (MANOLETE)","Hace 10 meses","Es mi barrio de siempre de toda la vida, pues nací justamente donde vivo y donde duermo, es decir mi casa, pués a mi mamá no le dió tiempo ir al hospital,y me parió en la cama donde duermo desde hace muchos años. Que me parece Simancas? Un barrio humilde ,sano y obrero de siempre, con un maravilloso parque de EL PARAISO, sus bares de toda la vida, como el LUMI, o el DOMINGUEZ (un beso y abrazo a Rocío y Dani), las terrazas de la calle Zumel, el antiguo y presente INSTITUTO SIMANCAS, el añorado colegio AGUSTÍN DE FOXÁ,  mi querido COLEGIOS TEIDE, donde por cierto, estudio ALEJANDRO SANZ, (si, si, creedme es el famosísimo cantante), y bueno tantas cosas, lugares, gentes y recuerdos, que podría escribir un entretenido libro. SOLO DECIR QUE ME SIGUE GUSTANDO SIMANCAS, con sus más y sus menos pero aquí aprendí a jugar a las chapas, etc etc etc. Y así estaría hablando de MI barrio siempre. MERECE LA PENA VISITARLO SOBRE TODO POR SU PRECIOSO PARQUE. Animaros y hacernos una visita, seguro que alguna caña nos tomamos. SALUDOS Y HASTA SIEMPRE."
"https://lh3.googleusercontent.com/a-/ALV-UjWdpQ7pYD52x8ZeLOVdKZSQWqNmi52lzs98UMtHd8gVESoP904=w36-h36-p-rp-mo-ba4-br100","Esteban Mejia","Hace un año","Los guardias de esta estación en concreto el señor algo de color de piel negra y la señora de edad avanzada, son muy mal hablados, y no hacen respetar la estación, siempre están yonkis en los pasillos durmiendo o colebrando , muy mal por parte de los guardias que  realidad son muchos más guardias pero ninguno hace nada, la peor estación que he transitado"
"https://lh3.googleusercontent.com/a-/ALV-UjX0ENabmv_7FdAHxsCfL4RxfGMnba6qOGQBrUT4_xVlYbyAYA=w36-h36-p-rp-mo-ba4-br100","Frank Plá","Hace 7 meses","Estación de metro abandonada por los servicios de limpieza, debido a la frecuencia de personas adictas que la frecuentan. Debe ser una de las causas."
"https://lh3.googleusercontent.com/a-/ALV-UjXvPZIvm0HcylO9I8rfbGuJZLMajWfE9EgTsuKWjie-lj9FYPCRSQ=w36-h36-p-rp-mo-ba4-br100","maria jordan","Hace 2 años","Línea 7, entrada por Castillo de Ucles. Esta estación se ha quedado anticuada, pues hace falta escalera automática para salir a la calle o ascensor. Ningún discapacitado puede acceder desde ninguna de sus dos entradas."
"https://lh3.googleusercontent.com/a-/ALV-UjXQajZCp5AjpHzeN-_7ZhkRAIcgE7J-yBjysS-SQAJgP0bYQ2w=w36-h36-p-rp-mo-ba4-br100","Javier Cinthya","Hace 4 años","Una estación ya por fin con cobertura móvil. Lo de poner ascensores y escaleras mecánicas en salida y entrada a la boca de metro como que no es lo vuestro no? Llevo 18 años viajando en metro y lo único que habéis hecho en esta parada es cerrar las ventanillas de acceso Castillo de Ucles y cambiar en los tornos lo de acceso para la tarjeta actual, si no ni eso. Claro la clase pobre no tenemos derecho a buenos servicios cuándo lo estamos pagando. Vaya parada...y por no hablar de los yonkis."
"https://lh3.googleusercontent.com/a/ACg8ocIAnnSxGAlZZixO5-SthUms3MGIl5kwwXgPIeBaoFFl2TJXFQ=w36-h36-p-rp-mo-ba2-br100","Gemma Alvarez Ortega","Hace 8 meses","Sucia en vestíbulo 2, sin nadie de metro que te ayude. Una pena. Eso sí metro de Madrid. VUELA"
"https://lh3.googleusercontent.com/a-/ALV-UjWkTer8bBlJLqh2gaKho8r5Db2YLks82jktBaGF8GG8eYSDHiQdwQ=w36-h36-p-rp-mo-ba5-br100","Fabian Santamaria","Hace 2 años","Estuve paseando a los perros en el parque el paraíso. Es amplio y los fines de semana cortan la calle para que sea peatonal. Hay grupos de amigos y familias disfrutando del parque siempre que hay buen tiempo"
"https://lh3.googleusercontent.com/a-/ALV-UjVsHAPefBpR3ztstC3ZXAUrkEtgiRTBRPn1Pw_qOoKjwX2tNE4=w36-h36-p-rp-mo-ba4-br100","MVeronica S. Hiller","Hace 7 años","Estaciones de Simancas y García Noblejas, un poco  abandonadas por dentro, no tienen cobertura Internet ni movil. Lamentablemente las personas con movilidad reducida o personas mayores lo pasan fatal para acceder o salir. La de Simancas en el exterior en ocasiones tiene un ambiente que deja mucho que desear. No queremos estaciones de lujo, necesitamos estaciones cómodas, accesibles y bien iluminadas. Gracias."
"https://lh3.googleusercontent.com/a-/ALV-UjU6tDOFeM2Ia4bD1i95lRz0NGH-ANdn6MW48aDJ8LiI17CUoE-0=w36-h36-p-rp-mo-ba7-br100","K","Hace 3 años","Es una salida de metro cerca de un descampado, poco transitado. No es accesible para personas con movilidad reducida. Es una estación antigua que necesita mejoras."
"https://lh3.googleusercontent.com/a-/ALV-UjUnCYMyt-nrAZV7nwpdcJCJUsMx0QY6KBDV7JK4JF9v7aEOEaG8=w36-h36-p-rp-mo-ba3-br100","DisKorDia","Hace 6 años","Mejor no salir por la Calle Amposta, para que no te atraquen, no te pinchen o ver a un yonki pinchándose en las escaleras. Se necesita presencia policial en la salida del metro y alrededores con urgencia."
"https://lh3.googleusercontent.com/a-/ALV-UjU4xv0qONN6IiEUdx_THLL-URUfZcQ4k9Ev9AYFpnCTDZSy7zLS=w36-h36-p-rp-mo-ba5-br100","theheavy formatC2puntos","Hace 3 años","Sin acceso para movilidad reducida, como viene siendo habitual en los barrios obreros."
"https://lh3.googleusercontent.com/a-/ALV-UjWfB6ZjjbwCsK4GzqJ732LTToUkRaxSvOmSYKsbpftuJASBQAB-=w36-h36-p-rp-mo-ba5-br100","Moises Ardila","Hace 2 años","Estacion que tomo para ir al CAT San Blas a realizar voluntariado de Cruz Roja, la ruta puedes reducirla usando bus alfrente."
"https://lh3.googleusercontent.com/a-/ALV-UjXrr9MKwrkyVRA4qmKfScB1-IxBRn8prX0lgUZ7UvTRonjYeEtj=w36-h36-p-rp-mo-ba3-br100","BRAWL STARS KING","Hace 4 años","Debería tener más vigilancia ya que muchas personas se quitan la mascarilla en el metro y alrededores"
"https://lh3.googleusercontent.com/a-/ALV-UjVJ2D9DhQnMznYIl7t4btj358xz0wL8sMb_QwJWzYaJ3DD6l2eKgQ=w36-h36-p-rp-mo-br100","Antonio C. Ruiz García","Hace 8 años","Fantástico el Servicio pero Sería ideal poder medir las distancias entre puntos. Si ya se puede intentad  hacerlo mas visible, no lo veo."
"https://lh3.googleusercontent.com/a-/ALV-UjV--SwYsyLnIOm4e-QAlX_AHJFAZEcuKidcoyikjuYUKx1Wp3uc=w36-h36-p-rp-mo-ba5-br100","Jesus maria Henao","Hace un año","Muy agradable su gente sus parques seguridad bonito comercio"
"https://lh3.googleusercontent.com/a-/ALV-UjXCpoaqVKELKgtAeVsx4mcI39-_UFk4sk4T1kIph81Rq7_179gH6Q=w36-h36-p-rp-mo-ba5-br100","Ricardo","Hace 7 meses","Muy buena parada de metro"
"https://lh3.googleusercontent.com/a/ACg8ocJIk48jr4l5S2vVnJmHtW-KTyZKSkGWQZQqjKH5ZpMGLtYjmQ=w36-h36-p-rp-mo-br100","J. M.","Hace 7 años","Ta bien pero te pinchan si sales por arriba, hay que tener cuidao"
"https://lh3.googleusercontent.com/a-/ALV-UjXZhVcOoJ_iW6voqRpnLLJXzxN2Tbr_7paJogMPTLPIKUHabNU=w36-h36-p-rp-mo-ba5-br100","César Ceriani","Hace 7 años","No tiene acceso para gente con movilidad reducida..."
"https://lh3.googleusercontent.com/a-/ALV-UjU6GkR36jEyykqs8t6V-6HB3gZIXq8_cJYAVO4MGIUocJunN7KD=w36-h36-p-rp-mo-ba3-br100","Susana Molina","Hace 7 años","Churrería y fábrica patatas fritas Quiroga, muy buen producto, como las de toda la vida"
"https://lh3.googleusercontent.com/a-/ALV-UjUJCU5t7xBye6FPt-KbxCbNEFdKd3jNoPuaBmEWga_W4dvTpWgj=w36-h36-p-rp-mo-ba6-br100","ideaweb Madrid Diseño paginas web","Hace 7 años","Deprimente por dentro y por fuera de la estación. Renovación ya."
"https://lh3.googleusercontent.com/a-/ALV-UjVK9YbuetQfs8MccTNRd0yhe5SVX66mlFUZjND0RF5a4Kt9foKD=w36-h36-p-rp-mo-br100","Paola Ruiz","Hace 7 años","No tiene cobertura fatal"
"https://lh3.googleusercontent.com/a-/ALV-UjUzSlXr_gVaPR6elMtN_na-DtpWiLS3sQMDlKqEXEKB0x9Q5nV9=w36-h36-p-rp-mo-ba4-br100","Eduardo Martínez","Hace 7 años","No tiene cobertura a la conexión de datos"
"https://lh3.googleusercontent.com/a-/ALV-UjWm_SluJ5G8BSamwUUsDRnS6H6P0SYyO2dF5yNdGPzkip-KT0UO3g=w36-h36-p-rp-mo-ba4-br100","Anas Alzoubi","Hace 7 años","No hay acensor!"
"https://lh3.googleusercontent.com/a/ACg8ocJwzza9ZjwSPSBozlakYFX5kmsc-l56d6e4t31PtnMPXlFaag=w36-h36-p-rp-mo-br100","ÓSCAR Z.R. EL MEJOR","Hace 4 años","Me ha encantado"
"https://lh3.googleusercontent.com/a-/ALV-UjVQqAbiaR7WYFdPfFx98K5_LMX8S3B6xX2XtjYzOtXhInUfXsrbDw=w36-h36-p-rp-mo-ba3-br100","Wilton Ortiz Morgan","Hace 4 años","Único y acogedor"
