"URL","Usuario","Fecha","Reseña"
"https://lh3.googleusercontent.com/a-/ALV-UjVhZt9ga4Vx3eAvPAC85DxXeC02Lc6jEiEf1-uADH5qK-UXdzFFdg=w36-h36-p-rp-mo-ba7-br100","Elba Pazos","Hace 4 años","La Estación de metro y de Renfe de Sol es grande, moderna y con buena limpieza considerando la gran cantidad de usuarios que la utilizan diariamente. Su ubicación céntrica la convierte en una de las estaciones importantes de la ciudad de Madrid. Es accesible tanto por escaleras como por ascensor. No le coloco un 5 de puntuación ya que considero que todo servicio y/o instalación es mejorable. Un punto mejorable sería el aumento de trenes por razones obvias. La población madrileña y de sus alrededores se ha incrementado exponencialmente lo que ha resultado en el aumento correspondiente en el número de usuarios de este tipo de transporte público."
"https://lh3.googleusercontent.com/a/ACg8ocLl1K-cyRh_AlwJ_fBpjaxk5wEJS2agnykp-OumplsHCEyd2Q=w36-h36-p-rp-mo-br100","Luis Carlos Giraldo Ossa","Hace 5 meses","Excelente labor del equipo de seguridad de la estación, brindando seguridad a los ciudadanos… En el día de hoy evitaron un robo a mi persona de un teléfono por parte de unas ratas, actuando con rapidez y eficacia. Excelente trabajo y muchas gracias."
"https://lh3.googleusercontent.com/a-/ALV-UjXDqI6YcQt-mtmIGFFLGaGy-ebJ3tEwmyjjrN0PDXKEpEamT1h0=w36-h36-p-rp-mo-ba6-br100","Victoria Senaty","Hace 3 años","La estación de sol. Una de las más prácticas en todos los sentidos. También la primera como tal desde 1919. Haciendo este servicio. Cuenta con ascensores en todas las plantas subterráneas y salidas al exterior.       Puedes cojer la línea 1…"
"https://lh3.googleusercontent.com/a-/ALV-UjULhQ0UFp2Aet1QNKbbd8fDNl-DAU0Rwoe72DWu3jpVaVRWXUw=w36-h36-p-rp-mo-br100","daniela collazos patino","Hace 5 meses","El día de hoy en la estación del metro de sol Fuimos víctimas de hurto en un establecimiento de comida muy reconocido cerca de la zona Por una banda criminal Que se dedica a esta modalidad de robo pidiendo que les ayuden con comida pero aprovechan cualquier descuido para robar lo que puedan En este caso Las autoridades del metro de Madrid interceptaron a este personaje rata que no merece otra descripción y hacen el debido proceso Doy las gracias a todo el equipo de seguridad de metro por su excelente labor y gran manejo de la situación Este mensaje lo hago con el fin de resaltar la labor de el camarero del restaurante quien nos ayudo y de los vigilantes del metro GRACIAS METRO MADRID"
"https://lh3.googleusercontent.com/a-/ALV-UjUJvQH9GvY5v9rXrTntGPsW9SlH_NLHHmvwkaicllhXVcVHMpwbvw=w36-h36-p-rp-mo-ba5-br100","Isabel I ́m saso","Hace 2 años","Hola, soy Isabel de @im.saso !! Todavía recuerdo entrar en esta estación por primera vez y pensé que estaban regalando algo. Perfectamente señalizado por todo lado, informadores que te resuelven todas las dudas y gente afanada como si fuera el fin del mundo. Pero es la estación que al salir te lleva directamente al corazón de Madrid. Si tuviera aseos sería todo un plus para la estación. Te dejo algunas fotos y vídeos, espero que sean de tu ayuda ¡Un saludo!"
"https://lh3.googleusercontent.com/a-/ALV-UjWDldBLwRiAVEkTLCgOMWLyGcQ7-QeCZBnu15bIJHPY0XwiIYVQiQ=w36-h36-p-rp-mo-ba5-br100","Germán P","Hace una semana","Un sitio estupendo.con su plaza,su km 0 .precioso.la estación Buenos accesos."
"https://lh3.googleusercontent.com/a-/ALV-UjW0oEqjsDKXF5bOoFs-Ao7UR_ByiVPEXQxiDDoMJ9tG8RPQ-GWj1g=w36-h36-p-rp-mo-ba5-br100","Yelrish 1","Hace 6 años","Estación grande y limpia. Tienes unas cuantas tiendas de souvenirs, en el metro tienes un stand de tarjetas Lyca, Micropréstamos Vivus, para picar algo Rodilla, muchos músicos que dan ambiente de fiesta. En Cercanías en cambio tienes stand de tarjetas Lebara, lotería y Belros. Lo malo es que no tiene baños públicos."
"https://lh3.googleusercontent.com/a-/ALV-UjXKYtBFgn2mzQKA5rUbtR_oOI6cLuNg6YZTuqvAuL_35vqmww_l=w36-h36-p-rp-mo-ba6-br100","kenelbi soto solis (Kenel soto)","Hace un año","Estación de metro Sol , lugar muy concurrido, es una zona turística de Madrid, son muy lindas las arquitecturas y diseños de los edificios ♥️"
"https://lh3.googleusercontent.com/a-/ALV-UjWWpMqt_xDI38ad9HjJ8ZuTQ6P7NqOyeaO9zi5wTFWfwTM88fRR=w36-h36-p-rp-mo-ba4-br100","Pablo BC","Hace 6 años","Es una de las estaciones emblemáticas de la línea 1 de Metro Madrid. Creo que no hace muchos meses fue cerrada para mejorar infraestructura de la estación pero la verdad es que si así ha sido no veo por ningún lado ninguna mejora. El olor que desprende el suburbano es horrible. A todo menos higiénico. Esta parada de metro tiene correspondencia con la Línea 2 y 3 y con Cercanias RENFE."
"https://lh3.googleusercontent.com/a/ACg8ocJ9Q2RhTtchwVInj158EZgauO0_aow1I__2nbnh_uKfVj3E4w=w36-h36-p-rp-mo-br100","Rocio De Cabo Hernandez","Hace 4 meses","Tienen que venir con más frecuencia los metros, esperando 8 minutos, no he podido entrar en el que vino porque estaba lleno, y ahora me toca esperar otros 8 minutos, una vergüenza!"
