"URL","Usuario","Fecha","Reseña"
"https://lh3.googleusercontent.com/a/ACg8ocJpN6Gv0q_fN_KNLvG8tCjLb--BTilyjb7JjM9PnCrq-H91yg=w36-h36-p-rp-mo-ba5-br100","Mari Cruz Jiménez Mellado","Hace 4 meses","No hay ascensor y nunca lo hubo en el metro, abajo ponen una entrada especial para minusválidos y lo peor irónicamente es que hay que poder bajar al metro por escaleras y no automáticas"
"https://lh3.googleusercontent.com/a-/ALV-UjW3jX9zWkkQwYG3AwM0UgpglZNA0P_6Tjqm88Ol-PBpBAkTHtVV=w36-h36-p-rp-mo-ba5-br100","George I. King","Hace 4 años","Otra de las estaciones de metro que en la ultima hora parece un sitio abandonado. Bajas las escaleras de la entrada y ni en ventanilla ni en el vestíbulo se ve gente. Ninguna vigilancia, ninguna atención al cliente... Los andenes en la misma situacion. No hay ningun empleado del Metro ni un solo segurata."
"https://lh3.googleusercontent.com/a-/ALV-UjUdGYsBpVABogc9CFceLx4OqWG8HoP7sexLOlBunm-P6n_SH9B9iw=w36-h36-p-rp-mo-ba6-br100","Julio Diarte","Hace 2 años","📌 Tiene buena salida, lo único que la mayoría de la línea 1 no tienen ascensores, ojalá con el tiempo lo tengan sería ideal 👌🏼…"
"https://lh3.googleusercontent.com/a-/ALV-UjW5Dzn5WzWZGttkeX9uyr7pIFNkTJHiCqIMLYAn2m7im-XuDuH7=w36-h36-p-rp-mo-ba3-br100","Rocio Granda","Hace 3 meses","No está adaptado para nada para personas con movilidad reducida"
"https://lh3.googleusercontent.com/a-/ALV-UjUkIIWZSGykkVXcp8Zs_DCg6bhHUDSeih5AC3l_lOmNgerhycozcg=w36-h36-p-rp-mo-ba4-br100","Alexis fabian Nuñez perez","Hace 10 meses","Tetuán es uno de los mejores barrios de Madrid al igual que todos los barrios de Madrid son una maravilla. También lo es su servicio de trasporte, y como no mencionar el famoso metro de Madrid que es conocido mundial mente, por su seguridad, y su tremenda accesibilidad, a la par de su higiene y limpieza. También el barrio brilla por sus Muchísimas tiendas, buena seguridad ciudadana, productos de todas partes del mundo. Buenos parques como el maravilloso parque de Rodrigues sagun. Al lado de zonas históricas, como lo es plaza de castilla y el gran hospital la Paz 🕊️. También al lado del grandicio estadio 🏟️ santiago Bernabéu. La verdad que es un barrio hermoso. Y su sistema de trasporte, también lo es."
"https://lh3.googleusercontent.com/a-/ALV-UjX_jrlybVm7Urr-qnhuooriBac10OvIVrQIABAEwGylKMBzOgEB=w36-h36-p-rp-mo-ba3-br100","Court","Hace un año","La estación no está bien. Le falta vida, la zona no es la mejor aún que sea concurrida, pero en general sirve para pasar el trámite."
"https://lh3.googleusercontent.com/a-/ALV-UjWs63pQW_O2GQM5RhwQ4JXL3YAOIyW1m1ndIKL7nsY5quLXg0dexw=w36-h36-p-rp-mo-ba8-br100","VÍCTOR VIRGÓS","Hace 3 años","No había estado por este barrio ya desde hacía años. Me gusta la vida que veo en las calles, tan policulturales, tan raciales y étnicas. Mucha animación y muchos locales con terraza para sentarse a tomar algo"
"https://lh3.googleusercontent.com/a-/ALV-UjVj2UutANKo4EksfQeKQWDSMg42l82w1CHc3zB6crPm5XpZgoxg=w36-h36-p-rp-mo-ba4-br100","Eduardo Delgado Rubio","Hace 6 años","Un clásico resucitado. Las tortitas, espectaculares; como siempre! Le pondría 5 estrellas si tuvieran estanca la parrilla y no salieras del local con olor a fritanga. Por lo demás genial."
"https://lh3.googleusercontent.com/a-/ALV-UjW79yiLPO7XNWq9l53frPEDf9-6yf5CZAdB9Y8eJnyTfKABF60=w36-h36-p-rp-mo-ba3-br100","sumanito","Hace un año","mala parada de metro, a la salida estan los flaite y los domi asiendo moni y que no llevo suelto pesao, os recomiendo ir escuchando musica con los cascos para hacerles donowall y ya estaria"
"https://lh3.googleusercontent.com/a-/ALV-UjVsxo7g5qRW5PK_ZmRaAshwGfq_1mjDCW8h5AEwwpJAHIOOj_Ex=w36-h36-p-rp-mo-ba6-br100","Alejandro Perez Vendopor","Hace 4 años","Me encanta Madrid y lo que puedes encontrar en los alrededores de la parada de Metro Subway de Tetuan que recomiendo visitar si tienes la suerte de poder viajar a Madrid, es barrio que puedes encontrar mucha inmigración latina y si te desplazas 3 calles ya estas en la Castellana con un nivel alto... Yo siempre que puedo ir voy en Metro en Madrid ya que me resulta comodo e incluso divertido... ¡Me encanta Madrid!"
"https://lh3.googleusercontent.com/a/ACg8ocJGyLUKpYNDvTSmtAtdPc825QhjOEBrNwvwuvpfS4YDFcF5AQ=w36-h36-p-rp-mo-br100","Johan Ramezani","Hace un año","Claro que sí.esta con un ambiente muy agradable."
"https://lh3.googleusercontent.com/a-/ALV-UjXV1wwEEyfP9KcXgxLV4rAMG4CdVioes85wQGP8EsR_jE7kkogN=w36-h36-p-rp-mo-ba4-br100","carmen gonzalez","Hace 8 meses","Bien pero faltan escaleras mecánicas"
"https://lh3.googleusercontent.com/a/ACg8ocKL4orbJIH_T_1dgnPT1Az_bxtOMZBN-Qp7996Tps1Xqy0KfA=w36-h36-p-rp-mo-ba3-br100","Sophie Vázquez","Hace 4 años","Siempre por cada metro que va con dirección a valdecarros pasan dos dirección a pinar de Chamartín, por lo menos por la mañana. Se esperan 7 minutos mientras ves pasar 2 metros enfrente, o a veces incluso tres."
"https://lh3.googleusercontent.com/a-/ALV-UjXbj4NF-tHp0qTczilCQxyypcio0-MaZs3bn2WDsphbVmPL67AN=w36-h36-p-rp-mo-ba4-br100","Carlos Nieto111","Hace 7 años","Raciones y menús a buen precio y calidad. Menú en festivo a buen precio, nosotros vamos una vez al mes y....contentos"
"https://lh3.googleusercontent.com/a-/ALV-UjWQEr9D3LDjRh56c9Z0EImO6VGxTF5XbtPdkHSEm_poRQP9PWAPGg=w36-h36-p-rp-mo-ba2-br100","Juan León Ortega","Hace 3 años","Tranquilo, cuidado con zonas poco transitadas y nevado espectacular para trineos"
"https://lh3.googleusercontent.com/a/ACg8ocLbhwiGfMx6fZaWsDQNyRzUczMoUSqf1xxLTACgcVyTlOfErA=w36-h36-p-rp-mo-ba4-br100","Javier Alonso Gavilan","Hace 3 años","Estación básica, con los servicios mínimos. Sin ascensor ni aseos."
"https://lh3.googleusercontent.com/a-/ALV-UjXKro7L2UqwPpuxYMJF_MQyriWijbB_3De5jRMSjb7DKojKbGfC=w36-h36-p-rp-mo-ba6-br100","Julio Martin","Hace 7 años","Necesitaría acceso para discapacitados, por las escaleras y por la estrechez en el acceso en los tornos. Por lo demás buena conexión ocn el centro."
"https://lh3.googleusercontent.com/a-/ALV-UjUyrqs2TqYwyUZhK6e9v-kbEYlMt3NmZnTtqBI0rRi8xbScNR_h=w36-h36-p-rp-mo-ba4-br100","Angel Moran","Hace 2 años","La mayor parte dle tiempo tiene poca afluencia"
"https://lh3.googleusercontent.com/a-/ALV-UjXpHlqIHVI89ZYv3O1UDsBjmorgVGjhUgNkwAmB7rdKFEx26ljw=w36-h36-p-rp-mo-ba5-br100","Ramon Arceo Rodriguez","Hace 2 años","Estación de Línea 1, no es muy grande pero si tiene varias salidas"
"https://lh3.googleusercontent.com/a-/ALV-UjXm_XJATEuAsEZeQRrxaYoiSI1JLAdB-f6VeoFNfpXpJT-aclqbEQ=w36-h36-p-rp-mo-ba4-br100","Elizabeth Magaly Garcia Jacobo","Hace 9 meses","Todo bien"
"https://lh3.googleusercontent.com/a-/ALV-UjV--SwYsyLnIOm4e-QAlX_AHJFAZEcuKidcoyikjuYUKx1Wp3uc=w36-h36-p-rp-mo-ba5-br100","Jesus maria Henao","Hace 2 años","Muy agradable su gente bonito bastante comercio tranquilidad"
"https://lh3.googleusercontent.com/a-/ALV-UjWUk-nPOtVuKmxiAOAg7uznWKvMtldxlF4ZGBzhEgZ8Q0Y0Chg=w36-h36-p-rp-mo-ba3-br100","Cris Solar","Hace un año","Es un buen sitio (solo compongo para que me den puntos)"
"https://lh3.googleusercontent.com/a/ACg8ocKniUeFjkAp6vNF6rg7xIrrV7-mNn3pAiQTjG81AGsVQpI9OA=w36-h36-p-rp-mo-br100","Leonardo Silva Nadruz","Hace 2 años","precio, calidad muy bien. buena atención y ambiente"
"https://lh3.googleusercontent.com/a-/ALV-UjWnLz5mmpwM_JbaVDdSPxOCR3v7loYz456h0NxncHPQ7dzmTwc=w36-h36-p-rp-mo-ba3-br100","Sergio Balbuena","Hace un año","Se podría mejorar los accesos y el mantenimiento del sitio ya que esta muy anticuado"
"https://lh3.googleusercontent.com/a-/ALV-UjUzcwDk_NRfrhouak4jdxqznhQJ5n5Am9fS_vo--kmfmZCP_P_Q=w36-h36-p-rp-mo-ba2-br100","DAPHNE gamarra","Hace un año","Muy bueno"
"https://lh3.googleusercontent.com/a-/ALV-UjVNocYU1XibRRCStOKqie9_mY7vYEuycNBXgtrPY99nIexJ7dMj6g=w36-h36-p-rp-mo-ba3-br100","Rocio Jaimes","Hace 5 años","Me encanta la comida y los camareros son muy majos y rapidos"
"https://lh3.googleusercontent.com/a/ACg8ocL6j3fUjdHjzglCFPCFitAnCJ2BggebpG8jNROfZWVFbqChuA=w36-h36-p-rp-mo-ba4-br100","Rocio Rodrigo Rubio","Hace 6 años","Tetuán es una estación del servicio de metro de Madrid línea 1 no se confunde Tetuán estación de Barcelona al lado del barrio Tetuán"
"https://lh3.googleusercontent.com/a/ACg8ocIZevnZzS2BJ-Oyd06RIW6Ay4e3Qg0kVomY3IDi1JGFxr-LMA=w36-h36-p-rp-mo-ba4-br100","Pedro H","Hace 5 meses","Estacion de metro local linea 1"
"https://lh3.googleusercontent.com/a-/ALV-UjUilTkX7SOHQOval2m3O9v8aVPIVQeujGCBX1PWE7GBuXkdzqDX5w=w36-h36-p-rp-mo-ba3-br100","Ximena Rodero","Hace 6 años","La entrada ea muy pequeña y estaba mal localizado en el Giogle Maps."
"https://lh3.googleusercontent.com/a-/ALV-UjUh9VSaTi0FwhkCmQjxS3xCTTllQDe0Yddksga-8iEySjmXaG7U=w36-h36-p-rp-mo-ba4-br100","Alberto Piccininno","Hace 2 años","Lugar donde habitar y descansar."
"https://lh3.googleusercontent.com/a/ACg8ocICnUYBTx7Hg5aOoTg3MusJ0l38MNu394wlxVZCnM_kUsMNog=w36-h36-p-rp-mo-ba3-br100","Carolina Riveros","Hace 2 años","Vivo ahí, me encanta."
"https://lh3.googleusercontent.com/a-/ALV-UjUdC2Q-9ptDdcUn8MgU1i-z9oa_tG279ooZY_xShlfeENd_2w-W=w36-h36-p-rp-mo-ba3-br100","Deric Peralta","Hace 2 años","Estación muy tranquila, normal"
"https://lh3.googleusercontent.com/a-/ALV-UjVVOwt4FE00wO3AzRC5h60A5jrzMpe0Ljw2W-H-FNyJlotb4leG5Q=w36-h36-p-rp-mo-ba5-br100","Nacho Soldevilla Martínez","Hace 7 años","No tiene ascensor ni acceso para discapacitados"
"https://lh3.googleusercontent.com/a-/ALV-UjVL2K2whp7XVAldpQNuEQdknFY-AiA0HPIJBTEnnBCjXWz7IJ0i2w=w36-h36-p-rp-mo-ba6-br100","MAJOCOCA Corral","Hace 5 años","El jamón y el churrasco Genial Muy recomendable"
"https://lh3.googleusercontent.com/a/ACg8ocJpNm-g3c6GR3QaqObDd5aNy2hSLxCrT0X6BAO5bh2EYMdMbA=w36-h36-p-rp-mo-br100","ANA VARELA MAGANO","Hace 6 años","No tiene acceso para personas con movilidad reducida"
"https://lh3.googleusercontent.com/a-/ALV-UjUDiY_KdhvsjfITsJBh-8LusY03G1hS3O3KB6tT-arLInQSSEwv=w36-h36-p-rp-mo-ba4-br100","Julián Escobar","Hace 7 años","Le hace falta tener accesos para discapacitados."
"https://lh3.googleusercontent.com/a-/ALV-UjUCMGPySuvzvl0nBQwOOJIr-6jGqKvRWXYnGKNV0dyiKwh6jnTy=w36-h36-p-rp-mo-ba2-br100","Jorge Gómez Gutiérrez “Dj'Actes”","Hace 9 meses","Increíble"
"https://lh3.googleusercontent.com/a-/ALV-UjUCFfT3wdIC14QZ04A2h6bOrmLQaeywkoU_syaTuc4WRFhdwuI=w36-h36-p-rp-mo-ba4-br100","Alejo Vidal","Hace un año","Estupendo"
"https://lh3.googleusercontent.com/a/ACg8ocKQh0zXltNfLvhxelUMDcHVBcWXQKCUWo9h5h0_XtmWei8e2g=w36-h36-p-rp-mo-br100","Hagidorn Francisco","Hace 4 años","Porque hay de todo"
"https://lh3.googleusercontent.com/a-/ALV-UjVOvwMIHFf9u9QRQTl7KtQGkryAOm7i8hi6u2ALW50INot1Pt3Mdg=w36-h36-p-rp-mo-ba4-br100","Emilson Sanchez","Hace 5 años","Buen asceso a varias vías ."
"https://lh3.googleusercontent.com/a-/ALV-UjX1oH1JM-sAshgNrUb5q5jM1ZPPM9geGpypGl_M_3wmMB0XR4c=w36-h36-p-rp-mo-ba4-br100","mari paz de la puente saz","Hace 5 años","Muy buen personañ"
"https://lh3.googleusercontent.com/a-/ALV-UjXPvRU_fJbNyZu9D34ud6ejGeXW0LZOZAB2qq3fucdR1sHo-2dnpg=w36-h36-p-rp-mo-ba5-br100","Paloma Paez","Hace un año","Genial volvere"
"https://lh3.googleusercontent.com/a-/ALV-UjUO_auE2G9C8dmJYiz_Hyq4o_EdvF_F6LJ4RPXR2qZtE4Buq2Zm=w36-h36-p-rp-mo-ba4-br100","Erika Vargas Maldonado","Hace 3 años","Día de nieve 🥶🥶🥶🥶…"
"https://lh3.googleusercontent.com/a-/ALV-UjUaJi1PwHU6h0M70eq6LTz6N3MeWrgfvroB9eCiQczP5C7EI7kNkw=w36-h36-p-rp-mo-ba4-br100","Mikey","Hace 6 años","muy bueno"
"https://lh3.googleusercontent.com/a/ACg8ocL9hFPNgMF6uCYoN2GKJRopHrcJqV1TObW1l_Tc63GE2tUi9A=w36-h36-p-rp-mo-ba5-br100","Jose Maria Martin","Hace 7 años","Un buen sitio"
"https://lh3.googleusercontent.com/a/ACg8ocIBUA_0EC3gcFp4UV25j4KA_XIKCTgWTb-Wrb3MS4VTvApMow=w36-h36-p-rp-mo-br100","Laura Rodríguez","Hace 3 años","El metro normal,"
"https://lh3.googleusercontent.com/a-/ALV-UjVxikqqgEc7CWhtmF6LtyzpAFA3lZDcqmLYBLDF6bYCpH1AZaMdGw=w36-h36-p-rp-mo-ba5-br100","Ángel Salvador Rodriguez Sanchez","Hace un año","✌️👏👏👍💯🤗💯👍👏👏✌️.…"
"https://lh3.googleusercontent.com/a-/ALV-UjUvYmYGKKcBj7OtjnVMUo0RkNK2Rc0Q2Toab8BrgPyqjMhmzFTa=w36-h36-p-rp-mo-ba4-br100","Javier Moreno","Hace 7 años","Un buen sitio"
"https://lh3.googleusercontent.com/a-/ALV-UjUCDFm1maaDt4Zoaos4gQ8SyFwS28HHIiipn3eEfmm-vvDE3VCP=w36-h36-p-rp-mo-ba4-br100","RAQUEL SANCHEZ","Hace 2 años","Entrtenido"
"https://lh3.googleusercontent.com/a-/ALV-UjVVuR5NEe4ZBPSlK9PYJckuV384IxgebJK0EqJUXNNfFkNmuulNWQ=w36-h36-p-rp-mo-ba6-br100","Angel Leonardo Rosillo Sierra","Hace 7 años","Metro de Tetuan"
"https://lh3.googleusercontent.com/a/ACg8ocIBVdz4z2cQGUkesPnfgWm3dAU3_RxveCn7VLm4cS7aVjKECA=w36-h36-p-rp-mo-ba5-br100","Janik Plangger","Hace un mes","Esta estación de metro se encuentra en Tetuán Madrid. Es una estación de metro normal. Sin embargo, no hay ascensor ni aseos."
"https://lh3.googleusercontent.com/a-/ALV-UjV5a8s34Sune1O8Z0jDwJGnjYtJTIueAIqTTMVfAMr1M7YRQu-1zA=w36-h36-p-rp-mo-ba5-br100","Y M","Hace 6 años","¡Hermoso lugar con muchos lugares interesantes y excelente comida! ¡Hay muchos restaurantes deliciosos en esta área! Estoy enamorado de la comida española."
"https://lh3.googleusercontent.com/a/ACg8ocIpyMTMv7c8aFqtM3q5BioVGRoP7kzUfrdH_nBVJBlPDZI-aA=w36-h36-p-rp-mo-br100","Christopher Jidu","Hace 3 años","Calle muy bonita y muy transitada desde allí. Puedes conectar el metro 1 yendo a sol. Madrid centro y también a chamartin."
"https://lh3.googleusercontent.com/a-/ALV-UjVsWhLJX1dsIvS2-OzjD5i4JqF6I0ZlrjgNV-j4RtRKZgatwDS3ow=w36-h36-p-rp-mo-ba5-br100","Igor Guarita","Hace 6 años","Es una pena no tener acceso a una silla, lo que dificulta tener una plataforma elevadora en las escaleras."
"https://lh3.googleusercontent.com/a-/ALV-UjXdwFhcdK8_cufSD78dCI2MAZOqTQNfgCsYwV-sTlcgzBmKOhOq=w36-h36-p-rp-mo-ba3-br100","Dav. F","Hace 4 años","Barrio acogedor con frescos grandes y realmente hermosos de arte callejero."
