"URL","Usuario","Fecha","Reseña"
"https://lh3.googleusercontent.com/a-/ALV-UjUm105mBqAlVdvN-fu1L2cpjUw1hE0LiT2Sl_AUt21zwtSE-JUT=w36-h36-p-rp-mo-ba4-br100","El Mago 2.0","Hace un año","Buena plaza con variopintos puestos, desde puestos de flores hasta terrazas para tomar algo. Mucha animación a todas horas. Tiene parada de metro y muchos locales de ocio alrededor, incluido teatros. Está muy bien para tomar algo y dar un paseo."
"https://lh3.googleusercontent.com/a-/ALV-UjVbBqcpmIpyzctpa5CmtAjh0iyG9UsAhjOBKALD02WcEHvOF77_zA=w36-h36-p-rp-mo-ba7-br100","luis manuel quiroga López","Hace 3 semanas","Parada histórica de la línea 1 [ azul ] del metro de Madrid.  Conserva los azulejos originales en el hall de la estación.  A la salida podemos encontrar la plaza con diversos puestos de Flores . Perfecta para ir al "" Rastro "" ."
"https://lh3.googleusercontent.com/a-/ALV-UjWKYc9uVAlIgSpTlvXI7sCPfMl9X7NkYIkVff-6LWSxVMKoqzu3=w36-h36-p-rp-mo-ba3-br100","Tsano Ivanov","Hace 4 meses","Es un desastre y un asco. Hay ratas por la noche. Está lleno de gente indigente y sobre todo de chavales jóvenes sin tutela que roban. Lo más triste de la zona es que en el mapa aparece como verde pero todos los árboles están medio muertos está todo lleno de piedras y cemento. Los bares que hay en la zona son cutres, que sirven fritanga y cerveza barata a extranjeros a precio desorbitados. Yo me abstendría de la zona por completo. Lo único que merece la pena son los puestos de flores."
"https://lh3.googleusercontent.com/a-/ALV-UjU370A-AEGn0mwIaLQY4aymQDu2UbWyYcXb1phHtcLsmYykbpY=w36-h36-p-rp-mo-ba7-br100","Javier V.R","Hace 5 meses","Es una zona con un ambiente variopinto..conviven terrazas y puestos de flores con indigentes y otras personas que van buscándose la vida en una zona con mucho tránsito de gente.No es una plaza que destaque por su limpieza,sobre todo si pasas después de un fin de semana por ejemplo.El estar tan céntrica y contar con una salida de metro hace de esta zona un lugar muy concurrido,a veces demasiado"
"https://lh3.googleusercontent.com/a-/ALV-UjWXeWEXqdr5t3OlbRokb_Dhsg38mDGwuZo9JWUkx-spF0MuHs0=w36-h36-p-rp-mo-ba7-br100","Jörge","Hace un año","El vestibulo de Tirso de Molina, llamado Conde de Ramanones, data del año 1921, siendo una de las estaciones conservadas más antiguas del metro de Madrid. Está decorada por azulejos blancos y azules, enmarcado por cenefas ornamentales y destaca su gran escudo de Madrid en bronce sobre mosaico"
"https://lh3.googleusercontent.com/a/ACg8ocLq2Ky9EnDRGbw6f_jRGOUKWuO2wobOy4KzqzrFtPngSTihKQ=w36-h36-p-rp-mo-ba3-br100","Carmen Dolores Chavarri Cabrera","Hace 6 meses","La estación de metro es muy linda, y saber esa historia del cementerio, me impresiona!!! En la salida del metro tiene unas ventas de flores 💐 hermosas, variadas…"
"https://lh3.googleusercontent.com/a-/ALV-UjXpxb87mJoOUsHn4eZeuYzxAb_OCPN_9gBokUAG_vQnC44sgvbT=w36-h36-p-rp-mo-ba5-br100","Conchi Robles de la Puente","Hace 2 semanas","Encantadora entrada azulejada conservada tal cual se hizo hace un siglo."
"https://lh3.googleusercontent.com/a-/ALV-UjVCdN3MS-CDB35HxSgnfhLVvlgQntjV-S0bmxvdnCnhcCOPR1985A=w36-h36-p-rp-mo-ba8-br100","Carlos Dominguez","Hace 7 años","Muy bonito espacio público, con mucha magia y mucha mística - Sabina mediante - que ha hecho que esta pequeña plaza sea conocida en todo el mundo."
"https://lh3.googleusercontent.com/a-/ALV-UjVXqt5gq8HPdtWvG9aGOLiP8b4jHV493qCtfJFrJoZJLQOcVH1GUw=w36-h36-p-rp-mo-ba5-br100","Alberto Urosa Alcocer","Hace 6 años","De las mas antiguas del Metro de Madrid, en la linea 1, de cuando se amplio el trazado de esta linea desde Sol a Atocha. La entrada por Conde de Romanones conserva la decoración original con baldosín blanco."
"https://lh3.googleusercontent.com/a-/ALV-UjXVIJ24d759Zch_HRNLDLJw4EGRlCK09ZI4eypJWqIQsNMwEac=w36-h36-p-rp-mo-ba3-br100","Studio SLK INC","Hace 5 meses","Cuándo váis a colocar un ascensor? Tanta gente mayor, con niños, maletas y demás que necesitamos este servicio. Tengan piedad!"
