"URL","Usuario","Fecha","Reseña"
"https://lh3.googleusercontent.com/a/ACg8ocL8BGvjU_in0U4Dm1vTXsjJcitELXnebn7eE93Og87wn7ybhw=w36-h36-p-rp-mo-ba2-br100","Alejandro Fernández","Hace 8 meses","Esta línea va lenta. Los trenes pasan cada mucho. La megafonía está tan alta que molesta. He de decir que el Maps pone que pasan cada 7 minutos los findes. Pues este pasa en 13 minutos"
"https://lh3.googleusercontent.com/a/ACg8ocIdWVdz0WPy7zIHjNjOZFWSydS4WxvE2j96LIS6WrO8pf5-Cw=w36-h36-p-rp-mo-ba6-br100","Javier Muñoz Gomez","Hace 6 meses","Buena universidad donde cursar estudios superiores. Limpia y bien cuidadas las instalaciones."
"https://lh3.googleusercontent.com/a-/ALV-UjUoUVwiAh1LY-Jex3uQKe7rJVJfzs7F-iRzhfCS4bRByBs4xaKasA=w36-h36-p-rp-mo-ba7-br100","Sergio Núñez López","Hace 7 años","Parada de metro Universidad Rey Juan Carlos de Móstoles de la línea 12 de metro. Deja cerca de la Universidad Rey Juan Carlos de Móstoles."
"https://lh3.googleusercontent.com/a-/ALV-UjW-e9kG2DLPkF-N8sEmxJStAPD6P6RGbnnfhNmKyZboTVcSq2c=w36-h36-p-rp-mo-ba6-br100","M Cc (MCC)","Hace 5 meses","Es un campus amplio con buen transporte"
"https://lh3.googleusercontent.com/a-/ALV-UjU6Dot_dMm0RvW2CjWXTUIZUGrMjw53JBSQRKDvf6bleXyly21TXQ=w36-h36-p-rp-mo-ba3-br100","Tania Cami","Hace 2 meses","Me gusta"
"https://lh3.googleusercontent.com/a-/ALV-UjUYZfKR87A3lqEQ2XSPc9IHB9I7QRGofrjc1tE5FvT2bPW5j99O=w36-h36-p-rp-mo-ba4-br100","Cesar López","Hace 5 años","La parada está cerca de la universidad :o"
"https://lh3.googleusercontent.com/a-/ALV-UjWdX3tAK1ZJlSEdh8h8NGSBOAWGhVcUa-CtxrL2cSRL-XqgIQzj=w36-h36-p-rp-mo-ba8-br100","Ma Ca","Hace 6 años","Estación moderna, como todas las actuales. Solo tiene una salida. Dispone de ascensor. El vestíbulo es grande. Para estar la universidad y el hospital ahí la parada de metro queda un poco retirada, además de que para ir a esos 2 sitios tienes que subir cuesta"
"https://lh3.googleusercontent.com/a/ACg8ocL-BnDpV5aB1qdeKnDUyPCXpnOr_gpPHp5fip4SwTnGQN-aVA=w36-h36-p-rp-mo-ba4-br100","Jose Luis Cordoba Jimenez","Hace 2 años","Es un hospital magnífico, en las pruebas que me han realizado no he tenido que esperar ni 5 minutos de la hora programada y con muy buena atención, también dispone de área del paciente en tu móvil donde tienes todas tus citas y pruebas realizadas, un hospital muy eficiente."
"https://lh3.googleusercontent.com/a-/ALV-UjVlU4d8OD0q4xSOBagjKrlJuVazbmn4SBY8aS4Cd5TYCd0T7R-5Pw=w36-h36-p-rp-mo-ba3-br100","R&p Rm","Hace un año","Todos los días de universidad , sobre las 14 y20 , esta seguridad en la estación y dejan montar a todos sin mascarilla. Y me paré vergonzoso"
"https://lh3.googleusercontent.com/a-/ALV-UjUzV8Lj64fJ2ZhKvom1y0LV2MH5rreCh2ah4KSKT4wZCizYQbUMzA=w36-h36-p-rp-mo-br100","Carlos García Barona","Hace 5 años","Es una parada muy variada con bastante espacio que esta bastante cerca del IES Los Rosales, así que es muy útil también. El único problema es que hay una cuesta bastante larga hacia el mismo instituto, me gustaría que en el siguiente parche lo solucionaran."
"https://lh3.googleusercontent.com/a-/ALV-UjU635izYi8N9BLNgJ21BKy4bnz4VuVS6XAIRd87ghhf1318lVQ=w36-h36-p-rp-mo-br100","FELIX T.","Hace 4 años","EL MEJOR GOBERNADOR QUE HEMOS TENIDO SE LLAMA "" FRANCISCO FRANCO"" CON LOS TRABAJADORES NO PAGÁBAMOS IMPUESTOS , TENÍAMOS TRABAJO INDUSTRIA DE TODO TIPO POR TODO EL PAÍS MINERÍA , FACTORÍAS, PROTECCIÓN EN LAS FRONTERAS, LOS FUNCIONARIOS ESTABAN AL SERVICIO DE LA SOCIEDAD, DESDE QUE ESTE BARANDAS LLEGO FIRMO LEYES QUE LOS POLÍTICOS COMO SICAV EN DONDE LOS BILLONARIOS PAGAN EL 1% FIRMO LEYES COMO LAS ETTS Y CONTRATOS BASURA CUANDO FRANCO MURIÓ NOS DEJO UN PAIS SIN DEUDAS Y DE LOS MEJORES ECONOMÍAS DEL MUNDO DESPUÉS DE MAS DE 40 AÑOS DE REINADO TENEMOS UN PAÍS DESINDUSTRIALIZADO  TESORERÍA Y HACIENDA EMBARGA BIENES SUELDOS ARRUINANDO A LAS CLASES MEDIAS Y TODO CON DECRETOS REALES ASÍ QUE SI ESTA PETICIÓN ES DE LEY Y DE JUSTICIA LA UNIVERSIDAD SE DEBERÍA LLAMAR DEL ""GENERALÍSIMO FRANCO "" Y QUE LA GENTE SEPA LO  QUE FRANCO IZO POR LA SOCIEDAD"
"https://lh3.googleusercontent.com/a/ACg8ocKzwve0ldvEmQDIC9j36dVNuNmsNi4bGnM7k0RolSrE3BFHFg=w36-h36-p-rp-mo-ba5-br100","Samuel Roldan","Hace 2 años","Estación relativamente nueva. Ubicada en la línea de metro metro-sur. Muy cerca de la universidad y del hospital de Móstoles. La estación está limpia y ofrece ascensores para acceder"
