"URL","Usuario","Fecha","Reseña"
"https://lh3.googleusercontent.com/a/ACg8ocK4fxy209tFpWYas9F9s7kPNGG2YRG4LtwKXQNGHMVvYAkijQ=w36-h36-p-rp-mo-ba4-br100","Francisco Jose Carro Martinez","Hace un mes","Tiene tiendas y restaurantes y un estanco aunque aparcar sería en las calles adyacentes a Bravo Murillo"
"https://lh3.googleusercontent.com/a-/ALV-UjUUgT5BsJM05ohtpcUY212u2eW813ZLJcvJpVrQAc4gBeKfbVrL=w36-h36-p-rp-mo-ba6-br100","Jonathan Hernández","Hace 6 años","Estación muy tranquila en Bravo Murillo, cerca de Plaza Castilla y de la zona comercial. A pesar de ser una estación que es bastante transitada no dispone de ascensores o escaleras mecánicas para el acceso de minusválidos. Por todo lo demás está bastante bien."
"https://lh3.googleusercontent.com/a-/ALV-UjVd5nfm5GjmesDTAQEwzgmRYcUzjV8g8kaOJjArvFrjhqWVVOJW_A=w36-h36-p-rp-mo-ba6-br100","Sandra Ro.O","Hace 5 años","Es la línea 1 y esta muy cerca de Pza.Castilla.Al salir de la estación esta la calle Bravo Murillo y un montón de tiendas.Esta el Lidl y Mercadona"
"https://lh3.googleusercontent.com/a/ACg8ocJVJZVM9vOphUdZ7SYGefAWRp0fcuhb7VUSpfcTfOctvY1FfA=w36-h36-p-rp-mo-ba4-br100","Raquel Escorial","Hace 3 semanas","Me  ha gustado mucho  el sitio"
"https://lh3.googleusercontent.com/a-/ALV-UjWr9YnR7bmP-L7wygg7fPC1wW1hSTx5R1eN6XzD6JE4kFe2kEXzUQ=w36-h36-p-rp-mo-ba3-br100","Vielsa Sabina Montiel Rios","Hace 8 meses","Es un barrio muy bonito limpio co varios comercio tiene un gran supermercado es un buen barrio"
"https://lh3.googleusercontent.com/a-/ALV-UjV8KrA3D_KHA_ctBbsXKh1fY7NyyrQ4-fD0fvj23d3bSBB7CV_EVQ=w36-h36-p-rp-mo-ba4-br100","Maria Gascon","Hace 3 años","Allí encuentras libros de textos nuevos y usados en buen estado de primaria y de la Eso"
"https://lh3.googleusercontent.com/a-/ALV-UjUYyeu0bSlQ0VmK7aT6AbHm0G5RP7MKV6Q-QjfR8Hq2V1rLY7M6=w36-h36-p-rp-mo-br100","Liliya RV","Hace 3 años","La seguridad y el personal pan todo el día en la calle fumando Domingo día 13/06/2021 alrededor de las 11:30 Desde la calle diciéndome ambos que mi perro tiene que llevar bozal aunque yo le dije que no voy a viajar ni entrar Que estoy buscando una niña que se ha perdido con las salidas Pues dice: “señora que la vida es así de triste, llame a su niña o ponga bozal al perro” Ojito yo sin entrar a las instalaciones de metro y me lo dice fumando Que asco Póngase a trabajar anda y léase bien las instrucciones Que para eso les pagamos"
"https://lh3.googleusercontent.com/a-/ALV-UjWQd4iJnC_Iir3bieeibfPKtyTCk0lLiSeGzpZyrrAdB5mBvIU=w36-h36-p-rp-mo-ba7-br100","Ignacio Baena Perez","Hace 7 meses","Una estación pequeña con poco espacio en la salidas, techos bajos y poco adaptada"
"https://lh3.googleusercontent.com/a-/ALV-UjVz-35b1SeZzpmbIOwaevoa55E_ypfK5kQt4u_hxYOErfp6Zc0=w36-h36-p-rp-mo-ba2-br100","Nekane Plano","Hace 5 años","Fui a Madrid y tuve que coger ese metro como vengo de una ciudad sin metro pedí ayuda a los de seguridad  y he de decir que una pésima atención no me ayudaron y se hicieron los orejas. Al final me ayudó un chaval"
"https://lh3.googleusercontent.com/a-/ALV-UjU6tDOFeM2Ia4bD1i95lRz0NGH-ANdn6MW48aDJ8LiI17CUoE-0=w36-h36-p-rp-mo-ba7-br100","K","Hace 2 años","Estacion accesible para personas con movilidad reducida e invidentes ya que posee carril central marcado."
"https://lh3.googleusercontent.com/a-/ALV-UjVmUkCEw8goQ9mFkfnBHDZPkPbsjc4XOhapC4MmtFeMpSgGNig=w36-h36-p-rp-mo-ba5-br100","pedro jesus pato borrella","Hace 2 años","Centro Público para personas con problema de salud.El Ayto de Madrid ofrece este servicio, un saludo."
