"URL","Usuario","Fecha","Reseña"
"https://lh3.googleusercontent.com/a-/ALV-UjU596MgYDN6mkCWkDTtP4Dry5NX_dwlLhxVnvWuelrkZxyrv4M=w36-h36-p-rp-mo-ba4-br100","Diego","Hace 10 meses","Valdebernardo, el barrio que quería ser modelo, pero tristemente no lo consiguió aún estando bien dotado de servicios públicos, metro, zonas verdes, tiendas.. incluso un centro comercial (ya prácticamente con la mitad de los locales cerrados). Como muchos sabrán, está herido de muerte desde el día que nació, primero por el caso PSV, la promotora de viviendas sociales promovida por UGT que estafó a muchos vecinos. No contentos con esto, en varias parcelas de viviendas públicas, metieron a realojados y gente indeseable que a día de hoy, los que pagan (no todos los hacen), es una cuantía irrisoria. Estas parcelas son la jungla y en alguna de ellas el ayuntamiento les llegó a clausurar los garajes tapando las entradas. Como curiosidad, he llegado a ver coches de alta gama como un Maserati en los que siguen abiertos. Podéis buscar los sucesos (Robos, alunizajes, ajustes de cuentas..) dejando de lado la gente que diariamente viene ""a pillar"", la suciedad y problemas de convivencia. Son sus costumbres y hay que respetarlas, por lo que queda comprobado, que 20 años después, ni se integran ni lo van hacer en un futuro. Para concluir, tenemos varias calles de Valdebernado con nombres de lideres Socialistas como Indalecio Prieto, que mas allá de los crímenes que cometieran en la Guerra Civil, no estarían muy orgullosos del trato que se le ha dado a los vecinos de clase obrera de este barrio."
"https://lh3.googleusercontent.com/a-/ALV-UjWp0JSZTpXMzuxwo1T8A4xCDRRFvuzI5ic1B22b-6xLZig9b747Hg=w36-h36-p-rp-mo-ba7-br100","Victor Iglesias","Hace 6 años","Tiene una amplitud de espacios bestial y un suelo que podrías comer en él. Pero yo no lo haría."
"https://lh3.googleusercontent.com/a-/ALV-UjU9dxFVdms5tbVk6HGRsS7aLTl-h5YAr4QPXXT1p489IBXbUo_2=w36-h36-p-rp-mo-ba5-br100","Imperdible","Hace un año","Una estación muy interesante con un elemento perfecto que la da vid Ulla ⚡️"
"https://lh3.googleusercontent.com/a-/ALV-UjUFW-HeXBSHcJPR1m-g79PohAGp4Cpa4r2nF9GGUFkl4uMSZV7Nzg=w36-h36-p-rp-mo-ba4-br100","Beatriz SC","Hace 6 años","onito barrio si, pero difícil la convivencia, muy sucio sobre todo al final del barrio cerca de calle pergamino. Esto es lo que tenemos todos los días en nuestras calles. Es un asco, olores, suciedad, ruidos"
"https://lh3.googleusercontent.com/a-/ALV-UjUzWODNW_Q8jhnE0EA1o7hN2Iu1ClSsIt6VArtHQlSDikoODJWe=w36-h36-p-rp-mo-ba4-br100","ohquenick","Hace 6 años","Es una estación de metro muy limpia y ordenada a la que los trenes suelen llegar con rigurosa puntualidad. La atención al público es excelente, el personal ayuda con los trámites de sacar los billetes y los abonos con mucha empatía y cordialidad. Los vigilantes son muy amables e incluso saludan si te conocen de verte por allí. Es una suerte contar con una estación de metro así en el barrio. Este tipo de cosas son las que necesitamos la gente común y corriente para ir a trabajar o para ir al cine y esas cosas."
"https://lh3.googleusercontent.com/a/ACg8ocKd9SYOrJ3h--qUIU-2H_aGHXcnM5Ebdh5ciQolNvmJ7yaUiw=w36-h36-p-rp-mo-ba4-br100","Tomás Antonio Patricio Arrimadas","Hace 7 años","Este barrio cada día está más deteriorado en aceras, zonas verdes, los bulevares abandonados. En algunas zonas la basura campa a sus anchas, y no es por falta de limpieza, pero. Una pena"
"https://lh3.googleusercontent.com/a-/ALV-UjUrxF0Wy1yHpby5N44qikGVGuOxwWpD0enXJ_wcDiwfKluS9u6Y=w36-h36-p-rp-mo-br100","Poppi B","Hace 4 meses","Excelente parque 😊…"
"https://lh3.googleusercontent.com/a-/ALV-UjV8LGTDngQ15fUJRXjRj0tDMghD4DHLxrhIA05bDMotW_zU39pO=w36-h36-p-rp-mo-br100","Pedro Antonio LOPEZ","Hace 7 años","Para los ""esquisitos"" recordar que el barrio en su origen nació de un desarrollo urbanístico de viviendas VPO mayoritariamente al amparo de la fórmula de cooperativas de viviendas promovidas por los sindicatos de clase CCOO (Vitra) y UGT (PSV), con esta última se tambalearon los cimientos del sindicato... También encontraron hueco las promociones privadas de viviendas libres. Hoy día es un barrio consolidado, cosmopolita, socialmente integrador, con todos los servicios sociales, públicos y privados, sanitarios, educativos, deportivos, tiendas y servicios, bien comunicado, metro, bus, M40. Con el tercer parque y forestal de Madrid. Podría extenderme mucho más pero no quiero ""aburrir"". En resumen, barrio obrero y clase media, los que quieran algo más, que se rasquen el bolsillo. Hasta ahora yo estoy muy a gusto en Valdebernardo."
"https://lh3.googleusercontent.com/a-/ALV-UjVXgLyCcL8Dh9B2v41P8GFHy5a-eoEDNuMr_UBg0t8yloV6hPAg=w36-h36-p-rp-mo-ba4-br100","Maty Hurtado","Hace 7 años","Yo voy a una clinica dental allí, a MYODENT Instituto Odontológico. Me encanta el barrio y la buena comunicación que tiene y os recomiendo la clínica dental que está en Cordel de Pavones 16A Local ,está en una plaza que se llama Juan Carlos Onetti detrás de la parroquia.Son grandes profesionales y tienen servicio de guardería para los mas peques."
"https://lh3.googleusercontent.com/a/ACg8ocK50tGaCq3JJrq7FPX-ZS9-lZKUU5CGwxmWbYb9OX0Rmu2bHw=w36-h36-p-rp-mo-ba6-br100","Manuel Sarmiento Cruz","Hace un mes","Una estación normal"
"https://lh3.googleusercontent.com/a-/ALV-UjUALMR4LI3cJUWmHdpCOcePhiQyezNK40azqfT4RwM6DWTzlc6M=w36-h36-p-rp-mo-ba5-br100","Carlos González Duce","Hace 7 años","Parada muy bien ubicada y bien localizable, los accesos son muy buenos y la estación por dentro es muy espaciosa y limpia."
"https://lh3.googleusercontent.com/a-/ALV-UjX1Os08YAjG0IPDPLij1lbQswBDutPJN5Mx6Ol8C-MCC6eEjZAz=w36-h36-p-rp-mo-ba3-br100","I R","Hace 3 años","Tiene dos accesos . Uno de ellos con ascensor ."
"https://lh3.googleusercontent.com/a-/ALV-UjVwJjIAaiWvo-O3eB0vfv6Csj9m-iJGJnrQHu5J_VItLhzY_hAQww=w36-h36-p-rp-mo-ba3-br100","Ana María Romero Dussan","Hace un año","Tienen variedad de productos y el servicio es rápido y bueno"
"https://lh3.googleusercontent.com/a-/ALV-UjXVnsLWTgul6N3OotQhtitdL5L40aia4hzMU1EsaF8scnL1lSpv=w36-h36-p-rp-mo-ba4-br100","thayanna anselmi (thayadesigner)","Hace 3 años","Tranquilo lugar y agradable para perros"
"https://lh3.googleusercontent.com/a-/ALV-UjWU9MI2IUlqiBO876ZRBXiqRfks0r6XfLCsbKqn8rq-seYRUAbXCw=w36-h36-p-rp-mo-ba4-br100","Javier Herrero Sánchez","Hace 7 años","La parada es en un barrio buen comunicado y con amplia variedad de servicios."
"https://lh3.googleusercontent.com/a/ACg8ocILVlN1rk_SSYz7VhzoXss1KrFhWOPd1oVJX8rWdAfKWxFBMg=w36-h36-p-rp-mo-br100","luiska iyes","Hace 12 años","tiene dos bulevares que son preciosos, rodeado de  parques. el centro comercial es bastante malo."
"https://lh3.googleusercontent.com/a-/ALV-UjX72CsTWqqif_IlkSjD1Tk8DU9jEh5nsprSUHMmzGMbm57UeZZA=w36-h36-p-rp-mo-ba2-br100","Juan Jose Quilon Fernandez","Hace 2 años","Barrio tranquilo y bien comunicado"
"https://lh3.googleusercontent.com/a/ACg8ocJzedv2pkCexPDRa_aXUiCHAdobY2Iknvc7cE152yNoVryOag=w36-h36-p-rp-mo-ba5-br100","Antonio","Hace un año","Muy bien"
"https://lh3.googleusercontent.com/a-/ALV-UjXLfn_FvGm7MLr8OAIns6bvOmMq3ffPE7yazf4j_siCXFeAExbx=w36-h36-p-rp-mo-br100","David Garcia","Hace 2 años","Estación de metro muy tarde accesible"
"https://lh3.googleusercontent.com/a/ACg8ocIZMEVo-bc45nNL0ExSNnRzVrM2hFfsT33PyZdv8Lb49cHA=w36-h36-p-rp-mo-br100","Samara Salazar Jiménez","Hace 7 años","Uno delos mejores barrios de madrid"
"https://lh3.googleusercontent.com/a-/ALV-UjVFQTCWOU2OGDJ7CLjm3c2Uut-mNwI6o_v85KkRX4o1XYuJun7c=w36-h36-p-rp-mo-br100","HAROLD ROBERTSON","Hace 3 años","Parque Valderbernardo increible!!!!!!"
"https://lh3.googleusercontent.com/a-/ALV-UjX2hCjRr1RbQh2mHIpidb3TH_SHbe6Yv6a6Y7Gu9ymlxrXg6nfVPg=w36-h36-p-rp-mo-ba3-br100","pepe roder","Hace 5 años","Muchos étnicos  que no respetan casi nada"
"https://lh3.googleusercontent.com/a-/ALV-UjUULMq6nhyDJLxmEZQcCs4kWpMZmRNsfKN3Ngw_PE1NGHim2cDNiw=w36-h36-p-rp-mo-ba2-br100","Jesús Manuel Gutiérrez Sánchez","Hace un año","Bonito LUGAR"
"https://lh3.googleusercontent.com/a-/ALV-UjXl9Tgk9U1a97wDEetGpKKjuQpygIywSACkWd34_dzBlCQBZfn-=w36-h36-p-rp-mo-br100","Miguel Angel Molina Rivero","Hace 6 años","Estará súper bien la estación"
"https://lh3.googleusercontent.com/a-/ALV-UjXcxHKje4ScOe81TicB9TxKsG_w5X-lPxUeI0IM6Stwk5fkOqBofg=w36-h36-p-rp-mo-ba5-br100","SASEL","Hace 6 años","Buen barrio de Madrid"
"https://lh3.googleusercontent.com/a-/ALV-UjU_RZ53C0aFPTWpNRkmD636jCyV_gpW6CDFR5XGNHtMYYqcv-T8=w36-h36-p-rp-mo-br100","The MarioX 13","Hace 6 años","Esta muy bien comunicado"
"https://lh3.googleusercontent.com/a/ACg8ocK_SDtFhgiLjx9gUVZsBVo36s8Frvf9Lr5ZOd0DCm6RGZ0KVQ=w36-h36-p-rp-mo-ba3-br100","Jose","Hace 5 años","acaba en nardo"
