"URL","Usuario","Fecha","Reseña"
"https://lh3.googleusercontent.com/a/ACg8ocJdvhUTPmNKmsKNGnTeKrvgUJACJg-BW20m4boLuvKAiwUkJQ=w36-h36-p-rp-mo-ba2-br100","jose antonio sanchez","Hace 2 años","El mejor polígono de Madrid, por su buena comunicación por M 40 y M 50. Super cerca de la A6 y A5. Estás en 15 minutos en el centro de Madrid Plaza de España."
"https://lh3.googleusercontent.com/a/ACg8ocITIdhEw8QAQAWAJ3lqV_Kk-kfTKB-5aCROnIpPLm2CEhYwHA=w36-h36-p-rp-mo-ba4-br100","GLORIA STELLA MANCILLA PAZ","Hace 2 años","La estación es limpia, puedes cargar tu abono de transporte. Pero hay rangos horarios en los que el tren se demora demasiado."
"https://lh3.googleusercontent.com/a-/ALV-UjV2JnJXnJw00rpsjsTQvbFc2HjlIFO_VLCZJPtxBEmcozEyBtTG3g=w36-h36-p-rp-mo-ba4-br100","Daniel GC","Hace 3 años","Mal servicio de transporte publico en Madrid. Largas esperas a un tren minúsculo que te conduce al destino a alto precio #malo #metromadrid #Madrid"
"https://lh3.googleusercontent.com/a-/ALV-UjU6C4zC2iYLB5ilGZBjU6LetYymji6QOuYSUEBnqszn1DxnmSC3zg=w36-h36-p-rp-mo-ba3-br100","Paloma","Hace 3 años","Ten cuidado cuando vayas con el coche porque es habitual encontrarte clavos en las zonas de aparcamiento."
"https://lh3.googleusercontent.com/a-/ALV-UjUi9V1WsYHU8ew0KQ9Xi3Up2lIMhyvt1avQxEX2mPk92Jleihmc=w36-h36-p-rp-mo-ba5-br100","YURY GONZALEZ","Hace un año","Muy lejos, caluroso y muy poco transporte"
"https://lh3.googleusercontent.com/a/ACg8ocL6j3fUjdHjzglCFPCFitAnCJ2BggebpG8jNROfZWVFbqChuA=w36-h36-p-rp-mo-ba4-br100","Rocio Rodrigo Rubio","Hace 6 años","Ventorro del Cano es una estación del servicio de metro ligero 3 en monteprincipe en Madrid España"
"https://lh3.googleusercontent.com/a/ACg8ocK3c7PuKHbcTc-BPjy84RX7FPNLftF46WbNkpld8FD6Gg0Njh_Z=w36-h36-p-rp-mo-ba6-br100","Zanther Bull","Hace 6 años","Más tranquilo que otros sitios para no esperar grandes colas"
"https://lh3.googleusercontent.com/a-/ALV-UjUi2LCzzJGwP2XUSixucz-Vwf-9LS2wT3y4_geZKu5rsNGNU7trWg=w36-h36-p-rp-mo-ba3-br100","Javier Carballo","Hace 6 años","La afluencia de tranvía el fin de semana es muy escasa."
"https://lh3.googleusercontent.com/a-/ALV-UjUh2nKIEPVwtwVyCScPvukm7rWiS8NKrUNOwwHAZa5a9rfziyIv=w36-h36-p-rp-mo-ba5-br100","Martin M","Hace 11 meses","Bien"
"https://lh3.googleusercontent.com/a/ACg8ocJb463pSyTosX7SqL_84NbIyFutBnXS-4l1TLDxLKMr96ZyVw=w36-h36-p-rp-mo-ba3-br100","Laura Villar Martin","Hace 7 años","Lo malo de esta parada y del resto, es que no acepta billetes"
"https://lh3.googleusercontent.com/a/ACg8ocIp1PqSVe4IW8SuRdHHMHbtEtCyL3W14zkoaHFvCXub9OQ3fw=w36-h36-p-rp-mo-br100","Jesus Espada felipe","Hace 2 años","Auténticos profesionales!!!!!!"
"https://lh3.googleusercontent.com/a-/ALV-UjWPnMY63M0G4P1hkpbC52r5VA7KpthcIVbCCK3d2VsBxMBRR6s=w36-h36-p-rp-mo-ba3-br100","Fernando Zahonero","Hace 7 años","Restaurante Los Segovianos, Ventorro del Cano"
"https://lh3.googleusercontent.com/a/ACg8ocKYFPYhIlyL3rx120qvtc5vQOq7InmIMIHKM1ard0oC3P7meA=w36-h36-p-rp-mo-ba6-br100","SANDRA Hernanz","Hace un año",""
"https://lh3.googleusercontent.com/a/ACg8ocJBnVK1UJMIKOed32W-Cn4anWGdXujuMcsah01etSYJtaw7dQ=w36-h36-p-rp-mo-ba8-br100","Francisco","Hace 2 años",""
"https://lh3.googleusercontent.com/a-/ALV-UjU1M6EQ3eE8fk4yLb_02TLYpMBugODeJ1jYPK9uoD7nrQ20w4Zm=w36-h36-p-rp-mo-br100","TuRezta","Hace 3 años",""
"https://lh3.googleusercontent.com/a-/ALV-UjU3VUqPYTYpl3r2YhpfVmA2pv6svVhacJO8HJJNPMfLmxJqKcCY=w36-h36-p-rp-mo-br100","Joaquin Perez","Hace 4 años",""
"https://lh3.googleusercontent.com/a-/ALV-UjWpeAIlFHLL8xFKT1uY7GEziBTmlTCZr_ynlTkSsQ11e93ybmbyqQ=w36-h36-p-rp-mo-ba5-br100","cafes 915","Hace 6 años",""
"https://lh3.googleusercontent.com/a/ACg8ocIXB0Mo28I6nTmjwSRmQPBRGYJH6_y96zxMeN3g0ooDp6sf8Q=w36-h36-p-rp-mo-br100","Nicolas Castro","Hace 7 años",""
"https://lh3.googleusercontent.com/a/ACg8ocJNYEPjQgzT6BSqhmfBkWun6E7RyM0JwHfxxIHqzxic_mYGuw=w36-h36-p-rp-mo-br100","Alfredo Hervas","Hace 7 años",""
