"d4r55","RfnDt","rsqaWe","wiI7pd"
"Gustavo","Local Guide · 112 reseñas · 42 fotos","Hace una semana","La verdad que esperaba más. Viajamos con un niño y la recepción en el mostrador de Air Europa fue pésima. Las indicaciones al momento de hacer el control de equipaje fue un caos y autoritaria y nadie te ayuda sabiendo que estaba con un niño. La limpieza es muy buena pero tuvimos que esperar sentados en el piso del sector T1 B  porque no hay sufrientes asientos disponibles para todos. Parece más un shopping que un aeropuerto."
"S P","Local Guide · 122 reseñas · 445 fotos","Hace un mes","La entrada a la terminal 2 está próxima a la salida del metro. El control de aduanas un poco pijoteros con los líquidos, no todos tenemos malas intenciones, aunque por otro lado se entiende porque es para protección."
"Ivonne David","187 reseñas · 1.050 fotos","Hace 9 meses","Terminal 2 llegadas es adecuado a la cantidad  de vuelos dentro de Europa. Tiene espacio, asientos suficientes y lugares para comer algo mientras se espera"
"Netrufo nfo","Local Guide · 522 reseñas · 3.354 fotos","Hace un año","La terminal está bien ordenada y señalizada pero veo que falta asientos, los que hay no son suficientes, las pantallas son algo pequeñas quizás se solucionaría poniendo más paneles y que la letra sea más grande."
"Angel Hernandez","Local Guide · 41 reseñas · 3.193 fotos","Hace un mes","Es el antiguo aeropuerto de Barajas, pero mucho más accesible y humano que la T-4. Ahorras mucho tiempo cuando tiene que tomar un vuelo sobre la T4. Por no contar el tiempo de espera de las maletas en la T4, muchísimo más alto. La T4 es mucho más nu va e impresionante, pero la T1-T2-T3 es mucho más funcional"
"Alex Mufasa","4 reseñas","hace 6 días","El peor aeropuerto para pasar la noche, todos los bancos tienen abrazaderas, con lo que no te puedes tumbar. A las 2am trabajadores de la limpieza despertando a todo el mundo, nadie entendía nada, todos cambian de sitio para dormir algo y coger ese vuelo de las 5am algo descansados. Encontramos otro espacio frío para tumbarnos, 4am y la trabajadora del Burguer King despertando a todo el mundo también. Aeropuerto inhumano."
"C E","Local Guide · 213 reseñas · 540 fotos","Hace 4 años","Quizá es demasiado grande, y mal distribuido, al menos deberían poner más cintas mecánicas que ayude a facilitar el camino. Tiene todo tipo de servicios y tiendas, ahora tiene incluso un salón de manicura. Hay todo tipo de restaurantes pero son todos muy caros, es algo que no se entiende, tendría que haber todos los precios."
"Joel CocotePinel-Fereol","Local Guide · 293 reseñas · 374 fotos","Hace un mes","Muchos vuelos y destinos. Muchas tiendas. Pero las instalaciones/ infraestructuras necesitan reformas y pinturas para el exterior. Eso mejoraría la imagen de estas terminales!"
"Miguel Meyer","Local Guide · 421 reseñas · 1.916 fotos","Hace un año","Desde que tengo uso de razón, este aeropuerto (y en concreto, la Terminal 2), me ha hecho sentir como el protagonista de la película ""Up in the air"". Y una lástima que ya no esté la Sala VIP de Spanair... ¡Qué tiempos!"
"thermooj","Local Guide · 206 reseñas · 1.368 fotos","Hace un año","La T1-2-3 son ya bastante antiguas, están remodeladas , pero se nota que no están preparadas para semejante flujo de personas, la T4 está mejor acondicionada"
