"d4r55","RfnDt","rsqaWe","wiI7pd"
"Kino Filipino","Local Guide · 160 reseñas · 16 fotos","Hace 7 meses","Es una parada de metro amplia, muy limpia y nueva con lo que es muy agradable usarla como usuario. Una parada antes es el maravilloso parque de el capricho que es una visita obligada en Madrid."
"Arturo Bird","Local Guide · 87 reseñas · 327 fotos","Hace 5 años","Estación terminal de la linea 5 de metro amplia y bien ventilada, dotada de escaleras mecánicas y varios ascensores. Cerca se encuentra el parque de El Capricho o el parque de Juan Carlos I"
"Oreste Jarquín Torrez","Local Guide · 11 reseñas · 17 fotos","Hace 2 meses","Es una estación no muy concurrida, la parada de autobús está justo saliendo de la estación"
"David Reyes Jimenez","Local Guide · 320 reseñas · 2.040 fotos","","Se aparca muy mal... Cerca del metro imposible ..te tienes que ir a .10min andando detrás dela estación hacia los chalet.. es una zona residencial que dispone de poco aparcamiento casi todo de. Superficie... Y muchos  bloques tienen su aparcamiento privado... Zona de. Residencia de muchos pilotos y azafatas x su prox8midad con el aeropuerto ."
"José Julio Melgares","Local Guide · 2.806 reseñas · 12.351 fotos","Hace 7 años","Estación cabecera de la línea 5. Tiene un solo acceso/salida que cuenta con escaleras y ascensor."
"ana Jayme Bravo","Local Guide · 364 reseñas · 849 fotos","Hace 9 meses","La alameda de osuna es un buen pueblo para vivir esta buen comunicado tanto por carretera como por medios de transporte"
"Santiago Salso López","Local Guide · 144 reseñas · 15 fotos","Hace 9 meses","Un barrio muy tranquilo de gente normal y de todas las clases sociales."
"José Luis Molinari","Local Guide · 633 reseñas · 1.304 fotos","Hace 7 años","Cómoda y espaciosa estación en el barrio de La Alameda de Osuna, muy cerca de las ruinas del castillo, del Parque El Capricho (donde está también la próxima estación con el mismo nombre), una caminería y andando un poco o tomando un bus de EMT se puede llegar rápido al Parque Juan Carlos I. Accesibilidad para sillas de rueda"
"MaiRob Ganas","1 reseña · 5 fotos","Hace 2 años","Son patatas 2 salsas del bar El Asador de pollos en la Alameda de Osuna,Madrid"
"Javier Miranda Jiménez","Local Guide · 262 reseñas · 124 fotos","Hace 2 años","Última estación de la línea cinco de Madrid. Hace referencia a los duques de Osuna."
"kchi paez","Local Guide · 280 reseñas · 370 fotos","Hace un año","Cómo barrio está bien como estación de metro apartada de mi. CAsa...y tiene poco servicios..."
"Maria Evelyn Rodríguez","7 reseñas · 227 fotos","Hace un año","Es un lugar acogedor se puede pasear bonitos parqués y muy tranquilo y seguro"
"Carlos Berceruelo","Local Guide · 790 reseñas · 1.103 fotos","Hace un año","No dejar de visitar el parque de El Capricho (sábados y domingos)"
"Félix Díaz Castaño","Local Guide · 242 reseñas · 978 fotos","Hace 3 años","Muy bonito. Tiene mucha zona verde y no hay demasiada gente."
"Lucas Ionica","Local Guide · 58 reseñas · 40 fotos","Hace 2 años","Muy bien, pero sigo esperando la ampliación al aeropuerto"
"FLASH MOBIL DISTRIBUIDOR martinez ruidiaz","Local Guide · 33 reseñas · 52 fotos","Hace 11 meses","Estación sin complicaciones para circular fácil acceso"
"Roberto Anthony Azorza Diaz","Local Guide · 464 reseñas · 509 fotos","Hace 7 meses","Como todos los metros. Regular."
"Alejandro Flores","17 reseñas · 15 fotos","Hace 7 años","Es una vaina de otro mundo. Limpio , amplio , bonito, acceso para discapacitados... En la Alameda de Osuna tenía que ser"
"MC Dalla Lasta","Local Guide · 109 reseñas · 57 fotos","Hace 7 años","Tranquila y limpia. Además es accesible para carritos y sillas de ruedas con ascensores además de escaleras mecánicas hasta la calle."
"RayGolg Legend","Local Guide · 25 reseñas","Hace 2 años","Es tranquila pero algo apartada de Madrid."
"Alonso QL","Local Guide · 161 reseñas · 44 fotos","Hace 6 años","estacion de metro situada como cabecera de la linea 5 de metro situada en pleno barrio de alameda de osuna y muy cerca del parque el capricho que esta a una estacion"
"Vecino Valdebebas","Local Guide · 81 reseñas · 94 fotos","Hace 7 años","Céntrica parada en la Alameda de Osuna. Mejor forma de llegar al centro de Madrid. Limpia y accesible."
"Mariano Eret","Local Guide · 23 reseñas · 3 fotos","Hace un año","Tal vez la mejor urbanización de Madrid."
"Carlos González Duce","Local Guide · 337 reseñas · 240 fotos","Hace 7 años","Terminal de metro muy bien situado en medio de una gran avenida con facilidades de acceso."
"Soledad","Local Guide · 114 reseñas · 18 fotos","Hace 10 meses","Esta muy bien"
"Adrián López","Local Guide · 183 reseñas · 126 fotos","Hace 7 años","Nuevo, amplio, accesible, limpio. No se qué más pedir a una parada de Metro"
"Eduardo","Local Guide · 313 reseñas · 120 fotos","Hace 2 años","Una estación buena ordenada y limpia"
"Javier VII Lopez","Local Guide · 66 reseñas · 76 fotos","Hace 3 años","Me parece un lugar bastante tranquilo"
"Gladys Espinola","Local Guide · 66 reseñas · 3 fotos","Hace un año","Bien una estación más!!"
"Roberto","36 reseñas","Hace 5 años","Estación de metro llena de pises por la noche, huele fatal"
"Ernesto Gonzalez Franco","Local Guide · 159 reseñas · 3 fotos","Hace un año","Bien y buenas instalaciones"
"Emilio Márquez Espino","Local Guide · 421 reseñas · 1.941 fotos","Hace 7 años","Es la última parada de la línea 5 (verde) en Madrid."
"nacho albert","Local Guide · 276 reseñas · 22 fotos","Hace 6 años","Suele funcionar con normalidad, como el metro de Madrid en general"
"David Burgos","Local Guide · 122 reseñas · 178 fotos","Hace 7 años","Parada de metro sin cobertura telefónica."
"Nancy Mondon","Local Guide · 291 reseñas · 3.798 fotos","Hace 3 años","Es bonito. Tranquilo."
"fer fuente","Local Guide · 958 reseñas · 70 fotos","Hace un año","Buenas estación de metro."
"Un opinante delirante","Local Guide · 2.051 reseñas · 6.870 fotos","Hace 3 años","Magnifica estacion, como todas"
"Martin González","Local Guide · 99 reseñas · 340 fotos","Hace 2 años","Gran sitio"
"Alvaro G","Local Guide · 12 reseñas","Hace 8 años","Una de las mejores estaciones de Metro"
"Sultan Mirza","Local Guide · 434 reseñas · 1.818 fotos","Hace 4 años","Estación tranquila en un barrio tranquilo. Nada para comer limpio. Fíjate en el techo de la estación."
"gutmiko","Local Guide · 502 reseñas · 607 fotos","Hace 2 años","Si desea ahorrar algo de dinero para llegar al aeropuerto, simplemente salga de esta estación. Luego camine unos 20 minutos hasta la terminal de salidas. Es más barato que coger la otra línea directamente al aeropuerto."
"Manfred Bopp","Local Guide · 511 reseñas · 801 fotos","Hace 5 meses","Es solo una estación de Metro.."
"Roberto Carlos","Local Guide · 55 reseñas · 56 fotos","Hace 9 meses","Cómodo sin contratiempos gracias a Dios"
"Bronisław Walczak","Local Guide · 314 reseñas · 45 fotos","Hace 2 años","Nueva estación de metro en buen estado."
"Andrii Fonin","Local Guide · 542 reseñas · 2.488 fotos","Hace 6 años","Cómodo acceso al centro de Madrid"
"Ivan Popovskihh","Local Guide · 440 reseñas · 611 fotos","Hace 6 años","No es un buen hotel para 4 estrellas."
"alvaro gonzalez","Local Guide · 3 reseñas · 2 fotos","Hace 2 meses",""
"Milene Abdo","Local Guide · 10 reseñas · 25 fotos","Hace 2 meses",""
"jose luis marcos romero","Local Guide · 7 reseñas","Hace 2 meses",""
"Santiago Suárez Leira","Local Guide · 135 reseñas · 153 fotos","Hace 5 meses",""
"José Luis Sanz","Local Guide · 110 reseñas","Hace 5 meses",""
"R M L","Local Guide · 269 reseñas · 2.922 fotos","Hace 7 meses",""
"Jesús Bernal Ricardo","Local Guide · 16 reseñas · 137 fotos","Hace 7 meses",""
"Johann Fischl","Local Guide · 335 reseñas · 686 fotos","Hace 7 meses",""
"Carlos Garcia","Local Guide · 6 reseñas","Hace 7 meses",""
