"d4r55","RfnDt","rsqaWe","wiI7pd"
"JAMV 1971","Local Guide · 273 reseñas · 1.219 fotos","Hace 9 meses","Las escaleras mecánicas de todo Madrid que mas he visto estropearse. Lamentable vuelto a editar la reseña, después de tanto tiempo...y como siempre, las escaleras estropeadas. Las he visto cambiar durante todo este tiempo por lo menos dos veces enteras, y así siguen."
"Ma Ca","Local Guide · 1.248 reseñas · 21.832 fotos","Hace 6 años","La estación es bastante amplia y moderna. Comunica con la estación de Renfe de Alcorcón Central. La estación suele estar siempre limpia. Y el personal es amable y atento, te ayudan sin problemas, incluso los vigilantes aunque no sea su función."
"Marta","Local Guide · 554 reseñas · 1.950 fotos","Hace 4 años","Se encuentra junto a la estación de Renfe ""Alcorcón Central"", está bien ubicada y el metro pasa cada pocos minutos. No tiene baños públicos."
"Совине Совиння","Local Guide · 19 reseñas · 2 fotos","Hace 2 años","Por la mañana siempre va mal. Si necesitas ir a algún lado debes de hacer intercambio al siguiente tren porque sí."
"Fcl hornet","Local Guide · 228 reseñas · 426 fotos","Hace 3 años","Para cambiar la tarjeta de transporte hay que ir al ayuntamiento de alcorcon no como en todas las estaciones centrales de las 5 localidades por donde circula la,línea 12"
"David","Local Guide · 546 reseñas · 848 fotos","Hace 4 años","Siempre los pobres vecinos de Alcorcón tienen que ir sentados porque los mostoleños ocupan los asientos a primera hora de la mañana. Deberían funcionar más las escaleras mecánicas."
"Javier Comas -Libros y obra radiográfica-","Local Guide · 313 reseñas · 2.785 fotos","Hace 6 años","Bien comunicado no tiene baños públicos. Es la estación de metro y renfe para acceder al Hospital Universitario Fundación Alcorcón  y al Ayuntamiento de Alcorcón"
"luz pieyro","Local Guide · 19 reseñas","Hace 7 años","La estación d Alcorcón central recorre todo Madrid sur de ahí su gran utilidad y también conecta con el tren y el metro d Madrid.buen método para conocer las ciudades el sur"
"Manuel Lopez","1 reseña · 2 fotos","Hace 10 años","Alcorcón central esta muy bien comunicada... Abad por la rampa y sales a todos los autobuses los que van a Madrid y los que se mueven por los alrededores de Alcorcón"
"Miguel","Local Guide · 388 reseñas · 92 fotos","Hace 7 años","Buena estación de metro, con buenos accesos.Hay un aparcamiento gratuito en las calles aledañas (depende de la hora del día puede estar bastante concurrido)."
