"d4r55","RfnDt","rsqaWe","wiI7pd"
"Daniel velarde ruiz","Local Guide · 262 reseñas · 1.195 fotos","Hace 2 años","Estación de metro ubicada en pleno corazón de Madrid. Instalaciones algo antiguas pero bien conservadas y sobre todo, de mucha profundidad. Si en algún momento se encuentran averiadas las mecánicas, hay bastantes escaleras para el acceso. Plaza de Sta. Barbara, 28004 Madrid"
"Chloe y Lucas","Local Guide · 175 reseñas · 555 fotos","Hace 5 años","Me gusta el barrio por las noches por su aire bohemio. La estación está un poco antigua y demasiada angosta en sus andenes  y  al ser una estación muy concurrida por pasajeros eso hace que entrar al metro sea algo caótico, esperar el metro  igual de caotico , a esto se le suma la falta accesos para sillas de rueda,osea que es una de las peores estaciones q hay en madrid por la importancia que tiene. Por lo demás es una estación muy bien comunicada"
"Jonathan Hernández","Local Guide · 493 reseñas · 1.013 fotos","Hace 6 años","Estación un poco antigua para tener tanta afluencia de gente y muy poco accesible para las personas con discapacidad física. Deberían darle buena una reforma e instalar ascensores en los accesos de las vías del metro. Lo bueno es que tienes conexión con las principales líneas del metro. Por lo tanto estás bien comunicado."
"Francisco Jose Carro Martinez","Local Guide · 56 reseñas","Hace 2 meses","Hay bares para picar algo,el mercado de Tribunal cerca .es un sitió de paso"
"Andrew","Local Guide · 215 reseñas · 107 fotos","Hace 5 meses","Los músicos que tocan / cantan en el interior de la estación.... el volumen de los altavoces y sus micrófonos a veces es ensordecedor. ¿Metro no controla eso?"
"Cris Sánchez De Paz","Local Guide · 2.139 reseñas · 2.033 fotos","Hace 6 meses","La estación esta genial, hay muchos restaurantes de moda cerca y chueca está a un minuto"
"Josely H","Local Guide · 75 reseñas · 13 fotos","Hace 3 años","Muy buena estación pero una cosa me gustaría que los vagones tengan un botón para cuando entre un discapacitado y la gente se haga la tonta para no ceder el asiento, estoy es ahora 7/4/20"
"Agustin pareja","15 reseñas","Hace 6 meses","Las plazas un poco ajustadas para vehículos grandes como el mío . Los torpes como yo tardamos un poco para aparcar como es debido."
"JOSE LUIS JARABO","22 reseñas · 14 fotos","Hace un año","Penoso. El 80% de la gente no uso la mascarilla. He cogió el metro en Príncipe Pío dirección Tres Olivos y el uso de las mascarilla, como mucho y creo que soy generoso, es el que he dicho. Donde está el control de la seguridad el metro? Por qué no hay más control del uso?  Que poco respeto hay de las normas. ¡Que país! Tenemos lo que nos merecemos."
"Julio Diarte","Local Guide · 825 reseñas · 3.509 fotos","Hace 2 años","📌 Tiene varias salidas al exterior y destacar su buena conexion.…"
"luis moreno ecija","Local Guide · 360 reseñas · 175 fotos","Hace un año","Tiene la plaza Santa Bárbara, plaza emblemática donde descansar en el centro de Madrid. Al lado la comisaría de Madrid y si quieres disfrutar de un buen momento vete a la cervecería el Santo donde tomarte algunos pinchos y cervezas, pide rabo de toro, no te decepcionará."
"Juan Carlos Gonzalez","Local Guide · 15 reseñas · 10 fotos","Hace 6 meses","Es un barrio de los mejores de Madrid para el ocio nocturno, incluidos bares, restaurantes y lugares de música en directo."
"Wileiner Moises Figurelli","Local Guide · 177 reseñas · 222 fotos","Hace 2 meses","Todo bien"
"Court","Local Guide · 41 reseñas · 5 fotos","Hace un año","Estación céntrica, situada en una zona concurrida, muy antigua pero conservada. El mantenimiento de las escaleras es pésimo."
