"d4r55","RfnDt","rsqaWe","wiI7pd"
"Marta","Local Guide · 554 reseñas · 1.950 fotos","Hace un año","Estación de la Línea 12 de metro. No hay que esperar mucho. La parte negativa es que, en caso de necesitar ayuda, pocas veces he visto a personal en la estación, ya sean trabajadorxs de Metro en la taquilla o personal de seguridad"
"Juan Jose Huguet","Local Guide · 39 reseñas · 2 fotos","Hace un mes","No lo uso mucho pero si veo movimiento de personas, escaleras mecánicas y ascensor, vigilante de seguridad ,bien"
"HAO CHEN","7 reseñas · 5 fotos","Hace 5 meses","el tio de personal es un borde ， no t coge el interfono aposta"
"Rosa Cristina Camacho Aguilera","Local Guide · 34 reseñas","Hace 11 meses","Es una estación muy concurrida ya que tiene a su alrededor institutos, colegios y centros de estudios a las horas pico 14:00 la estación llena y las aceras también para poder llegar a la estación"
"Jesus Omuñoz","37 reseñas · 8 fotos","Hace 2 años","Esta estación es perfecta para colarse,el de seguridad de la estacion y la mujer que está en la estación estan en el bar o fumando todo el dia,si no quieres saltar y necesitas que te abran las puertas gratis utilizas el interfono les dices que no te funciona el abono y te abren gratis. Espero servir de gran ayuda 😊.…"
"Alberto Pastor","Local Guide · 1.514 reseñas · 7.263 fotos","Hace 2 años","Estación de metro de la línea 12 del Metro de Madrid. Entre el barrio de la Alhóndiga (al final) y el barrio de San Isidro. Es la última estación antes de entrar en la zona del Sector 3 (visto desde uno de los dos sentidos)"
"Gabriel Montero Montes","Local Guide · 403 reseñas · 582 fotos","Hace 8 años","La estación de Metro Sur de Alonso de Mendoza fue inagurada el 11 de abril de 2003. Presta servicio la Linea 12 (Verde oscuro). La estación se encuentra en la intersección de la Calle Ferrocarril con Calle El Greco en el municipio de Getafe. Esta estación se encuentra junto a la autovía A42 y dispone de un amplio aparcamiento en sus alrededores para dejar el coche y acceder al metro."
"Fibonacci de Pisa","11 reseñas · 7 fotos","Hace 7 años","Cerca de esta estación de metro hay murales artísticos como este de Sen2 Figueroa."
"Aitor Soriano","2 reseñas","Hace un año","Muy Rápido y muy buen trato de Ivan ,que durante los 5 días que duró la tramitación estuvo siempre muy atento ,sin duda repetiría ."
"Revolucionarse Cuento ilustrado","Local Guide · 412 reseñas · 2.368 fotos","Hace 6 años","Parada de metro Sur en Getafe que comunica rápido la zona sur y está red de metro tiene conexión con metro Madrid Pero no sirven los mismos billetes Está situado en la Alhóndiga hay aparcamientos alrededor para poder dejar el coche e ir en transporte público"
"Ma Ca","Local Guide · 1.248 reseñas · 21.832 fotos","Hace 5 años","Estación de metro amplia y moderna. Pertenece a la línea 12 de metro (metrosur). Tiene ascensores y no dispone de cobertura móvil como en toda la linea en general."
"Sergio Núñez López","Local Guide · 889 reseñas · 11.671 fotos","Hace 6 años","Estación de metro de la Línea 12 de metro sur en Getafe."
"j CÁMARA (Ianus)","42 reseñas · 254 fotos","Hace 5 meses","Muy limpio"
