"d4r55","RfnDt","rsqaWe","wiI7pd"
"Gerluybel Hernández","Local Guide · 11 reseñas · 14 fotos","Hace 3 semanas","La zona del metro Alsacia es una de mis zonas favoritas de Madrid. Bastante tranquila y linda. Un gusto caminar o andar por ahí."
"Mar C","133 reseñas · 10.078 fotos","Hace 2 años","Estación de metro que pertenece a la linea 2. Estación amplia y moderna. Disponemos de varios accesos a la calle, además de ascensores y cobertura móvil."
"Chloe y Lucas","Local Guide · 175 reseñas · 555 fotos","Hace 6 años","De las mejores estaciones de metro de Madrid.moderna, limpia,ordenada,amplia,con accesibilidad, ecológica vamos que lo tiene todo para entrar y sentirse a gusto tanto por las vistas como por las facilidades que tiene en cuestión de accesibilidad se refiere. Papeleras para plástico,cartón y orgánico, puerta accesibles,ascensores desde la entrada mismas hasta el andén,igual con las escaleras eléctricas, bonito diseño,bien iluminado..un modelo de estación de metro que debería ser implantado en todo la línea de metro."
"Rafael Viñuela","Local Guide · 438 reseñas · 69 fotos","Hace 4 meses","Esta muy bien este intercambiador,solo que en invierno se queda uno pelado de frío"
"José Julio Melgares","Local Guide · 2.806 reseñas · 12.351 fotos","Hace 7 años","Una moderna estación con dos accesos/salidas, ambos con escaleras y ascensores. Una salida a las paradas de autobuses de la plaza Alsacia y otra salida al norte de la plaza."
"Julio Diarte","Local Guide · 824 reseñas · 3.509 fotos","Hace un año","📌 Tiene varios accesos con un ascensor para personas con movilidad reducida.…"
"Doncelador","Local Guide · 3.160 reseñas · 27.038 fotos","Hace 5 años","La estación es bastante grande cuenta con varias salidas dotadas de ascensores y escaleras mecánicas y tiene cobertura móvil."
"Manuel Díaz","Local Guide · 913 reseñas · 3.024 fotos","Hace un año","Una plaza, con intercambiador multimodal: hay metro (línea 2), autobuses urbanos (165, 167, 159...) Así como autobuses interurbanos (las denominadas "camionetas" que van a Coslada. A pocos metros de la plaza, hay otras 2 paradas más de autobuses urbanos, con las líneas 70 en una, y en otra las líneas 140, E2, 4, etc. Muy recomendable para combinar metro y autobús. Además justo al lado está el centro comercial Carrefour, con local Carrefour, farmacia, y tiendas de todo tipo (calzado, ropa, alimentación, ópticas, joyería, etc)"
"Andrea","Local Guide · 156 reseñas · 50 fotos","Hace 10 meses","Estación de metro tranquila y bien ubicada. Da a la plaza con diferentes paradas de autobús, además de tener enfrente un Carrefour."
"Rosa Jb","Local Guide · 98 reseñas · 97 fotos","Hace un año","Estación de metro de la línea 2, saliendo de la estación te encuentras el centro comercial las rosas donde hay diversas tiendas y carrefour,dispone de aparcamiento y zonas recreativas"
"Antonia Díaz García","Local Guide · 77 reseñas · 11 fotos","Hace un año","Parada principio de unos cuantos autobuses Puntuales y buen servicio. El autobús que va al hospital Ramón y Cajal Carece de servicio los fines de semana y festivos me parece fatal hay gente que va también esos días al médico."
"Jonathan Hernández","Local Guide · 493 reseñas · 1.013 fotos","Hace 6 años","Lugar bastante tranquilo y seguro cuando se viaja solo y por la noche. Es una estación que está adaptada con acceso para minusválidos, tanto con ascensor como con escaleras mecánicas. Cabe destacar la amabilidad del personal como de la limpieza del lugar. Excelente. Además tiene un centro comercial muy cerca."
