"d4r55","RfnDt","rsqaWe","wiI7pd"
"Jairo Javier","Local Guide · 193 reseñas · 76 fotos","Hace un año","Estación de Metro un tanto antigua, penúltima antes de llegar al nudo de Cuatro Caminos por la Línea 1. Solo te conduce a las Estaciones al norte de la Línea 1 y al sur a Cuatro Caminos y siguientes de la Línea 1. Necesita una renovación."
"Francisco León","Local Guide · 291 reseñas · 1 foto","Hace un mes","Muy bien"
"Antonio Garcia","2 reseñas","Hace un año","pues resulta que voy y estaba llena de ropa de mascota , cuna de tela y todo lleno de pelos..se me quitaron las ganas de llevar la ropa..el precio son 8 la de 18kg creo recordar"
"javier rodriguez","Local Guide · 41 reseñas","Hace un año","He nacido en este barrio. Ahora mismo existe un cruce intercultural inmenso, tan inmenso como la suciedad que reina en sus calles"
"cruz fuentes","Local Guide · 352 reseñas · 439 fotos","Hace 11 meses","Lo han dejado muy bonito  es un sitio agradable para desayunar"
"ANTONIO CRUZ SANCHEZ","Local Guide · 3.612 reseñas · 8.906 fotos","Hace 2 meses","Estación un poco anticuada, pero al menos es bien sencilla"
"Jose Luis","Local Guide · 77 reseñas · 267 fotos","Hace 3 años","Es una estacion comoda. Aunque no he visto que tenga acceso para personas que necesiten ayuda con la movilidad No hay demasiadas escaleras y la salida está en pleno Bravo Murillo(muy comercial)"
"Carlos Cortes Garcia","Local Guide · 31 reseñas · 1 foto","Hace 7 años","Es una estación viejilla, pero está bien mantenida. No hay acceso sencillo para gente con problemas de movilidad, y hay muy pocas (o ninguna) escaleras mecánicas."
"Janio Renwick","Local Guide · 705 reseñas · 10.537 fotos","Hace 3 años","ESTACIÓN DE METRO, MUY NORMALITA...!!! SIN ACCESO, YA QUE NO TIENE ESCALERAS MECÁNICAS NI ASCENSORES. PARA AYUDAR A LOS PROBLEMAS DE MOVILIDAD REDUCIDA. MUY BIEN LIMPIA, ESO SI. Y CON LA RED DE ASISTENCIA, EN CASO DE PROBLEMAS DE INSUFICIENCIA Y PROBLEMAS DE RESPIRACIÓN. #HELLOMADRIDNEWS #LETSGUIDE #GOOGLEMAPS #MADRIDCITY #GOOGLEART #LOCALGUIDE #LOCALGUIDECONNECT #METRO #GOOGLEFAMILY #SPAINCITY #VISITORINFLUENCER #MADRID 🇪🇦 #GOOGLENEWEXPERT #GOOGLE"
"pepe lopez","Local Guide · 336 reseñas · 635 fotos","Hace un año","No tiene cuarto  de baño ni salida minusvalía."
"ANGEL PASCUAL MALO","Local Guide · 430 reseñas · 430 fotos","Hace un año","Estación de metro pequeña de linea 1, la línea más antigua del metro de Madrid"
"Ma Ca","Local Guide · 1.248 reseñas · 21.832 fotos","Hace 5 años","Estación de metro bastante antigua. Tiene varias salidas a la calle. No dispone de ascensores."
"Diego Rodríguez","Local Guide · 99 reseñas · 17 fotos","Hace 4 años","De esas pocas estaciones de metro de Madrid con los techos bajos y en los que te la pegas como vayas con algo de prisa y te abres la cabeza. Caaaution..."
"Ramon Arceo Rodriguez","Local Guide · 368 reseñas · 1.081 fotos","Hace 2 años","Estación de fácil acceso y bien señalizada"
"Pablo","Local Guide · 248 reseñas · 49 fotos","Hace 5 años","Si pierdes el tren en Cuatro Caminos vente corriendo a esta estación, quizás llegas antes y lo pillas."
"Egido Sesmero","Local Guide · 124 reseñas · 176 fotos","Hace 2 años","Hacia mucho q no cogida el metro... Rápido y como siempre con mucha gente"
"Maricarmen","Local Guide · 64 reseñas · 20 fotos","Hace 2 años","El metro de Madrid es estupendo, comparado con otros de Europa."
"Jesus maria Henao","Local Guide · 323 reseñas · 320 fotos","Hace 2 años","Muy agradable seguridad comodidad"
"Rocio Rodrigo Rubio","Local Guide · 276 reseñas","Hace 6 años","Alvarado es una estación del servicio de metro de Madrid línea 1 en el barrio Tetuán en Madrid España"
"Claudia Gutierrez","Local Guide · 174 reseñas · 379 fotos","Hace 7 años","Funcionamiento normal, servicio rápido como la mayoría del metro"
"Sofia Villa Alzate","Local Guide · 92 reseñas · 150 fotos","Hace 3 años","Una zona muy agradable y mucho comercio."
"Arcadio César Ferreira Rotela","Local Guide · 158 reseñas · 379 fotos","Hace un año","Buenos, mas o menos"
"Fran Gómez","Local Guide · 94 reseñas · 45 fotos","Hace 6 años","No tiene escaleras mecánicas ni ascensor."
"Joel Ariza","Local Guide · 134 reseñas · 116 fotos","Hace 6 años","No hay escaleras mecánicas ni ascensores"
"Esther Encarnacion","Local Guide · 13 reseñas · 41 fotos","Hace 5 años","Muy bien ubicados los locales."
"José Luis Murcia García","Local Guide · 1.024 reseñas · 89 fotos","Hace un año","Una tradicional estación de metro"
"Jorge Castillo","Local Guide · 105 reseñas · 245 fotos","Hace un año","Buena atención"
"carmen Alvarez","1 reseña","Hace 7 años","Normal como llegar al Hospital de la Cruz Roja."
"Alicia","Local Guide · 315 reseñas · 1.396 fotos","Hace 3 años","Pequeña y cómoda"
"Julián Escobar","Local Guide · 110 reseñas · 90 fotos","Hace 7 años","Es una estación al algo vieja."
"Alex Correa Orellana","Local Guide · 439 reseñas · 89 fotos","Hace 8 años","Se ve viejo"
"Olivier Rodríguez","Local Guide · 1.383 reseñas · 10.275 fotos","Hace 2 años","Buena estación de metro."
"Angel Leonardo Rosillo Sierra","Local Guide · 632 reseñas · 2.156 fotos","Hace 7 años","Metro de Alvarado"
"Konstantyn Cherednichenko","Local Guide · 157 reseñas · 1.855 fotos","Hace un año","Una estación conveniente con solo dos salidas, que se encuentran en lados opuestos de la carretera. Por eso no da miedo cometer un error. Hay todo lo que necesitas en la calle."
"Juan Von Luck","Local Guide · 83 reseñas · 780 fotos","Hace 2 años","Estación Media de Metro de Madrid"
"Angie Amboni","Local Guide · 325 reseñas · 483 fotos","Hace 4 años","Es una tienda iluminada."
"Johan Wennermark","Local Guide · 184 reseñas · 166 fotos","Hace 7 años","BIEN"
"Yogendra Singh","Local Guide · 235 reseñas · 1.518 fotos","Hace 10 meses","Lindo"
"Saovalak Muñoz","1 reseña","Hace un año","horrible"
"Mohammad Rasel Talukder","Local Guide · 131 reseñas · 120 fotos","Hace 7 años","Bueno y acogedor."
"yuberky abre","Local Guide · 25 reseñas · 246 fotos","Hace 2 semanas",""
"Hero Isa","Local Guide · 23 reseñas · 19 fotos","Hace un mes",""
"NAS","Local Guide · 474 reseñas · 423 fotos","Hace un mes",""
"John Dempsey","Local Guide · 9 reseñas · 17 fotos","Hace 4 meses",""
"Diego Zuñeda","Local Guide · 70 reseñas · 55 fotos","Hace 6 meses",""
"Jean-Paul Dubarry","Local Guide · 6 reseñas · 21 fotos","Hace 10 meses",""
"Cristhian San Martin","Local Guide · 82 reseñas · 145 fotos","Hace un año",""
"Grace Wong","Local Guide · 180 reseñas · 740 fotos","Hace un año",""
"Belen Gonzalez Gonzalez","1 reseña","Hace un año",""
"Ro","Local Guide · 18 reseñas · 59 fotos","Hace 2 años",""
"A M","Local Guide · 255 reseñas · 258 fotos","Hace 2 años",""
"Antonia Espinar Ramirez","Local Guide · 15 reseñas","Hace 3 años",""
"Alexandra Crepo","Local Guide · 16 reseñas · 3 fotos","Hace 3 años",""
"Andrew Parilla Machete","Local Guide · 18 reseñas · 189 fotos","Hace 3 años",""
"Alvin Busto","Local Guide · 22 reseñas · 3.184 fotos","Hace 4 años",""
