"d4r55","RfnDt","rsqaWe","wiI7pd"
"CRISTINA DE LA CALLE","3 reseñas","Hace 2 meses","Primera vez en esta estación de metro, una vergüenza la atención recibida por la persona de “ayuda” que se encuentra trabajando el día 14/07/24 a las 16:15H. Trata a las personas que no saben usar las tarjetas como si fuésemos estupid*s. Doy gracias de no cruzarme más con esta “persona”"
"Antonio Martinez","Local Guide · 247 reseñas · 28 fotos","Hace 3 meses","Es una plaza muy concurrida para quedar con alguien y cercana a zonas cool de Madrid como la calle Santa Isabel o el barrio de las Letras"
"Sylvia Ruiz","Local Guide · 745 reseñas · 11.408 fotos","Hace 4 años","Una pequeña plaza que tiene mucha historia. Antón Martin fue discípulo de San Juan de Dios y consiguió los permisos para poder construir el hospital de Nuestra Señora del Amor de Dios, también fue donde comenzó el motín de Esquilache. La calle Atocha cruza la plaza. El mercado está a la vuelta de la plaza en la calle Santa Isabel. El teatro Monumental, el monumento a los abogados de Atocha y la Iglesia de San Salvador y San Nicolás."
"Mariano Rubén","Local Guide · 71 reseñas · 32 fotos","Hace 3 meses","Hermosa la zona para alquilar si vienes a Madrid cerca de Atocha y de plaza mayor"
"Aitor Ojeda Soler","Local Guide · 73 reseñas · 45 fotos","No hay ascensor. Fuimos con carrito de bebé y tuvimos que alzaron mi pareja y yo durante varios tramos de escaleras además de dos maletas. Nos cruzamos con dos empleados del metro mientras cogíamos respiro entre tramos de escaleras, se no se quedaron mirando mientras reenprendíamos la marcha y ni siquiera se ofrecieron a ayudar. Se que no es su obligación pero ya que iban andando con calma y de charla entre ellos que menos que preguntar si necesitábamos ayuda como hicieron otros usuarios del metro al vernos"
"BEGOÑA Cabello","Local Guide · 23 reseñas","Hace 3 semanas","Madrid castizo, mezcla de culturas"
"Diego Barón","16 reseñas · 34 fotos","Esta bien ubicado y el transporte publico tarda pocos minutos en llegar, lo que permite llegar a los sitios con mayor antelación. Como pega le pongo una estrella menos porque hay mucha contaminación acústica que tiene el tren cuando circula generándote estrés e inseguridad al sentir el chirrido del tren entre las vías, y además lo escuchaba por la noche al dormir cuando la linea 1 funcionaba lo que me costaba reconciliar el sueño. Corrigiendo este defecto ganareis calidad de vida tanto los pasajeros de transporte, como los habitantes de los pisos bajos de Antón Martín y habrá merecido la pena las obras de la linea 1 ."
"VÍCTOR VIRGÓS","Local Guide · 1.719 reseñas · 18.902 fotos","Hace 2 años","Faltan más cafeterías alrededor de la estación de metro a la salida. Pero me encanta y siempre me ha gustado esta zona, a tiro de piedra de Sol.. La farmacia del Globo, nada más salir de la boca de metro Anton Martín, es legendaria, lleva ahí toda la vida. Ideal esta zona Para callejear. Hay siempre excelente ambiente."
"Maria teresa Carbajo Orduña","3 reseñas","Hace 9 meses","Estoy alucinando una estación cerrada seis meses , una de las estaciones con más turismo y un barrio con gente mayor y que han hecho?, pintar las paredes?, es tan caro poner un ascensor señora Ayuso???"
"Jorge Sanchez Herrera","Local Guide · 567 reseñas · 3.751 fotos","Hace 2 años","Uno de los barrios más emblemáticos e históricos de todo Madrid. Colindante con la zona de Atocha y Sol, este barrio madrileño nos ofrece muchos rincones ensoñadores con superlativa impronta histórica. Recomendado."
