"d4r55","RfnDt","rsqaWe","wiI7pd"
"Vicente Patino","Local Guide · 110 reseñas · 60 fotos","Hace 9 meses","Moderna y espaciosa estación de la línea 12 (MetroSur). Cuenta con un pequeño aparcamiento disuasorio junto a la entrada, en el que suele haber espacio. Con Ascensor."
"Alex Ruben Lopez Blas","4 reseñas","Hoy fuimos un grupo de amigos. Un amigo mío se olvidó el bono y decidimos pagar un viaje. Tuvimos problemas para sacarlo, así que decidí pedir ayuda y una señora vino junto con dos guardias que estaban en ese momento en la estación y nos ayudaron sin problema. Bastante bien con el personal aunque pueden mejorar un poco la actitud. Agradecidos aún así. La estacion en sí muy buena para las periferias del sector 3 que esta mal conectado con los demas transportes, lo único que la calle está en obras y lo dejan muy mal de acceder, esperemos que acaben las obras. Recomendable"
"Ramon Esteban Martinez","Local Guide · 101 reseñas","Hace 6 meses","Es una estacion de metro, para recoger viajetos."
"Yeray Diaz","Local Guide · 42 reseñas · 11 fotos","Hace 10 meses","Estación de metro con un nombre que te lleva a engaño ya que no está en el barrio de Arroyo Culebro (Leganés), está en un barrio de Getafe."
"Gabriel Montero Montes","Local Guide · 403 reseñas · 582 fotos","La estación de Metro Sur de Arroyo Culebro fue inagurada el 11 de abril de 2003. Presta servicio la Linea 12 (Verde oscuro). La estación se encuentra en la intersección de la Calle Las Ciencias con Paseo Juan José Rosón en el municipio de Getafe. La estación se encuentra en una zona residencial dando servicio prácticamente a los habitantes de la zona del Sector 3 de Getafe. Muy próxima a ella podemos encontrar los centros comerciales de M50 y Getafe 3, aunque para este último es recomendable llegar hasta la estación de metro de Conservatorio."
"Antonio pomares ripio","Local Guide · 315 reseñas · 2.331 fotos","Hace 3 años","El personal muy bien en cuanto observan que tienes problemas con las espendedoras vienen a ayudarte"
"Adrian Montalvo Gutierrez","Local Guide · 134 reseñas · 35 fotos","Hace un año","Estación limpia y fresquita, zona verde  preciosa"
"Samuel Roldan","Local Guide · 178 reseñas · 127 fotos","Hace 2 años","Buen acceso para todos los públicos, se ve nuevo,"
"Carlos Umbría","29 reseñas · 72 fotos","Hace 7 años","Casi nunca hay personal responsable de la estación. Con lo que cualquier incidencia que se produzca estás desamparado."
"yrul yaumma","Local Guide · 57 reseñas · 12 fotos","Hace un año","Buen lugar con buena comunicación, sitio para aoarcar"
"Alvaro","Local Guide · 318 reseñas · 555 fotos","Hace 7 años","Quizas un poco apartado pero con facilidad para aparcar el coche"
"haydee acosta","Local Guide · 67 reseñas · 214 fotos","Hace un año","Es una estación 🚉 del metro…"
"Víctorl Lanciano","524 reseñas","Hace 6 años","Esta es la parte que pasa por Parla y humanes"
"Mihai Stoica","1 reseña","Hace 7 años","Esta bien tranquilo"
"Samantha Carrasco","Local Guide · 270 reseñas · 223 fotos","Hace 4 años","Siempre hay aparcamiento"
"Luis Pérez","Local Guide · 827 reseñas · 1.558 fotos","Hace 8 años","Fácil aparcamiento exterior"
"gabriel pdlf","Local Guide · 488 reseñas · 194 fotos","Hace 2 años","Mucho coche"
"Rafael Diaz Moreno","Local Guide · 177 reseñas · 27 fotos","Hace 6 años","Tranquilo"
"Nar Bor","Local Guide · 155 reseñas · 10 fotos","Hace 4 años","Bueno"
"MARCOS Sanagustin","249 reseñas","Hace 6 años","Arroyoculebro"
"Ly","Local Guide · 13 reseñas · 2 fotos","Hace 2 meses",""
"Pavlo Denysenko","Local Guide · 2 reseñas · 14 fotos","Hace 3 meses",""
"María José G.","Local Guide · 55 reseñas · 2 fotos","Hace 7 meses",""
"Elenita aveinte","Local Guide · 26 reseñas · 51 fotos","Hace 7 meses",""
"Ivan M","Local Guide · 167 reseñas · 70 fotos","Hace un año",""
"Esperanza Nena Antona","47 reseñas · 10 fotos","Hace un año",""
"haburguesa _XD","Local Guide · 8 reseñas · 22 fotos","Hace un año",""
"Angelica Gallardo","Local Guide · 4 reseñas","Hace 2 años",""
"David Maeso García","Local Guide · 9 reseñas · 61 fotos","Hace 2 años",""
"Ihor Chikhman","Local Guide · 4 reseñas · 160 fotos","Hace 3 años",""
"Elisabeth Rodriguez","Local Guide · 33 reseñas · 38 fotos","Hace 4 años",""
"Tomás Micone","Local Guide · 44 reseñas · 341 fotos","Hace 4 años",""
"Isabel Pinelas","17 reseñas · 20 fotos","Hace 5 años",""
"Doru Luca","","Hace 6 años",""
"SANTIAGO ALAMO SAZ","Local Guide · 243 reseñas · 1.886 fotos","Hace 6 años",""
"FRANCISCO ALMARAZ HERNANDEZ","Local Guide · 25 reseñas · 15 fotos","Hace 7 años",""
"Carlos de la Cruz","Local Guide · 142 reseñas · 331 fotos","Hace 7 años",""
