"d4r55","RfnDt","rsqaWe","wiI7pd"
"Jimmy Y Amigo","Local Guide · 34 reseñas · 18 fotos","Hace un mes","Me parece increíble que aún no se hayan dignado a poner un mísero ascensor, ya que es una estación que está más concurrida que otras las cuales si cuentan con uno."
"Marco","Local Guide · 200 reseñas · 1 foto","Hace 3 meses","Sin ascensor...... Un Metro de Madrid que volará,para unos pocos"
"Alejandro Infestas Blanquiño","Local Guide · 460 reseñas · 670 fotos","Buena linea de metro, mala parada así podemos resumir Ascao la linea 7 es una linea rápida, pero la estación es pequeña siempre con algún problema en las escaleras, poco espacio en el anden y sin ascensor por lo que no esta adaptada para ciertas personas. El lector de tarjetas falla cada dos por tres que al final alguna gente sale a por el dinero indignan te. Actualización: Encima ahora ponen cruzar puertas dos puertas para entrar sin sentido y más pesadas que las anteriores."
"Eliane De Freitas","Local Guide · 215 reseñas · 711 fotos","Hace 3 años","TTenga el mondo a sus pies! Una pequeña metropole dentro de una gran metropole. De 10 a 12 minutos de Avenida de America por linea 7 o quinze minutos hasta Gregorio Marañon para linea 10. Muy bien ubicado entre Pueblo Nuevo linea 5, cerca de Conslada central por cercanias y muchas facilidads de percorrer hasta el corazón  central de Madrid y Sol. Excelete zona comercial, cafés, bares, danceterias y toda comodidad para vivir o socializarse. Encantada!"
"Andrés Z E M O G","Local Guide · 87 reseñas · 161 fotos","Hace un año","Queda relativamente cerca de muchos sitios de interés"
"ANTONIO CRUZ SANCHEZ","Local Guide · 3.612 reseñas · 8.906 fotos","Hace un mes","Parada de metro la cual necesita alguna reforma urgente"
"Elsa Penagos","Local Guide · 141 reseñas · 395 fotos","Hace 8 meses","Una buena zona para vivir, Colegios, una gran variedad de restaurantes. Lineas de buses, cerca de las línea 7, línea 5  y línea 2"
"Rosa Lopez Alvaro","Local Guide · 25 reseñas","Hace un año","No hay ascensor, a cambio solo hay un tramo d escaleras. Con lo cuál está muy buen. Limpio."
"Honduras","2 reseñas","Hace un año","¡Hola! Buen día para tod@s por favor poner el bombillos a la escalera de la calle  llevamos un mes así sin luz muchas gracias...."
"Santiago Rafael Garcia Medina","Local Guide · 59 reseñas · 2 fotos","Hace 11 meses","Falta acceso con silla de rueda , las escaleras cada 2x3 están dañadas.por lo demás bien"
"Yefri Castillo","6 reseñas","Hace una semana","Bien"
"Hector Portela","Local Guide · 301 reseñas · 1.998 fotos","Hace 3 años","Estación de metro que se encuentra en reforma.  No hay mucho acceso a escaleras automáticas."
"José Julio Melgares","Local Guide · 2.806 reseñas · 12.351 fotos","Hace 7 años","Estación con un solo acceso/salida. No tiene ascensores."
"José Ramón Fernández García","33 reseñas · 9 fotos","Hace un año","Una gran zona para vivir, hay de todo y con todos los servicios, un buen lugar para vivir."
"Enric Puigdomenech","5 reseñas · 1 foto","Hace 4 años","Una estación de metro no corriente lo malo lleva meses en obras y no tiene acceso de minusválidos para las personas que lo necesiten ni ascensor"
"Joaquin Garcia Gonzalez","Local Guide · 147 reseñas · 1.293 fotos","Hace un año","Un lugar tranquilo con un parque muy cuco."
"Eduardo Remocastil","Local Guide · 47 reseñas · 35 fotos","Hace 11 meses","Es muy limpia y segura!"
"Vinicio Almachi","Local Guide · 65 reseñas · 109 fotos","Hace 3 años","Muy bien citio para vivir tranquilos con La familia y amig@s"
"CF González","Local Guide · 78 reseñas · 3 fotos","Hace 7 años","No tiene cobertura. Solo existe una salida y no tiene ascensor/acceso para personas discapacitadas."
"Ismael Beltran","Local Guide · 94 reseñas · 3 fotos","Hace 3 años","Buen acceso y bastante limpia. Esta una en obras"
"Clide Vellasquez","1 reseña","Hace 4 años","Me ha ayudado bastante con la circulación y el dolor muy bueno"
"Jorge Agudín","Local Guide · 10 reseñas · 15 fotos","Hace 3 años","Me molaba más antes... Ha perdido su esencia. Esencia Askaense loko!"
"Marcomsa_YT ___","Local Guide · 41 reseñas · 2 fotos","Hace un año","El dia que fui estaba sucio"
"Segunda Toma","4 reseñas · 2 fotos","Hace 7 años","No tiene ascensor para silla de ruedas y no hay cobertura pata el móvil"
"Jose Luis Castellano Ruiz De Valbuena","Local Guide · 91 reseñas · 227 fotos","Hace 4 años","Lugar ameno y divertido con canchas deportivas y parque infantil"
"yo fedo","Local Guide · 57 reseñas","Hace un año","Un barrio multicultural. Me gusta"
"Gori Delta","Local Guide · 120 reseñas · 1.120 fotos","Hace 3 años","Barrio aparentemente tranquilo con bastantes parquecitos"
"Susana Cabeza de Vaca Nieto","Local Guide · 102 reseñas · 147 fotos","Hace 2 años","🤩👑🏩…"
"bang bang bigelow","2 reseñas","Hace 6 años","no funciona directamente, es super frustrante lo mal y lento que va"
"Martha Liliana Acevedo García","Local Guide · 55 reseñas · 36 fotos","Hace 4 años","Fue una noche de luna llena🤗🤗…"
"MrMencius","Local Guide · 217 reseñas · 54 fotos","Hace 3 años","Una zona comercial tranquila y agradable"
"Elka Liz Davila","Local Guide · 9 reseñas · 36 fotos","Hace 2 años","👍👍…"
"Rafael García","Local Guide · 12 reseñas","Hace un año","Estación antigua, necesita reforma"
"Johnny Rojas","Local Guide · 106 reseñas · 637 fotos","Hace 3 años","Muy bello"
"e3ivan YT","1 reseña","Hace 6 años","Suscribiros a mi canal de Youtube e3ivan YT"
"Fernando Pope","Local Guide · 100 reseñas · 347 fotos","Hace 3 años","Por qué es mi barrio"
"Hechi 0","Local Guide · 15 reseñas","Hace 7 años","Solo encuentro malo que no tiene ascensor"
"Enrique Centeno","Local Guide · 8 reseñas · 63 fotos","Hace 7 años","PRECIO CALIDAD Y SERVICIO MUY BUENA"
"Gerardo Cutuli González","Local Guide · 15 reseñas · 1 foto","Hace 5 años","vivo actualmente en está zona de Madrid. Gracias."
"Eduardo Martínez","Local Guide · 200 reseñas · 8 fotos","Hace 7 años","No tiene cobertura a la conexión de datos"
"Pilar MR","Local Guide · 772 reseñas · 1.356 fotos","Hace 5 años","Zona residencial no turístico"
"Mauricio Díaz","Local Guide · 66 reseñas · 32 fotos","Hace 6 años","Habitualmente funciona muy bien"
"Jose Peyre","Local Guide · 565 reseñas · 501 fotos","Hace 6 años","Desfasada, porque no hay ascensor."
"Esteban Mejia","Local Guide · 76 reseñas · 16 fotos","Hace 2 años","Buen barrio"
"marciano Sanchez Fernández","Local Guide · 216 reseñas · 44 fotos","Hace 8 meses","Metro de madrid"
"raul blanco","Local Guide · 139 reseñas · 644 fotos","Hace 4 años","Arboles de navidad en la biblioteca de ascao"
"Yegor Bazulin","Local Guide · 47 reseñas · 3 fotos","Hace 6 años","Todo funciona con normalidad."
"dani Guillen","5 reseñas","Hace 5 años","Muy bonito"
"Raúl Hilario Puertas","Local Guide · 327 reseñas · 41 fotos","Hace 7 años","Una simple estación de metro."
"Ivan Rodríguez","Local Guide · 59 reseñas · 6 fotos","Hace 6 años","Calor y sudor"
"Uge (La Web de Sebúlcor)","Local Guide · 140 reseñas · 278 fotos","Hace 6 años","Una estación más de metro"
"milka algarin","Local Guide · 236 reseñas · 51 fotos","Hace 3 años","Ascao Nevado"
"krivh cindy","Local Guide · 34 reseñas · 226 fotos","Hace 3 años","calma"
"Rafael Diaz Moreno","Local Guide · 177 reseñas · 27 fotos","Hace 7 años","De acuerdo"
"Antonio Jiménez Valcárcel","Local Guide · 263 reseñas · 171 fotos","Hace 3 meses",""
"Daniel Gallardo","Local Guide · 49 reseñas · 264 fotos","Hace 3 meses",""
"Rafael Moreno","Local Guide · 23 reseñas · 46 fotos","Hace 4 meses",""
"Paul Daniel Farago","6 reseñas","Hace 5 meses",""
"Shahin Khalifa","7 fotos","Hace 6 meses",""
"Eusebio Hernandez","Local Guide · 20 reseñas","Hace 7 meses",""
"Elena Posadas","Local Guide · 23 reseñas · 308 fotos","Hace 8 meses",""
"Rafael Viñuela","Local Guide · 438 reseñas · 69 fotos","Hace 8 meses",""
"Dugleydis Moran Anteliz","Local Guide · 35 reseñas · 38 fotos","Hace 10 meses",""
"Mercy Yolanda","Local Guide · 121 reseñas · 143 fotos","Hace 10 meses",""
"yireth daniela morato gonzalez","Local Guide · 19 reseñas · 51 fotos","Hace 11 meses",""
"Steven Nuñez","Local Guide · 12 reseñas · 8 fotos","Hace 11 meses",""
"Patricia Luz Cardenas Blancas","2 reseñas","Hace un año",""
"Fernando Moreno","Local Guide · 33 reseñas · 98 fotos","Hace un año",""
"Aitor Bastidas","","Hace un año",""
"Miguel Ocana M","Local Guide · 7 reseñas · 49 fotos","Hace un año",""
"Arancha Cruzado Martin","Local Guide · 100 reseñas · 12 fotos","Hace 2 años",""
"María Sanz","23 reseñas · 13 fotos","Hace 2 años",""
"Mayte","Local Guide · 65 reseñas · 10 fotos","Hace 2 años",""
"G. Rodrigo","Local Guide · 228 reseñas · 204 fotos","Hace 2 años",""
"Daniella","Local Guide · 20 reseñas · 7 fotos","Hace 2 años",""
"EDY Noel rojas cuevas","Local Guide · 4 reseñas · 20 fotos","Hace 2 años",""
"Antonio Indiano Vicente","Local Guide · 152 reseñas · 9 fotos","Hace 2 años",""
"Nidhal Kahri","Local Guide · 27 reseñas · 174 fotos","Hace 2 años",""
"Orlando Lopez","Local Guide · 27 reseñas · 496 fotos","Hace 3 años",""
"Esteban Ortega","Local Guide · 150 reseñas · 220 fotos","Hace 3 años",""
"Sandra Montaño Herrera","Local Guide · 112 reseñas · 126 fotos","Hace 3 años",""
"Artemio Eustaquio","Local Guide · 42 reseñas · 161 fotos","Hace 4 años",""
"Silvia Ramon Perez","Local Guide · 8 reseñas · 27 fotos","Hace 4 años",""
"Marta Medina","Local Guide · 51 reseñas · 1 foto","Hace 4 años",""
"Luís Trujillo","Local Guide · 23 reseñas · 11 fotos","Hace 4 años",""
"Ligia Guillen","","Hace 4 años",""
"Victor Manuel Rodriguez Peña","Local Guide · 66 reseñas · 206 fotos","Hace 4 años",""
"Paula Ff","","Hace 4 años",""
"Carolina Fernandez","7 reseñas","Hace 5 años",""
"Unai Carrión","4 reseñas","Hace 6 años",""
"J M","2 reseñas","Hace 6 años",""
"Enhamed Enhamed","Local Guide · 37 reseñas","Hace 6 años",""
"Bocanova Restaurante","","Hace 6 años",""
"Santiago Santos","4 reseñas","Hace 7 años",""
"Angel C.M.","Local Guide · 63 reseñas · 51 fotos","Hace 7 años",""
"Jose Monteiro","","Hace 7 años",""
"Fabian Cajas","12 fotos","Hace 7 años",""
"Rodrigo Farias","","Hace 7 años",""
"Javier Cinthya","Local Guide · 70 reseñas","Hace 7 años",""
"Natalia Lopes","","Hace 7 años",""
"Luis Quimi","Local Guide · 5 reseñas · 35 fotos","Hace 7 años",""
"Fabio Álvarez Jiménez","1 reseña","Hace 7 años",""
"Javier Ortega Llamas","Local Guide · 23 reseñas","Hace 8 años",""
