"d4r55","RfnDt","rsqaWe","wiI7pd"
"ADRIANA SANCHEZ PLAZA","14 reseñas","Hace 3 meses","Es un caos y no está adaptada para personas con problemas de movilidad, le faltan ascensores y escaleras mecánicas. Espero q en las obras q se están realizando tengan en cuenta estas barreras, gracias"
"Esperanza L.B","3 reseñas · 1 foto","Hace 2 meses","En la parte donde están las lineas de buses no hay aire acondicionado y entre el calor ( que por supuesto es verano) y los tubos de escape de los autobuses es insoportable estar esperando casi 40 minutos a que salga el autobús, cualquier día le da algo a alguien,es insoportable el calor y el agobio que se siente yo llevo 10 minutos esperando al autobús y parece que me han tirado un cubo de agua encima, arreglen ese problema y pongan el aire acondicionado o ventiladores potententes porque algún día si no a ocurrido ya pasará una desgracia."
"Alejandro Fontecha","Local Guide · 52 reseñas · 10 fotos","Hace 3 meses","Recomiendo llegar con el tiempo justo. Si te tienes que sentar en esos asientos te convalidan el titulo de fakir, madre mía. El trono de hierro se queda corto."
"José Alberto","Local Guide · 93 reseñas · 2 fotos","Hace una semana","Bastante bien, por poner un pero, el acceso para autobuses un poco justo, aunque los conductores parecen bastante acostumbrados."
"Ire","Local Guide · 61 reseñas · 517 fotos","Hace 5 años","Intercambiador grande, renovado hace pocos años. Tiene los trayectos divididos por plantas, lo que hace que sea cómodo encontrar tu autobus. La primera es largo recorrido, todo lo que sale de Madrid, desde Burgos a Cádiz La segunda es corto recorrido, todo lo que esta en Madrid. Y la tercera es el metro. Todas ellas cuentan con diversas tiendas y cafeterías. Baños y taquillas. Ademas hay personal por todos lados para ayudarte. Una estación cómoda y con un diseño moderno."
"Antonio José Luque Carmona","Local Guide · 77 reseñas · 63 fotos","Hace 7 años","En general, un intercambiador que está bien. Bien comunicado (tiene la estación de metro con mayor número de líneas), relativamente limpio (salvo el baño, que suele estar sucio). Poca variedad de tiendas, con muchos locales disponibles para alquilar.  Los empleados, ausentes. Muy poco profesionales."
"Luis","Local Guide · 436 reseñas · 717 fotos","Hace un mes","Cuidado los que vais con carrito de niño o sillas de ruedas. A pesar de que hay un ascensor que te lleva a la planta del metro. NO ES ACCESIBLE. No hay ascensores para bajar a las diferentes líneas de metro"
"Bilbao Bilbao","Local Guide · 352 reseñas · 1.503 fotos","Hace 6 años","Estación de autobuses 🚌 centralizada. Hasta aquí llegan autobuses de todas las provincias de España, y parte de Europa Es una gigantesca estación que tiene conexión con Metro 🚊 Cuenta con varios servicios, como cafetería y pequeños córner de negocios, entre los que te puedes encontrar desde un kiosko panadería, hasta una tienda de móviles Los cuartos de baños suelen estar abarrotados y su limpieza es cuestionable"
"brenda torra","Local Guide · 19 reseñas · 2 fotos","Hace 5 meses","Pésimo, deben controlar qué tipo de gente entra al metro; hoy una loca (con graves problemas mentales) llevaba un costal y olía faltal estaba en el metro y tras incomodar a los pasajeros ha decidido ponerme en la cara su chupeta, que asco y además porque dejan entrar gente así? @metrodemadrid que pasa ?"
"Mauricio González Yebra","Local Guide · 128 reseñas · 21 fotos","Hace 2 semanas","El metro está bien pero se puede mejorar. Lo bueno es que puedes coger autobús y varias líneas de metro."
"Alejandro","Local Guide · 19 reseñas","Hace un mes","La estación que más me gusta de Madrid, tiene todo y te ubicas fácil"
"T","Local Guide · 343 reseñas · 809 fotos","Hace 7 meses","Estación de metro de líneas 4, 6, 7 y 9"
"Martín de Santos Sánchez","7 reseñas · 2 fotos","Hace 2 meses","El anden de la línea 7 anchisimo No recomiendo utilizar en avda de América la 7 Mejor para la 7 Las estaciones de Gregorio marañón o cartagena"
"mohammed al-hajj","Local Guide · 86 reseñas · 50 fotos","Hace 6 años","Tiene la mayoría de los servicios tanto de autobús común metro ,también hay lugares para comer, hay un locutorio para hacer fotocopias, fuera de la estación hay una parada de taxi ,el servicio del autobús termina a las 12 y ya  para cogerlo fuera del estacion."
"David Gordo","4 reseñas","Hace un año","Deberían de arreglar ya de una vez las escaleras mecánicas de avenida de América dirección línea 6....  lleva más de 2 meses sin hacer nada o no son capaces de poner solución, parece como si les viniera grande.....gente mayor,gente con carritos de niño,con maletas.......y estar en riesgo de caerse todos los días durante más de 2 meses....."
"刘洋","Local Guide · 14 reseñas · 19 fotos","Hace 6 años","no compra por las tragaperras, no sale la bebida, devolución tampoco, y la zona para esperar el metro falta mucho oxígeno, muy bajo el contenido de oxígeno, muy mala la condición de ventilación!! debilucho no entrar!"
"Pepa Solis","Local Guide · 56 reseñas · 107 fotos","Hace 7 meses","No suelo ir en bus, pero para una urgencia de transporte que no quieres hacer transbordo en el metro al tren en mi caso que voy a torrejon es muy bueno"
"Jean Carlos G","Local Guide · 82 reseñas · 6 fotos","Hace 2 meses","Va bien por ahora lugar de paso muy concurrido"
"Gustavo Ruiz","Local Guide · 402 reseñas · 247 fotos","Hace 4 meses","Bien señalizada, muy cuidada. Agradable."
"Alejandro Alarcon","Local Guide · 205 reseñas · 165 fotos","Hace 6 años","El intercambiador es genial pero es demasiado agobiante y sucio pero es perfecto por el numero de autobuses y el numero de metro, también el numero de restaurantes para tomar algo y tiendas."
"Dimitri George","Local Guide · 246 reseñas · 791 fotos","Hace 3 años","Estacion de metro e intercambiador de transporte que conecta el centro con el este de Madrid. En la foto se ve el andén de la línea 9 (morada)"
"Frank G","Local Guide · 140 reseñas · 490 fotos","Hace un año","Una buena estación muy bien comunicada y con correspondencia con varias líneas de metro. Personal dentro para atender al público. Máquinas venta billetes. Máquinas para comunicar con personal en el andén. Escaleras mecánicas y ascensor. Posible acceso minusvalías. Zona alrededor con restaurantes. Recomendable"
"Cris Sánchez De Paz","Local Guide · 2.139 reseñas · 2.033 fotos","Hace 6 meses","La estación esta genial, hay estación de autobuses de medio y largo recorrido también"
"Marta hernandez marino","Local Guide · 83 reseñas · 99 fotos","Hace un mes","Coger la línea 7 es, en esta parada, una pesadilla…."
"lupiomar _","Local Guide · 18 reseñas · 2 fotos","Hace 7 meses","Excelente servicio, muy seguro y limpio, hay distintos comercios y asesores muy funcionales y limpios."
"Raquel Gómez","Local Guide · 110 reseñas · 143 fotos","Hace 6 años","No está mal, después de la reforma ha quedado bien y no se respira tanto humo... Son un poco tacaños a la hora de poner el aire acondicionado en verano, y se pasa bastante calor. Para la gran afluencia que tiene, los baños no están mal."
"Iris Fernández Lázaro","Local Guide · 25 reseñas · 1 foto","Hace un año","En la línea 6 de metro, en la parada de avenida de América. A día 23/04/2021, en las escaleras centrales de acceso a la Vía, había un guardia de seguridad que no merece su trabajo. Ni siquiera nos ha contestado que no se podía pasar, simplemente ha extendido los brazos en cruz con cara de mala hostia. Gente así, borde, y sin ganas de trabajar no sé qué hace trabajando. Mínimo, un ""por aquí no chicos"" y si lo tienes que repetir 1000 veces lo haces, porque es tu trabajo, a todos nos cansa repetir las cosas y no por eso tratamos mal a la gente."
"Cristina G","Local Guide · 116 reseñas · 117 fotos","Hace 7 años","La información que ofrecen de las salidas de los autobuses no suele ir actualizada, ponen los horarios tal cual, lo cual es poco útil. La remodelación era necesaria, es el único punto a favor, pero las zonas de atención al cliente que han habilitado estaría bien que las usaran porque están totalmente vacías y sin nadie."
"Nicu Poleit","Local Guide · 59 reseñas · 74 fotos","Hace 3 meses","Bien..conexion..metro..tren..autobuz.."
"Alicia García Ramírez","Local Guide · 367 reseñas · 595 fotos","Hace 10 meses","Estación de metro Madrid en la cual confluyen varias líneas de metro. Trasiego importante de gente. Ahora en obras"
"Zauberstab","Local Guide · 98 reseñas · 121 fotos","Hace 6 años","Bastante mejorable tanto en indicaciones como en los comercios interiores. Las indicaciones para las dársenas de los autobuses están bastante mal señalizadas. Los comercios que hay en el interior son bastante caros y dejan mucho que desear en calidad y atención. (mejor salir fuera a cualquier otro sitio). Siempre está lleno de gente ya que está comunicado con varias líneas de metro. En Verano hace un calor increíble en las dársenas de los autobuses, y así lleva bastantes años (denigrante). Los fines de semana es una vergüenza el tiempo de espera de los autobuses y la comunicación de la información pertinente de los mismos. Intentar evitar las horas puntas en esta estación e ir en fin de semana."
"Joaquin Abellan Ossenbach","Local Guide · 349 reseñas · 2.797 fotos","Hace 4 meses","Muy bien"
"Diana G","Local Guide · 16 reseñas · 2 fotos","Hace 5 años","El intercambiador de autobuses está fenomenal, renovado y supone una gran diferencia respecto al anterior en el que te tragabas todo el humo de los autobuses y te morías de calor. Ahora está genial. Lo que es una pena es el acceso al metro, ya que es increible que una estación tan importante aún no esté habilitada y no tenga acceso para minusválidos/carritos de bebé al metro..."
"M.José López Jurado","Local Guide · 217 reseñas · 382 fotos","Hace 5 años","No esta mal teniendo en cuenta que es una estación o intercambiador de autobuses. Cumple su función y tienes el metro en la misma estación. Las instalaciones no están mal y tienen puestecitos y alguna tiendecita. También un bar donde poder desayunar, merendar o simplemente tomar algo si tienes algo de tiempo. El personal es muy amable y yo  personalmente siempre que voy a Madrid desayuno aquí antes de montar en el metro y seguir mi camino."
"José Ángel Mazagatos Cano","Local Guide · 340 reseñas · 125 fotos","Hace 7 meses","Bien es una zona de Madrid que está muy bien y está muy bien cuidada..."
"f e r a s i t o.","Local Guide · 7 reseñas · 19 fotos","Hace 3 años","Estación que cuenta con servicios de 4 lineas de metro, destino, Principe Pio, Laguna, Coslada y Henares, Vicalvaro, Arganda del Rey, y Hortaleza. Cuenta con estación de autobuses interregionales, una estación bastante grande y muy limpia. Lo malo es que solo dispone de un ascensor en la parte de la estación de autobuses, y no hay tornos accesibles para personas con movilidad reducida, lo demas bien."
"Aix Vru Daiy","Local Guide · 83 reseñas · 222 fotos","Hace un año","Horrible, en serio. Un poco mas de educación. Llego y el bus justo arranca a pesar de haberme visto y encima me hace un gesto feo. Culpa del metro que se quedó parado 15MINUTOS sin motivo alguno ni avisaron por megafono."
"Gato Land","Local Guide · 402 reseñas · 995 fotos","Hace 8 años","Es un intercambiador de tamaño medio tirando a pequeño comparado con otros de Madrid, sin embargo está muy bien comunicado (obviamente, es un intercambiador) y dispone de buenos servicios, hay hasta papelería. Siempre está muy vigilado lo cual es de agradecer y la limpieza está a buen nivel. Acceso cómodo."
"George I. King","Local Guide · 343 reseñas · 502 fotos","Hace 4 años","La atención del cliente es un desastre. Y ALSA  unos sin vergüenza. No me dejo subir en el autobus de Torreón solo porque quería pagar en efectivo. Y no me dejo subir. En todo el intercambiador no hay ningún aviso que se puede pagar solo con tarjeta. Igual no hay atención al cliente. Cuando intente buscar información me contesto un vigilante del metro de manera borde que si no me había enterado ""estamos con la Covid"" me dijo. Como pueden dejar el intercambiador mas grande de Madrid con 4 lineas del metro y de autobuses interurbanos y otros con servicio especial como los que van al aeropuerto, sin Ningun responsable ni una sola persona para atender los pasajeros. Es una verguenza. y lo de covid ya se estam aprovechando. La mayoria de la gente ya esta currando.  Vergüenza"
"K","Local Guide · 1.250 reseñas · 2.852 fotos","Hace un año","Es un caos. Las líneas no son accesibles para personas con movilidad reducida, creo que realmente no hay ninguna que sea accesible.....  hay muchos tramos de escaleras físicas que no  hay manera de salvar este obstáculo, un epicentro del metro y no está adaptado"
"ANTONIO GONZALEZ LOPEZ","Local Guide · 9 reseñas · 1 foto","Hace 7 años","Tras la remodelación a quedado bastante bien, mejorable como todo. Pero muy aceptable. Para los que piden indicaciones e información sobre ubicación  y horarios de salida de los buses, les recomendaría fijarse en las pantallas generales de planta o las individuales de cada bus."
"Alberto Llorente","Local Guide · 42 reseñas · 17 fotos","Hace 7 años","La estación de metro no es para nada accesible para personas con equipaje, demasiadas escaleras, lo cual en un intercambiador de viajeros es algo muy negativo. La estación de autobuses de larga distancia es un caos y las pantallas no informan adecuadamente. Por suerte había alguien en información y pude saber de dónde salía mi autobús."
"Antonio Bustamante","Local Guide · 115 reseñas · 32 fotos","Hace 8 años","Comodo y bien comunicado. Pero tengo una pega. Es tan dificil indicar en los paneles del piso -1 las salidas de los buses y el anden?. La gente siempre va perdida, sobre todo de noche. Ahora son las 23:45 y anuncia las saludas de las 23:00h. Por pantallas no será que hay en  cada puerta."
"Felix Gustavo Pastor Jurado","2 reseñas","Hace 6 años","Últimamente muy mala organización,  el día de hoy esperando más de 30 minutos para poder subir a la línea 229 y cuando llega (bus 3150) le echa la culpa al atasco, sin embargo las demás líneas que usan casi la misma ruta ya han partido 3 o 4 buses. Y todavia se pone altanero el conductor amenazando ponerse nervioso y no poder conducir.  VERGÜENZA"
"Clara justfine","Local Guide · 93 reseñas · 19 fotos","Hace 6 años","Conecta las líneas de autobuses interurbanos y de largo recorrido que acceden a Madrid por la carretera de Barcelona A-2, las líneas 4, 6, 7 y 9 de Metro, las líneas de autobuses de EMT terminales y de paso por la Avenida de América. Asimismo dispone de 2 plantas de aparcamiento público Toda la información en la página web del Consorcio Regional de Transportes Instalación accesible para personas con movilidad reducida"
"Sandra V.A.","Local Guide · 273 reseñas · 740 fotos","Hace 7 años","Intercambiador bien comunicado. Se puede llegar con varias líneas de metro y de autobús y tras la reforma está bastante bien. El gran problema que tiene es la climatización ya que, da igual la fecha, siempre hace mucho calor."
"Raul Domínguez Galache","Local Guide · 382 reseñas · 3.258 fotos","Hace 6 años","Gran intercambiador de transporte público. Con 4 líneas de metro, que son la 4, la 6, la 7 y la 9. Una oficina de metro. Salida de muchas líneas de autobuses urbanos, interurbanos e internacionales. Esto se complementa con diversos servicios, como bares y tiendas de diverso tipo."
"Jesús S","Local Guide · 12 reseñas · 5 fotos","Hace 7 años","Los autobuses no admiten billetes de 20 euros ni aun siendo dos personas para el 223 que son casi 8 euros... Entre eso y no admitir tarjetas de crédito.... Los que lo utilizamos si comprar abonos nos hace polvo. Por lo demás una estación nornal y corriente, clara en las explicaciones pero con mucho calor."
"Lil Cris","Local Guide · 164 reseñas · 4 fotos","Hace 7 años","El autobús 224A los fines de semana debería ser por lo menos cada media hora. Se supone que Madrid es una ciudad sin descanso. Hay muchísima gente que trabaja fines de semana al igual que entre semana. Todos tenemos que tener igualdad de condición"
"Ricardo","Local Guide · 225 reseñas · 5 fotos","Hace un año","Es buen intercambiador, pero deberían tener una pizarra como en el aeropuerto para ver las próximas salidas y/o llegadas"
"Txarly Portillo","Local Guide · 80 reseñas · 53 fotos","Hace 7 años","Las taquillas para dejar las maletas son demasiado pequeñas y casi todas ocupadas. En el puesto de información no hay nadie para indicar y en las taquillas de Alsa (compañia de autobuses con la que tengo el billete) no te dan ninguna solución y te dicen que te busques la vida por tu cuenta."
"Diego Rodríguez","Local Guide · 99 reseñas · 17 fotos","Hace 5 años","El otro día estaba por la zona (íba a trabajar) y ví que había cierto revuelo, pero no esperaba que fuese por algo así. Si yo me cargo la tarjeta del metro pagando 54,60€ mensualmente no es para que a cambio me hagan sentir la inseguridad de si me sacará a coces del tren un gorilón tarado y se ensañará conmigo. Ya está bien de tanta tontería y a ver si aplicáis filtros, donde yo propongo pruebas psicotécnicas y de actitud, que por las víctimas no darán la cara los responsables de RRHH que contrataron a semejantes 'seres'. Mañana puedo ser yo y no me hace mucha gracia, así que a ver si hacéis las cosas bien, que ya está bien..."
