"d4r55","RfnDt","rsqaWe","wiI7pd"
"AntOnion","Local Guide · 12 reseñas · 219 fotos","hace 5 días","Una simple estación de metro, como todas las demás"
"Carolina Ortiz","Local Guide · 84 reseñas · 75 fotos","Hace 4 años","Me encantaron las replicas a pequeña escala! Algunas son idénticas y la Puerta de Alcala es muy bonita. 100% recomendado para pasar un buen rato en familia!"
"Ma Ca","Local Guide · 1.248 reseñas · 21.832 fotos","Hace 2 años","La estación es grande con un amplio vestíbulo y está siempre limpia. Tiene una única salida al exterior (Como la mayoría de las estaciones de esta línea). Pertenece a la línea 12 (metrosur). Dispone de ascensor y cobertura móvil."
"Chapi Trainer","Local Guide · 311 reseñas · 1.410 fotos","Hace 4 años","Bonita y cómoda estación de metro en Fuenlabrada. Muy buenos accesos."
"enedina moreno","Local Guide · 68 reseñas · 8 fotos","Hace 6 años","inconveniente para los usuarios que sufrimos retrasos y poca frecuencia, eso hace que se pierdan enlaces con otros transportes como renfe, el servicio que se ha puesto de autobuses es un verdadero infierno, para recorrer dos estaciones,  un trayecto de media hora. ¿ De verdad hacía falta cerrar, a la vez,  la mitad de la línea para las reformas?"
"Francesco Annunziato","Local Guide · 98 reseñas · 2.705 fotos","Hace 3 años","Parada del metro normal tan solo a una parada de Fuenlabrada central. La zona en la que para es muy bonita, casi no tiene impacto en la urbanización circumstante porque la entrada es en cristal. Además está cerca del mercadona, lo cual puede ser util a la hora de ir a comprar con los medio publicos"
"Paloma Blanca","Local Guide · 21 reseñas · 14 fotos","Hace 4 años","me gusta que esta limpio y da sensación de tranquilidad no como la renfe central. Como contra que no tiene cobertura y que de mi casa zona calle Portugal al final sigue pillando un poco lejos el metro en fuenlabrada."
"Gabriel Montero Montes","Local Guide · 403 reseñas · 582 fotos","Hace 8 años","La estación de Metro Sur de Parque Europa fue inagurada el 11 de abril de 2003. Presta servicio la Linea 12 (Verde oscuro). La estación se encuentra en la intersección de la Calle Francia con Avenida de las Naciones en el municipio de Fuenlabrada. Esta estación de metro se encuentra en el centro de Fuenlabrada en una zona que da servicio a los vecinos de la zona entre el Hospital Universitario de Fuenlabrada y el ayuntamiento moderno de la localidad."
"Iker And company","Local Guide · 13 reseñas","Hace 6 años","Suele estar muy limpio , es rápido y justo en la salida un poco más adelante hay un parque precioso , me gusta mucho"
"raspajunior","Local Guide · 206 reseñas · 28 fotos","Hace 8 años","La parada está bien, pero sobra en Fuenlabrada. Deberían haberlo estirado y llevarla al barrio de el Naranjo, que está aislado, y esta parada está al lado de la de Hospital"
"Yolanda De Lera Olmos","Local Guide · 36 reseñas · 53 fotos","Hace 2 años","Esta bien para ir con niñio. Hacer una quedada con amigos y pasar un rato."
"Chio Carmona Rodríguez","Local Guide · 128 reseñas","Hace 2 años","Acabo de ir a cargar el abono transporte y han sido súper amables y agradables."
"edgar alonso","Local Guide · 183 reseñas · 332 fotos","Hace 3 años","Es muy lindo representante la Unión europea en algo pequeño pero muy lindo algo para disfrutar en familia"
"Yolanda H TC","Local Guide · 12 reseñas · 3 fotos","Hace 8 meses","Me gusta"
"Ines Sánchez Marin","8 reseñas","Hace 11 meses","Esta bien"
"Jesus Dotor","Local Guide · 496 reseñas · 1.949 fotos","Hace 7 años","Bonito diseño y poco más que decir un estación que accede al centro de fuenlabrada"
"caexe","1 reseña · 1 foto","Hace 2 años","Rosa es muy mala con los clientes actitud penosa"
"jose lugo","552 reseñas · 17.840 fotos","Hace 4 años","Hermoso lugar dónde se reúne la historia de la humanidad. Gracias"
"Juan Angel Campo","Local Guide · 69 reseñas · 1 foto","Hace 2 años","Excelente ubicación y comunicaciones."
"Bruno Rodrigues de Oliveira","2 reseñas","Hace 3 años","Ofrece transporte seguro"
"Ander","Local Guide · 5 reseñas · 25 fotos","Hace 5 años","Todo En uno"
"Uno de los nuestros Barber tattoo","Local Guide · 31 reseñas · 7 fotos","Hace 6 años","Puedes usarlo para llegar a UNO DE LOS NUESTROS!!!"
"Chema Martos","Local Guide · 321 reseñas · 345 fotos","Hace un año","Sitio tranquilo"
"Alvaro Gonzalez","Local Guide · 203 reseñas · 188 fotos","Hace 8 años","Como todo el metro sur. Estación fácil de emcontrar"
"Jose Antonio Acevedo","Local Guide · 45 reseñas · 86 fotos","Hace 2 años","Estación limpia"
"Cristina Barrera Bernad","Local Guide · 45 reseñas · 3 fotos","Hace 6 años","Fabuloso"
"Rafael Diaz Moreno","Local Guide · 177 reseñas · 27 fotos","Hace 6 años","Grande"
"Wale React","Local Guide · 13 reseñas","Hace 3 años","Siempre voy allí todo el tiempo. Es una zona preciosa y donde jugar con tus amigos."
"Ugoebenaja Chibuike jil Chidumuebi","Local Guide · 72 reseñas · 50 fotos","Hace 2 años","El servicio estuvo bien."
"Borja Domínguez Moreno","Local Guide · 122 reseñas · 163 fotos","hace 4 días",""
"Álex Rodriguez Muñoz","Local Guide · 13 reseñas","Hace 9 meses",""
"ricardo sepulveda palacios","Local Guide · 521 reseñas","Hace un año",""
"Marina Gamallo Calvo","Local Guide · 62 reseñas · 7 fotos","Hace un año",""
"Chakir Doukali","Local Guide · 9 reseñas · 45 fotos","Hace un año",""
"Jose Manuel Vega Peñalva","Local Guide · 3 reseñas","Hace un año",""
"Michel Tovar","Local Guide · 3 reseñas","Hace un año",""
"Adrián Dobarro","1 reseña","Hace un año",""
"Roman Stepanov","Local Guide · 67 reseñas · 14 fotos","Hace un año",""
"Selene Rufo Hichou","Local Guide · 10 reseñas","Hace 2 años",""
"Mayte Díaz Santos","Local Guide · 14 reseñas · 7 fotos","Hace 2 años",""
"David Becerra","Local Guide · 20 reseñas","Hace 2 años",""
"M. Cristina Jiménez Olivares","Local Guide · 75 reseñas","Hace 2 años",""
"Raul Catalinas","","Hace 2 años",""
"sonia aceña","Local Guide · 124 reseñas · 198 fotos","Hace 3 años",""
"Elías Sriser","Local Guide · 4 reseñas · 2 fotos","Hace 3 años",""
"VASYL KOLYSHKIN","Local Guide · 75 reseñas · 7 fotos","Hace 3 años",""
"gabriel pdlf","Local Guide · 488 reseñas · 194 fotos","Hace 4 años",""
"Kike Garcia","","Hace 4 años",""
"Tomás Micone","Local Guide · 44 reseñas · 341 fotos","Hace 4 años",""
"Anthony","Local Guide · 8 reseñas · 33 fotos","Hace 5 años",""
"Araceli Pérez","Local Guide · 49 reseñas · 35 fotos","Hace 6 años",""
"Javier Ovejero Serrano","1 reseña · 1 foto","Hace 6 años",""
"Juan Carlos Castaño","16 reseñas · 1 foto","Hace 7 años",""
"Isabel Gorrin","Local Guide · 77 reseñas · 68 fotos","Hace 7 años",""
"adina iuliana danciu","4 reseñas","Hace 7 años",""
"Luis Carretero","","Hace 7 años",""
"Javier G.B","Local Guide · 8 reseñas","Hace 11 años",""
