"d4r55","RfnDt","rsqaWe","wiI7pd"
"Miguelánhel Conashe","Local Guide · 87 reseñas · 26 fotos","Hace 5 meses","Es un pequeño barrio entre la carretera de Extremadura el final de Aluche, cercano a la zona de Avenida de la Aviación. Hay una estación de Metro de la línea 10, con el mismo nombre; tiene acceso para personas con discapacidad mediante ascensor. Es una zona tranquila con supermercado, cafeterías y pequeñas tiendas y comercios."
"Gabriel Freire Barrientos","Local Guide · 39 reseñas · 173 fotos","Hace 2 años","Buen servicio, rápido para ser una parada del sur de Madrid, pasa cada 3 min por las mañanas, por las tardes cada 5 min y por la noche cada 10 min aproximadamente. La calefacción/aire acondicionado es horrible, caluroso en invierno y el aire no se pone hasta marzo a pesar del calor."
"Ana Belen Carrasco Pulido","4 reseñas · 5 fotos","Hace 8 meses","Un sitio muy bonito lo único que estaba todo con vallas y no podías pasar"
"Luis Alonso","Local Guide · 78 reseñas · 68 fotos","Hace 11 meses","Una estación relativamente nueva pertenece a la l10 de metro. Tiene conexión con línea 39 y 17 de EMT. Se encuentra ubicada en el barrio del parque de Europa.Es una zona bastante accesible para minusválidos,con tiendas bares y bancos por la zona a unos 1000 metros tenemos la linea 34 de EMT y la Renfe de cercanías C5 Móstoles.Fuenlabrada. tiene cerca el ambulatorio. Si te gusta esta reseña dale like y ayúdame a crecer"
"Carlos Redondo Molina","Local Guide · 765 reseñas · 175 fotos","Hace 3 semanas","Una estación de metro con la calidad estándar de nuestro centenario subterráneo"
"Jose Maria Quintanilla","Local Guide · 214 reseñas · 127 fotos","Hace 3 años","Una estación de metro más, pero que al barrio le da la vida, estas en cualquier sitio de Madrid en poco tiempo. Tiene ascensor y escaleras automáticas y es muy amplia. Ahora se está haciendo un parking disuasorio con más de 300 plazas, haber si descongestionar un poco el barrio porque hay problemas para aparcar."
"Laura Arpa","Local Guide · 120 reseñas · 1 foto","Hace 11 meses","Los fines de semana hay poco personal que te atienda , prácticamente nadie. También es una estacion peligrosa por que no hay ningún tipo de seguridad en la estación ."
"Kal Cius","Local Guide · 107 reseñas · 29 fotos","Hace 5 años","El 23 de mayo de 2019, a las 13:00, una empleada que le fuimos a consultar, no sólo no sabía nada, sino que además con su mala predisposición y malos modales, nos trataba de muy mala manera mientras se jactaba de las flatulencias que echaba al aire delante nuestra. Es una pena que con lo bonita que es la estación y lo bien que funciona el metro haya alguna maleducada de esta estirpe a cargo de la atención del público. Lamentable y vergonzoso."
"CRISTINA MIGUEL VILLAR","Local Guide · 83 reseñas · 215 fotos","Hace 2 años","En mi opinión las tarifas son muy caras y  sólo compensa aparcar el coche allí si utilizas el transporte público. Yo lo dejė el martes 12/10 festivo porque no encontraba sitio en la calle y por 5 horas me cobraron 10 € que ponía que era la máxima tarifa por estar 24 horas por lo que no me cuadra que te cobren el importe máximo. Ni en un parking en el centro de Madrid cubierto y vigilado sale tan caro.... El parking está bien en cuanto a plazas pero precio exagerado"
"Óscar Pérez López","Local Guide · 177 reseñas · 325 fotos","Hace 8 años","Qué suerte tener la L10! Te plantas en Plaza España en 15 minutos y hay bastante sitio para aparcar. Además cuenta con bares y panadería cercanos por si quieres pillar algo para el camino!"
"Fernando Peguero Lanzós","Local Guide · 86 reseñas","Hace 2 años","Parada de metro con ascensores siempre muy limpios y con parking disuasorio de bastantes plazas en la misma puerta conexion con buses 39 y 17 de la Emt...tardas diez minutos a ppe pio y quince a plaza españa...la mejor comunicacion para barrio de parque europa"
"David Martín","Local Guide · 84 reseñas","Hace 8 años","Esta estación de metro cuenta con un aparcamiento en el que dejar el coche. Sin embargo, entre semana sobre todo suele estar muy lleno de coches por toda la gente que va a trabajar."
"Raquel Arranz Gil","Local Guide · 44 reseñas","Hace 4 años","Bar el Trocadero, metro aviación española. Cumplen todo lo impuesto a seguridad. Desinfectan mesas y sillas cada cambio de clientes y mantienen la distancia de seguridad (no de las mesas si no de las sillas que es la real para mantener la distancia de 2 metros). Y son amables. Gracias"
"Pepe Fernandez","Local Guide · 708 reseñas · 1.989 fotos","Hace 6 años","Aquí debes de bajarte para visitar el museo de la aviación y para ver el primer domingo de cada mes, el vuelo y excivicion de aviones de época (algunos con mas de 75 años de antigüedad, tus hijos y sobre todo tu disfrutaréis como locos. (Linea 10). Fundación Príncipe de Orleans."
"Hector Portela","Local Guide · 301 reseñas · 1.998 fotos","Hace 5 años","Excelente estación, acceso disponible, es una estación no muy concurrida, hay acceso para sillas de ruedasb y también hay tableros digitales para visualizar las llegadas del metro."
"Manuel Bernal","Local Guide · 860 reseñas · 3.638 fotos","Hace 2 años","Buena y moderna estación de metro de la línea 10. Desde aquí puedes enlazar con Metro Sur por un lado o ir hacia la zona centro por el otro."
"Roberto","Local Guide · 325 reseñas · 3.859 fotos","Hace 3 años","Lo mismo soy yo, pero me he bajado aquí  y....España si es, eso fijo, pero aviones yo no veo. Ojo, que puede ser por mi glaucomita, pero a mí me dá que nos la están dando. Yo por si las moscas voy al OCU y denunció ( ya he estado allí 327.211 veces, soy como de la casa)"
"Chin titanium","Local Guide · 85 reseñas · 163 fotos","Hace un año","Buen acceso a metrosur y se comunica perfectamente con una gran parte de Madrid de suroeste a norte de la ciudad"
"Ana Verdeal","Local Guide · 86 reseñas · 1 foto","Hace 4 años","Estación de metro con ascensores. Su funcionamiento es constante y rara vez se estropean. Sólo hay una entrada/salida"
"chicho vazquez","Local Guide · 185 reseñas · 3 fotos","Hace 10 meses","Muchas escaleras,pero tiene ascensor."
"Ruben Jimenez","Local Guide · 362 reseñas · 143 fotos","Hace 6 años","Abierta en 2007, una parada más que necesaria para el barrio que conecta con Príncipe Pío en 10 minutos gracias a la línea 10."
"Rafael Alonso","Local Guide · 110 reseñas · 147 fotos","Hace 4 años","No tiene ascensor y está en un barrio donde hay mucha gente mayor"
"Ana María Viñé Lerma","Local Guide · 152 reseñas · 389 fotos","Hace 6 años","Bien comunicado, en 10 min. estás en Príncipe Pio y en 15 min. en Plaza de España."
"JOSE LUIS BENITEZ ALONSO","Local Guide · 280 reseñas · 164 fotos","Hace un año","Metro con parking disuasorio con el abono transporte"
"Feli sito","Local Guide · 213 reseñas · 1.512 fotos","Hace 7 años","Buena comunicación con el centro. Dentro no hay cobertura de ningún operador móvil."
