"d4r55","RfnDt","rsqaWe","wiI7pd"
"Aran dm","Local Guide · 52 reseñas · 406 fotos","Hace 4 meses","Se encuentra muy cerca de otros lugares importantes de Madrid. Desde allí se puede llegar rápidamente a Gran Vía, a una de las entradas del parque del retiro ubicada en la puerta de Alcalá, paseo de recoletos,... Como curiosidad en una de las bocas del metro se encuentra representada la entrada a ""la casa del ratoncito Pérez"""
"Angel Leonardo Rosillo Sierra","Local Guide · 632 reseñas · 2.156 fotos","Hace 6 años","Banco de España es una estación de la línea 2 del Metro de Madrid situada bajo la Calle de Alcalá, junto a la Plaza de Cibeles, perpendicular al Paseo del Prado, en el barrio de Justicia (distrito Centro). La estación abrió al público el 14 de junio de 1924con el primer tramo abierto de la línea 2 entre Sol y Ventas. En sus alrededores se hallan la fuente de Cibeles, la Casa de América (Palacio de Linares), el Círculo de Bellas Artes, la Casa de Correos o Palacio de Comunicaciones, la iglesia de San José, el Palacio de Buenavista, el edificio del Ministerio del Interior y el Teatro de Bellas Artes."
"killo","Local Guide · 146 reseñas · 290 fotos","Hace 2 años","No toda la gente que usa la parada del metro Banco de España conoce q esta es la boca de  metro que usa un Madrileño ilustre  “ El Ratoncito Perez” y para ello tiene su propia entrada en el inferior de uno de los laterales. Resulta que  hace un tiempo, apareció una misteriosa puertecita debajo del bordillo de la estación de Metro de Banco de España, en la que da al Palacio de Buenavista. En un  principio era un diminuto acceso cuyo dintel parecía  una barra de caramelo pero la rompieron y hoy en día es una pequeña puerta de madera que pasa desapercibida para la gran mayoría de gente que pasa por allí."
"cerrea cortijo","Local Guide · 652 reseñas · 1.337 fotos","Hace 5 años","Estación cerrada por los movimientos causados  por las obras en Canalejas una vez más  Se cerró en julio de 2018, se abrió en Septiembre y vuelve a cerrar otra vez por las obras. Esta vez sin aviso previo Una estación que se inauguró en 1924 cuando se abrió la línea de Sol a Ventas."
"Julio Diarte","Local Guide · 825 reseñas · 3.509 fotos","Hace 2 años","📌 Que pena que no hubieran aprovechado con las actualizaciones de las calles en poner un ascensor para personas con movilidad reducida.…"
"phototop marquez","Local Guide · 224 reseñas · 884 fotos","Hace 2 años","Espectacular edificio sede del Banco de España. Entre plaza de Cibeles y Gran Vía Curiosidad. En enero de 2021, la borrasca ""Filomena"" congeló el reloj del Banco de España por primera vez en 130 años. En concreto, fue a las 11:35 de la mañana, del sábado 9 de enero."
"pablo Games","3 reseñas · 3 fotos","Hace 4 años","EN ESE EDIFICIO SE SUPONE QUE TODOS LOS ESPAÑOLES TIENEN SU ORO PERO NINGUNO DE LO ESPAÑOLES TIENEN EN SU CASA UN CERTIFICADO DONDE PONGA QUE A ESE ESPAÑOL CON DERECHOS LE PERTENEZCA ESA PARTE DEL ORO YO AGRADECERIA AL SEÑOR GOVERNADOR QUE ME DIESE CITA PARA QUE ME ELIMINE LAS DUDAS SOBRE ESTE TEMA GRACIAS JEFES, MASTODONTES Y FIERAS"
"Andrea","Local Guide · 156 reseñas · 50 fotos","Hace 2 años","Decoraron la boca del metro con lingotes de oro y pusieron una exposición de cuadros de La Casa de Papel, por su última temporada. Ojalá vuelvan a hacer algo así más adelante."
"Clemente Martín","Local Guide · 238 reseñas · 1.159 fotos","Hace 3 meses","Edificio monumental situado en la plaza de Cibeles y que hace un conjunto ara illoso a la vista"
"Manolo Real","Local Guide · 3 reseñas · 44 fotos","Hace 3 años","Edifcio muy bueno y muy bien comunicado, una de mis zonas favoritas."
"David Crespo","Local Guide · 1.353 reseñas · 6.918 fotos","Hace 3 años","Estación antigua y a la vez moderna. Muy céntrica PLAZA DE CIBELES,CALLE ALCALÁ Y PASEO DEL PRADO. Línea 2 del METRO. Tiene wifi. 100% recomendable."
"Isis Herrero","Local Guide · 135 reseñas · 50 fotos","Hace 11 meses","Justo en el metro de banco de España se puede ver la puerta del ratón Pérez, una de entrada y otra de salida. Me encanta que nuestro ratón tenga una casita en el metro de madrid ❤️❤️"
"Chloe y Lucas","Local Guide · 175 reseñas · 555 fotos","Hace 5 años","No tiene accesibilidad (ni escalera mecánica, ni ascensor)pero pone carteles indicando lo contrario.,un metro muy viejo y descuidado."
