"d4r55","RfnDt","rsqaWe","wiI7pd"
"Natalia","Local Guide · 50 reseñas · 2.340 fotos","Hace un año","Hoy sobre las 8 de la mañana se ha suspendido el servicio entre Batan y Plaza de España. En este momento, la estación no se parece a sí misma, siempre tan tranquila y escasamente poblada. Parece que ya se está restableciendo el servicio."
"Miguel","Local Guide · 229 reseñas · 232 fotos","Hace 4 años","Ir a alguna estación de metro tipo Batan es cómo volver a otro tiempo y más concretamente a los años 60 de la anterior siglo. Tiene una arquitectura muy particular y totalmente en superficie salvo el paso entre vías que es subterráneo. el interior usa los azulejos blancos clásicos de las paradas de la línea 1 y es que está estación junto con la de lago formaba parte de un tren suburbano que posteriormente se integró con el metro  Tiene dos vías y dos andenes en distintas direcciones. No es muy grande pero merece la visita."
"Mariano Navarro Sánchez","Local Guide · 31 reseñas · 21 fotos","Hace 2 años","Batán es una estación de la línea 10 de Metro de Madrid situada junto al Camino Viejo de Campamento, antes de la intersección con el Paseo de la Venta del Batán, junto a la Casa de Campo. Pertenece al barrio administrativo de Lucero en el distrito de Latina, aunque se sitúa en límite entre este y el distrito de Moncloa-Aravaca."
"Javier I","Local Guide · 197 reseñas · 1.078 fotos","Hace 5 meses","Parada de metro al aire y libre ideal para acercarse al parque de atracciones y a la casa de campo. Gracias por no olvidar dar ""me gusta"""
"Gabriel Trujillo","Local Guide · 36 reseñas · 49 fotos","Hace un año","La estación del Metro de Batán se sitúa en la Línea 10. Una de las pocas estaciones del metro de Madrid que no están bajo tierra, pasando el tren por superficie durante toda la parada. Para mí es una de las paradas donde más cómodo es esperar el metro por estar en superficie, además de que la propia estación suele estar limpia."
"Dario Fernandez Villalba","Local Guide · 180 reseñas · 122 fotos","Hace 4 meses","Es una estación de metro al aire libre, junto a la Casa de Campo."
"sara carrion","24 reseñas · 8 fotos","Hace un año","No funciona ningún bonometro, por lo que al salir me cobra dos viajes. Y sí, es el billete que se requiere el que tengo cargado"
"José Julio Melgares","Local Guide · 2.806 reseñas · 12.351 fotos","Hace 7 años","Esta estación tiene ascensores para acceder a los andenes. Aquí la línea 10 transcurre al aire libre."
"Ana S.I","Local Guide · 124 reseñas · 363 fotos","Hace 2 años","La zona cercana al metro de Batán está llena de historia y de vida. En sus alrededores encuentras: Al lado este el vértice paquillo, con sus ruinas de la guerra civil, y su fuente de la republica, alberga también 2 parques infantiles, el de arriba junto al metro con unas preciosas vistas de la sierra y de la ciudad de Madrid. La venta del Batán (que da nombre al barrio)donde lidiban a los toros antes de ir a las ventas, aún se puede ver el edificio y la plaza junto a la nueva escuela de tauromaquia . El famoso parque de atracciones. Un restaurante con terraza. Y si curiosas al otro lado de la rotonda hay una taberna de toda la vida que merece ver , aunque sea desde fuera, por sus decorados, las tapas son latas! A disfrutar!"
"Maribel C","8 reseñas","Hace un año","Emilio, trabajador de metro y despreciable ser. Trato infame de este individuo poca cosa, canoso y gafas con cristales oscuros. Que la vida le dé todo lo que merezca."
"Manuel González Sánchez","Local Guide · 67 reseñas · 6 fotos","Hace 6 años","Esta adaptado para minusválidos, le pondría mucho más nota pero han cometido lo que es para mí un gran error, a la salida hay un escalón y la solución sería muy fácil pues hay sitio de sobra para hacer una pequeña rampa"
"Ma Ca","Local Guide · 1.248 reseñas · 21.832 fotos","Hace 6 años","La entrada / salida de la salida de Batán es la única de ese estilo de arquitectura, es original.  En Madrid no hay más salidas de metro cómo está. Los andenes están al aire libre. La salida está justo al lado del parque de atracciones y la más cercana al Zoo"
"J.L.M","Local Guide · 69 reseñas · 13 fotos","Hace 2 meses","Un barrio obrero de Madrid."
"Mónica Sosa","Local Guide · 55 reseñas · 364 fotos","Hace 5 años","Concurso de tapas de las Fiestas del barrio de El Batán en Madrid. Nuestra tapa favorita es la de Tan-go restaurante : empanada de carrillera ibérica al Pedro Ximénez con mojo picón. Una delicia!"
"José Martín","58 reseñas · 23 fotos","Hace un año","Cuidado en esta estación de metro, porque se producen con frecuencia intentos de robo cometidos por los menores extranjeros menas del centro de acogida próximo."
"Cesar Ortega","Local Guide · 225 reseñas · 204 fotos","Hace 5 años","Increíble sistema de transporte, limpio, puntual, moderno, seguro y lo mejor de todo posiciones USB para cargar tus celulares tanto en el tren como en las estaciones, eso es, servicio al cliente, magnifico"
"R G","Local Guide · 12 reseñas · 13 fotos","Hace un mes","Estación de metro exterior"
"CARLOS DE LA SOTILLA","Local Guide · 94 reseñas","Hace 10 meses","La línea 10 suspendida 30’ y no dan explicación alguna"
"Francisco Javier Sánchez Sánchez","Local Guide · 253 reseñas · 704 fotos","Hace 4 años","Estación en la Casa de Campo, que enlaza con líneas 6 y 5. Batán línea 10"
"María José ferper Fernández","Local Guide · 129 reseñas · 51 fotos","Hace 4 años","Parece una estación antigua de ferrocarril lo peor que hace frío en invierno y calor en verano, está en la superficie al aire"
"Pedro Madrid","Local Guide · 45 reseñas · 59 fotos","Hace un año","Una pena lo descuidado que está todo.Sin aseos,sin bar y con las instalaciones obsoletas y descuidadas."
"Rocio Rodrigo Rubio","Local Guide · 276 reseñas","Hace 6 años","Batan es una estación del servicio de metro de Madrid línea 10 en el parque de atracciones de Madrid en Madrid España"
"Edward Olive","Local Guide · 279 reseñas · 78 fotos","Hace 2 años","Tiene salida directamente a la Casa de Campo"
"Julián Ranz","Local Guide · 377 reseñas · 1.941 fotos","Hace un año","El lugar ideal para vivir."
"ricardo sepulveda palacios","Local Guide · 521 reseñas","Hace un año","Buena ubicación y fácil para llegar"
"Susana P. U","Local Guide · 84 reseñas · 9 fotos","Hace 2 años","Un barrio tranquilo con muchas zonas verdes"
"Alex sun Chen","3 reseñas","Hace un año","Agradable para ir con niños"
"anderson abreu de souza","Local Guide · 405 reseñas · 2.357 fotos","Hace un año","Muy bonita , llena del árbol, muy chulo"
"Jose Antonio","Local Guide · 80 reseñas · 27 fotos","Hace 7 años","El metro es el mejor medio de transporte para moverse por Madrid, con diferencia..."
"Adrián Espinosa Robles","Local Guide · 35 reseñas · 27 fotos","Hace 7 años","Perfecto para ir desde cualquier punto de Madrid al Parque de Atracciones 👌…"
"Natalie yojana nogueira garcia","1 reseña","Hace 5 años","Yo bibo alli. 😊😹👌👐👏👍💜💗💗💝💖💙🐈🐱🐕🐶🐶🐩⛲🏡🛁⏰👒👓🎒🎒🔭👟🔦📖📙📘📗📓📕🚪📰📚📚📚📚📚📚📚📚📚📚📔📒.…"
"Aurora Lopez","Local Guide · 38 reseñas · 20 fotos","Hace 6 años","Bien"
"Adrian Manuel","Local Guide · 289 reseñas · 73 fotos","Hace 6 años","Buena estación de metro"
"Roberto Franco","168 reseñas · 96 fotos","Hace 7 años","Bueno jeje"
"Luis Miguel Trouillhet","Local Guide · 251 reseñas · 363 fotos","Hace 7 años","La mejor linea"
"Angel Leonardo Rosillo Sierra","Local Guide · 632 reseñas · 2.156 fotos","Hace 7 años","Metro Batan"
"Com Breee","Local Guide · 51 reseñas · 83 fotos","Hace 2 meses","En realidad la zona metropolitana más bonita de Madrid, nunca vi nada igual."
