"d4r55","RfnDt","rsqaWe","wiI7pd"
"Larry Medina Andrade","Local Guide · 270 reseñas · 547 fotos","Hace 5 años","Estación de metro muy limpia, tranquila y amplia el único detalle es que no tiene cobertura telefónica, zona del metro B1 frecuencia de metros cada 5 minutos"
"Rafael López","Local Guide · 46 reseñas","Hace 2 meses","Estación de Metro tranquila y limpia"
"Angel Montealegre Romeral","Local Guide · 130 reseñas · 1 foto","Hace un año","Si es la estación de Metro está bastante bien. Y lo que es la Calle y el barrio, hay gente muy agradable y muy maja. me gusta como barrio y para vivir."
"Francisco León","Local Guide · 291 reseñas · 1 foto","Hace un mes","Muy bien"
"Julio Diarte","Local Guide · 824 reseñas · 3.509 fotos","Hace un año","📌 Esta muy bien cuidado, limpio y con fácil acceso para las personas con movilidad reducida, al salir del metro está la rotonda que en sus alrededores hay varios comercios.…"
"JUAN CARLOS GARCIA DE CECA (JC)","Local Guide · 87 reseñas · 25 fotos","Hace 4 meses","Zona tranquila y con diversos servicios."
"Jose Jose","Local Guide · 279 reseñas · 1.284 fotos","Hace 4 años","Es una estación del Metro en Madrid. Es como todas las que he conocido, primero es un poco difícil orientarse y aquí en Madrid debes pagas doble por las Zona A y Zona B, pero cuando ya se conoce se traslada muy facil"
"Aradays Prieto Caballero","Local Guide · 88 reseñas · 69 fotos","Hace un año","Es mi zona de metro, esta bien un supermercado ahorrarás cerca, paradas de bus, metro, cerca de plaza de toros."
"Kike Ocampo","Local Guide · 357 reseñas · 258 fotos","Hace un mes","Una estación al uso"
"Juan Carlos Aranda","Local Guide · 776 reseñas · 1.350 fotos","Hace 6 años","Otra de las estaciones del metro norte metro amplio moderno qué más se puede pedir que tenga más de 3 vagones y un poco más de frecuencia"
"CHEMA LadrónDeCadaveres (æLadrónDeCadaveres)","Local Guide · 22 reseñas · 64 fotos","Hace 3 años","Limpio, poca gente con acceso para discapacitados"
"Lily Palmar Pirela","Local Guide · 148 reseñas · 108 fotos","Hace un año","Muy bien"
"Luis Luisete","Local Guide · 366 reseñas · 767 fotos","Hace 7 años","Amplia estación de metro norte Madrid"
"Luis Martin Lara","Local Guide · 97 reseñas · 2 fotos","Hace 5 años","Nunca he tenido ningún problema"
"Gustavo Di Vittorio","39 reseñas · 17 fotos","Hace 2 años","Bueno"
"Ariadna G.E.","1 reseña","Hace 7 años","Te atienden de maravilla"
"Urban Traveler","Local Guide · 2.505 reseñas · 6.636 fotos","Hace 4 años","Estación de Metro moderna. Eso sí, ten en cuenta que si tienes pensado ir al centro de Madrid, esta estación está situada en una zona de tarifa diferente y tendrás que pagar un suplemento."
"Kajetan Kawecki “Teykana”","Local Guide · 47 reseñas · 4 fotos","Hace 2 meses",""
"Ignacio Hoyos Rodríguez","Local Guide · 65 reseñas · 229 fotos","Hace 4 meses",""
"Jordan Rentería","Local Guide · 21 reseñas · 13 fotos","Hace 5 meses",""
"Loli García","Local Guide · 311 reseñas · 140 fotos","Hace 6 meses",""
"Daniel Jose Medin Malde","Local Guide · 5 reseñas · 680 fotos","Hace 8 meses",""
"Alberto Fernando Chavez Cespedes","Local Guide · 121 reseñas · 970 fotos","Hace un año",""
"Stefi Romera","Local Guide · 25 reseñas · 1 foto","Hace un año",""
"Mari Jose Lorenzo Alonso","Local Guide · 36 reseñas · 1 foto","Hace 2 años",""
"Humberto osores","Local Guide · 131 reseñas · 257 fotos","Hace 2 años",""
"JuanRa “JR”","Local Guide · 24 reseñas · 1.117 fotos","Hace 3 años",""
"Bartolomé Torralba","Local Guide · 173 reseñas · 1.267 fotos","Hace 3 años",""
"Beru Beru","Local Guide · 111 reseñas · 587 fotos","Hace 4 años",""
"Carlos Fernández","Local Guide · 261 reseñas · 607 fotos","Hace 4 años",""
"Maria Jesús Agundez","Local Guide · 7 reseñas · 2 fotos","Hace 4 años",""
"Vicente Hernández Manzano","7 reseñas","Hace 5 años",""
"Vicente Hernández Manzano","3 reseñas","Hace 5 años",""
"Noemí Barrero","5 reseñas","Hace 6 años",""
"Sara Balderi","Local Guide · 818 reseñas · 949 fotos","Hace 6 años",""
"Alvaro4","Local Guide · 620 reseñas · 2.400 fotos","Hace 6 años",""
"Yaiza izquierdo","Local Guide · 20 reseñas · 15 fotos","Hace 6 años",""
"francisca caballero","","Hace 6 años",""
"Cris Crisus","Local Guide · 8 reseñas","Hace 6 años",""
"Víctor Díaz","6 reseñas","Hace 7 años",""
"Esteban Saugar","Local Guide · 15 reseñas · 6 fotos","Hace 7 años",""
