"d4r55","RfnDt","rsqaWe","wiI7pd"
"Luis Díaz","Local Guide · 150 reseñas · 17 fotos","Hace 4 meses","Con las obras que van muy lento, el polvo que hay que respirar todos los días, los plásticos azules que han puesto para nada por qué no avanzan o avanzan muy lento. Incomodan a los usuarios, donde ya el servicio es deplorable de los trabajadores de metro, ahora se suma esto. En los vagones de los metros de Madrid viajamos a diario apretujados peor que hormigas, donde el contagio de enfermedades es pan de cada día y los filtros del aire pésimos o se viaja sin aire"
"Ma Ca","Local Guide · 1.248 reseñas · 21.832 fotos","Hace 6 años","La estación es de las antiguas. Pertenece a la línea 10 de metro. No está mal conservada y suele estar limpia. Tiene accesos a los hospitales de La Paz y el Ramón y Cajal"
"W D","Local Guide · 60 reseñas · 9 fotos","Hace un año","Pésimo servicio, escaleras averiadas… líneas con retraso sobre todo fin de semana uno tiene que esperar por más de 10 minutos y no avisan cuando llega el siguiente"
"Unknownsoldier","Local Guide · 121 reseñas · 2 fotos","Hace 5 meses","Llevan con la obra de la escalera ni se sabe. Para unas prisas..."
"Antonio Martínez","11 reseñas","Hace 8 meses","No tiene escaleras mecánicas de bajada, una persona mayor y con las rodillas mal, menudo suplicio es acceder al metro. Una auténtica vergüenza"
"BOB. C","Local Guide · 57 reseñas · 119 fotos","Hace 3 años","Las torres de plaza de Castilla.. parecieran no tener fin entre la espesa niebla!! 🌃📸😱…"
"Carlos Conseglieri","Local Guide · 5 reseñas","Hace un año","Parece increíble que una estación que da servicio a dos hospitales no tenga ascensor. Llevan años diciendo que los van a poner, pero estarán esperando al desarrollo de la Operación Chamartín, o no se sabe a que."
"Enmanuel Valdiviezo","Local Guide · 20 reseñas · 3 fotos","Hace un año","increíble que esta estación de metro teniendo un hospital cerca donde van un montón de gente minusválida o con movilidad reducida no tenga ascensor"
"K","Local Guide · 1.250 reseñas · 2.852 fotos","Hace 4 años","Da conexión a un hospital y la estación no está adaptada para personas con discapacidad....un atraso en toda regla y algo prioritario a mejorar, pues a un hospital acuden personas con patologías y no personas sanas....."
"Wendy Jara","Local Guide · 15 reseñas","Hace 6 meses","que se arregre el metro para ir  a trabajar"
"Irene Blanco","Local Guide · 53 reseñas · 5 fotos","Hace 6 años","Le falta un ascensor. Da acceso a dos hospitales (La Paz y Ramón y Cajal) y hay tres tramos de escaleras para salir de la estación."
"Alonso QL","Local Guide · 161 reseñas · 44 fotos","Hace 6 años","esta bastante alejada de la unica boca de metro que hay es muy poco accesible para gente que lleve carrito este en silla de ruedas o tenga ya una edad y mas teniendo en cuenta el servicio que da al hospital de la paz"
"Carmen Pérez Pérez","Local Guide · 836 reseñas · 45 fotos","Hace 9 años","Genial,hay salidas hacia el Hospital de La Paz y el Hospital Ramón y Cajal,si sufres un golpe de calor o si hay alguna emergencia,pero hay muchas escaleras."
"Juan Sáez","35 reseñas · 68 fotos","Hace 5 años","Estación sin ascensor, teniendo en cuenta su salida a dos hospitales, una vergüenza, esta situación en la actualidad de mucha accesibilidad, pero sólo de palabra"
"Biruta Carpinteria","Local Guide · 270 reseñas · 58 fotos","Hace un año","Arquitectura espectacular!!!"
"Jose Luis Pascual","Local Guide · 19 reseñas","Hace 5 meses","Están de obras"
"Kahe Salas","Local Guide · 5 reseñas · 41 fotos","Hace un año","Llegué ahí para ir a urgencias y me topé con estos edificios bonitos 👍🏼…"
"Andi M","3 reseñas","Hace 4 años","Precioso,teniendo en cuenta que puedes ir en METRO al hospital  La Paz precioso teniendo en cuenta que puede ser un metro al Hospital La Paz y que además está al lado de las cuatro torres , además me encanta el METRO"
"Carla Alcala","Local Guide · 32 reseñas","Hace un año","Buena pero deben modernizar la estación."
"Duende Sotr","8 reseñas","Hace 7 años","Está fatal comunicado y no tiene ningún tipo de señal telefónica. Si no eres de Madrid y necesitas buscar cualquier cosa en Internet estás perdid@"
"Carlos M","Local Guide · 9 reseñas · 2 fotos","Hace un año","Vergonzoso estado de la estación e información nula de los trenes sentido puerta del sur por las noches."
"Juan MG","Local Guide · 147 reseñas · 3.528 fotos","Hace 6 años","¿ Se puede cruzar por el subterraneo de la estación de Begoña, desde el acceso de la calle San modesto, al acceso del Hospital de La Paz?"
"Javier Miranda Jiménez","Local Guide · 262 reseñas · 124 fotos","Hace 2 años","Bien conectada y se encuentra cerca del hospital La Paz."
"willson Osorio","Local Guide · 107 reseñas · 190 fotos","Hace 3 años","Muy buen sitio para ir a caminar"
"Francisco ReVal","Local Guide · 64 reseñas · 17 fotos","Hace 7 años","Paso todos los días por allí. Facilidad de acceso. Creo que deberían añadirle cobertura"
"Ángel Escalada (Jonhy)","Local Guide · 98 reseñas","Hace 2 años","Muy limpio para todos los viajeros que tiene."
"J. Noir","Local Guide · 91 reseñas · 78 fotos","Hace 7 años","Estación perteneciente a la Línea 10 (azul) del Metro de Madrid, y correspondiente a la zona A."
"Óscar de la Cruz (Killandero sierte)","Local Guide · 124 reseñas · 3.727 fotos","Hace 6 años","Tiene unas vistas espectaculares de las 4 Torres y el Hospital de LA PAZ."
"Marissa Rivas","Local Guide · 56 reseñas · 13 fotos","Hace un año","😍…"
"Yo Yo","Local Guide · 393 reseñas · 3 fotos","Hace 2 años","Muy tranquilo Muy buena gente"
"Martita Moreno","Local Guide · 80 reseñas · 93 fotos","Hace 2 años","Está justo en la Puerta del Hospital de La Paz"
"Rocio Rodrigo Rubio","Local Guide · 276 reseñas","Hace 6 años","Begoña es una estación del servicio de metro de Madrid línea 10 al lado de los rascacielos de Madrid"
"Camila Velazquez","Local Guide · 20 reseñas · 1 foto","Hace 4 años","Buena conexión con las 4 torres"
"Eduardo Martínez","Local Guide · 200 reseñas · 8 fotos","Hace 7 años","Mi puntuación se debe al acceso por escaleras"
"Francisco León","Local Guide · 291 reseñas · 1 foto","Hace 11 meses","Necesita una reforma."
"Ruperto Martínez","Local Guide · 212 reseñas · 224 fotos","Hace 7 años","Personal muy agradable y resolutivo."
"ricardo fernández del Blanco","Local Guide · 4.127 reseñas · 40.398 fotos","Hace un año","Mi estación de metro preferida."
"Gerardo Enrique Dominguez","Local Guide · 483 reseñas · 6.531 fotos","Hace 2 años","Una hermosa estación de metro"
"Stephan Geffre","Local Guide · 78 reseñas · 42 fotos","Hace 6 meses","Llevan más de un año trabajando en la mejora de la estación de Metro. Paso todos los días y la mayor parte del tiempo no veo ninguna actividad de construcción. Extraño..."
"Andrew Godwin","Local Guide · 104 reseñas · 114 fotos","Hace un año","Cool torres altas y hospital la paz"
"Secretos de España Viajes y Senderismo con Encanto","Local Guide · 25 reseñas · 70 fotos","Hace 2 años","¡Deben ser los amantes de los rascacielos!"
"Serie Adicto","Local Guide · 161 reseñas · 2.755 fotos","Hace 7 años","Begońa es un barrio tranquilo y pacífico. Excelente lugar para vivir."
"Rodolfo Ortriwano","Local Guide · 31 reseñas · 6 fotos","Hace 7 años","Como todo, estación limpia...."
"affaq ahmad","1 reseña","Hace 3 años","Gran información"
"Marcio Andrade","Local Guide · 73 reseñas · 114 fotos","Hace 2 años","Espectacular"
"José Gregorio Racioppi","5 reseñas · 1 foto","Hace un mes",""
"Gustavo De Veer","Local Guide · 47 reseñas · 760 fotos","Hace 4 meses",""
"Roberto Procaccianti","Local Guide · 211 reseñas · 46.637 fotos","Hace 5 meses",""
"VICTORM. DELBLANCOGLZ","Local Guide · 279 reseñas · 174 fotos","Hace 10 meses",""
"Robert Bernard Kislinger","Local Guide · 37 reseñas","Hace un año",""
"Juan Carlos Barrera Gámez","Local Guide · 102 reseñas · 288 fotos","Hace un año",""
"Gabriel Manquillo","Local Guide · 220 reseñas · 8.488 fotos","Hace un año",""
