"d4r55","RfnDt","rsqaWe","wiI7pd"
"Jorge García H.","Local Guide · 68 reseñas · 11 fotos","Hace una semana","Desde el viernes, la escalera mecánica estropeada. Luego me toca avenida de América. Está claro. La subcontrata de mantenimiento es del hermano, familiar o amigo de algún concejal. Este país es para irse de él  corriendo."
"Gregorio","Local Guide · 110 reseñas · 26 fotos","Hace 7 meses","siempre son agradables los espacios grandes bien aprovechados. cuenta con entornos muy lúdicos y agradables gracias a las donaciones del canal de Isabel II. que a sabido recuperar espacios para disfrute de niños, mayores y todo el público que quiera disfrutar libremente de ellos."
"arnoldo toro","Local Guide · 24 reseñas · 6 fotos","Hace 4 meses","Me agrada deleitarme con grandes sabores delicia y diferentes estilo de vida me encanta cada sitio diferente que conozco de cultura"
"Julio Diarte","Local Guide · 824 reseñas · 3.509 fotos","Hace 3 años","📌 Tiene fácil acceso para personas con movilidad reducida, como hay dos líneas diferentes no es complicado orientarse por los carteles.…"
"denix","16 reseñas","Hace 9 meses","Estación de metro muy nueva y cuidada,dos líneas...la 7 Naranja que te lleva hasta el Hospital del Henares..y la 2 Roja y más conocida para los foráneos como yo y a cuarto paradas del Centro..Sol..... Increíble lo que ha crecido el Metro Madrid desde la última vez que lo usé...."
"ANTONIO CRUZ SANCHEZ","Local Guide · 3.612 reseñas · 8.906 fotos","Hace 2 meses","Parada de metro accesible para personas con movilidad reducida"
"Maka Moss","Local Guide · 20 reseñas · 1 foto","Hace un mes","Raro es el día que las escaleras mecánicas funcionan bien"
"Francisco Martinez","Local Guide · 223 reseñas · 302 fotos","Hace 4 meses","Estación moderna y muy bien distribuída."
"Ross M.A.","Local Guide · 210 reseñas · 171 fotos","Hace 3 meses","En los vagones hace un calor que puedes criar pollos🥵…"
"Teresa PGT","Local Guide · 127 reseñas · 1 foto","Hace 5 años","Está bastante bien pero el ascensor de entrada está actualmente en obras por lo que no se puede entrar en silla de ruedas y es complicado con carrito de bebé. Por cierto que casi siempre hay que esperar a que te abran la puerta para meter o sacar el carro"
"Aquin J","Local Guide · 535 reseñas · 8.374 fotos","Hace 6 años","Metro de la línea 2 y 7, nuevo, muy bien cuidado"
"Susana Purep","Local Guide · 26 reseñas · 2 fotos","Hace un año","Una santa vergüenza. Otra vez hoy ponía 1 minuto de espera, y en pocos segundos ha cambiado a 14. Viva el transporte estos meses eh."
"Ángel Durán","Local Guide · 13 reseñas","Hace un año","¿Hasta cuándo va a durar la huelga sumergida de los conductores de metro? ¿Dónde está el personal trabajador de metro y el personal de seguridad?"
"Marihely Romero","Local Guide · 494 reseñas · 247 fotos","Hace 2 años","Una estación de metro muy amplia y bastante limpia. No suele estar muy concurrida. Es raro ver trabajadores de metro por ahí pero tampoco es que sucedan muchas cosas"
"カステロロシオ","Local Guide · 801 reseñas · 4.692 fotos","Hace 5 años","Estación de metro. Con dos líneas; la 2 (línea roja) y la 7 (línea naranja). Estación relativamente nueva. Es accesible,  tiene ascensores y escaleras mecánicas Esta estación tiene bibliometro. La verdad q suele estar limpia. Tiene cobertura móvil."
"Frank G","Local Guide · 140 reseñas · 490 fotos","Hace un año","Buena estación,  buen intercambio de estaciones, muy amplia, nueva, accesible a todos, ascensor, limpieza, interfono, personal de metro, etc"
"Jesús Brito","Local Guide · 76 reseñas · 159 fotos","Hace 2 años","La atención por parte del personal de objetos perdidos increíble. Había extraviado mi móvil, una persona se encargó de llevarlo hasta la oficina y pude recuperarlo. Muchísimas gracias!!!"
"luis mingo","Local Guide · 353 reseñas · 2.401 fotos","Hace 6 años","Esta parada tiene ascensor."
"Sonia Nuñez Martin","Local Guide · 153 reseñas · 3.979 fotos","Hace 7 años","Porque empiezan los próximos grandes directores de cine de ESPAÑA y mi AMIGO LULI ESTRENA UN CORTOMETRAJE GENIAL HOY DIA 20DE FEBRERO DE 2.017 MUCHAAAAA MIERDA LULI. De aqui a HOOLYBOOD."
