"d4r55","RfnDt","rsqaWe","wiI7pd"
"Iván Sáez","Local Guide · 223 reseñas · 1.040 fotos","Hace un año","Estación moderna de metro , comunica con el barrio de la fortuna (Leganés) y Plaza Elíptica, tiene acceso para minusválidos, están terminando la remodelación de la plaza donde se situa . Sólo tiene una entrada(acceso) en la avenida de Carabanchel Alto,3 Ascensores , uno exterior y dos de andenes."
"Jonathan Montes","Local Guide · 45 reseñas","Hace 5 meses","Bastante bien,cuenta con ascensor,tiene al lado buena combinación de autobuses,cue ta con bibliometro,poca gente,lo único malo es que los trenes pueden llegar a tardar en llegar una media de 7 a 10 minutos,por lo demás...bien"
"Ma Ca","Local Guide · 1.248 reseñas · 21.843 fotos","Hace 2 años","Estación de metro que pertenece a la línea 11,  solo dispone de una salida a la calle que está al lado del cuartel militar de Carabanchel, además dispone de ascensores y una escalera mecánica a la calle también. La estación en si está bastante bien ya que es moderna. Como la mayoría de estaciones ya dispone de cobertura móvil."
"David Crespo","Local Guide · 1.353 reseñas · 6.918 fotos","Hace 3 años","Estación moderna,limpia y luminosa. Con buen acceso para personas con movilidad reducida ♿ con ascensor y escaleras mecánicas. Pertenece a la línea 11 de metro (línea verde oscura)   dicen que la van a alargar. 100% recomendable."
"Victor Cruz","11 reseñas","Hace 5 meses","Es un sitio bonito y moderno"
"Carlos Miguel Díaz Gil","5 reseñas · 8 fotos","Hace un año","La señora que informa de cabello cuadrado un poco peliroja, muy mal educada y borde todo el tiempo hablando por telefono se le pide informacion con educacion y es tan falta de respeto que se burla de los clientes con quien habla en la cara, no se como admiten personal asi con tantas personas en paro. 19 de nov 2022. 10:43am"
"Gvelen Velenver","4 reseñas","Hace 2 años","La de seguridad una señora pelirroja super prepotente ,arrogante y mal educada ala hora de decirme que mi perro tiene que llevar bozal sino no puedo pasar ya que lo llevaba de urgencias al veterinario Una vergüenza que mi cachorro de 3 meses !!buldog francés tenga que llevar un bozal para pasar al metro cuando no tiene ni hocico y más de una vez he pasado con el sin bozal sugiero que cambien de personal por una persona con educación y empatía y cambien ya las reglas al menos  para los cachorros que ya me diréis que daño hacen !!!"
"David Crespo López","Local Guide · 4 reseñas","Hace 3 años","Boca de METRO amplia,limpia y muy luminosa. Con buenos accesos para personas con movilidad reducida ♿ tiene ascensor y escaleras mecánicas. Personal amable. Tiene una pequeña  biblioteca donde te prestan los libros. Pertenece a la línea 11 de METRO (PLAZA ELÍPTICA con la FORTUNA color verde oscura) dicen que la van a alargar. 100% recomendable."
"Moira Cornejo","13 reseñas · 1 foto","Hace 4 años","Esta queja es para el personal del metro. Hoy, nos caducaba el bono joven al cumplir los 26 y nos tocaba recargar el bono con tarifa normal. Como no sabíamos como hacerlo, le pedimos ayuda a una trabajadora del metro. La mujer, no se separó el teléfono de la oreja en ningún momento, incluso seguía hablando mientras hacia ella las operaciones en la maquina, sin preguntarnos nada. Nos dijo: ¿con tarjeta? Y pagamos. Se dio prisa en despecharnos para seguir teniendo su conversación privada al teléfono. Cuando salimos del metro para coger el autobus, el autobusero no nos dejó subir porque la zona donde vivimos y donde está el metro, es B-1 y la mujer nos había recargado zona A. Nos tocó bajar del bus, volver al metro, y volver a recargar el bono, porque la mujer no tuvo las luces suficientes como para preguntarnos que zona necesitamos, donde vivimos, o algo asi. Ahora llego tarde al veterinario porque alguien tenia algo muy importante que decirse con su amiga por teléfono en horario laboral. Bravo, metro de Madrid."
"Angel Leonardo Rosillo Sierra","Local Guide · 632 reseñas · 2.156 fotos","Hace 6 años","La prolongación de la Línea 11 hasta Carabanchel sitúa su estación más representativa en el centro de Carabanchel Alto. La estación toma, por tanto, el nombre del barrio para su denominación. La iniciativa para la colocación de una idea ornamental fue, en este caso, de los vecinos que, a través de su asociación, quisieron hacer un homenaje “A TODOS AQUELLOS VECINOS QUE HICIERON POSIBLE UN BARRIO MEJOR”. La estación de Metro, que además cuenta con un bibliometro, es una mejora realmente significativa para el barrio, por lo que no han querido perder la oportunidad de dejar constancia de ello. Es una estación desarrollada en tres niveles bajo tierra, por lo que podemos considerarla “profunda”. La idea ornamental se ha colocado en el primer nivel subterráneo, nada más bajar las escaleras del acceso a la estación. Se trata de un relieve mural, realizado en acero. Su autor es Moisés Ruano, quien explica el significado de su creación escultórica supone la escultura una metáfora, simboliza el trabajo de los vecinos de Carabanchel. Las vigas unidas son las manos solidarias que realmente, como reza en el frente, hicieron posible un barrio mejor."
"Hector Portela","Local Guide · 301 reseñas · 1.998 fotos","Hace 3 años","Muy buenas instalaciones de metro, tiene biblioteca y servicio de escaleras eléctricas y ascensores para personas discapacitadas.  Las instalaciones están bien estructuralmente.  Carabanchel alto aún pertenece a la zona A."
"angel gomez","Local Guide · 50 reseñas · 14 fotos","Hace 4 años","Esta zona de la línea 11, incluidos los andenes, siguen sin cobertura. Destacar en esta estación la amabilidad del personal de Bibliometro"
"JK Sánchez","Local Guide · 71 reseñas · 18 fotos","Hace 6 meses","Un sitio regular para vivir!!!"
"Un opinante delirante","Local Guide · 2.051 reseñas · 6.876 fotos","Hace 8 meses","Buena estación, como todas"
"Pablo de la Paz Sen","Local Guide · 154 reseñas · 1 foto","Hace 4 años","Buena estación,aunque un poco incómoda"
"Jav Ricochet","Local Guide · 66 reseñas · 13 fotos","Hace 7 años","La línea de metro de esta estación no es muy útil, pero la estación en si es muy agradable."
"raspajunior","Local Guide · 206 reseñas · 28 fotos","Hace 8 años","Estación normalita, tranquila. Por las noches da un poco de miedo..."
"Angela Kessel Ruiz Vela","3 reseñas · 23 fotos","Hace un año","Pocos sitios de aparcamiento 😔…"
"David Rodriguez","11 reseñas · 6 fotos","Hace 2 años","Calle muy estrecha para aparcar"
"Fco Javier Martin Ramos","Local Guide · 149 reseñas · 149 fotos","Hace 2 años","Buen sitio pero un poco escondido"
"Óscar Pérez López","Local Guide · 177 reseñas · 325 fotos","Hace 8 años","No es la estación en sí, es que la L11 no vale para nada."
"jose manuel esteban dueñas","Local Guide · 189 reseñas · 1 foto","Hace 8 meses","Hustoria"
"Rocio Rodrigo Rubio","Local Guide · 276 reseñas","Hace 6 años","Carabanchel alto es una estación de la línea 11en . Madrid"
"ANDREW BATLLE","Local Guide · 133 reseñas · 15 fotos","Hace 2 años","Muy rápido el metro"
"Jose Francisco Torrejón Román","Local Guide · 150 reseñas · 45 fotos","Hace un año","Buen acceso al metro"
"Miguel Angel Molina Rivero","523 reseñas · 19 fotos","Hace 6 años","Está muy bien ubicada"
"Daniel Miskiewicz","Local Guide · 10 reseñas · 3 fotos","Hace 4 años","Fui solo a hacer una diligencia"
"Jhon Loaiza","Local Guide · 376 reseñas · 11.164 fotos","Hace 3 años","Bonito"
"Pertur","Local Guide · 180 reseñas · 19 fotos","Hace 2 años","Una estación de metro más"
"Germán Alvarado","Local Guide · 200 reseñas · 471 fotos","Hace 7 años","Funciona como debe de funcionar, ni más ni menos."
"Santiago Chinchilla","Local Guide · 79 reseñas · 1 foto","Hace 3 años","Estación de metro como muchas"
"My lifestyle 100x100","Local Guide · 167 reseñas · 49 fotos","Hace 2 años","Buen barrio"
"inma Mezcua","Local Guide · 43 reseñas · 21 fotos","Hace un año","Una estacion mas"
"JAVIER SEGURA","Local Guide · 152 reseñas · 88 fotos","Hace 7 años","Una estación de metro, sin más"
"Toni Gc","3 reseñas","Hace 7 años","Excelente"
"Javier Gonzalez Rabadan","Local Guide · 647 reseñas · 860 fotos","Hace 4 años","Un buen barrio"
"James G.C","Local Guide · 218 reseñas · 925 fotos","Hace un año","El mejor pueblo del mundo."
"Madrid “M.E.J.P”","Local Guide · 231 reseñas · 959 fotos","Hace 4 años","Está parado en un lugar anormal."
"Cesar A. T.","Local Guide · 198 reseñas · 878 fotos","Hace 2 años","El mejor lugar"
"jesus arribas quijadas","Local Guide · 5 reseñas · 18 fotos","Hace un año","Normal"
"Otto Baleeiro","1 reseña","Hace 6 años","Excelente"
"Pedro Vargas Casique","Local Guide · 78 reseñas · 177 fotos","Hace 23 horas",""
"Gabriel Manquillo","Local Guide · 220 reseñas · 8.488 fotos","Hace 5 meses",""
"jonnatan reyes","Local Guide · 43 reseñas · 6 fotos","Hace 6 meses",""
"Abdo Abdo","1 reseña · 1 foto","Hace 7 meses",""
"Jose Alvarez Dosantos","Local Guide · 37 reseñas · 166 fotos","Hace 7 meses",""
"Claudio Hernandez","Local Guide · 3 reseñas · 3 fotos","Hace 8 meses",""
"Rafa Valdivia","Local Guide · 21 reseñas · 11 fotos","Hace 8 meses",""
"David G","Local Guide · 269 reseñas · 750 fotos","Hace 9 meses",""
"Daniel Mato","Local Guide · 94 reseñas · 11 fotos","Hace un año",""
"Diego Velazquez","Local Guide · 22 reseñas","Hace un año",""
"Desy Liarte jazz","Local Guide · 16 reseñas · 190 fotos","Hace un año",""
"J.Carlos Marquez","Local Guide · 239 reseñas · 332 fotos","Hace un año",""
"jose marin ruiz","Local Guide · 52 reseñas · 1 foto","Hace un año",""
"Yamilhet","","Hace 2 años",""
"Liliana Pa","Local Guide · 48 reseñas · 45 fotos","Hace 2 años",""
"Angel Gualan","1 foto","Hace 2 años",""
"Adolfo Pernas","Local Guide · 5 reseñas · 2 fotos","Hace 2 años",""
"Raúl León","Local Guide · 206 reseñas · 229 fotos","Hace 2 años",""
"juan nieto","1 reseña · 6 fotos","Hace 2 años",""
"Walter Zorrilla Colonia.","Local Guide · 16 reseñas","Hace 2 años",""
"Sidimeire Rodrigues","Local Guide · 164 reseñas · 2.654 fotos","Hace 3 años",""
"Yolanda martinez","13 reseñas","Hace 3 años",""
"Maria Angeles “Marian”","Local Guide · 34 reseñas · 47 fotos","Hace 3 años",""
"Medo Sy","2 reseñas","Hace 4 años",""
"Ábaco","Local Guide · 19 reseñas · 12 fotos","Hace 4 años",""
"Fernando Fernandez Ramos","","Hace 4 años",""
"Alejandro Botubol","40 reseñas · 5 fotos","Hace 5 años",""
"alvaro ramirez","1 reseña","Hace 5 años",""
"Kenny Kalman","Local Guide · 40 reseñas · 14 fotos","Hace 6 años",""
"Sonia Jovita Pidal","6 reseñas · 3 fotos","Hace 6 años",""
"Carlos Calderon Bejarano","","Hace 6 años",""
"宛澂","Local Guide · 51 reseñas · 44 fotos","Hace 7 años",""
"Marta Pascual Lapena","Local Guide · 66 reseñas · 8 fotos","Hace 7 años",""
"Martxi Ramone","Local Guide · 120 reseñas · 209 fotos","Hace 7 años",""
"Marian Mirica","","Hace 7 años",""
"Rosa Quezada","","Hace 7 años",""
"Jose Maria Freijo","Local Guide · 12 reseñas · 328 fotos","Hace 7 años",""
"Vanesa Quesada","Local Guide · 44 reseñas · 55 fotos","Hace 7 años",""
"Zoubida Hajjaj","1 foto","Hace 7 años",""
"Asia Hanif","","Hace 7 años",""
"Aritz Gorospe","Local Guide · 12 reseñas · 868 fotos","Hace 7 años",""
"Dani Guardiola","Local Guide · 130 reseñas · 105 fotos","Hace 8 años",""
