"d4r55","RfnDt","rsqaWe","wiI7pd"
"Victoria Portillo-Suárez","Local Guide · 229 reseñas · 1.187 fotos","Hace 7 años","Estación de un barrio muy popular. No hay ascensor ni si quiera escaleras mecánicas. Muy mal acceso para personas mayores o con algún problema físico, para carritos de niños, o para ir con compras voluminosas. Hay sitio en la plaza para hacer la mejora, no sé por qué no está hecha ya. Hay que tener cuidado en ﻿el andén, ﻿el vehículo queda separado."
"Doncelador","Local Guide · 3.160 reseñas · 27.038 fotos","Hace 3 años","Estación de metro Madrid perteneciente a la línea 5, no es accesible para personas con movilidad reducida carece de ascensores y escaleras mecánicas. Tiene cobertura móvil y desfribilador. Sólo cuánta con una salida a la calle, a la Glorieta del Ejército. Suele estar limpia y en buenas condiciones."
"Ma Ca","Local Guide · 1.248 reseñas · 21.843 fotos","Hace 6 años","Es una estación antigua, perteneciente a la línea 5 de metro. No tiene acceso para gente minusválida. Tiene una sola salida, que da al hospital militar Gómez Ulla. No está muy mal conservada.r"
"David Crespo","Local Guide · 1.353 reseñas · 6.918 fotos","Hace 4 años","Como estacion es antigua aunque muy bien ubicada en la línea 5 de metro te acerca al centro muy rápido, tiene carencias para personas con movilidad reducida, no hay escaleras mecánicas ni  ascensor, la salida y la entrada están situadas enfrente del hospital Gomez Ulla antiguo hospital militar."
"lorena maldonado","9 reseñas","Hace 5 meses","Es un buen lugar tambien la comida de Carabanchel es muy rica"
"lola mat","Local Guide · 179 reseñas · 44 fotos","Hace un año","Creo que no debo opinar,pues no lo conozco bien, y podría ofender a alguien Yo solo voy por allí, hacerme los pies y manos,y voy a la carrera,con lo cual! No debo opinar"
"Devinistha","Local Guide · 54 reseñas · 4 fotos","Hace un año","Yo vivo allí me gusta este barrio porque es céntrico todo me queda cerca mucho comercio donde comprar ,comer ,parque donde dar un respiro y meditar muy bueno"
"juan carlos Megia","Local Guide · 660 reseñas · 3.917 fotos","Hace 5 años","Un barrio con personalidad propia donde sus gentes son abiertas y agradables gente de bien"
"José Julio Melgares","Local Guide · 2.806 reseñas · 12.351 fotos","Hace 7 años","Un amplia escalera de entrada. No tiene ni escaleras mecánicas ni ascensor."
"Toñi Carrascal","Local Guide · 166 reseñas · 1.361 fotos","Hace 2 años","Carabanchel es un gran barrio de Madrid 🇪🇸 tiene de todo, comercios, hospitales, centros de salud, parques, etc...No sé qué más decir, solo que es un buen barrio de gente trabajadora. Tiene varias paradas de metro y buses.…"
"Carmen Castro Centeno","Local Guide · 47 reseñas · 52 fotos","Hace 7 años","Línea antigua sin remodelar.Solamente tiene acceso por varios tramos de escaleras muy pendientes en entrada y salida siendo un barrio con mucha población añosa. Imposible acceder con silla."
"ricardo sepulveda palacios","Local Guide · 521 reseñas","Hace 10 meses","Buen lugar hay muchas tiendas pero es difícil aparcar"
"A Melero","2 reseñas · 1 foto","Hace 10 meses","Nunca hay nadie por las tardes, llamas por teléfono y no lo coge nadie"
"luis Y punto","2 reseñas","Hace 6 años","Estación antigua. Sin acceso para minusválidos. Vagones antiguos y metros que siempre se estropean y retrasan"
