"d4r55","RfnDt","rsqaWe","wiI7pd"
"Ma Ca","Local Guide · 1.253 reseñas · 22.489 fotos","Hace 3 años","Estación de metro ligero que pertenece a la ML3 que está al aire libre, la estación en si está en plena calle, las vías se pueden cruzar. Está justo enfrente al Carrefour de la ciudad de la imagen."
"kefasmania","Local Guide · 302 reseñas · 2.315 fotos","Hace 7 años","Normal entre la política latina. Empresa privada que lo junta en el consorcio público de transportes. Usado en parte para blanquear dinero según las operaciones judiciales. Para entrar a trabajar típico de los países mediterráneos como Italia: hay que tener padrinos y te llaman a trabajar. Curioso que funciona mejor que el tranvía de Parla. Pero muy pocos pasajeros en ciertas horas"
"Mar C","134 reseñas · 10.093 fotos","Hace 3 años","Estación de metro ligero que está a pie de calle. Está justo al lado del carrefour de la ciudad de la imagen. No suele estar concurrido de gente."
"David Asenjo","Local Guide · 160 reseñas · 849 fotos","Hace 6 años","Estupendo sitio para estar en contacto con la naturaleza puedes encontrate con todo tipo de animales mamiferos aves peces estupendo para los animalistas muy adsesible cercita de madrid"
"Rocio Rodrigo Rubio","Local Guide · 276 reseñas","Hace 6 años","Ciudad de la imagen es una estación del metro ligero 3 en el centro comercial en un arroyo en Madrid España"
"Carlos Gomez","Local Guide · 274 reseñas · 736 fotos","Hace 7 años","Una parada de Metro Ligero más, no le veo el interés."
"ariston central","1.368 reseñas · 5.403 fotos","Hace 7 años","Parada siguiente a colonia jardín, al lado del campo y del supermercado Carrefour y Telemadrid"
"Alejandro Ronda","Local Guide · 124 reseñas · 478 fotos","Hace 7 años","A la maquina de tickets no le gustan todas las monedas"
"Rubén Kursch","Local Guide · 155 reseñas · 767 fotos","Hace 7 años","Tendrían que mejorar los horarios así no tendría que ir a buscar a mi parienta"
"Javi Lucea","Local Guide · 189 reseñas · 60 fotos","Hace 7 años","Todo lo que sea progreso. Adelante."
"DevPGSV","Local Guide · 61 reseñas · 61 fotos","Hace 6 años","Estación al aire libre"
"Polo Arcia","Local Guide · 713 reseñas · 4.280 fotos","Hace 7 años","Genial"
"Juan Rodriguez","Local Guide · 224 reseñas · 89 fotos","Hace 4 meses",""
"Gabriel Manquillo","Local Guide · 221 reseñas · 8.512 fotos","Hace un año",""
"Jose Maria Zamora","","Hace 4 años",""
"Pedro Almaraz","7 reseñas","Hace 5 años",""
"ricardo fernández del Blanco","Local Guide · 4.139 reseñas · 40.530 fotos","Hace 5 años",""
"Antonio Manuel García Jiménez","Local Guide · 145 reseñas · 997 fotos","Hace 6 años",""
