"URL","Usuario","Info","Fecha","Reseña"
"https://lh3.googleusercontent.com/a-/ALV-UjWUHwGDJ8j_3FNaLgp8OYNy3hZ06gIJNEIPnoprvCQErVuVBOTz=w45-h45-p-rp-mo-ba6-br100","AD613","Local Guide · 388 reseñas · 2.087 fotos","Hace 5 años","Es una parada de metro un poco extraña. Tiene dos salidas la de l parte norte es un poco cansina porque tienes que subir o bajar mucho. Aunque se hace con escaleras eléctricas pero se hace una eternidad. Está siempre limpia y bien cuidada."
"https://lh3.googleusercontent.com/a/ACg8ocIIyqNL2004eo6S_Bi4f1cyNyPutXmkp11yuhI0xcWRUSAjdw=w45-h45-p-rp-mo-br100","juanjo ovied","282 reseñas · 506 fotos","Hace 7 años","Està bien que la Junta municipal tenga el metro a los pies en un barrio tan extenso"
"https://lh3.googleusercontent.com/a-/ALV-UjUyl_EleaX2TK1BKm1cfukQ4CkqbXw4ySduSfY2BzGjXWIWgsm2=w45-h45-p-rp-mo-ba5-br100","Dimitri George","Local Guide · 246 reseñas · 791 fotos","Hace 3 años","Estación que lleva al Auditorio Nacional. En la imagen se ve el andén de la línea 9 (morada) de metro."
"https://lh3.googleusercontent.com/a/ACg8ocI3a9diF6j6BzxN-YeMHVPEpPHLVotdGPCnX3-ge3opEWamfg=w45-h45-p-rp-mo-br100","JUAN PASCUAL","14 reseñas","Hace un año","Mereció la pena el mes de obras. Muy buenos profesionales en la obra. Se ve más bonita, limpia y luminosa. Gracias."
"https://lh3.googleusercontent.com/a-/ALV-UjUeiRyzZJZxL7uPir4PZ1LcFowpHdQDTqEsKZ_UwXmGR86FtpEg=w45-h45-p-rp-mo-br100","Mari Carmen Carmona Vázquez","4 reseñas","Hace un año","Increible. El mejor desguace, todo lo que pedimos lo tienen. Un encanto y muy amables lo recomiendo 100x100"
"https://lh3.googleusercontent.com/a-/ALV-UjUFQHw8S2Li-CCHneDhCmHG2K3CyTylyMo1AuOWiB6VaZ-R2K9NSw=w45-h45-p-rp-mo-ba8-br100","ANTONIO ORELLANA MARTIN","Local Guide · 1.777 reseñas · 9.603 fotos","Hace 6 años","Es una estación  de metro de la linea 9 situada bajo la calle Principe de Vergara  en las inmediaciones del Auditorio Nacional de la Música,  dentro del madrileño distrito de Chamartin.  Abrió al público  en 1983. Bonita estación sin conexiones de metro  a destacar lo cerca que esta de la Junta Municipal del magnifico distrito de Chamartin"
"https://lh3.googleusercontent.com/a-/ALV-UjXEaB3TY_LdLeYw_5lzWlhaMr4RFht4YZEl644Z80LIblmmieYQ=w45-h45-p-rp-mo-ba5-br100","Patricia T.","Local Guide · 219 reseñas · 262 fotos","Hace 7 años","Es increíble que una estación de metro en este sector tenga funcionando una sola máquina dispensadora de billetes solo para pago con tarjeta. La otra, para pago en efectivo, no funciona y no hay ningún operario en la recepción de la estación. Pagas con tarjeta un bono de 10 viajes o no viajas."
"https://lh3.googleusercontent.com/a/ACg8ocLzTFSP7yY8JeLrQLvUY3powIYOlGf5dK0CN7YZWAX5aLZjHfw=w45-h45-p-rp-mo-br100","Edwin orlando Avila benitez","9 reseñas","Hace 2 años","Ayer 08/08/22 se preguntó al personal del metro persona que estaba en el mostrador algo importante  sobre el precio del bono mensual y la única respuesta  es no se, y siempre la misma persona  es así muy mal servicio hora que pregunte 14:07 min"
"https://lh3.googleusercontent.com/a-/ALV-UjU3hBqAlhdhXK_oFr_V_XCKkbKsBWc59Ooma_CsVJS5HFg9lclUNg=w45-h45-p-rp-mo-ba4-br100","Pablo","Local Guide · 248 reseñas · 49 fotos","Hace 2 años","La engañosa parada Cruz de Rayo tiene más salidas que una despedida de soltera. Una pena porque si has quedado con alguien allí, en caso de ser la salida equivocada aún te quedará media hora de trayecto para acudir a tu cita. Un saludo para la constructora y otro para la consejería de movilidad de la Comunidad de Madrid."
"https://lh3.googleusercontent.com/a-/ALV-UjXDg3Ay98AZwNfT_M0YRDuZEMVyxpNlZVRrDf5mqYIU2i9TfY4JrQ=w45-h45-p-rp-mo-ba4-br100","Carlos Gallardo","Local Guide · 94 reseñas · 5 fotos","Hace un año","Estación accesible pero con muchos tramos enormes de escaleras mecánicas."
"https://lh3.googleusercontent.com/a-/ALV-UjURzRUvdErbUfsDaL2Y8ae0aeXz0K60xXehvDTY8ZcJEFpbJulc=w45-h45-p-rp-mo-ba5-br100","Javier Miranda Jiménez","Local Guide · 262 reseñas · 124 fotos","Hace 3 años","Es la estación de metro que se encuentra en el Auditorio Nacional. En mi opinión, es de las más limpias y mejor cuidadas."
