"URL","Usuario","Info","Fecha","Reseña"
"https://lh3.googleusercontent.com/a-/ALV-UjVeiPQdrlrKvEZqMbti89uWpGS56uNY29q2bcCnY9NiPA8fNjs=w45-h45-p-rp-mo-ba5-br100","Iain Anthony Colquhoun","Local Guide · 191 reseñas · 79 fotos","Hace 3 años","La avenida de las dos Castillas que se encuentra en el término municipal de Pozuelo de Alarcón , mejor conocida como la Avenida de Europa está lleno de locales principalmente de restauración, Manacor, Starbucks, Supercor, Masa Madre, y otros locales además del centro comercial Zielo. Para pasear y tomar algo recomendable."
"https://lh3.googleusercontent.com/a/ACg8ocL6j3fUjdHjzglCFPCFitAnCJ2BggebpG8jNROfZWVFbqChuA=w45-h45-p-rp-mo-ba4-br100","Rocio Rodrigo Rubio","Local Guide · 276 reseñas","Hace 6 años","Dos castillas es una estación del servicio de metro ligero 2 en somosaguas en Madrid España"
"https://lh3.googleusercontent.com/a-/ALV-UjWvoCqTQMt4KOTb710a6OHwY1VkdudXNPkYGSP7IfW_Nc2k2hVFug=w45-h45-p-rp-mo-ba3-br100","Eliana Guzman","Local Guide · 52 reseñas · 37 fotos","Hace un año","Un lugar tranquilo y acogedor"
"https://lh3.googleusercontent.com/a-/ALV-UjUVnQMh4nFyJWeGoU12SWfPoqmZqvpUrW1oXiR_XIi2wxfZIAU=w45-h45-p-rp-mo-ba6-br100","Fernando Fábrega Schiozzi","Local Guide · 663 reseñas · 167 fotos","Hace 4 años","Buena estación."
"https://lh3.googleusercontent.com/a/ACg8ocI06hgA8Ypkdb19B43nuCWbzdiGs-chXIJpj9avL3F1AraveQ=w45-h45-p-rp-mo-br100","WekDenZ","","Hace un año",""
"https://lh3.googleusercontent.com/a/ACg8ocIQh2YqGaG0T448gu63S5DNtsFD4IvTU4BxTnkD-WhpZMHdnw=w45-h45-p-rp-mo-ba4-br100","KETHIR MOUNIR BEN SAHOUA","Local Guide · 53 reseñas · 5 fotos","Hace 2 años",""
"https://lh3.googleusercontent.com/a-/ALV-UjWeVKPk_G5o-gsCPYa_Mw0lQtccGpHEMcNUSMTwsX2sJvN10A3hBQ=w45-h45-p-rp-mo-ba6-br100","walter muiños sanjurjo","Local Guide · 134 reseñas · 1.998 fotos","Hace 6 años",""
"https://lh3.googleusercontent.com/a-/ALV-UjWktEYXVQOEX7eh1re6KMfpnoyZcRgugE5xmZxVhgJo4gxlo4Tu=w45-h45-p-rp-mo-br100","Daniel Oliver Soler","5 reseñas","Hace 6 años",""
"https://lh3.googleusercontent.com/a/ACg8ocIUsWswruhdMgG17V1KCWZi3ufq2KymKCJO8l5_f_w_XIhNaQ=w45-h45-p-rp-mo-br100","Willy Lopez","2 reseñas","Hace 6 años",""
"https://lh3.googleusercontent.com/a-/ALV-UjWqtGSENCg4TSUzujLD6L7FwsbnYLPAUZhlGF5DOmQIJGB2uKTp=w45-h45-p-rp-mo-br100","Gladys Marquez","3 fotos","Hace 6 años",""
"https://lh3.googleusercontent.com/a-/ALV-UjUbofJccHq8Jt6zAxSeaLPUkIBu8TnDJ9LB9c_njzelLRRd2a0=w45-h45-p-rp-mo-br100","Jo Ann Tapuso","","Hace 11 años",""
