"URL","Usuario","Info","Fecha","Reseña"
"https://lh3.googleusercontent.com/a/ACg8ocIPS3HUYv9ZetJP21LgcCR359baCB_FJ0pXsNZ3fzPtkbuju5M=w45-h45-p-rp-mo-ba3-br100","Rodrigo S.Q","Local Guide · 50 reseñas · 2 fotos","Hace 7 meses","Los guardias de seguridad y revisores unos incompetentes. Hoy, un yonki ha meado en un andén (ver foto), ha pasado un trabajador de metro y no ha dicho NADA."
"https://lh3.googleusercontent.com/a-/ALV-UjXGNbCPnbaNYS3cYkMKiL4odhAG7ysA9wJxdTMlHhakztDYLFfPaw=w45-h45-p-rp-mo-ba6-br100","Toni Jardim","Local Guide · 443 reseñas · 4.441 fotos","Hace 6 años","Estación de metro de Madrid con bastante tráfico de pasajeros... Intercambio entre línea 7 y 10 esta en buen estado de conservación y mantenimiento... Bien iluminado y con buena temperatura interior.... Quizás las estaciones necesitan una limpieza profunda con agua con chorro a presión... Para llevar a su estado original"
"https://lh3.googleusercontent.com/a-/ALV-UjWyZaupLKUQMlAB_CoHumBFm7pdWU3V9uB0Dp7vOKfZGrK-iWvc6Q=w45-h45-p-rp-mo-ba8-br100","ANTONIO CRUZ SANCHEZ","Local Guide · 3.643 reseñas · 8.897 fotos","Hace 2 meses","Parada moderna y accesible a personas con movilidad reducida"
"https://lh3.googleusercontent.com/a/ACg8ocK1nwnHd-Zo7INFnzZlesAnHGOMZLzzfRMQtL8EYTdcMXRSwQ=w45-h45-p-rp-mo-br100","Jorge Ydoate","29 reseñas","Hace un año","Es una buena estación de metro de Madrid. Céntrica y comunicada con línea 10 y la 7. La línea 10 Recorre castellana por debajo desde Chamartín hasta Colón (aparte de otra muchas paradas). Genial para recorrer la ciudad de arriba abajo en las visitas"
"https://lh3.googleusercontent.com/a-/ALV-UjVI82G9y7B_yYxvSP-PokD-gZPNfxuHj88v87XTtG5x9U1KU1xyfA=w45-h45-p-rp-mo-ba6-br100","Carlos Trejos","Local Guide · 767 reseñas · 2.717 fotos","Hace 2 años","Los servicios de megafonía funcionan pésimamente,  tienen un ruido estridente y ensordecedor, se agradece la frecuencia de trenes que tiene la línea 10"
"https://lh3.googleusercontent.com/a-/ALV-UjXm1eST-8kH48gU0VKychlDkiGSvJ991e33tEBejFudV2iFL5lCWA=w45-h45-p-rp-mo-ba4-br100","Andrés Z E M O G","Local Guide · 87 reseñas · 161 fotos","Hace 8 meses","Personalmente es un sitio de convergencia en mi vida, pasando por la castellana y zonas como chamberi a la vuelta o av América en la otra hacen que Gregorio Marañón sea estratégico ""en mi movilidad respecto a casa, trabajo,  visitas y quedadas etc es convergente 🤩👽…"
"https://lh3.googleusercontent.com/a-/ALV-UjUsgDayBU8UUHud96dSfy4KBr8rpUuF2evnXBzvbJ6a0afS-BhS=w45-h45-p-rp-mo-ba5-br100","EVA SOUZA MARTINEZ","Local Guide · 330 reseñas · 25 fotos","Hace una semana","Buena conexion en metro."
"https://lh3.googleusercontent.com/a-/ALV-UjVbBqcpmIpyzctpa5CmtAjh0iyG9UsAhjOBKALD02WcEHvOF77_zA=w45-h45-p-rp-mo-ba7-br100","luis manuel quiroga López","Local Guide · 709 reseñas · 8.724 fotos","Hace 3 años","Una estación más del metro de Madrid,  decorada con motivos en Cerámica en recuerdo del Doctor Marañón cuyo nombre lleva la estación."
"https://lh3.googleusercontent.com/a/ACg8ocJCc3RNC58RHq49c1PrSoQpvYVCYNBoreuRG5_mK5Oq-by1TQ=w45-h45-p-rp-mo-ba5-br100","Consuelo Navarro Gonzalez Conde","Local Guide · 327 reseñas · 6 fotos","Hace 6 meses","Es una estación de metro moderna y amplia, con ascensor"
"https://lh3.googleusercontent.com/a/ACg8ocKZRo8fjAhP1V-bPrJM2NFWStLg_TwN2NZCcEfEmryYv3laJw=w45-h45-p-rp-mo-br100","Rodrigo Plaza","5 reseñas","Hace un año","No debería llamarse esta estación de metro ""Gregorio Marañón"" como el Hospital con el mismo nombre porque confunde, y ante una emergencia el hospital queda muy lejos"
