"URL","Usuario","Info","Fecha","Reseña"
"https://lh3.googleusercontent.com/a-/ALV-UjWzblVqaRNmVRZy7VBAiDE_T0ZAqJ6D08ws2wqDx56tN-2Uyqj7=w45-h45-p-rp-mo-ba5-br100","Guillermo Musica _","Local Guide · 286 reseñas · 228 fotos","Hace un mes","### Reseña: Estación de Metro Hortaleza #### Ubicación y Contexto - **Localización:** La estación de Metro Hortaleza se encuentra en el distrito de Hortaleza, al noreste de Madrid, España. Está situada en la calle de Hortaleza, cerca de la intersección con la calle de la Poveda. - **Líneas:** Es una estación de la línea 4 (naranja) del Metro de Madrid. #### Historia y Desarrollo - **Inauguración:** La estación de Hortaleza fue inaugurada el 24 de enero de 1944, como parte de la expansión inicial de la línea 4 del Metro de Madrid. - **Nombre:** La estación recibe su nombre del distrito de Hortaleza, en el cual se encuentra. Hortaleza es conocido por ser un área residencial y de servicios. #### Infraestructura y Servicios - **Accesos:** La estación cuenta con accesos desde la calle de Hortaleza y está equipada con escaleras mecánicas y ascensores para facilitar el acceso a personas con movilidad reducida. - **Instalaciones:** Ofrece servicios como máquinas expendedoras de billetes, taquillas, y paneles informativos electrónicos. En los alrededores, los usuarios pueden encontrar varios comercios y servicios. - **Seguridad:** La estación está equipada con cámaras de vigilancia y personal de seguridad para garantizar la seguridad y el bienestar de los pasajeros. #### Conexiones y Transporte - **Líneas de Metro:** - **Línea 4:** Conecta Hortaleza con Argüelles y Pinar de Chamartín, pasando por estaciones clave como Bilbao y Goya. - **Autobuses:** Varias líneas de autobuses de la EMT Madrid tienen paradas cercanas, proporcionando conexiones adicionales con otras áreas del distrito de Hortaleza y la ciudad en general. - **Cercanías:** Aunque la estación no está directamente conectada con la red de Cercanías Renfe, se puede hacer transbordo en estaciones cercanas como Nuevos Ministerios para acceder a otros servicios de Cercanías. #### Importancia y Uso - **Flujo de Pasajeros:** La estación de Hortaleza es utilizada principalmente por residentes del distrito de Hortaleza y personas que se desplazan por la zona. Su flujo de pasajeros es moderado. - **Puntos de Interés:** La estación está cerca de varias áreas residenciales y comerciales del distrito de Hortaleza, proporcionando acceso a servicios locales y zonas comerciales. #### Opiniones y Experiencias de los Usuarios - **Accesibilidad:** Los usuarios valoran la accesibilidad de la estación, con instalaciones adecuadas para personas con movilidad reducida. - **Conectividad:** La estación ofrece una conexión conveniente dentro de la línea 4, facilitando el acceso a diferentes partes de Madrid. - **Mantenimiento:** La estación es generalmente bien valorada por su limpieza y mantenimiento, ofreciendo un entorno cómodo y seguro para los pasajeros. En resumen, la estación de Metro Hortaleza es una parte esencial de la línea 4 en Madrid, proporcionando acceso al distrito de Hortaleza y a las áreas residenciales y comerciales circundantes. Su ubicación y servicios la hacen útil para los residentes y visitantes que se desplazan por esta zona de la ciudad."
"https://lh3.googleusercontent.com/a-/ALV-UjWdX3tAK1ZJlSEdh8h8NGSBOAWGhVcUa-CtxrL2cSRL-XqgIQzj=w45-h45-p-rp-mo-ba8-br100","Ma Ca","Local Guide · 1.249 reseñas · 21.869 fotos","Hace un año","La estación es grande y está siempre limpia. Pertenece a la línea 4 de metro. Tiene ascensor. Dispone de 2 salidas a la calle."
"https://lh3.googleusercontent.com/a-/ALV-UjXWomwC0nCajJx7zc-oyn9CSGQ6r4dxJowBF33037vS4Zj99DOx=w45-h45-p-rp-mo-ba4-br100","Esteban Pulgar","Local Guide · 99 reseñas · 518 fotos","Hace un año","El acceso por la calle costa del sol que da a las canchas deportivas"
"https://lh3.googleusercontent.com/a-/ALV-UjWgSmYTTWgD5sacMeA0n6fjzI5VyBDHv0pg240UuJQquiwDmTaOZA=w45-h45-p-rp-mo-ba6-br100","Alicia García Ramírez","Local Guide · 367 reseñas · 595 fotos","Hace 2 años","Una estación de metro sin mas. Moderna, amplia, con ascensor y acceso para minusválidos. Está en la linea 4 de metro de Madrid. En el mejor barrio del mundo, Hortaleza, donde nací y allí siempre estará mi casa. El metro llegó muy tarde al barrio. Los que vivimos los ochenta a tope tuvimos que hacer muchas caminatas para llegar a casa de noche. Estaba mal comunicado. Ahora está muy bien comunicado"
"https://lh3.googleusercontent.com/a-/ALV-UjULu0lsX25Q3hphDYXsdgnhVuEzjVrdhwkFA4XnFFvfBo-RINbt=w45-h45-p-rp-mo-ba3-br100","Luis Arias","Local Guide · 35 reseñas · 80 fotos","Hace 5 meses","No me cambio por nada de aqui"
"https://lh3.googleusercontent.com/a/ACg8ocJBFnsG-apQrAgOfC30GXsIUtVkbSl2wc8ZHyH1n8UyrXUr0w=w45-h45-p-rp-mo-br100","José M.","545 reseñas","Hace 6 años","Estación de metro de la línea 4, la marrón, en el distrito del mismo nombre. La estación es de las nuevas por lo que es  bastante amplia. Normalmente cuenta con personal disponible para cuando sea necesario. Está adaptada para discapacitados y dispone de ascensor. No suele estar abarrotado."
"https://lh3.googleusercontent.com/a-/ALV-UjV_IV8A6JYnLxCVBl9utybFKQjuuZEVWqA3kpIh0BOrYc3nEMNd=w45-h45-p-rp-mo-ba5-br100","Ccm61","Local Guide · 228 reseñas · 862 fotos","Hace 2 años","Estación muy moderna. Es nueva y muy bien conservada. Limpia y agradable. Además está en un agradable parque donde puedes esperar si es necesario."
"https://lh3.googleusercontent.com/a-/ALV-UjU6tDOFeM2Ia4bD1i95lRz0NGH-ANdn6MW48aDJ8LiI17CUoE-0=w45-h45-p-rp-mo-ba7-br100","K","Local Guide · 1.250 reseñas · 2.852 fotos","Hace 2 años","Adaptado para personas con movilidad reducida. Acceso con apertura de puertas laterales y una especial más ancha para personas con movilidad reducida, cabritos de bebé.... La estación es muy profunda."
"https://lh3.googleusercontent.com/a-/ALV-UjVVuR5NEe4ZBPSlK9PYJckuV384IxgebJK0EqJUXNNfFkNmuulNWQ=w45-h45-p-rp-mo-ba6-br100","Angel Leonardo Rosillo Sierra","Local Guide · 632 reseñas · 2.156 fotos","Hace 6 años","Metro Hortaleza L 4. La ampliación de las líneas 1 y 4 hizo llegar el Metro a los barrios de la zona Norte de Madrid. El distrito de Hortaleza fue uno de los beneficiados por esta obra que lo conecta con dos líneas que penetran en el corazón de la ciudad. La estación que lleva el nombre del distrito dispone de dos accesos. Es una estación profunda, desarrollada en tres niveles subterráneos. Al vestíbulo, que ocupa el primero de estos niveles, se accede sin peldaños por uno de los dos accesos. El interesante espacio de la estación se ha visto potenciado por la colocación de un mural en el descansillo que ocupa el nivel intermedio, antes de bajar a los andenes. El mural lleva el título de PHORTALEZA y es obra de los hermanos Juan Carlos y Javier Melero. Es todo un homenaje a las obras realizadas en el Metro, a los trabajos que ha sido necesario ejecutar para conseguir el espacio que ocupa la estación, al aspecto que nos ofrece la obra subterránea en ejecución y a la gente que ha colaborado en la construcción. La obra que se muestra en el vestíbulo está formada por un mosaico de 3.796 fotografías que son la historia gráfica de la construcción del túnel y de la transformación del espacio en una nueva estación. El mural, representa las sólidas columnas que el viajero no ve, pero que existen tras el revestimiento de la estación. Con ellas hemos creado un paisaje idealizado en el que reconocemos el talento de quienes proyectaron un espacio tan singular, la profesionalidad de cuantas personas, con su trabajo, posibilitan nuestra movilidad cada día y la belleza plástica que aparece y se esconde durante su construcción."
"https://lh3.googleusercontent.com/a-/ALV-UjWyZaupLKUQMlAB_CoHumBFm7pdWU3V9uB0Dp7vOKfZGrK-iWvc6Q=w45-h45-p-rp-mo-ba8-br100","ANTONIO CRUZ SANCHEZ","Local Guide · 3.643 reseñas · 8.897 fotos","Hace un mes","Parada recientemente renovada, es sencilla solo con una línea"
