"URL","Usuario","Info","Fecha","Reseña"
"https://lh3.googleusercontent.com/a-/ALV-UjXN0OuzDBWMqFy-d3GIh7qiM5I7-E41YWqsQIudlyR7Mtr7l4EoXA=w45-h45-p-rp-mo-ba4-br100","Yolanda Rodriguez","Local Guide · 103 reseñas · 161 fotos","Hace 3 meses","Sin dudas, es un hospital moderno, con tecnología avanzada. Personal calificado y con alta docencia. Aunque hay que esperar a veces horas para ser atendidos en las urgencias, también es cierto que es debido a la alta demanda de pacientes. Aún así, sigue siendo un excelente hospital."
"https://lh3.googleusercontent.com/a/ACg8ocJkmiftBZqdhlzP-73R-QK5WV4uwpNNjGavJaJUJ4G6EpypAQ=w45-h45-p-rp-mo-br100","P p","7 reseñas","Hace 3 semanas","Increíble pero cierto. Vamos a Urgencias de este Hospital el miércoles a las 16:15h con un aparente ictus de mi madre, persona de avanzada edad, a la llegada, en admisión le hacen la documentación necesaria y nos hacen pasar a una sala para triaje, en esta sala le dan prioridad por los síntomas y nos dicen que nos avisan de inmediato...bien a las 19:30h después de una largísima espera, nos llama el doctor le hace una exploración le pauta unas analíticas y un TAC nos dice que esperemos a los resultados en la sala de espera y a las 01:30h de la madrugada nos dan los resultados, confirmando las sospechas de accidente vascular, NUEVE HORAS Y CUARTO DESPUÉS, padeciendo todo tipo de síntomas sentados en la silla de la sala de espera sin tener ninguna repuesta a las reiteradas solicitudes de información para, al final escusarse diciendo que ha habido un error informático a la hora de transcribir los informes alegando que solo hay dos médicos y que es lo que hay. Increíble pero cierto. Acaban con la paciencia de cualquiera. Todo esto ira a los Tribunales claro, pero me parecía importante dejar constancia para que lo leyera quien corresponda y tome cartas en el asunto porque estamos hablando de la salud de las personas y si no hay medios que, al menos, avisen cuando se entra por la puerta para poder tomar otras alternativas en esos momentos delicados."
"https://lh3.googleusercontent.com/a-/ALV-UjXZ72v4YZbAjmsV8w1waM3wzO3tUdcwTisfpzwk84ofusbkxOs=w45-h45-p-rp-mo-br100","Ahmadreshad Sediqi","8 reseñas · 9 fotos","Hace 8 meses","Estoy esperando casi 4 horas en parte de urgente pero cada persona nuevo que viene attendan porque hay relación y currepcion, que vergüenza 🤦‍♂️  pensaba calidades de vida en España esta bien  trabajan honesto pero que vergüenza que cogen descanso y llaman después de puesa. Aunque nosotros trabajamos y pagaremos impuestos para estabilidad de esto tipo de doctores."
"https://lh3.googleusercontent.com/a-/ALV-UjXsSNKpKCHAM5vdsYLVxGjLiww77-gS3NNLt0U_T_MwIKln3rEVnw=w45-h45-p-rp-mo-ba3-br100","Jorge Vilanova","Local Guide · 69 reseñas · 35 fotos","Hace 2 meses","Hospital prehistórico. Las habitaciones de oncología enanas, sin ventilación, sin aire en verano, los pacientes cuando les falta algo hay que estar llamando a los enfermeros (no les avisa). Tremendo lo de este sitio"
"https://lh3.googleusercontent.com/a-/ALV-UjWayWyNqNOT-60T4TsX24ye92XluiV_nrzlNaI82tSK6YLgHbQ=w45-h45-p-rp-mo-ba6-br100","francisco guevara","Local Guide · 221 reseñas · 4.608 fotos","Hace 3 años","Estacion metro hospital 12 de octubre grandiosa ubicacion en la linea Amarilla la linea 3 del metro todo Maravilloso una estacion grandiosa y en la salida del hospital 12 de octubre Uno de los mejores y mas grandes de Madrid con buenas señalizaciones y Grandioso ambiente la estacion en ocasiones no agarra tanta señal los telefonos pero Maravilloso el hospital y grandiosa Vista"
"https://lh3.googleusercontent.com/a/ACg8ocIiEJDVeH4GM-CgU2VMdQ6nT089JXh1gAZCPZTMHBrdSbogqA=w45-h45-p-rp-mo-br100","Leo Arriols","2 reseñas","Hace 7 meses","Estuve ingresada y la verdad,entre muy mala.Me atendió la internista Lucía Jorge Huerta maravillosa Humana explicando,todo con claridad y por si fuera poco dejando hablar. Felicito al hospital por esta maravillosa doctora y les expreso todo mi agradecimiento. Un dalydo"
"https://lh3.googleusercontent.com/a-/ALV-UjUx-5VQ1MJCHjGq6iFI7n1bubvC7a0ScqfdKrSJBYyo3_6fqxMV=w45-h45-p-rp-mo-br100","Miriam Etcheverry","1 reseña","Hace 5 meses","Excelente calidad humana del cuerpo medico enfermer@s asistentes y administrativos! Muchas gracias por la atencion recibida"
"https://lh3.googleusercontent.com/a-/ALV-UjWdX3tAK1ZJlSEdh8h8NGSBOAWGhVcUa-CtxrL2cSRL-XqgIQzj=w45-h45-p-rp-mo-ba8-br100","Ma Ca","Local Guide · 1.249 reseñas · 21.869 fotos","Hace 6 años","Pertenece a la línea 3 de metro. Está ubicada la salida justo al lado del hospital al que da el nombre la estación. A pesar de ser parte de la prolongación de la línea 3 de metro, no tiene cobertura móvil y una sola salida a la calle. Tiene ascensor."
"https://lh3.googleusercontent.com/a-/ALV-UjVM3NXdqLiNAy3puyHwsk5UMzQu1BowcCoZmwUgXzGd2oGTX-GI=w45-h45-p-rp-mo-br100","donaiver oquendo","1 reseña","Hace 8 meses","Tengo 7 hora esperando que me agarren punto en la cabeza y pregunto por que la demora y la respuesta fue que tengo que esperar por que lo mío no es prioridad y así como yo muchas gentes,el personal malísimo y mas la de trime llegue con toda la cabeza llena de sangre y ellas muy tranquila en el móvil para ser específicos llegue el día 23 a las 6 de mañana y la chica que estaba de guardia tratando a uno de pata además de estar las dos en el móvil y yo hablándole y ni pudo caso responde de mala manera y ya estás"
"https://lh3.googleusercontent.com/a-/ALV-UjXXgbPcTCG7XnxZM_rE-wLLvKZNFA9KoPdsFJxVmqWu49IF-GWAzA=w45-h45-p-rp-mo-ba6-br100","Luis Blasco Martín","Local Guide · 124 reseñas · 4.393 fotos","Hace 7 meses","En las pantallas te indica uso obligatorio de mascarillas. ¿ Por qué algunos médicos van si mascarillas? Lo del resto de gente ya ni os cuento."
