"URL","Usuario","Info","Fecha","Reseña"
"https://lh3.googleusercontent.com/a-/ALV-UjXNUWItySKmH--LUYp2M7p6iR9eUU-cDtxuuLcy__rjdwReQY0w=w45-h45-p-rp-mo-ba6-br100","Raquel Esteve Pérez","Local Guide · 396 reseñas · 1.899 fotos","Hace un año","Desde la estación hemos visto la cabalgata de reyes magos de Alcorcón. Muy vistosa pero la verdad que nos hemos sorprendido porque echa sido muy corta. Había pocas carrozas acompañando a Sus Majestades de Oriente y el tema caramelos…es una tradición pero no me gusta cuando los adultos acaparan los caramelos que específicamente se les tira a los niños. Curiosa la carroza de los bomberos que además iba muy animada"
"https://lh3.googleusercontent.com/a-/ALV-UjWdX3tAK1ZJlSEdh8h8NGSBOAWGhVcUa-CtxrL2cSRL-XqgIQzj=w45-h45-p-rp-mo-ba8-br100","Ma Ca","Local Guide · 1.249 reseñas · 21.888 fotos","Hace 5 años","Pertenece a la línea 10 de metro. El andén es central. La estación es grande y suele estar limpia. Tiene 2 salidas, una de ella da a los juzgados. No tiene cobertura."
"https://lh3.googleusercontent.com/a-/ALV-UjWmoriqnjUviTT9b5Eru2xlX3yPdsM8ZJPshpkTzUMtWBSZ2RgC=w45-h45-p-rp-mo-ba6-br100","Eduardo Ruiz","Local Guide · 605 reseñas · 2.494 fotos","Hace 2 años","Me gusta esta estación de metro, no la uso mucho porque me pilla lejos de mi casa pero he de reconocer que cuando la he usado me parece fácil intuitiva y sencilla, con dos entradas nada menos y accesibilidad total en toda la estación. Siempre hay personal de metro, al menos en horas punta"
"https://lh3.googleusercontent.com/a-/ALV-UjUYRBQ-iM4l1YUnsYoeLYbiWg95mgjZtBcyXlKjLUq5wHfqKTY=w45-h45-p-rp-mo-ba2-br100","José Perez","Local Guide · 9 reseñas · 1 foto","Hace un mes","Excelente  parada se metro con  todos  los servicios."
"https://lh3.googleusercontent.com/a/ACg8ocIvaL3LFRImHMZxQDhHjIyvPuQUrWIjD_5XzNQNL4UBoBhELA=w45-h45-p-rp-mo-ba5-br100","Luis Alonso","Local Guide · 78 reseñas · 68 fotos","Hace 5 meses","Una estación muy moderna pertenece a la línea 10 del metro realmente me gusta mucho"
"https://lh3.googleusercontent.com/a-/ALV-UjU95Mil4hWtX1WHcoE0n5p87r9LV49t7YzhIhMWr4SWKfe5sR0Pxw=w45-h45-p-rp-mo-ba4-br100","David Leon","Local Guide · 34 reseñas · 337 fotos","Hace 4 años","El día 4 de agosto el jefe de la estación  Joaquín Vilumbrales, que se ha negado a darme su nombre pero me ha obligado a dar mi documentación para poder quejarme, me ha tratado de la manera más humillante ya que no yo no resido en Madrid y no estoy acostumbrado a usar una máquina de billetes de metro. Después de haber estado 7-10 minutos esperando a que alguien salga a ayudarme ya que había recargado mi tarjeta de transporte pero no sabía que necesitaba un suplemento o extensión, cuando me he dirigido a esta persona para que me ayude me repetía que mi billete era de Madrid y yo estaba en zona sur y cuando le preguntaba que como podía entrar me lo volvía a repetir, por lo menos 4 veces. Después le he dicho que eso me había quedado claro y le he dicho que necesito comprar y le pedí que me ayude a comprar el suplemento a lo que me ha respondido, '¿ah encima tengo que ayudarte a comprarlo? Y es cuando le he dicho que yo no vivía aquí y no sabía como hacerlo a lo que hizo caso omiso y procedió a repetirme' le das a otro billete, aceptar y aceptar' procediendo a hacerlo el mismo de muy mala manera y con muy poca educación. Le he dicho, así ayudas tu a la gente? Ya que me parece que esas no son formas de ayudar. Le he dicho que si no lo gusta su trabajo que no lo haga, que hay mucha gente si querría ayudar a los demás. En ningún momento me ofreció una disculpa, en todo momento fue maleducado y arrogante, en todo momento se negó a darme su nombre solo me dijo que era el jefe de la estación (hombre de unos 55 años, contextura endomorfa y de cabello blanco). Al final cuando he ido a hacerle una foto a la hoja me ha dicho que no hacía falta que ya me llevaba la copia y le he preguntado que si podía hacer la queja formal de forma virtual a lo que me ha contestado 'puedes hacer lo que quieras' lo que faltaba para terminar de probar que no tiene modales. Crecí en Madrid pero llevo más de 13 años fuera y es lamentable que personas que no les guste ayudar tengan que estar de cara al público y sobre todo en medio de esta pandemia en la que todos necesitamos por lo menos comprensión y amabilidad. No quiero que la imagen de Madrid se vea ensuciada por gente así."
"https://lh3.googleusercontent.com/a-/ALV-UjXSJfLVMea9Z9wZxMWyj6rL0MVgGvqic47fcf59WKzJH4kVZ6A=w45-h45-p-rp-mo-ba3-br100","Cris Rivero","Local Guide · 66 reseñas · 10 fotos","Hace 9 meses","Las escaleras mecánicas de subida taladran el cerebro y el cerebelo. No sé cómo los trabajadores soportan el chirrido continuo y con saña que emite el mecanismo de las escaleras día tras día. He puesto una reclamación a Metro, pero ni caso (como es habitual). La contaminación acústica es insoportable y sería de agradecer que Metro lo solucionara."
"https://lh3.googleusercontent.com/a-/ALV-UjVt8l36p4_b3jSJOqUDYNhdy9LQKOCSJbIHs5ElN4DNbJ8oIEGq=w45-h45-p-rp-mo-ba6-br100","Manolo Ruiz","Local Guide · 427 reseñas · 45 fotos","Hace 4 meses","Ahora que han arreglado las escaleras mecánicas, perfecto"
"https://lh3.googleusercontent.com/a/ACg8ocLHWTf70E5ME6M_NxIoVotJfPESi13gVnV5GVLLs3EV1JUywg=w45-h45-p-rp-mo-br100","Alex O","24 reseñas · 5 fotos","Hace un año","¡¡¡INADMISIBLE, IMPRESENTABLE SUPERVISOR DE METRO!!! En horario de tardes, hay un supervisor de metro de: mediana edad con pelo blanco y complexión corpulenta, que trata de forma despectiva, arrogante y a voces a las persona que requieren de su ayuda (muchas de ellas personas de tercera edad). Contesta de forma mal educada y no hace caso a las peticiones de los usuarios. Siempre está dentro del cuarto interior, del cual sale sin el uniforme reglamentario o con este puesto de forma desaliñada. Animo a todo el mundo que tenga problemas con esta persona,  ponga una reclamación, somos muchos los afectados que ya lo hemos hecho. NO hay derecho que esa ""persona"" está ocupando un puesto público."
"https://lh3.googleusercontent.com/a-/ALV-UjVtdEB4D5zTyuJGxK4Aff-rpdmWXDTM51Jg7hlu8Mv3jb2myjA8BQ=w45-h45-p-rp-mo-ba5-br100","Andrés Florido","Local Guide · 365 reseñas · 8 fotos","Hace 4 meses","Parada de metro amplia y limpia"
