"URL","Usuario","Info","Fecha","Reseña"
"https://lh3.googleusercontent.com/a/ACg8ocJVnO5zXO9wvrbWFoU-GJZPXAGvgHuorB1NDbQCatWQzZa75A=w45-h45-p-rp-mo-br100","Rosanny Kramer","10 reseñas · 2 fotos","Hace un año","Ha sido maravillosamente perfecto. Hemos ido el día de hoy y nos sentimos muy bien atendidos por parte de los chicos y chicas"
"https://lh3.googleusercontent.com/a-/ALV-UjX_jrlybVm7Urr-qnhuooriBac10OvIVrQIABAEwGylKMBzOgEB=w45-h45-p-rp-mo-ba3-br100","Court","Local Guide · 41 reseñas · 5 fotos","Hace un año","La estación está estéticamente bastante bien, amplía y accesible, que no os confunda el nombre, la estación más cercana al centro comercial es Las Suertes."
"https://lh3.googleusercontent.com/a/ACg8ocJBnVK1UJMIKOed32W-Cn4anWGdXujuMcsah01etSYJtaw7dQ=w45-h45-p-rp-mo-ba8-br100","Francisco","Local Guide · 1.401 reseñas · 7.779 fotos","Hace 5 años","Esta estación no es la más cercana al centro comercial La Gavia, si se quiere ir allí la parada más cercana es la siguiente, Las Suertes. Está bien indicado varias veces pero aún así sigue habiendo gente que se sigue equivocando y saliendo aquí"
"https://lh3.googleusercontent.com/a-/ALV-UjXaVyvstIE0NayYQsm1xEcUuqNv9wYD9ct9Iyheno0EX2HULbMz=w45-h45-p-rp-mo-ba4-br100","David Rentero Reyes","Local Guide · 114 reseñas · 40 fotos","Hace 6 años","Estación limpia y con ascensor amplio. Hay personal del metro casi todo el día y muchos carteles que indican q el centro comercial está en la siguiente parada."
"https://lh3.googleusercontent.com/a-/ALV-UjWgmsypYTd6akjFKGwQzVOm54eF6u7CED2-L-HCMjq_gDHTPqgR=w45-h45-p-rp-mo-ba4-br100","La Mafiamilia","Local Guide · 88 reseñas · 67 fotos","Hace un año","Es verdad que confunde el nombre de la estación porque esta bastante lejos de “La Gavia”, nunca hay seguridad."
"https://lh3.googleusercontent.com/a/ACg8ocJJPKrDvT33n-ZG7qWa6tqxh_ZsIQUZMNlOxVDcOZ4Djf1YpQ=w45-h45-p-rp-mo-ba2-br100","da me","Local Guide · 13 reseñas","Hace 3 años","es ridículo llamarle la GAVIA cuando la parada del centro comercial es LAS SUERTES , mucha gente por no decir la gran mayoría se equivoca y se baja una parada antes ."
"https://lh3.googleusercontent.com/a-/ALV-UjXkgsPN4okDq5oX6tJc4zFHcuShRN7agHN6fPnwBI-A1N8JX4Q=w45-h45-p-rp-mo-br100","Miguel García","12 reseñas · 1 foto","Hace 6 años","el rocodromo esta cerca del metro , pero atencion esta mañana hemos ido unas cuantas personas y la verdad esque nos hemos encontrado con las presas flojas tanto las del boulder como en la torre para escalar ,ademas alguna de ellas se an partido ... sinceramente es un poco peligrosa la instalacion ya que si estan flojas y se parten las presas a saber como estan a las que uno no llega como es el caso de la torre de escalada , asi que espero  que esta info sirva para algo muchas gracias . en youtube puedes ver el video de algunas de las presas en mal estado . ROCODROMO EXTERIOR VALLECAS METRO LA GAVIA ... NOMBRE DEL VIDEO"
"https://lh3.googleusercontent.com/a-/ALV-UjXjuhRXYSdj2V38SZgNnba4EY2SCBGitT_8MSf5aaRcg8n5J4Dbew=w45-h45-p-rp-mo-ba4-br100","Miguel Ángel Hernández Castro Miyo","Local Guide · 143 reseñas · 220 fotos","Hace 8 años","Adaptada para minusválidos. Cuidad la estación la gavia no es la del centro comercial la gavia. Para ir al centro comercial usar la estación ""las suertes""."
"https://lh3.googleusercontent.com/a-/ALV-UjWzblVqaRNmVRZy7VBAiDE_T0ZAqJ6D08ws2wqDx56tN-2Uyqj7=w45-h45-p-rp-mo-ba5-br100","Guillermo Musica _","Local Guide · 286 reseñas · 228 fotos","Hace 5 meses","alguien vive aqui?"
"https://lh3.googleusercontent.com/a/ACg8ocLSIEqp0C1EEWhybwLrg2QQR3fjlIEyS4FRkrx-ZkC_8RxuaA=w45-h45-p-rp-mo-br100","elizabeth acosta","25 reseñas","Hace 3 años","Muy mala señalización,  es difícil ubicar los cajeros xq no tienen punto de información."
