"URL","Usuario","Info","Fecha","Reseña"
"https://lh3.googleusercontent.com/a-/ALV-UjVyRG5rOEhQHQPp4WGaXBsU5yQUmnuCs2K_qJ93l4ZJr6JyP3PA=w36-h36-p-rp-mo-ba6-br100","Mayte Negrete","Local Guide · 352 reseñas · 5.468 fotos","Hace 4 meses","Una zona muy bonita y comunicada"
"https://lh3.googleusercontent.com/a-/ALV-UjUFpHs1Vetp6bUsugNFDIematbwr4vmoEduQwBrePVdEoUSgQZA=w36-h36-p-rp-mo-ba4-br100","Álvaro Blanco Sanginés","Local Guide · 83 reseñas · 9 fotos","Hace 6 años","Los billetes son muy caros y no hay baños públicos. Además cuando me equivoco sacar un billete sencillo que no debería irme en plaza Castilla sino en sol (los billetes deberían costar el mismo Precio ) encima me da una multita como regalo. No sólo hablo en el metro La Moraleja sino que también el metro de Madrid en general. Los precios son muy altas y el servicio es tan mala calidad que los trabajadores siempre tienen muy mala hostia y ¿Qué culpa tengo yo?.  En fin... en el centro de Madrid siempre hay gente de muy mala hostia por culpa del metro de Madrid."
"https://lh3.googleusercontent.com/a/ACg8ocKzwKbPCK8k8VkIb6w6fQfVRmsJrW6aOqZg998zvwwm6-E-kA=w36-h36-p-rp-mo-ba3-br100","Alvaro Navarro","Local Guide · 48 reseñas","Hace 2 años","El poco personal que hay, cuando aparece se pasa media hora de chachara con una clienta y el resto a esperar a que terminen de charlar tranquilamente. Al final me he tenido que ir sin poder resolver mis dudas"
"https://lh3.googleusercontent.com/a/ACg8ocIeB_Nr2rEqPoOYK-pF7Uxsg-Sw_Og1z_DGXXxpZwaBpe0KAw=w36-h36-p-rp-mo-ba4-br100","Carlos Mujica","Local Guide · 91 reseñas · 151 fotos","Hace 7 años","Está bien ubicada, las pantallas como en todas las estaciones de metro tienen información no útil en vez de colocar la llegada de los trenes. Los ascensores funcionan bien."
"https://lh3.googleusercontent.com/a/ACg8ocK37nmJZAdx6SHv0qn5-bQt2kBdAMmZz2hoqGG1F19cbkCfeg=w36-h36-p-rp-mo-ba5-br100","Eduardo","Local Guide · 313 reseñas · 120 fotos","Hace 2 años","Zona muy buena, estación del metro bien ubicada, barrio de mucho nivel, es muy recomendado"
"https://lh3.googleusercontent.com/a-/ALV-UjVBc_epU9sdQsjFXzLAPdXzjw_7mXfCSzUHMnS51XqzykquHPCW=w36-h36-p-rp-mo-ba3-br100","Juan Altuve","Local Guide · 28 reseñas · 14 fotos","Hace 9 meses","Las escaleras eléctricas tienen ya una semana dañada y no las arreglan"
"https://lh3.googleusercontent.com/a-/ALV-UjXa4xhgleBISSgTaoTCin8AmjPlsSzJXPpGxKOu0qfg7OW5S24L=w36-h36-p-rp-mo-ba5-br100","Douglas Aguirre","Local Guide · 520 reseñas · 419 fotos","Hace un año","Un buen lugar, muy accesible, limpio!"
"https://lh3.googleusercontent.com/a-/ALV-UjX2FndJToKmgf188BkD5ouO7XB7Z1ErgQBb9eN_G9dz7eFECboh=w36-h36-p-rp-mo-ba2-br100","Paulo Sergio Da Silva","Local Guide · 17 reseñas · 27 fotos","Hace un año","Zona donde sí mezcla currantes y pijos.."
"https://lh3.googleusercontent.com/a-/ALV-UjXWcfIi0v8X3BcMnSQGbsoaXuTTJR7HAFTyh-oM_BATtHZTT0XN=w36-h36-p-rp-mo-ba3-br100","Mari Lacourtt","Local Guide · 61 reseñas · 60 fotos","Hace 2 años","Zona tranquila, con los mejores amaneceres 💫…"
"https://lh3.googleusercontent.com/a-/ALV-UjX32uPYggtqIQwjcPZ3BFzKS_J2nK-5dZRNv4fTjzQu7pIn8jYjxQ=w36-h36-p-rp-mo-ba4-br100","Goldy Gluck","Local Guide · 180 reseñas · 144 fotos","Hace un año","Bellisima zona de Madrid, familiar y acogedora"
