"URL","Usuario","Info","Fecha","Reseña"
"https://lh3.googleusercontent.com/a-/ALV-UjWBgIy8H_Pe6ErDsIbryl4nC-Gj401tRf47actSfXroIPv8N6SZ=w36-h36-p-rp-mo-br100","Jose Manuel Galan Blanco","9 reseñas · 4 fotos","Hace un mes","De mal a peor,una estación cerrada más de 9 meses,los autobuses gratuitos no valen para nada tardan media hora en llegar y si te descuidas 1 hora a la gente que tiene que trabajar,yo ya cuando tenga tiempo pondré reclamaciones,es una vergüenza con todo mi respeto"
"https://lh3.googleusercontent.com/a/ACg8ocJuF1Rgxg6viessvi8ZWcHnqwSdFljLMlNka4CBNUeqtMRuyw=w36-h36-p-rp-mo-ba3-br100","MA RL","Local Guide · 20 reseñas","Hace 6 meses","Me hacen gracia los que dicen que es una estación muy limpia,  en apariencia. El otro día estaba el ascensor estropeado y baje por las escaleras normales, las automáticas me Dan vértigo,  iba apoyada en el pasamanos,  cuando llegue a bajo,  tenía la mano negra,  no lo habían limpiado por lo menos desde la inauguración de la estacion"
"https://lh3.googleusercontent.com/a-/ALV-UjVWOTTZz44_0u2I0ifNHs61CfEQkyYnl0rwrInLiT7vAWfki2FtZw=w36-h36-p-rp-mo-ba6-br100","Mari Pica","Local Guide · 367 reseñas · 2.661 fotos","Hace un año","Una estación nueva, bien cuidada y limpia. Entre semana el último tren que se acerca al centro de la capital pasa antes de las 12 de la noche, en mi caso tuve suerte pero creo que otro más sí podría haber."
"https://lh3.googleusercontent.com/a/ACg8ocIMUKG7pn0ekIdboWHrazeGbi0dmMqRJoT4d0Bi3DfrNFNL_Xs=w36-h36-p-rp-mo-ba5-br100","Juan Carlos Herrero","Local Guide · 209 reseñas · 287 fotos","Hace 5 años","Lo mejor es el supermercado que hay ahí, se llama Plaza. Muy buen pescado, gran selección de quesos, y tienen vinoteca con muchas referencias. También tienen salas de cine y bares de tapas. Es pequeño pero variado. La pena es que cada vez tiene más locales vacíos. Aparcamiento gratis si compras."
"https://lh3.googleusercontent.com/a-/ALV-UjVs_kqy8Qkvh6VJcHgikxKpDeeOnWqpGAYYlf0XJJ9-uLRNT37usw=w36-h36-p-rp-mo-br100","Isabela","11 reseñas · 5 fotos","Hace 2 años","Fatal. Horrible. La señora que trabaja como personal del metro ha sido muy desagradable y ha aplicado sus propias leyes. Según el consultorio y las reclamaciones, no podía haber…"
"https://lh3.googleusercontent.com/a-/ALV-UjVyu-56imZRZEJf9tU5QZyHaiOKT0KTF2eoI5NyiPUVcpHIk--e=w36-h36-p-rp-mo-ba4-br100","Oscar Cabeza Tello","Local Guide · 56 reseñas · 3 fotos","Hace un mes","Se ha quedado obsoleto"
"https://lh3.googleusercontent.com/a-/ALV-UjVdl2HLeyzSwQI_L4lG9d1wqnmzItudlW0qMsQSQMYVMFPMB8Bu=w36-h36-p-rp-mo-ba4-br100","José Rafael Aranguren","Local Guide · 79 reseñas","Hace un año","Es un lugar amplio, llamativo y seguro. Por desconocimiento tuvimos que resolver problemas con el tiquete para pasar de la zona A a la zona B y viceversa"
"https://lh3.googleusercontent.com/a-/ALV-UjW0aDallbjlO48QnhZeH3rXtb-mmRvWY_GOQiZnlc8E2vUqjQ=w36-h36-p-rp-mo-ba4-br100","Axenan 126","Local Guide · 123 reseñas · 7 fotos","Hace 2 años","Buen centro comercial en sus tiempos, pero se está quedando algo viejito, aunque lo prefiero mil veces al nuevo que han hecho, si se le puede llamar centro comercial..."
"https://lh3.googleusercontent.com/a/ACg8ocKPVjHNld8MLEyItal5xS2u7UQo23o0BdkVar9yypmSWPZLew=w36-h36-p-rp-mo-ba6-br100","Jose Antonio Martin Romaniega","Local Guide · 464 reseñas","Hace 2 años","Un centro comercial en decadencia. Están  casi todos los locales cerrados. Una pena"
"https://lh3.googleusercontent.com/a-/ALV-UjWflzpVHQ1o3Vl0K5TnN2h6bR8PwbG6xcjrNn8uox_syvwkTpsgTA=w36-h36-p-rp-mo-ba6-br100","Ismael Enrique Angulo Yamawaki","Local Guide · 231 reseñas · 2.091 fotos","Hace un año","Excelente experiencia vista al lago y las Fuentes"
