"URL","Usuario","Info","Fecha","Reseña"
"https://lh3.googleusercontent.com/a-/ALV-UjVFOvor0L6ayZ2lLm-bNQZJyXQpyO7Y223J4LjYE5NIaE_ydPOs=w36-h36-p-rp-mo-ba5-br100","Dora UnaDoradita","Local Guide · 68 reseñas · 654 fotos","Hace 6 meses","1961. Inaugurada. Metro al aire libre, cual tren. EVOCA 💒 Una iglesia con campanario. 🐮 Una casa de campo. 👽🛸 Nave espacial con pista de aterrizaje (estilo arquitectura Galáctica 3er cuarto del s.XX). 🚂 Mira la veleta EXCURSIÓN Perfecta para ir de excursión con peques. En la estación con forma de casita bonita puedes contarles un cuento sobre el lugar. Amplias zonas verdes, multitud de espacios para caminar y hacer pequeñas excursiones de descubrimiento con ellos. CERCA HAY Creo que no hay baño aquí pero hay zonas cerca del lago donde tomar algo. A unos 12‘ andando de la casa de Los Hexágonos. A unos 12‘ también del antiguo recinto antigua Expo del Campo (1950 -1975) donde aparecen representadas regiones de España con edificios únicos y curiosos."
"https://lh3.googleusercontent.com/a-/ALV-UjVA_FT4VAQK1XiEX5aJb5msONBfT5W3ofo4KglSw7IgceGX_uKr9A=w36-h36-p-rp-mo-ba4-br100","Greyz","Local Guide · 26 reseñas · 26 fotos","Hace 2 años","Peculiar lugar, con el lago y sus patos, restaurantes, grama o bancos para tomar un respiro, una siesta. También se puede montar en botes. La estación del metro queda adentro del parque, súper cómoda, la verdad,  lo desconocía. Llegamos por los caminos que conducen de los parques  temáticos hasta allí. Una buena caminata!🌞💪😋…"
"https://lh3.googleusercontent.com/a/ACg8ocK5u8V_L8yoZfwZKunTN4HCJgFRsIWyoj0mGumXU7YFPG3GKQ=w36-h36-p-rp-mo-br100","Leslie Mora","7 reseñas · 88 fotos","Hace 6 meses","Bonito lugar para pasar en familia."
"https://lh3.googleusercontent.com/a-/ALV-UjUUnX2_YwbHy2OgyyFv6-4jFu3_D84RWtcFiPOTHL8UMAvEV8sL=w36-h36-p-rp-mo-ba8-br100","David Crespo","Local Guide · 1.354 reseñas · 6.921 fotos","Hace 3 años","Estación antigua y a la vez moderna. Instalaciones limpias,luminosas. Con buen acceso para personas con movilidad reducida ♿ con ascensores. La entrada es como una casita es muy bonita. Te lleva a la Casa de Campo . 100% recomendable."
"https://lh3.googleusercontent.com/a/ACg8ocIrxghge2pmKzjE7O8-lPiezXhfApGFRlETey95Na_FaWQPow=w36-h36-p-rp-mo-ba4-br100","josefa gomez pimpollo","Local Guide · 70 reseñas · 49 fotos","Hace 6 meses","Es un sitio estupendo dentro de la casa de campo, para pasear alrededor del estanque y después tomar algo en los restaurantes que lo rodean o en sus merenderos libres"
"https://lh3.googleusercontent.com/a-/ALV-UjVMj9zsAfZL9kDHR-pHTGHCkdxjBUqI3PxCH02Bp9X6dXlfMxRW=w36-h36-p-rp-mo-ba3-br100","Ray Nelson Pons Díaz","Local Guide · 28 reseñas · 73 fotos","Hace 8 meses","Me gusta como tiene una ventana y ves cuando llega y se va el tren."
"https://lh3.googleusercontent.com/a-/ALV-UjVs7zqIrUH2G4ALeq64CIIi-FVEyq-RQVieDQGLUbiOtdQ1o_1d=w36-h36-p-rp-mo-ba5-br100","ME.","Local Guide · 103 reseñas · 110 fotos","Hace un año","Es de las estaciones de metro más rápida por ser la línea 10 que atraviesa todo Madrid de norte a sur. La estación es muy bonita y muy accesible porque está a ras del suelo, solo hay que bajar unas pequeñas escaleras y hay ascensor. El entorno es excelente y privilegiado en plena casa de campo de Madrid"
"https://lh3.googleusercontent.com/a-/ALV-UjVR9_CLdtEj8vCcVilD8vm-CHygPvS8NEABmQUUwW8v2qtmsK8Evw=w36-h36-p-rp-mo-ba6-br100","Nicolás Jiménez Hernández","Local Guide · 309 reseñas · 430 fotos","Hace 9 meses","Lugar entrañable para quienes vivimos en la Colonia del Manzanares, aunque ahora con mucha más gente que antaño. Espacios para pasear y montar en bicicleta y muchos restaurantes para picar."
"https://lh3.googleusercontent.com/a-/ALV-UjWXqmeXutXDjA2jnAvzM9wFT-VoxESybk9oq4Gdwq0wuhu_0lfj=w36-h36-p-rp-mo-ba4-br100","Alonso QL","Local Guide · 161 reseñas · 44 fotos","Hace 6 años","estacion que da acceso al lago de casa de campo como su nombre indica y es un trozo de recorrido al aire libre diferente"
"https://lh3.googleusercontent.com/a-/ALV-UjWt_zD_xR4-LWKn5jcZ3rk2O5plmAA9i89D_jUiKia8Vj3Xfw=w36-h36-p-rp-mo-ba6-br100","Fox Spain","Local Guide · 470 reseñas · 5.521 fotos","Hace un año","Estación de metro de la línea 10 del Metro de Madrid, situada al lado del lago de la Casa de Campo. Es exterior, los trenes circulan al aire libre, dispone de ascensores, información de próximos trenes, máquinas de autoventa de billetes, etc. A poca distancia está el Pabellón de Cristal de la Casa de Campo, donde se hacen exposiciones y ferias, como Classic Madrid los meses de febrero."
