"URL","Usuario","Info","Fecha","Reseña"
"https://lh3.googleusercontent.com/a-/ALV-UjUdGYsBpVABogc9CFceLx4OqWG8HoP7sexLOlBunm-P6n_SH9B9iw=w36-h36-p-rp-mo-ba6-br100","Julio Diarte","Local Guide · 827 reseñas · 3.509 fotos","Hace un año","Ojalá que pongan un buen ascensor que le hace falta para personas con movilidad reducida."
"https://lh3.googleusercontent.com/a-/ALV-UjXnewNEbYYaXdHD0epgVByIWzW2jKqBZMPTzU18-HYzM_sBuOGCqw=w36-h36-p-rp-mo-ba8-br100","Doncelador","Local Guide · 3.160 reseñas · 27.038 fotos","Hace 3 años","Parada de la línea 7 de Metro Madrid, no es accesible para personas con movilidad reducida, cuenta con escaleras mecánicas y desfribilador. Dos entradas ambas en la calle Niza números pares e impares a la misma altura esquina Travesía de Ronda. Está dentro de la zona tarifaria A. Limpia y en buenas condiciones."
"https://lh3.googleusercontent.com/a-/ALV-UjXG35ugLhkQqTKrelnv7c0unQEMYG7JAxgkV5gSs-BW1N1_46fV9Q=w36-h36-p-rp-mo-ba5-br100","Alberto S","Local Guide · 383 reseñas · 167 fotos","Hace 5 años","De las peores estaciones de Madrid, con fatal acceso y esquinas metálicas en las que te puedes dejar la cabeza si te descuidas. Hay un tramo largo en el que las escaleras mecánicas solo son de subida"
"https://lh3.googleusercontent.com/a-/ALV-UjVVuR5NEe4ZBPSlK9PYJckuV384IxgebJK0EqJUXNNfFkNmuulNWQ=w36-h36-p-rp-mo-ba6-br100","Angel Leonardo Rosillo Sierra","Local Guide · 632 reseñas · 2.156 fotos","Hace 6 años","Las Musas es una estación de la línea 7 del Metro de Madrid situada bajo la intersección de la avenida de Niza y la travesía de Ronda, en el distrito madrileño de San Blas-Canillejas, y actualmente con la inauguración del nuevo estadio de fútbol del Atl. de Madrid, el Wanda-Metropolitano es uno de los puntos más cercanos a dicho estadio."
"https://lh3.googleusercontent.com/a/ACg8ocLrVBAfHBZxo4tGmQ0YMI3_yDklTjebz35VfaCxSydrJiYtMQ=w36-h36-p-rp-mo-ba6-br100","javier sanchez-bueno nuñez","Local Guide · 264 reseñas · 77 fotos","Hace 2 meses","Que me va a parecer? Una estación de metro con muchas carencias"
"https://lh3.googleusercontent.com/a-/ALV-UjXEV8A8tfNfJ3HWgh4uALFOqAWhOKCFt1UyE8uGbe66XSfgx2TE=w36-h36-p-rp-mo-ba6-br100","Julio Obregon","Local Guide · 548 reseñas · 2.757 fotos","Hace 3 meses","Una buena estación de metro y limpia."
"https://lh3.googleusercontent.com/a-/ALV-UjX60231KrsJl4imnCbEon3K-8NJQHt9AfW2MMBbPwQjTeAi7aw=w36-h36-p-rp-mo-br100","Celia Caellum","34 reseñas","Hace 11 meses","Falta un ascensor y falta infraestructura... En cuanto llueve se inunda y deja a medio barrio vendido.Espabilen...por favor..."
"https://lh3.googleusercontent.com/a-/ALV-UjVPlI3_WxZ-JbiFDSG6A1n_aKR_BFRpvuYb0hLgejNuccGQun5Z=w36-h36-p-rp-mo-ba8-br100","José Julio Melgares","Local Guide · 2.804 reseñas · 12.348 fotos","Hace 7 años","Estación con dos accesos/salidas a ambos lados de la Avenida de Niza. No tiene ascensores."
"https://lh3.googleusercontent.com/a-/ALV-UjUf0Umb4Q3Npg6qvmrbXDda600H5Ta2sPxXH3BnQzO3jmu22hw=w36-h36-p-rp-mo-br100","Back to the future","2 reseñas","Hace 7 años","Estación ideal para saltarse los tornos y ahorrarte los 60 pavos del abono transporte, ya que a los seguratas los verás siempre en las escaleras de la boca de metro con el puñetero Whasap , y muchas veces ni están."
"https://lh3.googleusercontent.com/a/ACg8ocL_jwXRd57KQ4l8I7A0P_cqo5Zirgbz9kHCd_oq8KSDIIv3jQ=w36-h36-p-rp-mo-ba4-br100","Giovanny Mejia Valdes","Local Guide · 126 reseñas · 1 foto","Hace 2 meses","Bien"
