"URL","Usuario","Info","Fecha","Reseña"
"https://lh3.googleusercontent.com/a-/ALV-UjWdX3tAK1ZJlSEdh8h8NGSBOAWGhVcUa-CtxrL2cSRL-XqgIQzj=w36-h36-p-rp-mo-ba8-br100","Ma Ca","Local Guide · 1.250 reseñas · 22.125 fotos","Hace 6 años","La estación es bastante amplia y moderna, como todas las actuales. La estación suele estar siempre limpia. Además comunica con el metro ligero 1, que se coge en la calle, puesto que las vías están en la calle."
"https://lh3.googleusercontent.com/a/ACg8ocI6eUtpTDpvCoq4Haju-xH8C6CMVsYOpzmRXAKXKL6xi38U2g=w36-h36-p-rp-mo-ba5-br100","Manu DF","Local Guide · 392 reseñas · 47 fotos","Hace 4 meses","Barrio residencial con mucha oferta de bares y copas. Nivel medio alto. Buenos supermercados, avenidas y calles amplias. Muy cerca de la A-1."
"https://lh3.googleusercontent.com/a/ACg8ocJ8DdwwYniXqMHw_uLmQhZlUpl2NSVmNgDPoXowzH0hBfiNkQ=w36-h36-p-rp-mo-ba4-br100","Diego","Local Guide · 13 reseñas · 270 fotos","Hace 2 meses","Estación muy buena."
"https://lh3.googleusercontent.com/a-/ALV-UjWJKu8UvKdoZgh8lweghvyVtLe9mraK22b_Y7SfdsPfYiDd0Da0=w36-h36-p-rp-mo-ba4-br100","Mamen Montagut","Local Guide · 77 reseñas · 40 fotos","Hace un año","Las señoras de recepción, en concreto la del pelo negro y rizado, fue bastante desagradable explicando. Se pueden decir las cosas con una amabilidad mejor. Hay personas que no salimos de la zona A señora y no sabemos cómo funciona el cambio…"
"https://lh3.googleusercontent.com/a-/ALV-UjWvIJoxqbs5gsNDMZC4V2LNaXashrZqTPkTB8ZnLvU90XAkcHvi=w36-h36-p-rp-mo-ba5-br100","Guillermo Olivieri","Local Guide · 221 reseñas · 225 fotos","Hace 7 años","Instalaciones modernas, sin cobertura móvil.   Por la mañana está abarrotada de gente, los viernes a las 15hs también."
"https://lh3.googleusercontent.com/a-/ALV-UjUK9M6VEtA69ZAwKVDdzQ3nffzX3LuZPbqPP2mry0kvbf0Rd20=w36-h36-p-rp-mo-ba5-br100","Esther Martínez de Prádena","Local Guide · 174 reseñas · 393 fotos","Hace un año","Un barrio estupendo para vivir. Con muchas zonas verdes, bien comunicado con metro y autobuses y con muchos restaurantes."
"https://lh3.googleusercontent.com/a-/ALV-UjWs9XtdWSwNEmqf1ka1Aea_-doZTFfOIjWVU0e9yxrluGxU9JDa=w36-h36-p-rp-mo-ba5-br100","Verónica Lander Hernández","Local Guide · 373 reseñas · 189 fotos","Hace 7 años","Excelente estación. Bonita vista organizado. Sin embargo, si vas en sentido línea 10 puerta azul creo que sale mejor seguir en metro ligero hasta pinar de charmartin y luego tomar la línea 1 hasta plaza…"
"https://lh3.googleusercontent.com/a-/ALV-UjU6xzKg50Eoedgk2GeVV7N8fuMURI_oqeUl0Y8FMcgE8yp_geuq=w36-h36-p-rp-mo-ba6-br100","paco torres","Local Guide · 360 reseñas · 531 fotos","Hace 3 meses","Una estación de metro sin mas"
"https://lh3.googleusercontent.com/a-/ALV-UjVrMVqGk-n8NrQYfuzrOCI-dL8A3HIyCBT-VnNRQIRRKyRilUbtlA=w36-h36-p-rp-mo-ba4-br100","Arantza Bouzas Martínez","Local Guide · 87 reseñas · 51 fotos","Hace un año","No me parece normal que en pleno sábado haya que esperar 11 minutos al próximo tren..."
"https://lh3.googleusercontent.com/a-/ALV-UjUwnBlfuQin_qdhkh8SOOXf6oiq6pOUeHrhJoz8MZTgf8w-U6QQ=w36-h36-p-rp-mo-ba6-br100","susana matias","Local Guide · 343 reseñas · 3.365 fotos","Hace 2 años","Hermoso barrio de madrid, ideal para gente joven, muchos colegios e institutos"
"https://lh3.googleusercontent.com/a-/ALV-UjV9DnPnWTk1_jTQ9sBaUSrhS6mvTpUahcvfUqkr-EqSYfo7Z9HY=w36-h36-p-rp-mo-ba4-br100","Alberto Cordova","Local Guide · 94 reseñas · 11 fotos","Hace 9 meses","Conociendo Las Tablas primera vez. Lugar inmenso."
"https://lh3.googleusercontent.com/a-/ALV-UjV9UAPTUdbANpr6f-d7yeiVR-ANVxWT227WjwEy6OQhIebSCyMt=w36-h36-p-rp-mo-ba4-br100","Josefa Fernandez","Local Guide · 78 reseñas · 99 fotos","Hace un año","Bonito barrio para vivir.  Cerca de Madrid centro. Buenas comunicaciones"
"https://lh3.googleusercontent.com/a-/ALV-UjVkeTbUnu0MtNypVfRccgQwaSULlOA88870XaQ_gXnY7gqrI5_A=w36-h36-p-rp-mo-ba4-br100","Olimar Perez Murgo","Local Guide · 49 reseñas · 30 fotos","Hace un año","Buen espacio, no hay mucha cantidad de gente en las calles. Se puede caminar, o hacer ejercicios con tranquilidad."
"https://lh3.googleusercontent.com/a/ACg8ocIryabaCfkOW2qGt7-FLvaMK94r96d0JNybMfwulSmGRigaeQ=w36-h36-p-rp-mo-ba4-br100","mario matesanz","Local Guide · 86 reseñas · 54 fotos","Hace 3 años","Parada de metro con afluencia. Le faltan más máquinas para adquirir los billetes...solo tiene 2 y otra de metro ligero.... Con la afluencia de gente que hay últimamente Deberían poner más...muchos tornos pero poco personal y máquinas de billetes de metro..."
"https://lh3.googleusercontent.com/a-/ALV-UjWE08VdogGzbTjNvd7PkcXtOho-8ZmuJ1g9wM0A5LXRm7DSAkPa=w36-h36-p-rp-mo-ba5-br100","Marlon Torres","Local Guide · 339 reseñas · 354 fotos","Hace 2 años","Estación donde confluyen metro, cercanías y ML. Muy espacioso, limpio y bien señalizado."
"https://lh3.googleusercontent.com/a-/ALV-UjVeEwAb_eqkJ_XIpKndUn2YBzpXhSS4bWRJxERAFi7clsG65Woqmw=w36-h36-p-rp-mo-ba4-br100","jose luis lefort","Local Guide · 37 reseñas · 130 fotos","Hace 3 años","Es un barrio muy abierto, con calles anchas y muchas zonas verdes ajardinadas."
"https://lh3.googleusercontent.com/a-/ALV-UjWLpT-7ddLOJGwker513LxpKZGN9bBjpu7ffECef_etuxmFQfY=w36-h36-p-rp-mo-ba4-br100","Aitor Retolaza","Local Guide · 104 reseñas · 444 fotos","Hace 7 años","Rápido y bien conectado. La pena el trasbordo de Tres Olivos, sino te plantas en la Glorieta en Alonso Martínez en 30min."
"https://lh3.googleusercontent.com/a/ACg8ocI1Slqvu7poF1uxq2GW0fAbuzYD_cGTppWHLVU0H5iZSPBcFA=w36-h36-p-rp-mo-ba4-br100","Ana Cardiel","Local Guide · 60 reseñas · 87 fotos","Hace un año","Esta todo muy solo .... paseas y no hay nadie no viviría alli"
"https://lh3.googleusercontent.com/a/ACg8ocLynkmMPJtxGdMEQoHKkTw7-fM6b8rJ8cwXU_hcLvm6HeO5UD0=w36-h36-p-rp-mo-ba5-br100","Daniela Riera","Local Guide · 277 reseñas · 932 fotos","Hace 5 años","Es una estación con una salida bastante bonita, está cerca de un parque enorme. Bastante cómodo el recorrido hacia aquí."
"https://lh3.googleusercontent.com/a/ACg8ocJtopN-uHblXTUAptXprhFnzXtfJG1cM49b_q7c2MwAWATe1A=w36-h36-p-rp-mo-ba5-br100","Gunter Vidal","Local Guide · 250 reseñas · 252 fotos","Hace un año","Estación moderna y súper limpio..."
"https://lh3.googleusercontent.com/a-/ALV-UjVwBQy_QPBDlKsKPvlzh75zMyp2X75Q1WtBibrDMSCyVuA3ZjAg=w36-h36-p-rp-mo-ba4-br100","Jose R","Local Guide · 154 reseñas · 56 fotos","Hace 7 años","Estación de Metro L10, con conexión a Metro Ligero a la salida de la estación. No hay cobertura en el andén."
"https://lh3.googleusercontent.com/a-/ALV-UjVnuEGcA0hpBVEKdGdpOi2WkmqJAVMlZbwQX4FCx3bereLsLvS8=w36-h36-p-rp-mo-br100","Astrid Albarran","27 reseñas · 6 fotos","Hace 2 años","Increíble que tarden 16 minutos entre tren y tren…"
"https://lh3.googleusercontent.com/a-/ALV-UjUYyfNYbbmJntIG-Pj0ejIQ-1WFiWFiT8rzCqEbi4IxIJbFnmSE_w=w36-h36-p-rp-mo-ba7-br100","Felix Lopez","Local Guide · 1.220 reseñas · 3.186 fotos","Hace 7 años","Buena estación de metro, moderna, cómoda y perfecta para quedar"
"https://lh3.googleusercontent.com/a-/ALV-UjW2UE-h2Zu7lYIxY8sgx1E1nW6UFkSLd5Nc1etttoB_Z4CvwPb_=w36-h36-p-rp-mo-ba5-br100","Cristina Soares","Local Guide · 281 reseñas · 582 fotos","Hace 2 años","Muy bien señalizado, limpio y ordenado"
"https://lh3.googleusercontent.com/a-/ALV-UjXIPeBnVgQkQFpQtzzxfozUxPO8gYtEq2Zk2ud2lBtTBeBmB1zn=w36-h36-p-rp-mo-ba4-br100","juanjo mor","Local Guide · 46 reseñas · 44 fotos","Hace un año","Una boca de metro situada al norte de Madrid"
"https://lh3.googleusercontent.com/a-/ALV-UjVtdEB4D5zTyuJGxK4Aff-rpdmWXDTM51Jg7hlu8Mv3jb2myjA8BQ=w36-h36-p-rp-mo-ba5-br100","Andrés Florido","Local Guide · 369 reseñas · 8 fotos","Hace 7 meses","Limpio"
"https://lh3.googleusercontent.com/a-/ALV-UjVvDuYkuaZXWPmz4LfLRupWUwpaCjUPgVNzZDHi7XmfwBieprw=w36-h36-p-rp-mo-br100","Nuria Cisneros López","19 reseñas · 1 foto","Hace 5 años","Deberian mejorar la seguridad sobre todo los fines de semana, el resto muy bien"
"https://lh3.googleusercontent.com/a/ACg8ocJhhboPtT2Vmbri8fj573QhHVaFsPL6Xt_0Ozz0ilTd95oayIF7=w36-h36-p-rp-mo-br100","Ethan Sánchez","15 reseñas","Hace 2 años","Simplemente el mejor barrio"
"https://lh3.googleusercontent.com/a-/ALV-UjVfjSNhQU4YoMKRelhUWpPCCS3EQMqe6Piw0l0ScJTPnBInsEJK=w36-h36-p-rp-mo-ba5-br100","Habieru Grandson","Local Guide · 132 reseñas · 154 fotos","Hace 8 años","Estación de línea 10 de metro en el barrio de Las Tablas con una gran oferta de restauración en la zona."
"https://lh3.googleusercontent.com/a-/ALV-UjXrB2_qqLwGPfu2hq0wKz1HSAjYg8AgFs4gVtAuux_t-DauCNg=w36-h36-p-rp-mo-br100","Blondie Power","3 reseñas","Hace 7 años","El metro ligero es más lento que el caballo del malo borracho y además no cumplen con el horario."
