"URL","Usuario","Info","Fecha","Reseña"
"https://lh3.googleusercontent.com/a-/ALV-UjUUgT5BsJM05ohtpcUY212u2eW813ZLJcvJpVrQAc4gBeKfbVrL=w36-h36-p-rp-mo-ba6-br100","Jonathan Hernández","Local Guide · 493 reseñas · 1.013 fotos","Hace 6 años","La estación está bastante nueva, además dispone de personal de seguridad desde la apertura hasta el cierre. Se encuentra en un barrio aceptable y rodeado de supermercados. Tiene un supersol, un ahorramás. La única pega es que cuando falla algún ascensor o alguna escalera mecánica tardan mucho en arreglarlo. Algo que debe estar subsanado en poco tiempo, ya que es catalogada como accesible."
"https://lh3.googleusercontent.com/a-/ALV-UjXbFKXlRRhtzeNpC_9_eQ-BnP_ptHzCx6-a-lueOc9faEeZSxzo=w36-h36-p-rp-mo-ba6-br100","Jairo Javier","Local Guide · 193 reseñas · 76 fotos","Hace 5 meses","Estación de Metro moderna y bien equipada con escaleras mecanizadas  y ascensores. Andenes amplios y bien instalados con conexión a otras líneas útiles."
"https://lh3.googleusercontent.com/a-/ALV-UjVbXSm04oBOR6Dm7rG4vXIsxtlOsg4aP5zBVHix0rdIf2F39Syj2Q=w36-h36-p-rp-mo-ba4-br100","Veralice Tati","Local Guide · 42 reseñas · 536 fotos","Hace 5 años","Tiene su parque para que los jóvenes disfruten de juegos como escalar.. Correr, e incluso su cancha abierta para cuando se celebran eventos como toques de bandas, tambn se puede jugar :bkb, pin pon entre otras cosas, hay autobuses nocturnos muy cerca de la estación de Metro que te lleva hasta cibeles.. Autobuses como el 129,29&7."
"https://lh3.googleusercontent.com/a-/ALV-UjW7XRhTemAolYyAV4u1hspfARbNwnggRBmZb0EEKNuXgQVNxdK1dw=w36-h36-p-rp-mo-ba6-br100","Lucy Isabel De Los Reyes Tovar","Local Guide · 514 reseñas · 2.637 fotos","Hace 5 años","Una estación muy cuidada, limpia, y con un personal muy atento al visitante y al propio de la ciudad de Madrid."
"https://lh3.googleusercontent.com/a/ACg8ocI1unrEegye_TjMpiAp88lR8DQCTSKo8etaYV-3eHp69ejakw=w36-h36-p-rp-mo-ba4-br100","Javier Donis","Local Guide · 94 reseñas · 12 fotos","Hace 9 meses","Manoteras ha experimentado un gran cambio a mejor en los últimos años gracias a las ayudas de la comunidad y el ayuntamiento."
"https://lh3.googleusercontent.com/a-/ALV-UjUDP7I7jkrNp5LnQwFj03RBdWPrMTHJ81p2qwCAZ7L9hx4CsF-OBQ=w36-h36-p-rp-mo-ba4-br100","Rafael Durán","Local Guide · 23 reseñas · 382 fotos","Hace 8 meses","Un barrio de Madrid muy tranquilo y buena gente"
"https://lh3.googleusercontent.com/a-/ALV-UjUos3lwAhaZJoIFke1Feo6PVrFoFGjO5loKnBcwgrPFhMoDRVyP=w36-h36-p-rp-mo-ba4-br100","Fernando Blázquez Ramírez","Local Guide · 82 reseñas · 62 fotos","Hace 4 meses","El Mejor Barrio de Madrid"
"https://lh3.googleusercontent.com/a-/ALV-UjUCyTfMAxrRlNxngkXXbixwmCDk-B77MzaZC6Q9V6UEWoKI7b3v=w36-h36-p-rp-mo-ba4-br100","MR MUÑOZ C “ROSI”","Local Guide · 153 reseñas · 72 fotos","Hace 2 años","Faltan indicaciones planta arriba. No hay baños públicos ni tampoco de pago."
"https://lh3.googleusercontent.com/a-/ALV-UjVbeKLhA4QBez3mnCx_RmycQmIFH-PsWa2yH4wnvErtTcS2yR6I=w36-h36-p-rp-mo-ba6-br100","Roberto Peña Arias","Local Guide · 151 reseñas · 2.088 fotos","Hace 2 años","Es una Estación de Metro muy bonito o chula, grande, muy amplia, tiene ascensor a la calle y escaleras eléctricas, mantiene muy limpia...."
"https://lh3.googleusercontent.com/a-/ALV-UjXy4Oq3AMybrA-JoG-DEqziNrP-mMtYVeT_ABCcX-lsPooZgB24=w36-h36-p-rp-mo-ba4-br100","Pablo Salcedo","Local Guide · 112 reseñas · 1 foto","Hace 5 meses","Muy limpia"
