"URL","Usuario","Info","Fecha","Reseña"
"https://lh3.googleusercontent.com/a-/ALV-UjWjXqM67dKPpywDmIHI1sGkocSZirhqfR4SWxQfxr5vOyanBcBI=w36-h36-p-rp-mo-ba5-br100","Juana Rodriguez","Local Guide · 91 reseñas · 537 fotos","Hace 3 meses","El metro funciona muy bien y sobre todo está limpio y es muy regular en las llegadas."
"https://lh3.googleusercontent.com/a-/ALV-UjVEy-jkITeJudvVkgSf48_4UwDMtVLMjGHSNFc0k3Xim94nWN8=w36-h36-p-rp-mo-ba3-br100","Tony","Local Guide · 43 reseñas · 8 fotos","Hace un año","Tristemente suele faltarle bastante mantenimiento, suele tener muchas maquinas rotas y estar sucio, pero respecto a lo importante que es ir en tren y que los problemas se solucionen (ya sea con la tarjeta o viajes) gracias al personal, esta bien"
"https://lh3.googleusercontent.com/a-/ALV-UjVKdngV8wLEPzLOnHohOIf4TreqZYmoVUF6eL8V9y5EoUrRPPsa=w36-h36-p-rp-mo-ba4-br100","Cristina Cañamero","Local Guide · 74 reseñas · 54 fotos","Hace un año","Vergonzoso, una máquina estropeada llevamos más de 15 min para recargar tarjeta. Un torno roto, la gente colándose y aquí no hay nadie para ayudar"
"https://lh3.googleusercontent.com/a-/ALV-UjV5Q5qY5foBelDe2_N6BPjk9NWgWnkMnxETF20TR8iQhMBShI8i=w36-h36-p-rp-mo-ba5-br100","Irene Gijon","Local Guide · 78 reseñas · 85 fotos","Hace 5 años","Menos mal que hay alternativa al cercanías, 2 veces ya que inexplicablemente por avería se producen retrasos de más de media hora,El lunes 15/04  por motivo de avería según decían se encontraba parado entre dos estaciones y tendría que cambiar el recorrido o el destino final , por megafonia el problema era a la entrada de la estación (entraban los trenes sin problema) comunican que se debe subir a otro tren dirección colmenar para hacer trasbordo, pero ni el de colmenar ni el de tres cantos salieron en ningún momento, hasta que decidí salir al metro. sin información o información falsa en todo momento, por que si el problema era de un tren parado, qur Co. O pasaba a los trenes que no salían para hacer otro recorrido."
"https://lh3.googleusercontent.com/a-/ALV-UjX-mZj21efNWwf47s2OzsQONsuD-pHa2zna0sj5hvXfXWjwhC5_OA=w36-h36-p-rp-mo-ba5-br100","Сергій Бобир","Local Guide · 555 reseñas · 253 fotos","Hace 7 años","Si un extranjero no sabe español y no entiende lo que dicen en altavoz y le han dejado pasar en Tres Olivos que tiene que hacer después para salir del metro en esa parada??? Además si esta dispuesto para pagar su viaje!"
"https://lh3.googleusercontent.com/a-/ALV-UjW1pgzWdA6_OdGGtr7MBv8jo4K_0v_Kpl3WUwT3_zfuI1vYV5oI=w36-h36-p-rp-mo-ba6-br100","Hector Portela","Local Guide · 302 reseñas · 1.998 fotos","Hace 3 años","Excelente estación de metro, tiene todos sus servicios, escaleras eléctricas y elevadores para personas discapacitadas.  No hay mucha afluencia de personas."
"https://lh3.googleusercontent.com/a-/ALV-UjX0o-ep3-_cFVRK3Lad3QYcsf1i0Cs2ypPLXcKAQg7mE6E8MNZs=w36-h36-p-rp-mo-ba5-br100","Jesus Pastor","Local Guide · 622 reseñas · 146 fotos","Hace 6 años","Muy bueno tener comunicación en metro con Madrid el problema es cuando el trayecto hasta las tablas son tres euros y en coche posiblemente sea más barato desde el momento en que me lleves a una persona mas"
"https://lh3.googleusercontent.com/a-/ALV-UjV4vv2WzShPsdL-GLF67ZZ3RhU8o-sl5HYsGCDETwAp4ABnYM2E=w36-h36-p-rp-mo-ba6-br100","Cervignon","Local Guide · 828 reseñas · 2.588 fotos","Hace 7 años","Como casi todas las estaciones de Metro de Madrid, ésta está muy bien dotada. El servicio es eficiente y el personal siempre está dispuesto a ayudar"
"https://lh3.googleusercontent.com/a/ACg8ocIFyCAdJ-5pBTgdKNIsSLTULfnBYFi7U6ha5FsHHXJpX9r3bw=w36-h36-p-rp-mo-ba3-br100","Ana María Sánchez Cornejo","Local Guide · 43 reseñas","Hace 7 años","Estación de la línea 10 azul oscuro, ideal para ir a la ciudad deportiva valdelasfuentes, al skatepark, y para ir al auditorio, juzgados, ayuntamiento de Alcobendas y cc la gran manzana."
"https://lh3.googleusercontent.com/a/ACg8ocLqsRptBJ7R55pMTCCeZ6_HCFW1JEu9CPej56Y4oi2cZPgWpw=w36-h36-p-rp-mo-br100","Maricarmen Pedrosa","2 reseñas","Hace 6 años","Yo cuando e necesitado coger el metro a sido muy puntual. No tienes q esperar mucho en el andén"
