"URL","Usuario","Info","Fecha","Reseña"
"https://lh3.googleusercontent.com/a-/ALV-UjW-tSlowc6-mrHl1uFa69r8p9At6VohPw-WlHvQJeB_iS17PdFM=w36-h36-p-rp-mo-ba4-br100","Alan Cazza","Local Guide · 59 reseñas · 41 fotos","Hace un mes","El calor que hace a las 10am es insoportable. Que pongan algo, que así no se puede."
"https://lh3.googleusercontent.com/a-/ALV-UjX5PBOYqDwp9clruUxukaSQHWayXv-TmNbksewCIYKxqbGIqrDqcQ=w36-h36-p-rp-mo-ba4-br100","Angel Fonseca","Local Guide · 30 reseñas · 214 fotos","Hace 3 meses","Genial un centro deportivo que tiene lo ideal para pasarla bien y pasar la tarde de deporte"
"https://lh3.googleusercontent.com/a-/ALV-UjXnewNEbYYaXdHD0epgVByIWzW2jKqBZMPTzU18-HYzM_sBuOGCqw=w36-h36-p-rp-mo-ba8-br100","Doncelador","Local Guide · 3.160 reseñas · 27.038 fotos","Hace 4 años","Parada de la línea 1 de metro Madrid, es accesible para personas con movilidad reducida cuenta con ascensor y escaleras mecánicas, tiene varias salidas a la Avenida de la Albufera, es amplia y suele estar bastante limpia, está dentro de la zona tarifaria A, no cuenta con cobertura móvil."
"https://lh3.googleusercontent.com/a/ACg8ocJ0CPmrQy-yVGia6bwivVe_2YpYdpCYQbbOqnE2MpXpO-JpfQ=w36-h36-p-rp-mo-br100","Juan carlos Mora","11 reseñas · 2 fotos","Hace un año","El servicio de SE de autobús que está en esa parada… este fin de semana que llovía a cántaros te tenías que refugiar de la lluvia en la marquesina. A 10m está la parada de SE y ninguno aun haciéndole señas q nos movíamos a la parada SE sin techo a parado. En especial un conductor de unos 30 y algo moreno con barbita. Nos a visto y a pasado de nosotros… con niños y todo. Es una vergüenza este conductor se tendría que ver así… ojalá me lo encuentre y le doy unas clases de humanidad… asco de servicio"
"https://lh3.googleusercontent.com/a-/ALV-UjVgckSzRg4TWbfIRhHslcKGJJaHT5pUum6vLvdyCgPU4j7AnA4=w36-h36-p-rp-mo-br100","YEIRY LISBETH","19 reseñas · 3 fotos","Hace 9 meses","El guardia de seguridad es un joven rubio es un agresivo y mira a la gente como que le debiéramos algo va jugando siempre con esposas como intimidando a ala gente es racista maleducado encima se cree que es policía el impresentable por no llamarle otra cosa siempre está en horario de la tarde noche se sube al vagón y siempre mirando mal a la gente  que verguenza tener gente así tan poco profesionales"
"https://lh3.googleusercontent.com/a-/ALV-UjUvEZqivbXBwdZ5JF2fIteMsc2aNROEFT2dyKJB8M8JpnKZ7eEgSA=w36-h36-p-rp-mo-br100","Julia Palomo Rodríguez","12 reseñas","Hace un año","Una vergüenza la estación, tiene ascensor para salir a la superficie, se supone que es  para personas con movilidad reducida, mayores y carros de bebé pero eso no lo respetan, todos los días voy con el carro de mi bebé y me toca esperar hasta 3 ascensores para subir y están los controladoresde metro y seguridad y en vez de poner un poco de atención para dar prioridad a la gente que de verdad necesita utilizá el ascensor ellos están de cháchara.. esuna VERGÜENZA"
"https://lh3.googleusercontent.com/a-/ALV-UjVPlI3_WxZ-JbiFDSG6A1n_aKR_BFRpvuYb0hLgejNuccGQun5Z=w36-h36-p-rp-mo-ba8-br100","José Julio Melgares","Local Guide · 2.805 reseñas · 12.351 fotos","Hace 7 años","Tiene salidas a ambos lados de la Avenida de la Albufera y un ascensor que nos deja en la acera de los números impares de esta avenida."
"https://lh3.googleusercontent.com/a-/ALV-UjUU_abdqmq4y9wTilIXUqN0W0t7s5mkZFqzSunKiglPxtr8cug3=w36-h36-p-rp-mo-ba5-br100","Carlos Palancar Clavo","Local Guide · 210 reseñas","Hace 2 meses","Muy bien"
"https://lh3.googleusercontent.com/a/ACg8ocIkWZFAD6ML2IyNlTmwvoWkJXknMd0yE9ng47LA5XsfCoGWFA=w36-h36-p-rp-mo-ba4-br100","Sara De la Torre","Local Guide · 82 reseñas · 34 fotos","Hace 3 meses","Muy buena zona  bien comunicada"
"https://lh3.googleusercontent.com/a-/ALV-UjWXqmeXutXDjA2jnAvzM9wFT-VoxESybk9oq4Gdwq0wuhu_0lfj=w36-h36-p-rp-mo-ba4-br100","Alonso QL","Local Guide · 161 reseñas · 44 fotos","Hace 6 años","estacion de metro normal y corriente en la colonia de palomeras sureste un aspecto de mejorar de ella es la seguridad en algunas horas del dia"
"https://lh3.googleusercontent.com/a-/ALV-UjX2WFzQ8zAB-F0oVTe5WmZj98_nDupaisAq85f1M_m3yfwRFkAmDA=w36-h36-p-rp-mo-ba5-br100","FCOJAVIER RIOJOMAURI","Local Guide · 138 reseñas · 111 fotos","Hace 2 años","La estación disponen de cuartos de baño ,solo que no las tienen abiertas a la gente,cosa que veo muy mal porque cuántas veces te a pasado que as querido pasar y solo lo o las tienen solo para ellos,me gustaría que se pudiese usar los. Cuartos de baño. Para los viajeros y que no los tengan solo para ellos."
"https://lh3.googleusercontent.com/a-/ALV-UjW8ooYCuFcOatE6jpcmOIR9-AVYOzGIkJch19X5PMoeee9D9Jam=w36-h36-p-rp-mo-ba4-br100","Naone","Local Guide · 78 reseñas · 58 fotos","Hace 3 años","La plaza del metro es un lugar amplio con muchas posibilidades. Mayormente con suelo de pista que permite practicar skate o danza. Tambien tiene parque infantil y mesas de ping-pone. Cuidado con el sol que pega fuerte todo el dia."
"https://lh3.googleusercontent.com/a-/ALV-UjVrAQjJZbuXMk5DFt1DrVY6mFaGPEMFVUe5InlxuJJTDAbQXCCf=w36-h36-p-rp-mo-ba4-br100","Mari vegas","Local Guide · 117 reseñas · 11 fotos","Hace 10 meses","Bonita zona, no es muy concurrida, el metro tiene ascensor ,muy limpio."
"https://lh3.googleusercontent.com/a/ACg8ocL7CXPxRs-bsyakDbXNBBmyfOJ9MKuqfD1q8tMhRc97VNqE2Q=w36-h36-p-rp-mo-br100","Felipe García Alonso","88 reseñas","Hace un año","Las croquetas y las alitas de pollo tenían un sabor algo rancio, quizá porque el aceite está demasiado usado."
"https://lh3.googleusercontent.com/a-/ALV-UjW1pgzWdA6_OdGGtr7MBv8jo4K_0v_Kpl3WUwT3_zfuI1vYV5oI=w36-h36-p-rp-mo-ba6-br100","Hector Portela","Local Guide · 301 reseñas · 1.998 fotos","Hace 3 años","Excelente estación de metro que corresponde a la línea número 1, se encuentra en el distrito de puente de Vallecas, por lo que es nivel medio concurrido.  Tiene equipado escaleras eléctricas y ascensores para facilitar la movilidad."
"https://lh3.googleusercontent.com/a-/ALV-UjXN8PKTDbmQwaohCaJBYIrUluyueGPRg5B80cVy3q7J-D3Bn7A=w36-h36-p-rp-mo-br100","Ivan Gueor","2 reseñas","Hace 2 años","La atencion al viajero esta tarde por parte del empeado de metro de Madrid,  un hombre alto, grandote era mala no, horrible. Mi abono de transporte individual de toda la vida y valido hasta los fnales de l mismo mes no hizo contacto y no me dejaba pasar.  Probe otra mas veces y nada. He llamado al personal para verificar la validez del tarjeta y para gran sorpresa mia el agente me comento que ni hay manera de comprobarll por el desgaste del plastico y que hay q comprar viaje suelto pero igual con el viaje me cobrarian por la nueva tarjeta. Entces Le recordw que en la pajina de Comunidad de Madrid existe opcion para comoribar la caducidsd y la zona. Y me dijo que si tengkInternet en el Movil buscarlo y de demostRarselo.  Para flipar"
"https://lh3.googleusercontent.com/a/ACg8ocIWkUSs-8yDEvT9D6Xxuc_np3uoIIWseZEGDA130KOV-e3PVg=w36-h36-p-rp-mo-ba4-br100","Rosario Martin","Local Guide · 111 reseñas · 3 fotos","Hace 2 años","La estación es amplía, tiene servicio de biblioteca, muy amable todo el personal, la limpieza es un punto a mejorar."
"https://lh3.googleusercontent.com/a-/ALV-UjW2JrBkb5ijTXLaJzUdSKjMTfuqwxgfWoOMeaLsR1-UofZrFmMWHg=w36-h36-p-rp-mo-ba6-br100","Amy Orquidea","Local Guide · 571 reseñas · 434 fotos","Hace un año","Tiene ascensor y al salir hay espacio para patinar y jugar al pin-pon"
"https://lh3.googleusercontent.com/a-/ALV-UjVbY0VyJC1aGQbU-lePpbrpvUYJSfuX8vNHIX4cT6yjs74h-q4rMA=w36-h36-p-rp-mo-ba5-br100","Wileiner Moises Figurelli","Local Guide · 176 reseñas · 221 fotos","Hace 2 meses","Pueblo muy bonito"
