"URL","Usuario","Info","Fecha","Reseña"
"https://lh3.googleusercontent.com/a-/ALV-UjUDTXg_CyGGMiShVFoKAAmBSh6x-McOLzy7fBfdQahrDZm-HE80Hg=w36-h36-p-rp-mo-ba6-br100","Anecdonet (anécdotas y viajes)","Local Guide · 245 reseñas · 4.293 fotos","Hace 6 meses","Estación de la línea 9 bastante moderna. Hay un ascensor en la parte de fuera. Al lado de la entrada a la estación hay un Bicimad."
"https://lh3.googleusercontent.com/a-/ALV-UjVQahuYii5jtFdCAMOOdAGUnvFjH5-w46fRo3-XGc4KnbFinYgXJw=w36-h36-p-rp-mo-ba5-br100","Carlos Cristos Bonal","Local Guide · 199 reseñas · 798 fotos","Hace un año","Es una parada de metro. Sinceramente como casi todo el servicio de transporte público de Madrid está muy bien. Limpio, acceso cómodo y seguridad."
"https://lh3.googleusercontent.com/a/ACg8ocIGGwTArpzjYRlCjOARa3uWV5TL1BqKG19apcShyOanUhCjrg=w36-h36-p-rp-mo-ba2-br100","Daniel García de Blas","Local Guide · 27 reseñas","Hace un año","Un servicio muy malo, los empleados te echan la bronca por pasar de vagón porque a un pasajero se le había olvidado una pertenencia para así devolvérsela"
"https://lh3.googleusercontent.com/a/ACg8ocI0gOce99-GAV1kMx5T6W9tBefKpjYUwlGzGP1VlTmeD5d9fg=w36-h36-p-rp-mo-br100","Daniel García de Blas","3 reseñas","Hace un año","Las instalaciones entran con humedad los trenes muy antiguos y ruidosos el empleado de metro Madrid muy te trata de una manera muy descarada"
"https://lh3.googleusercontent.com/a-/ALV-UjXl3XCCaNHDgZoN_K2vKREkZ82olQV4hZjIjblCG3pEmisMFMQ=w36-h36-p-rp-mo-ba6-br100","Víctor Sánchez","Local Guide · 490 reseñas · 1.739 fotos","Hace 7 años","Si vives en la zona norte de la Comunidad de Madrid es una buena opción para dejar el coche y acceder a la ciudad de Madrid en metro y evitar zona azul y restricciones de tráfico."
"https://lh3.googleusercontent.com/a-/ALV-UjXHS_rNY-RjMtnFg6GIaiIRTxLRhUwiurbV_tB9Q-3sxZYby0kA=w36-h36-p-rp-mo-br100","David Solís Muñoz","29 reseñas · 25 fotos","Hace 8 meses","Limpio y correcto aunque el metro tiene mala frecuencia"
"https://lh3.googleusercontent.com/a-/ALV-UjXvpwwsMTJWPxlZniHyysa7iNng0iT5RqqqB_hivvKTvCITCTIf=w36-h36-p-rp-mo-ba4-br100","Raúl F Causilla Fidalgo","Local Guide · 67 reseñas · 544 fotos","Hace 2 años","Es un lugar muy bonito y con un atractivo natural  deslumbrante, tranquilidad, buena comunicación por cualquier vía, lo estoy conociendo ahora, pero muy agradable para vivir, gracias"
"https://lh3.googleusercontent.com/a-/ALV-UjUQkAKVyA03Zs21nDjjjdIrvzwdWmhApP7UPQtGJa2fmxKnBvRc=w36-h36-p-rp-mo-ba2-br100","Verónica De Freitas","Local Guide · 11 reseñas · 2 fotos","Hace 2 años","Muy buen sitio tranquilo y muchísima vegetación un sitio agradable para estar con niños o mascotas"
"https://lh3.googleusercontent.com/a-/ALV-UjWnFXBNS2i-VeqAlCnBVKtPi8i7MQgG8kGrMYjukLYIQGUl7VWsSQ=w36-h36-p-rp-mo-ba3-br100","Miquel Vivó","Local Guide · 20 reseñas · 8 fotos","Hace 8 años","Estación bastante pequeñita, pero nuevecita. ¿El fallo? Que como las tres paradas anteriores a esta, carece de cobertura móvil."
"https://lh3.googleusercontent.com/a-/ALV-UjUZIZKTfJg7tk8Ca0pUvJ_rU9OdP29Racf2j_cwr04xQSFdIuA=w36-h36-p-rp-mo-br100","Daniel garcia","5 reseñas","Hace un año","Los empleados son unos descarados ya solo voy a coger Renfe Cercanías"
"https://lh3.googleusercontent.com/a/ACg8ocKHamd_PVrTmlDfPcHpdA8Fl6U3uAkwlWrUUzDb9nJWY8OISw=w36-h36-p-rp-mo-ba4-br100","German Alcaniz","Local Guide · 93 reseñas · 331 fotos","Hace 7 años","Estación nueva de metro sin cobertura de móvil. Tiene acceso para minusválidos por medio de ascensores"
"https://lh3.googleusercontent.com/a-/ALV-UjX1FxiLi7gdWYSPSLZ056P6p_uZ88ppgVob394UYepZg_ueu6LR=w36-h36-p-rp-mo-ba8-br100","Pedro Fuertes","Local Guide · 727 reseñas · 61.961 fotos","Hace 6 años","Una de las estaciones más modernas d ela línea 9 de Metro en Madrid"
"https://lh3.googleusercontent.com/a-/ALV-UjUHqsM5dfkDapv1pZnEWqvMXneEO5X3bG7qKNf_iC7TcR3JrEHx=w36-h36-p-rp-mo-br100","Ana Roman","51 reseñas","Hace 7 meses","Mui bonito!"
"https://lh3.googleusercontent.com/a/ACg8ocL6j3fUjdHjzglCFPCFitAnCJ2BggebpG8jNROfZWVFbqChuA=w36-h36-p-rp-mo-ba4-br100","Rocio Rodrigo Rubio","Local Guide · 276 reseñas","Hace 6 años","Mirasierra es una estación del servicio de metro de Madrid línea 9 en el barrio Mirasierra en Madrid España"
"https://lh3.googleusercontent.com/a-/ALV-UjWBbwZ3NMWVVCwqIz5ew4JqPjlwKlyRmc1Np3_k9j_sHRMyep3t1A=w36-h36-p-rp-mo-ba8-br100","Blacky. (Blacki.)","Local Guide · 405 reseñas · 36.935 fotos","Hace un año","Preciosa."
"https://lh3.googleusercontent.com/a-/ALV-UjVOCh9MT_smD0Iqy7KP5K6KkKhp3PyOYrxRsZDrwrkE_c9yB2an=w36-h36-p-rp-mo-ba5-br100","Alejandro Utrera","Local Guide · 194 reseñas · 2.129 fotos","Hace 3 años","Esta bien"
"https://lh3.googleusercontent.com/a-/ALV-UjUQ7OXC5uBosTR65TCMrAF5HelKlhCDIIBWw5zb-q8HyOGCiYkS=w36-h36-p-rp-mo-ba4-br100","Javi Muñoz Muñoz","Local Guide · 171 reseñas · 12 fotos","Hace 11 años","Hogar"
"https://lh3.googleusercontent.com/a-/ALV-UjWCC7_xOTEi8PzJolfy_qFqoZnZnHZ9smV1-J6_opQFyxmuxGM-wA=w36-h36-p-rp-mo-ba4-br100","Gonzalo Rubio González","Local Guide · 203 reseñas · 7 fotos","Hace 7 años","Buena localización"
"https://lh3.googleusercontent.com/a-/ALV-UjVZY0HoHOb7lzycQDWjKey0rY0ABGKAZdibLczqX3_UWre4TRE=w36-h36-p-rp-mo-ba7-br100","Urban Traveler","Local Guide · 2.516 reseñas · 6.646 fotos","Hace 4 años","El vecindario es hermoso y las vistas de las montañas en la parte trasera también son hermosas."
