"URL","Usuario","Info","Fecha","Reseña"
"https://lh3.googleusercontent.com/a-/ALV-UjU370A-AEGn0mwIaLQY4aymQDu2UbWyYcXb1phHtcLsmYykbpY=w36-h36-p-rp-mo-ba7-br100","Javier V.R","Local Guide · 591 reseñas · 1.821 fotos","Hace un mes","Es una de las estaciones 'top' de la red de Madrid,por su situación ( en pleno paseo de la Castellana y cerca de oficinas y comercios) y por ser un intercambiador importante entre metro, cercanías y autobuses ( urbanos sobre todo).Es amplia y por ella pasan multitud de líneas de cercanías ( todas las que van de Atocha a Chamartín y viceversa)y varias de metro también ( L6,L10,L8..) Entre cercanías y metro hay conexiones por rampas automáticas que permiten recorrer los amplios pasillos sin esfuerzo."
"https://lh3.googleusercontent.com/a-/ALV-UjVXPgtPHYocYRvVANMiE4DCz0QoWkqSPTb3vlsHSFuxpSeFC1IDEw=w36-h36-p-rp-mo-ba6-br100","marta borgarelli","Local Guide · 755 reseñas · 3.802 fotos","Hace un año","No tengas miedo a partir de aquí no cargas con las valijas, todo es cinta, escalera mecánicas o elevador, cuando vas a entrar si nunca fuiste al aeropuerto debes cargar la tarjeta con euros 3 , es un impuesto portuario, todo en las máquinas que te llevan muy fácil, lo pagas una sola vez!! También podes sacar la tarjeta del metro allí!!"
"https://lh3.googleusercontent.com/a-/ALV-UjXACmhv-Yjr9zSLdiusrUzFa9bU4d-4qvQwOaKsQ-HaIrg7HDs=w36-h36-p-rp-mo-ba4-br100","Titan","Local Guide · 133 reseñas · 86 fotos","Hace un mes","Estación con buen acceso y adaptada para personas con movilidad reducida.

Mucho calor en verano y poco ventilada.

Goteras por muchos sitios."
"https://lh3.googleusercontent.com/a-/ALV-UjX65hmKSBR36Lj2Zolm0wmI9orDa62tMSevFdJB1GDz_WT2FCh3hw=w36-h36-p-rp-mo-ba7-br100","Manuel Alberto Aragon Liron","Local Guide · 524 reseñas · 4.176 fotos","Hace 2 años","Es uno de los principales intercambiadores de la ciudad. Cuenta con conexión con las líneas 6, 8 y 10 de Metro de Madrid y con servicio de taxi. Líneas de autobús 14, 27, 40, 147 y 150 en el Paseo de la Castellana y C2 en la calle Raimundo Fernández Villaverde. Entre las 8.10 y las 8:30 no suele estar muy concurrido por lo que es cómodo y seguro.
Como datos que facilita Renfe:
Vestíbulos en diferentes estancias. Total 9365 m2
58 escaleras mecánicas y 37 escaleras no mecánicas
3 rampas. Anchura entre 1 metro y 1,89 metros
Pasillos subterráneos peatonales
Andenes:
1-4 (Túnel de Recoletos): Longitud 325 metros. Anchura 5,6 metros. Superficie 1820 m2
6 y 8 (Túnel de Sol): Longitud 240 metros. Anchura 4,7 metros. Superficie 1128 m2
Creo que es de los mejores intercambiadores Cercanía - Metro."
"https://lh3.googleusercontent.com/a-/ALV-UjWgSmYTTWgD5sacMeA0n6fjzI5VyBDHv0pg240UuJQquiwDmTaOZA=w36-h36-p-rp-mo-ba6-br100","Alicia García Ramírez","Local Guide · 367 reseñas · 595 fotos","Hace 3 meses","Estación de metro de Madrid, con mucho movimiento ya que está en plena Castellana de Madrid, muy cerca del Santiago Bernabeu, zona comercial y además confluye linea de cercanías de la Renfe. Pasillos muy anchos"
"https://lh3.googleusercontent.com/a-/ALV-UjWRegnUUhFgx5UWyOT5BjWaEhzWnsoSJYoPqNfuRJY61-NYpOGX=w36-h36-p-rp-mo-ba3-br100","Flavia","Local Guide · 39 reseñas · 31 fotos","Hace 4 meses","Quería valorar el buen servicio que me ha dado una trabajadora del metro que estaba en el puesto a las 21:30 en el acceso desde la línea 10 de nuevos ministerios a Renfe. Le he contado que no me sabía manejar bien en el cercanías de nuevos ministerios y me ha explicado de la mejor manera y super agradable el funcionamiento de los trenes asegurándose de que lo había entendido. Le di las gracias pero siento que no es suficiente y quería dejar por escrito su buen trabajo. No me sé su nombre, solo que tenía los ojos azules y que era majisima. ¡Gracias!"
"https://lh3.googleusercontent.com/a/ACg8ocLtqUXqUa-Ri_yFjKWT7oT6BgEEgqpSBpdtiYiK1lsm-hweruw=w36-h36-p-rp-mo-ba6-br100","T","Local Guide · 343 reseñas · 809 fotos","Hace 7 meses","Intercambiador de transporte público.

Líneas de metro 6, 8 y 10."
"https://lh3.googleusercontent.com/a-/ALV-UjWdX3tAK1ZJlSEdh8h8NGSBOAWGhVcUa-CtxrL2cSRL-XqgIQzj=w36-h36-p-rp-mo-ba8-br100","Ma Ca","Local Guide · 1.250 reseñas · 21.888 fotos","Hace 6 años","La estación es bastante grande, comunica el metro con Renfe. Pasan la mayoría de las líneas por ahí a excepción de la c5 y la de Cercedilla. Tiene 3 líneas de metro la 6, la 8 y la 10. La línea 8 es la del aeropuerto de Madrid (Adolfo Suárez / Barajas). Tiene amplios vestíbulos. Las instalaciones no están muy mal del todo, salvo alguna gotera... Suele estar limpia la estación. También tiene mucha afluencia de gente."
"https://lh3.googleusercontent.com/a-/ALV-UjX22VQmeGAzfG7Y1m5nxN_dCbsyBb-kKuak6CWrzrocxYvIky-u=w36-h36-p-rp-mo-ba4-br100","Marceliano Francisco López Bautista","Local Guide · 120 reseñas · 13 fotos","hace 6 días","Una de las estaciones principales de Madrid y muy bien organizada"
"https://lh3.googleusercontent.com/a-/ALV-UjXdvUwhyxcZUsAURC4DJuSp2oFEMoGkfDNVSCdiM0N2I0UFguw=w36-h36-p-rp-mo-ba5-br100","Faheem Akhtar","Local Guide · 87 reseñas · 929 fotos","Hace 3 años","Estación de metro con conexión a otros servicios de tren. Con aseos y parada de taxis en el exterior. Con acceso directo a centro comercial de El Corte Inglés Una de las estaciones con mas disponibilidad de líneas, tanto de Metro, como de Cercanías."
"https://lh3.googleusercontent.com/a-/ALV-UjXxRMaK_514vRo-kx_Wa3SlRbzCSPrh4l64vXiD-pjqcbLrmF84=w36-h36-p-rp-mo-ba4-br100","Andrea","Local Guide · 156 reseñas · 50 fotos","Hace 7 meses","Estación bastante grande y bien ubicada, al lado de El Corte Inglés. Lo malo son las indicaciones, ya que hay pocas e incluso algunas mal puestas que hacen dudar y si no preguntas o miras el mapa no te sitúas y te pierdes."
"https://lh3.googleusercontent.com/a-/ALV-UjVbPEoNDDae-VctDvdHA5puFLxkcyK63fNLuK_ZNlVYGeMQCQdu=w36-h36-p-rp-mo-ba5-br100","Raul Prieto Conde","Local Guide · 83 reseñas · 925 fotos","Hace 2 meses","Estación de cercanías clave en Madrid por su enlace con el aeropuerto y por su cercania al Estadio Santiago Bernabeu, el mejor del mundo."
"https://lh3.googleusercontent.com/a-/ALV-UjVVuR5NEe4ZBPSlK9PYJckuV384IxgebJK0EqJUXNNfFkNmuulNWQ=w36-h36-p-rp-mo-ba6-br100","Angel Leonardo Rosillo Sierra","Local Guide · 632 reseñas · 2.156 fotos","Hace 6 años","Situado bajo el Paseo de la Castellana, es uno de los principales intercambiadores modales de la ciudad con Avenida de América y Príncipe Pío. De hecho, es el segundo de España por número de pasajeros. Ocho líneas de cercanías Renfe y tres líneas de Metro transportan cada año millones de pasajeros a uno los centros económicos y comerciales de la ciudad: Azca. También cuenta con un aparcamiento para 160 vehículos y una parada de taxis. El diseño arquitectónico ha buscado minimizar los recorridos y conceder amplios espacios diáfanos al usuario. Para mayor comodidad, los ascensores facilitan el acceso hasta la calle y los pasillos rodantes agilizan el tránsito por los corredores más largos. Un enorme mural con el perfil de la Castellana preside el vestíbulo principal,
La historia de la llegada del Metro de Madrid a esta estación empieza en 1979 con la apertura del primer tramo de la línea 6 entre Cuatro Caminos y Pacáfico. Más tarde, en 1982, se abrió la entonces la  línea 8 entre Fuencarral y Nuevos Ministerios, comunicada con la línea 6 por un largo pasillo y con dos accesos en el Paseo de la Castellana.
En 1986 se prolongó la entonces línea 8 hasta Avenida de América, tramo que se cerró 10 años después para llevar a cabo la unión de la línea 10 y la antigua línea 8.
Ya a principios del siglo XXI, en 2001, la estación sufrió cierres prolongados para su reforma integral en la zona de la línea 10, en la estación de cercanías, donde se modificó el acceso sur para hacer hueco a la prolongación de la nueva línea 8 y un vestíbulo con terminales de facturación. En 2002 se inauguró la prolongación de la línea 8  y en 2007 llegó hasta las Terminal 4 del aeropuerto de Barajas."
"https://lh3.googleusercontent.com/a-/ALV-UjVKsFPSXEE1zARZD5npLJ_KLAzAFzPAAcw7i0uBzLRpLeXOo_0=w36-h36-p-rp-mo-ba4-br100","Hernan Navarro","Local Guide · 106 reseñas · 21 fotos","Hace un mes","Las instalaciones no están mal. Se echa de menos un punto de información, sobre todo para los que no somos residentes en Madrid."
"https://lh3.googleusercontent.com/a-/ALV-UjX4L2z3zCvu-3SiNc2YU5utIYQXFUQwOtpjlQyNaMpvylItavDU=w36-h36-p-rp-mo-ba5-br100","Jonathan Márquez A.","Local Guide · 172 reseñas · 93 fotos","Hace 2 meses","Estación de tren urbano, el cual esta adjunto a las instalaciones del Aeropuerto de Madrid. Sobrada eficiencia en los ingresos y traslados; sobresaliente limpieza"
"https://lh3.googleusercontent.com/a/ACg8ocKRoyLFs-zUIIejyagQnjpbfzwyrOUbz_A_LsjCIdppOEU6cw=w36-h36-p-rp-mo-ba6-br100","irautz etxeberria","Local Guide · 747 reseñas · 1.356 fotos","Hace 6 años","Excelente estación que es de metro y renfe fuertemente  vigilada  por un numerosos vigilantes de seguridad y fuerzas del estado .
Estación limpia y ordenada a la vez muy grande dado que es intercambiador de varias linias de renfe y metro .
En su interior posee un gimnasio  que posee buena calidad .
Cerca de la castellana ,y del corte ingles ."
"https://lh3.googleusercontent.com/a-/ALV-UjW8FW3HK-SVEm10G445CUD4gCQXNw8af7KnPBlJLpX0ZvUw0A7j=w36-h36-p-rp-mo-ba5-br100","J. Garrido","Local Guide · 216 reseñas · 591 fotos","Hace 4 años","Intercambiador de metro y cercanías. Buena ubicación aunque su distribución es un poco liosa para quien no lo conoce. Si es la primera vez que vas, mejor tómate diez minutos más del tiempo previsto para asegurarte de que no pierdes el tren."
"https://lh3.googleusercontent.com/a-/ALV-UjXmFbqTj5WTxeqOIKUgO-e4A7Nm_wfQdvZROkOdhZ-Ywl0xJ866=w36-h36-p-rp-mo-ba6-br100","Carlos Chevallier Marina","Local Guide · 206 reseñas · 1.572 fotos","Hace 5 meses","Limpia, diáfana, con buena Señalética que hace muy cómodo el transbordo entre las diferentes líneas de Metro Madrid y RENFE CERCANÍAS. Por desgracia, éstas últimas con frecuentes retrasos.
Además, hay locales de restauración rápida muy convenientes y suficientemente espaciosos, así como bancos para sentarse en el hall principal, una comisaría de la policía nacional y hasta un gimnasio.
La abundancia de escaleras eléctricas y cintas transportadoras en pasillos largos, facilita y acelera los movimientos de los usuarios.
Además, las múltiples entradas desde todas las calles aledañas también contribuyen a ello, así como a descongestionar aglomeraciones en horario punta.
No sólo hay máquinas expendedoras de billetes sino también ventanillas con atención personalizada y oficina de tarjetas abono de transporte."
"https://lh3.googleusercontent.com/a/ACg8ocJdYStP_-Jxg8s6tKcwNbJFyj8sn91gW6_t_2ccaMO7U9PXGQ=w36-h36-p-rp-mo-ba5-br100","Antonio Roberto Rodrigues Barros","Local Guide · 316 reseñas","Hace 3 semanas","Un sitio muy bonito e amplio para ir a pasear."
"https://lh3.googleusercontent.com/a-/ALV-UjUmh-j3ua2_9srSA9h82YKQn2tQBNP5eRmyyqXChvVVpLdOO2UL=w36-h36-p-rp-mo-ba3-br100","Angelick F G","Local Guide · 39 reseñas","Hace un mes","Es un lugar muy bien conectado e ideal para ir a cualquier lugar."
"https://lh3.googleusercontent.com/a-/ALV-UjVxLh_EfVSDAiFyP3DC7eETIyRa8hHj6nBGZMLPArWhwykODvO5=w36-h36-p-rp-mo-ba3-br100","Rocío Martín Gómez","Local Guide · 22 reseñas · 21 fotos","Hace 3 meses","Siempre voy a su centro comercial de El Corte Inglés para pasear por allí y ver las tiendas. Me encanta pasar allí el rato"
"https://lh3.googleusercontent.com/a/ACg8ocIY-z2uOcuK-hRnrlG_950o6WYvwpQjRWCt2VJtBkrKuPYtnA=w36-h36-p-rp-mo-ba7-br100","Juan Sanchez Bruguera","Local Guide · 569 reseñas · 5.787 fotos","Hace 7 años","Estacion que comunica varias lineas de metro (Lineas 6, 8 y 10) y tren de cercanias.

Usualmente es el origen de la linea que va al aeropuerto de Madrid Barajas (actualmente en obras)"
"https://lh3.googleusercontent.com/a-/ALV-UjVqawlOZllorAapgTIYciw_gsDg4_GYM2PUwXAIGhBVZiCRWk3Yyg=w36-h36-p-rp-mo-ba3-br100","iker blasco","Local Guide · 25 reseñas · 8 fotos","Hace 4 meses","Deberian solucionar el problema de los megafonos del cercanias de la estación de Nuevos Ministerios. No se entiende nada y cuando se dan los avisos, solo se escucha ruido"
"https://lh3.googleusercontent.com/a-/ALV-UjW8DvzZo9vl-gVR11yJZn_f5pPtu_1G38LQ-XffGB_CiznmSvOf=w36-h36-p-rp-mo-ba5-br100","David H. Spain","Local Guide · 141 reseñas · 613 fotos","Hace 3 años","El mercadillo que hay arriba, al lado del corte Inglés está genial. Tanto la organización, donde hay entrada y salida diferenciada, desinfectante y amplias zonas abiertas al aire libre, cumpliendo todas las normas de seguridad anti COVID. Como el lugar que está genial organizado con diferentes puestos desde comida hasta artesanía y mesas centrales para comer o descansar.
En definitiva muy bien."
"https://lh3.googleusercontent.com/a-/ALV-UjU8YXqmB-DyqQpSb0k69vtJQAjqS58lGxYFVpCOKOdAoDG_-L8_=w36-h36-p-rp-mo-ba3-br100","luis castro","Local Guide · 18 reseñas · 30 fotos","Hace 2 meses","Hay 3 líneas de metro la 6,8 y 10, también el Cercanías y buses, el Centro Comercial muy completo con buenas marcas"
"https://lh3.googleusercontent.com/a/ACg8ocKtJhqSoijLUueXoc1rPpn0hmtcvRDz2_n062uD8scj168znQ=w36-h36-p-rp-mo-ba5-br100","Sonia Alonso Osma","Local Guide · 159 reseñas · 2 fotos","Hace un mes","Bastante centrico como pra entrar al centro cmo alrededor,tema d transporte tb bastante bien"
