"URL","Usuario","Info","Fecha","Reseña"
"https://lh3.googleusercontent.com/a-/ALV-UjVc6JI2EscQdB0-pKDWNgEXJUJc1xpPw5pXijKpn3LjFDVI24X2=w36-h36-p-rp-mo-ba2-br100","Srg Srg","Local Guide · 17 reseñas · 5 fotos","Hace 2 meses","Parece mentira que permitan la venta de productos falsificados dentro de las estaciones de metro d Madrid en O'Donnell día tras días ha más de 3 emigrantes vendiendo productos falsificados con el consentimiento ya que a pesar de que pasan los vigilantes y trabajando del metro nunca les dicen nada y es algo realmente asqueroso deberían encerrarlos y quitarles todas las falsificaciones ya que es un delito fragante la venta de esos productos y metro d Madrid lo permite todos los días sin hacer nada al respecto osea que colaboran en el delito y los vijilantes son borregos sin neuronas al no hacer nada al respecto"
"https://lh3.googleusercontent.com/a-/ALV-UjXVVUk31r27Lf4spHFGVLhkz4XPoyqPCGSFTvW68vgcsMZ74uxsow=w36-h36-p-rp-mo-ba4-br100","Josita C","Local Guide · 51 reseñas · 42 fotos","Hace 5 meses","Es una calle ancha con bares y comercios paradas de metro y autobús y carril bici y andando por esta calle llegas al Parque del Retiro y al de fuente del Berro y también cerca de torreespaña televisión."
"https://lh3.googleusercontent.com/a-/ALV-UjUS0B1_xvlTI4SVPNW2UGWmb1PJyJiQIdfm3tyaSHnLtkcG2ZCtLA=w36-h36-p-rp-mo-ba5-br100","ALONSO BETETTA","Local Guide · 256 reseñas · 16 fotos","Hace un mes","Alguien puede explicar por qué en el transporte público (Metro, Cercanías) no hay servicios higiénicos EXCEPTO para el personal?"
"https://lh3.googleusercontent.com/a-/ALV-UjXgnj2U7a1smW9pzU7MIaujE4NmkPbBAAcnBIN3aIF6gi2JOndb=w36-h36-p-rp-mo-ba8-br100","Francisco Martinez Alejo","Local Guide · 2.114 reseñas · 25.796 fotos","Hace 6 años","Madrid cuenta con 12 lineas de metros una de ellas llega al aeropuerto, tienes posibilidad de moverte a cualquier sitio con este medio económico rápido, si bien algunas lineas son un poco antiguas, pero es eficiente, yo es un transporte que me gusta utilizar cuando conozco la ciudad, por su rapidez y para evitar atascos, pero siempre que voy a un lugar que dispone de metro, al menos, para probarlo una vez lo utilizo, y lo cierto que no iba muy lleno, también es verdad que no era una hora punta lo cual puede explicar esto."
"https://lh3.googleusercontent.com/a-/ALV-UjXjW3IamTCGPkx4ATqZxdJnYL5ykzeoGW-lmg1cnPzDPTXLmA5o=w36-h36-p-rp-mo-ba4-br100","Halima González Gutierrez","Local Guide · 57 reseñas · 1 foto","Hace 11 meses","Lo de fumar en los andenes al parecer no es una prohibición sino algo opcional a juzgar de cómo se la saltan algunos usuarios, los de la empresa de seguridad están para otros menesteres y olvidaros de acceso para personas con discapacidad física una vergüenza teniendo en cuenta la proximidad de hospitales"
"https://lh3.googleusercontent.com/a/ACg8ocKG8h76CuxoF0_bfUBtVKPiwvpzep9VMaeJzAnOzVFcbQ9ddQ=w36-h36-p-rp-mo-br100","Adi Adrian","18 reseñas · 4 fotos","Hace 10 meses","Señores del consorcio a que hora sale el primer tren por la mañana? Porque estoy en la estacion de O'donnel, son la 6.08 y el metro no sale todavia !!! Se supone que a las 6 h, o eso he leido en la pagina web de metro de madrid. Vergüenza !!!"
"https://lh3.googleusercontent.com/a/ACg8ocLtqUXqUa-Ri_yFjKWT7oT6BgEEgqpSBpdtiYiK1lsm-hweruw=w36-h36-p-rp-mo-ba6-br100","T","Local Guide · 343 reseñas · 809 fotos","Hace 7 meses","Estación de línea 6 de Metro."
"https://lh3.googleusercontent.com/a-/ALV-UjUdGYsBpVABogc9CFceLx4OqWG8HoP7sexLOlBunm-P6n_SH9B9iw=w36-h36-p-rp-mo-ba6-br100","Julio Diarte","Local Guide · 826 reseñas · 3.509 fotos","Hace un año","Lo único que le falta es un buen ascensor"
"https://lh3.googleusercontent.com/a-/ALV-UjWOdK9Ue0Ug7H5YqBOOfqSOGQoaRN8kEuFdIqKV680VZgHwYCkGFA=w36-h36-p-rp-mo-ba6-br100","Ricardo Ricote Rodríguez","Local Guide · 74 reseñas · 4.168 fotos","Hace 6 años","Es una estación de metro como otra cualquiera. Lamentablemente, los bancos de piedra originales de la estación están agrietados y no son sustituidos por otros (que tengan el mismo aspecto). La iluminación es deficiente salvo en los pasillos reformados (de la calle al vestíbulo). En materia de accesibilidad, la estación no cuenta con ascensores para llegar a los andenes. Se hace necesaria una reforma para cumplir con las normativas de la UE."
"https://lh3.googleusercontent.com/a-/ALV-UjWJWfBz_o7qLe0SXVXtAWOUd45ZQxd33kcLViR4P6Kc8oOs9b8=w36-h36-p-rp-mo-ba3-br100","Ma Ca","Local Guide · 47 reseñas","Hace 4 años","Estacion de metro que pertenece a la linea 6. No dispone de ascensores pero si de cobertura movil. No suele estar muy transitada de gente. Ademas al lado estan la real casa de la moneda y el palacio de los deportes."
"https://lh3.googleusercontent.com/a-/ALV-UjXFcNfQqHq7HSS_Q9MdiGW2QMcHIqYsnvb-Zo02iI3TGIZsi-gbag=w36-h36-p-rp-mo-ba5-br100","dionisio borrallo varela","Local Guide · 244 reseñas · 12 fotos","hace 3 días","hay que ir"
"https://lh3.googleusercontent.com/a/ACg8ocJ6ypS_e5lAuWaK3ifE_3pvA2iajNEYn9lkWgPX-IT7nhYhvZQ=w36-h36-p-rp-mo-ba4-br100","Alfredo Espinosa López","Local Guide · 59 reseñas · 1 foto","Hace 7 años","No tengo nada especial que destacar. Solo que tengo unas vistas despejadas hacia el Oeste,en la prolongación de la C/.de O`Donell, Campo deportivo del B° de la Elipse,Campo d béisbol americano y otros campos de fútbol,pistas de atletismo descubierto y zonas verdes sin nube,aparente,de contaminación."
"https://lh3.googleusercontent.com/a-/ALV-UjUwf0UA6U-En0DtqJNFZssu9ByWV8AkYKcfum_ssW1D1vqzaY1X=w36-h36-p-rp-mo-ba6-br100","Alvaro4","Local Guide · 620 reseñas · 2.400 fotos","Hace 5 años","Estación normal y corriente, con instalaciones algo antiguas y desfasadas. Le haría falta un lavado de cara y mejorar la iluminación interior"
"https://lh3.googleusercontent.com/a/ACg8ocJIANsfMGxZjU_1FIhFuh1M_YmKYzttbCP_7zCb_K3XtM3Lnw=w36-h36-p-rp-mo-ba3-br100","Lucia Garcia Rodriguez","Local Guide · 24 reseñas · 3 fotos","Hace 6 años","Esta estación conecta gracias a su línea circular muy bien con diferentes zonas de la ciudad. No tiene ascensor."
"https://lh3.googleusercontent.com/a-/ALV-UjW7gY4LBeNwhHhlZVLUJCi2_U98g5alw-IR6anByj80jOypaOua=w36-h36-p-rp-mo-ba4-br100","petradefenetravk","Local Guide · 52 reseñas · 1 foto","Hace 2 años","Pasillos larguísimos, sin ascensor para salir a la calle"
"https://lh3.googleusercontent.com/a-/ALV-UjUCf-eJNtDF6hNMF6iBz0qUWjklXk44HOJMICMMHhFWHP6s7q6BCQ=w36-h36-p-rp-mo-ba7-br100","Gerardo Enrique Dominguez","Local Guide · 484 reseñas · 6.619 fotos","Hace 2 años","He estado en la estación de metro. Muy interesante"
"https://lh3.googleusercontent.com/a-/ALV-UjWfR_8l8HXw38knkVzdjZ5SScqysTOUB_gxf0Qg98q5fVfPdpU9XQ=w36-h36-p-rp-mo-ba3-br100","José Luis de Madariaga Campos","Local Guide · 12 reseñas · 27 fotos","Hace 7 años","Bien la estación aunque pasillos demasiado largos sin cintas mecánicas para los que tienen dificultad para desplazarse."
"https://lh3.googleusercontent.com/a-/ALV-UjVVuR5NEe4ZBPSlK9PYJckuV384IxgebJK0EqJUXNNfFkNmuulNWQ=w36-h36-p-rp-mo-ba6-br100","Angel Leonardo Rosillo Sierra","Local Guide · 632 reseñas · 2.156 fotos","Hace 6 años","Metro O'Donnell línea 6 ( Gris )"
"https://lh3.googleusercontent.com/a-/ALV-UjVwpHz0tqS-K8nndXJ4cC8FY5Uezi5z5fPdBUAmqt-kAaGCM5C4Tg=w36-h36-p-rp-mo-ba5-br100","Alonso Soria","Local Guide · 90 reseñas · 42 fotos","Hace 10 meses","Estación con escaleras eléctricas."
"https://lh3.googleusercontent.com/a-/ALV-UjWO2blMwqTyUUqYrd0nr7kmcSwkA6pJWpLXFJPoOrimcKJ-wlVx=w36-h36-p-rp-mo-ba6-br100","Fernando Cuevas","Local Guide · 509 reseñas · 1.486 fotos","Hace 7 meses","Estación de metro"
"https://lh3.googleusercontent.com/a/ACg8ocL6j3fUjdHjzglCFPCFitAnCJ2BggebpG8jNROfZWVFbqChuA=w36-h36-p-rp-mo-ba4-br100","Rocio Rodrigo Rubio","Local Guide · 276 reseñas","Hace 6 años","O donell es una estación del servicio de metro de Madrid línea 6 en la calle o dollell en Madrid España"
"https://lh3.googleusercontent.com/a-/ALV-UjWg2cr4staANAVwp_u39qwyXLAn28NLVpV-VdkN8_n1twcPRdpr=w36-h36-p-rp-mo-ba4-br100","Alex Petrov","Local Guide · 57 reseñas · 164 fotos","Hace un año","No hay aíre para respirar"
"https://lh3.googleusercontent.com/a-/ALV-UjWZgTehBycx3XpqO1aH38UEti795Pt_KCAvBYW6FkXEyBtyL1K0OA=w36-h36-p-rp-mo-ba5-br100","Claudio Insfran","Local Guide · 180 reseñas · 492 fotos","Hace 2 años","😍😍😍…"
"https://lh3.googleusercontent.com/a-/ALV-UjVXWPxlc22303u56iZNMZ0OpHr2j8-xaXye7ndLdcPHqk9mdeBi=w36-h36-p-rp-mo-ba5-br100","Xan R C","Local Guide · 181 reseñas · 171 fotos","Hace 7 años","Zona de conexion imprescindible para la zona sur este de Madrid."
"https://lh3.googleusercontent.com/a-/ALV-UjUTMynrb51ZkiG19cALd-0qO4qj4AlbYqEKdRa3VKTJQGhEww=w36-h36-p-rp-mo-br100","Diego Gallego","166 reseñas · 554 fotos","Hace 2 años","Sin maa"
"https://lh3.googleusercontent.com/a-/ALV-UjVtdEB4D5zTyuJGxK4Aff-rpdmWXDTM51Jg7hlu8Mv3jb2myjA8BQ=w36-h36-p-rp-mo-ba5-br100","Andrés Florido","Local Guide · 365 reseñas · 8 fotos","Hace 7 meses","Muy concurrido"
"https://lh3.googleusercontent.com/a-/ALV-UjWWfhEcWJZG6O4vlbLMZ5eI4Fd4Jql3o4Hy8OLE1R0dtX66BYljtQ=w36-h36-p-rp-mo-ba4-br100","Raúl A. Iturria Caamaño","Local Guide · 83 reseñas · 484 fotos","Hace un año","El Pirulí"
"https://lh3.googleusercontent.com/a-/ALV-UjUMBzEf-9NwNd0bbKFWAJL9gAWaOFOoLhuHN89vbeo10jeO9nAr6Q=w36-h36-p-rp-mo-ba4-br100","toni pasarius","Local Guide · 126 reseñas · 154 fotos","Hace un año","El Pirulí, todo un icono madrileño"
"https://lh3.googleusercontent.com/a-/ALV-UjXCF3J7dRnsakfvM_NlsWjB7sue-WaQVl5zokW1SrnBXe7O1Di3IA=w36-h36-p-rp-mo-ba8-br100","Pierre Marteau Van Wetter","Local Guide · 590 reseñas · 14.943 fotos","Hace 4 años","La hemos paseado de punta a punta y nos encanta."
