"URL","Usuario","Info","Fecha","Reseña"
"https://lh3.googleusercontent.com/a-/ALV-UjWzblVqaRNmVRZy7VBAiDE_T0ZAqJ6D08ws2wqDx56tN-2Uyqj7=w36-h36-p-rp-mo-ba5-br100","Guillermo Musica _","Local Guide · 286 reseñas · 228 fotos","Hace un mes","La estación de metro Opañel es una estación de la red de Metro de Madrid, ubicada en el distrito de Carabanchel. Sirve a una zona residencial y es una estación de la Línea 6.

### Línea de Metro
Opañel es servida por:
- **Línea 6 (Circular)**

### Ubicación
La estación se encuentra en el barrio de Opañel, cerca de la intersección de la calle de Oca y la calle del General Ricardos. Esta ubicación proporciona acceso a una zona residencial y comercial, con diversas opciones de servicios.

### Servicios y Facilidades
La estación de Opañel ofrece varias facilidades para los usuarios:
- **Ascensores y escaleras mecánicas** para mejorar el acceso.
- **Instalaciones accesibles** para personas con movilidad reducida.
- **Máquinas expendedoras** de billetes y puntos de recarga para abonos.
- **Conexiones con autobuses urbanos**, que permiten a los pasajeros continuar su viaje hacia diferentes partes de la ciudad.

### Importancia
Opañel es una estación importante para los residentes de Carabanchel, ya que ofrece un acceso conveniente a la Línea 6, una de las líneas más transitadas debido a su recorrido circular. Esta línea conecta con muchas otras líneas de metro y puntos importantes de Madrid, facilitando el desplazamiento por la ciudad.

### Lugares de Interés Cercanos
- **Parque de San Isidro:** Un parque cercano que ofrece áreas recreativas y espacios verdes para actividades al aire libre.
- **Centro Comercial Isla Azul:** Un centro comercial en las cercanías con una variedad de tiendas, restaurantes y opciones de entretenimiento.
- **Mercado de Opañel:** Un mercado local que ofrece productos frescos y otros artículos para la comunidad.

Si necesitas más detalles, como horarios específicos o información adicional sobre los servicios disponibles en la estación, estaré encantado de proporcionártela."
"https://lh3.googleusercontent.com/a/ACg8ocLtqUXqUa-Ri_yFjKWT7oT6BgEEgqpSBpdtiYiK1lsm-hweruw=w36-h36-p-rp-mo-ba6-br100","T","Local Guide · 343 reseñas · 809 fotos","Hace 8 meses","La estación se abrió al público el 7 de Mayo de 1981 con el nombre de Elvas,  haciendo referencia a una de las calles que tiene cerca de la boca de metro, pero a petición de los vecinos, pasó a llamarse el 27 de junio de 1984 Opañel, dándole el nombre del arroyo que pasaba por la zona. Fue reformada en la zona de los andenes cambiando las paredes de piedra por vítrex amarillo."
"https://lh3.googleusercontent.com/a-/ALV-UjVpboJNx1JJHRQhVsPkh1n90d-DPw9vr5c3VgnjTvn65OGLvHRY=w36-h36-p-rp-mo-br100","Alberto Palacios de la Torre","2 reseñas","Hace 4 meses","acabo de salir y otra vez había un señor montando un mercadillo top-manta entre plantas, y mientras arriba ves a dos guardas que si ""jiji-jaja"" sin enterarse.. o no sé, igual les importa un comino. seguramente

pregunto yo, también me puedo poner ahí a vender mis trastos viejos si me apetece? 💀

ah, y eso si no está el chaval que cada par de días está acosando a la gente en la boca del metro en la calle

y sino los raperos, vendedores deambulantes de caramelos y empanadas, guitarristas, flautistas, cantantes desfinados, predicadores, yonkis y demás petardos.. que hay uno o dos por vagón en la linea 6 a veces! 😂

dónde están todos esos guardas que había cuando iban diciendo eso de ""caballero, la mascarilla caballero""? 🤔 están de vacaciones todos?

cada día la experiencia del metro de Madrid es más tercermundista, enhorabuena! Una estrella ⭐"
"https://lh3.googleusercontent.com/a-/ALV-UjV91RioRbo98-7dyZwJWw5fQFUccR4MGQvhLD94I7bosdjMx6BG=w36-h36-p-rp-mo-ba3-br100","Olimpia y Luis Fernández","Local Guide · 27 reseñas · 43 fotos","Hace 4 años","Qué es lo que sucede en la estación de metro de Opañel? Cada día veo un ""mantero"" más, será que ahora está permitido vender de manera informal ropa, deportivas, juguetes, guantes; etc.? Será que yo pueda dejar mi empleo y poner mi manta para vender así lo que se me venga a la cabeza? Eso sin pagar impuestos ni alquiler de local ni gastos de calefacción ni luz ni Internet etc. ? A quién debo acercarme, a qué oficina debo presentar mi solicitud? Es buen negocio ser ""mantero""?veo que si, allí dentro de la estación no pasan frio. Éste comentario no es racista, sólo que ésta situación me parece bastante indignante. Y que las autoridades de metro no pongan una solución."
"https://lh3.googleusercontent.com/a/ACg8ocIZlXwKlaxCTBoOISZn9r66ps_QQqghf2uqmPo1VQmELgchsmXR=w36-h36-p-rp-mo-ba3-br100","Albert McTorre","Local Guide · 22 reseñas · 5 fotos","Hace 11 meses","Casi todos los días por la mañana o al medio día hay un tipo con muy mala pinta en la salida del metro que da a la calle.

Se dedica a acosar a la gente pidiéndoles dinero de una manera muy agresiva, acercándose a la gente cómo si fuera a agarrarles por el cuello de la camisa.

Si bajas adentro de la estación, o no hay nadie, o hay un guarda de seguridad de cháchara con el personal de información..

Igual ya le han dicho que se vaya.. pero yo ni una vez he visto que estén atentos de decirle que eso no se puede hacer.

---

Por otro lado, estoy harto de perder el metro por 10 segundos de diferencia - no he visto una estación en la que espere menos tiempo el metro. En la zona de serrano se tiran media hora esperando a que llegue, pero en Carabanchel (Opañel) se piran en un abrir y cerrar de ojos.

No se si me lo podrán explicar de una manera razonable.. si no me creen, estoy por cronometrarlo un día.

---

Actualización: hoy no hay guarda ni personal de información, sin embargo hay un nuevo inquilino - un vendedor de top manta metido dentro de la estación hablando por teléfono a gritos 👍 toma ya!"
"https://lh3.googleusercontent.com/a/ACg8ocKjTkgGz6IGSSqMDnRAfRUv5mzOXRAkrv7fGRvHXM66SnLTdw=w36-h36-p-rp-mo-br100","Soraya Echeverria","18 reseñas · 2 fotos","Hace 7 meses","En este sitio tiene muchos comercios y eso me gusta mucho y bares la verdad que es muy agradable encontrar y da alegría esta zona"
"https://lh3.googleusercontent.com/a-/ALV-UjWldtwExhVRlq_2fDQ3zuFN2SlxvCs1gezDqvVD67PFlGzSbcM5jA=w36-h36-p-rp-mo-ba4-br100","Gala Pérez","Local Guide · 102 reseñas · 17 fotos","Hace 2 años","No tiene ascensor, las personas minusválidas ni pueden acceder ni pueden salir. Las personas con hijos y sus carritos lo tienen complicado debido a sus escaleras en las dos bocas existentes.
El barrio está muy sucio y descuidado, sobre todo por la gente y su mala educación, beben cervezas y las dejan tiradas en el suelo aun habiendo una papelera a dos pasos. Una gentuza vergonzosa...."
"https://lh3.googleusercontent.com/a-/ALV-UjU_QviuwDLj8D84rTUzdhsHPr70MI35GjQ7AEt_VP7XfdRFwzj9=w36-h36-p-rp-mo-ba4-br100","Sagiv Boniel","Local Guide · 71 reseñas · 46 fotos","Hace 3 años","Está en un lugar bastante céntrico para el barrio de Opañel y los que vive en el punto norte del barrio de Abrantes. Pero hay problemas con esa estación:

1) muchas veces veo manteros ahí vendiendo sus productos de origen sospechoso.
2) no hay ascensores y al menos una vez cada tres semanas veo que están reparando la escalera mecánica ahí, sin considerar la gente minusválida que necesita buscar otra estación para acceder a la red de Metro y a la gente que esté dando prisa.
3) Por fin instalaron una pantalla hace un año o así indicando cuando viene el siguiente tren. Pero la mayoría de las veces, la pantalla está informando permanentemente que hayan obras en una línea de Metro, o lo de la estación de Gran Vía. La gente ya lo sabe, no hace falta informarlo mil veces. Quiero saber si el tren viene en 2 minutos o en 8.

Lo bueno es que es fácil de encontrar la estación, hay acceso a buses, bares y escuelas y que hay gel hidroalcohólico en la estación."
"https://lh3.googleusercontent.com/a/ACg8ocJ9EdNVM977K7QnG2un6-PvNS3KI5AMWpQlhO0YHW3gHxwcOA=w36-h36-p-rp-mo-br100","Mabel Lopez Martin","26 reseñas · 5 fotos","Hace 3 años","No tiene ascensor ni escaleras mecánicas para acceder a la calle.
Mi madre, minusválida, lleva años sin poder acceder a Metro en su silla de ruedas; ni siquiera en el intercambiador de Elíptica!!!!
De vergüenza, el que la tenga..."
"https://lh3.googleusercontent.com/a/ACg8ocLgxp2Hr0xUwez86TXi4JzmBb4i39eWJJz1_7xCPCeCGrpZnA=w36-h36-p-rp-mo-br100","Bruno Nieves","6 reseñas · 7 fotos","Hace 2 años","Hola buenas noches, solo he tenido la oportunidad de visitar sus vías una sola vez, y fue en busca de un baño el cual no encontré... Defequé en la acera, un saludo cordial. Espero ver carteles de aseos para la siguiente, cuídense todos."
"https://lh3.googleusercontent.com/a-/ALV-UjXVr8jmp9tSwrEvvxkZIH1670v2zMlMGGvxdwP17dUDcnRLF03X=w36-h36-p-rp-mo-ba6-br100","Francisco León","Local Guide · 292 reseñas · 1 foto","Hace 4 meses","Se paró el reloj hace mucho tiempo."
"https://lh3.googleusercontent.com/a-/ALV-UjU7W9IrrYinNslAB4k1gwNWJv7wXONh4H3YOc75DG0UT4q908VSug=w36-h36-p-rp-mo-ba5-br100","Jorge Luis","Local Guide · 161 reseñas · 692 fotos","Hace 2 años","De pasillos amplios y limpios; Es muy seguido el control de abonos.
No tiene ascensor y ya no hay manteros."
"https://lh3.googleusercontent.com/a-/ALV-UjUaSiF9UsgVEydll_iWg9sF03OoWgXXltnau7Q6VEoZQMmmdA0=w36-h36-p-rp-mo-br100","celia fernandez veiga","66 reseñas","Hace 2 años","Son arrios muy antiguos.Las viviendas son muy antiguas.Las calles estan vastante abandonadas.Si buscas algo en conquetro es vastante dificil para ver las calles.La vida de la gente son mayores no es lo mismo.Esta vastante abandonado las calles de esa zona."
"https://lh3.googleusercontent.com/a-/ALV-UjWJWfBz_o7qLe0SXVXtAWOUd45ZQxd33kcLViR4P6Kc8oOs9b8=w36-h36-p-rp-mo-ba3-br100","Ma Ca","Local Guide · 47 reseñas","Hace 4 años","Estacion de metro que pertenece a la linea 6. No suele estar muy transitada de gente. Tiene 2 salidas a la calle. No dispone de ascensores."
"https://lh3.googleusercontent.com/a-/ALV-UjWdX3tAK1ZJlSEdh8h8NGSBOAWGhVcUa-CtxrL2cSRL-XqgIQzj=w36-h36-p-rp-mo-ba8-br100","Ma Ca","Local Guide · 1.250 reseñas · 21.888 fotos","Hace 6 años","Pertenece a la línea 6. La estación es bastante antigua, deberían reformarla y poner ascensores para gente con movilidad reducida"
"https://lh3.googleusercontent.com/a-/ALV-UjVFIzZMeDcLKwctGf5aukVx53k0CzHHZYNUhzjmPSUQjr4N-nHC=w36-h36-p-rp-mo-ba5-br100","Mogamonte (Mogamonte)","Local Guide · 243 reseñas · 539 fotos","Hace un año","Mucha gente, no hay aseos. Huele mal"
