"URL","Usuario","Info","Fecha","Reseña"
"https://lh3.googleusercontent.com/a/ACg8ocLtqUXqUa-Ri_yFjKWT7oT6BgEEgqpSBpdtiYiK1lsm-hweruw=w36-h36-p-rp-mo-ba6-br100","T","Local Guide · 343 reseñas · 809 fotos","Hace 8 meses","Oporto es una estación de las líneas 5 y 6 de Metro de Madrid, situada bajo la glorieta del Valle del Oro, en el barrio madrileño de Opañel.

La estación fue reformada entre 2003 y 2004 con la colocación de nuevas bóvedas y paramentos."
"https://lh3.googleusercontent.com/a-/ALV-UjWzblVqaRNmVRZy7VBAiDE_T0ZAqJ6D08ws2wqDx56tN-2Uyqj7=w36-h36-p-rp-mo-ba5-br100","Guillermo Musica _","Local Guide · 286 reseñas · 228 fotos","Hace un mes","La estación de metro Oporto es una estación importante en la red de Metro de Madrid, situada en el distrito de Carabanchel. Es una estación que sirve a una zona residencial y cuenta con conexiones a dos líneas de metro, lo que facilita el acceso a diferentes partes de la ciudad.

### Líneas de Metro
En Oporto confluyen las siguientes líneas de metro:
- **Línea 5 (Alameda de Osuna - Casa de Campo)**
- **Línea 6 (Circular)**

### Ubicación
La estación se encuentra en la intersección de la calle del General Ricardos y la Avenida de Oporto, en el distrito de Carabanchel. Esta ubicación proporciona acceso a una zona residencial con diversas opciones comerciales y de servicios.

### Servicios y Facilidades
La estación de Oporto ofrece varias facilidades para los usuarios:
- **Ascensores y escaleras mecánicas** para mejorar el acceso.
- **Instalaciones accesibles** para personas con movilidad reducida.
- **Máquinas expendedoras** de billetes y puntos de recarga para abonos.
- **Conexiones con autobuses urbanos**, permitiendo a los pasajeros continuar su viaje hacia diferentes partes de la ciudad.

### Importancia
Oporto es una estación clave debido a la intersección de las líneas 5 y 6 del metro. Esta combinación facilita el acceso a muchas partes de Madrid, haciendo de Oporto un punto de intercambio importante para los viajeros diarios. La Línea 5 proporciona conexión directa al centro de la ciudad y otras áreas clave, mientras que la Línea 6, al ser circular, permite desplazarse eficientemente alrededor de Madrid.

### Lugares de Interés Cercanos
- **Parque de San Isidro:** Un parque popular en la zona, ideal para paseos y actividades al aire libre.
- **Centro Comercial Plaza de Vista Alegre:** Un centro comercial cercano con una variedad de tiendas, restaurantes y entretenimiento.
- **Hospital Central de la Defensa Gómez Ulla:** Un importante centro hospitalario en la zona.

Si necesitas más detalles, como horarios específicos o información adicional sobre los servicios disponibles en la estación, estaré encantado de proporcionártela."
"https://lh3.googleusercontent.com/a-/ALV-UjWdX3tAK1ZJlSEdh8h8NGSBOAWGhVcUa-CtxrL2cSRL-XqgIQzj=w36-h36-p-rp-mo-ba8-br100","Ma Ca","Local Guide · 1.250 reseñas · 21.888 fotos","Hace 6 años","La estación es antigua y las veces que he pasado suele estar limpia. No tiene ascensor. Comunica con las líneas 5 y 6 de metro"
"https://lh3.googleusercontent.com/a/ACg8ocILs2XoMmAAou2KRSEaMz_K5fWL9_N17YQ4cNmMLcGdj99p8A=w36-h36-p-rp-mo-ba3-br100","barbara henriquez","Local Guide · 76 reseñas · 6 fotos","Hace 6 meses","Que pasa con la temperatura de esta estación? Parece infierno da igual si es verano u otoño. Regulen ese termostato por favor que en vez de oporto lo llamaré estación infierno del calor que hace. Edito reseña sábado 02/3/24 la seguridad sicor no sirve."
"https://lh3.googleusercontent.com/a/ACg8ocK6SSVbpMXqKC-8xw3TLbgt1GLlk452a98urDijrrHxS2ZE2Q=w36-h36-p-rp-mo-br100","Luis Miguel Cuenca","16 reseñas","Hace un mes","CALOR EXCESIVO EN EL ANDEN, FALTA AIRE ACONDICIONADO O VENTILADORES. CALOR DEL DESIERTO"
"https://lh3.googleusercontent.com/a-/ALV-UjVzL7wPLNy29rmFs8ZPAVfQdqxAWScowZSstdNRztGTh4O9_C1c=w36-h36-p-rp-mo-ba5-br100","Gabriela Roade","Local Guide · 107 reseñas · 1.014 fotos","Hace 8 meses","Falta ascensores , barrio con muchas personas mayores y familias con carros con bebes. Al lado del hospital militar, personas con muletas y sillas de ruedas. Hace 1 mes que se han roto dos puertas y nadie las repara.!@metromadrid"
"https://lh3.googleusercontent.com/a-/ALV-UjVuu0Y4bBET0C8jpkQLe_1nZ-uEQRIRE5h515nCkdxsmR0Q_9C7=w36-h36-p-rp-mo-ba4-br100","José Luis","Local Guide · 72 reseñas · 199 fotos","Hace 11 meses","Un caos de tránsito de pasajeros. Nadie respeta a nadie. Invaden zonas de entrada y salida, no te dejan salir del vagón, porque se te plantan en medio de la puerta. Lo de seguridad está siempre de charla con ka taquillera y no se meten en el civismo de los transeúntes y que dejen zonas libres de circulación (haciéndolo por la derecha). Lejos de ayudar, se ponen a la entrada de acceso de la línea 6 (escaleras mecanicas) bloqueado el acceso con personal del metro, solicitando el el abono. (Que será muy lícito, pero perdí el tren cuando llevaba prisa) y a mí, concretamente no me pidieron el billete, pero no dejaban paso en las escaleras a los que teníamos prisa."
"https://lh3.googleusercontent.com/a/ACg8ocJkOwzGPPNh6OmxDL2pBYqbrtrM7du1dOLCqrGiaQLFgxIC0A=w36-h36-p-rp-mo-ba4-br100","Alfredo Pavía","Local Guide · 35 reseñas","Hace 2 semanas","Normal, una estación de metro. En las horas unta ..., puffffff."
"https://lh3.googleusercontent.com/a-/ALV-UjXpowC3sYQ_9OFLj7OGObEV7eZFTOPENTX515ZRGYaHcYatdx2I=w36-h36-p-rp-mo-ba4-br100","Mariano Diaz","Local Guide · 62 reseñas · 269 fotos","Hace 10 meses","Decir que es horrible el ambiente en el exterior de la estación, la plaza de oporto está infectada de alcohólicos-as, peleas, sucia, un peligro para las personas que van a trabajar en este medio de transporte, van con miedo, tienen que ir acompañados-as, para entrar en el metro. Una vergüenza, como todo Madrid. 😡 la situación es insostenible."
"https://lh3.googleusercontent.com/a-/ALV-UjWeRcKhah2XGCAx8ONn67312zbij_avfEDCyLTjSzTyhWOS7BdI=w36-h36-p-rp-mo-ba4-br100","Rafael Delgado","Local Guide · 88 reseñas · 23 fotos","Hace un año","Un lugar muy liberal pero en las noches no es muy seguro que digamos"
"https://lh3.googleusercontent.com/a/ACg8ocJZcYvSMVCmBHqhYk0zggKMG__py2p0UB7Ev_BMctvXbyuzHQ=w36-h36-p-rp-mo-ba5-br100","Jose Julio Cabello","Local Guide · 182 reseñas · 17 fotos","Hace un mes","Una estacion de metro mas la verdad nada qe destacar"
"https://lh3.googleusercontent.com/a-/ALV-UjXtDZ_-i7iLxApEKCRMoVLfTnkQu0yAr3NFeBuHlULSbMOyPwY=w36-h36-p-rp-mo-ba2-br100","Marcos H.C","Local Guide · 5 reseñas","Hace 3 meses","Sitio muy concurrido sobre todo la propia plaza de oporto."
"https://lh3.googleusercontent.com/a-/ALV-UjUR7IDsM2Lvs8yZUmmxFBiRl7SZOpt3qr0jRc0SAaWt6l05w-wZmQ=w36-h36-p-rp-mo-ba5-br100","J.Carlos Marquez","Local Guide · 239 reseñas · 332 fotos","Hace un año","Llevan años haciendo reformas en la plaza y nunca se termina.
Lo que tiene que haber es más limpieza y también conciencia ciudadana si realmente multaran a quienes tiran los botes de cerveza y basura al suelo estaría todo mejor."
"https://lh3.googleusercontent.com/a-/ALV-UjXSD2tc9JoYTGZl0kYLoa5h1YBkyCpB618lkYbNl37U4AEfYWA=w36-h36-p-rp-mo-br100","JUAN ANGEL PAMOS GUTIERREZ","112 reseñas · 21 fotos","Hace 10 meses","Bonita ciudad, Oporto, barrios, muy pintorescos, el río Duero, es el alma de la ciudad, calles
empinadas .y casas muy viejas, con mucho encanto. Los monumentos, merece la pena verlos.9"
"https://lh3.googleusercontent.com/a-/ALV-UjUS0B1_xvlTI4SVPNW2UGWmb1PJyJiQIdfm3tyaSHnLtkcG2ZCtLA=w36-h36-p-rp-mo-ba5-br100","ALONSO BETETTA","Local Guide · 256 reseñas · 16 fotos","Hace 4 semanas","Sitio normal en cuanto a lo que es una estación de metro"
"https://lh3.googleusercontent.com/a/ACg8ocJPWiZnlzcCamHSQ1com3ZHRDR3Uu6IHRMXTlz01CDR12Witg=w36-h36-p-rp-mo-ba4-br100","Charo Pelaez tellez","Local Guide · 121 reseñas · 2 fotos","Hace un año","Hola yo viajo mucho en metro cojo muchas líneas la peor es metro laguna ...falta de seguridad y vigilancia la vigilancia se la pasan por el traje hoy día 15 agosto 2023 una señora no oan dejado bajar con su perrito cuando la ley lo permite a bajado a metro lucero y a pasado ........lo que tienen que hacer algunos vigilantes de metro laguna es : no dejard colarse ,repito colarse eso ya es falta de responsabilidad y mal ejemplo dejan pasar a bastantes lo hablamos los transeúntes .......y que se lean ela ley de permitir animalitos con sus bozales ect......vaya ejemplo que dan en metro laguna .......ahora para estar arriba fumando y cascando si pero para detener a los que se cuelan no ........sino que se dediquen a otro oficio  es vergonzoso

Por eso felicito a los vigilantes de metro oporto por la responsabilidad y seriedad de su trabajo .....y en otras líneas lo mismo menos en metro laguna"
"https://lh3.googleusercontent.com/a/ACg8ocKKbUIoRWUFWlatl4GzxAgFt8PTfneAUnsgnyV17oiVXl1xnA=w36-h36-p-rp-mo-ba2-br100","Alina Brito Pérez","Local Guide · 6 reseñas · 16 fotos","Hace 5 meses","Una tarde diferente, buen sabor de la comida👌, buen ambiente.…"
"https://lh3.googleusercontent.com/a-/ALV-UjWtC4Oqx56OwySLA2BL4pJNxonrLF9Xcu1V1urKyuYRr4gjnzh9=w36-h36-p-rp-mo-ba4-br100","Nancy Araque","Local Guide · 98 reseñas · 112 fotos","Hace 8 meses","Es un barrio con varios sitios de interés, como bares, tiendas de ropa, inmobiliarias, venta de muebles, artefactos eléctricos, estanco, etc Esta bien conectado por el metro y bus."
