"URL","Usuario","Info","Fecha","Reseña"
"https://lh3.googleusercontent.com/a/ACg8ocK37nmJZAdx6SHv0qn5-bQt2kBdAMmZz2hoqGG1F19cbkCfeg=w36-h36-p-rp-mo-ba5-br100","Eduardo","Local Guide · 313 reseñas · 120 fotos","Hace 2 años","Está estación de la línea 9 Arganda-Paco de Lucia, es la última estación de esta línea que llega al corazón de este bonito barrio de la ciudad de Madrid. Por ejemplo desde la estación Ibiza (Parque del Retiro) se tarda unos 25 minutos de viaje. Muy buen sistema de transporte."
"https://lh3.googleusercontent.com/a-/ALV-UjVsV2tmSu-VrEhx5pV5pNYB7yxR5LT_xe4PNmBx3EtNIt7E1Gg=w36-h36-p-rp-mo-br100","Ahmed Daiboun","5 reseñas · 3 fotos","Hace 4 meses","Por favor apagar las luces de las escaleras cuando hay luz natural. Todas las luces del ayuntamiento se apagan y se quedan las vuestras encendidas."
"https://lh3.googleusercontent.com/a-/ALV-UjV1bSTMJJT8WJzFLzE09HjUNcJoks8oC55x28mRpM-vvO7kdaM=w36-h36-p-rp-mo-ba7-br100","Maite Rozas Rodríguez","Local Guide · 852 reseñas · 3.078 fotos","Hace 3 meses","Es una estación de Metro, con murales alusivos al músico guitarrista. Es amplia, moderna y adaptada para personas con funcionalidad reducida."
"https://lh3.googleusercontent.com/a-/ALV-UjWreCGDCvlOhaO7TkLm31dQV1h16NeYmY_Yge6SWXRL2cvtl5dt=w36-h36-p-rp-mo-br100","Ester Bernal","7 reseñas · 6 fotos","Hace un año","Todos los dias me tiro, 20 minutos esperando el tren en Paco de Lucía, con destino Atocha, es increíble , nunca viene el de 15:18/15:21...llego 15:07 y tampoco... Ese tren os lo saltais , Todos los dias! 😡haber si ponéis un poco de vuestra para y mirais, por los viajeros un poco... Ya tenemos bastante todas las mañanas, que siempre Renfe falla en algo, encima por la tarde, quitais trenes... Espero mejoria, gracias!"
"https://lh3.googleusercontent.com/a-/ALV-UjXN_8lqZwvWDE74pWGuKtN8T-Z0Z0XB0ObVFxmYncca5qwLmULnPQ=w36-h36-p-rp-mo-ba8-br100","David Gutiérrez Sacristán SPAIN","Local Guide · 1.184 reseñas · 22.136 fotos","Hace 4 años","Trabajadores del metro muy amables. Al ser una estación nueva, da mucha sensación  de limpieza. Ideal para ir a mirasierra por la zona norte."
"https://lh3.googleusercontent.com/a-/ALV-UjXS1gkQdcGv2BoHwWyenjuV0ipqPJjnzaKx22kthMgVXsWPs4c8=w36-h36-p-rp-mo-ba3-br100","amy patry","Local Guide · 57 reseñas · 8 fotos","Hace 10 años","El metro de Madrid es ideal para el transporte público, a pesar de las subidas de precio y los retrasos ""mañaneros"", es un recurso que proporciona una gran movilidad a la hora de moverte por la ciudad de Madrid.…"
"https://lh3.googleusercontent.com/a-/ALV-UjWnNif2aka24yO6gs-d4rhJPVzvOi_dlAF9sppIaMhY3xDvl58W=w36-h36-p-rp-mo-ba4-br100","Natalia Tejado Rodríguez","Local Guide · 154 reseñas · 6 fotos","Hace 11 años","Rápido, seguro y eficaz.
El transporte más rápido para moverte por Madrid de punta a punta, ya que son muy poquitas las partes que no están comunicadas por el metro.
Quizás no hay que olvidar que cuestan los billetes de 10 viajes 12.40 euros y los sencllos van entre 1 y 2 euros dependiendo de las estaciones que vayas a recorrer."
"https://lh3.googleusercontent.com/a-/ALV-UjWU1b815owlJ-G8DC5tpLk7_g39clObXtylXNDset8M8_phKZZ6=w36-h36-p-rp-mo-br100","Francisco Javier Casillas Vega","9 reseñas","Hace 11 años","El metro madrileño cuenta con muchas bocas que te acercan a todos los rincones de madrid. Cada estación es diferente encontrándote variedad de personas, culturas y religiones. Las lineas suelen estar bien comunicadas y te llevan rápido a tu destino. Un punto negativo es el problema con los robos ya que hay que estar vigilando en todo momento. El precio podría mejor pero es aceptable."
"https://lh3.googleusercontent.com/a/ACg8ocINfaPGY6cH-eexEjCvCX4RoE2yT8XRztPh8Vd6vHSWXWAHdXk=w36-h36-p-rp-mo-br100","Elena Garcia Fernandez","10 reseñas","Hace 10 años","El Metro de Madrid es caro para los servicios que ofrece. Tiene parones muy a menudo, muchas de las estaciones están fatal y cierra pronto. No paran de subir el precio de los abonos y el nuevo sistema de cobro por estaciones para usuarios de billetes individuales me parece anticuado. Si al menos la publicidad que se ha incorporado ayudase para las mejoras, lo entendería, pero no veo ninguna, ni una bajada de precios tras la incorporación de publicidad en la línea 2 y en la estación de Sol."
"https://lh3.googleusercontent.com/a-/ALV-UjXsc-0l94g8yKUUYMi_wYeGimabZwv7rmjba3C87z6y51_JAk-z6A=w36-h36-p-rp-mo-ba3-br100","Alejandro Lopez","Local Guide · 61 reseñas · 1 foto","Hace 11 años","Si bien estos últimos años los madrileños hemos experimentado una subida de precios que a muchos nos parece abusiva y nos hace renegar un poco de nuestro metro, hay que reconocer que sigue siendo la mejor forma de moverse por Madrid, cada día más poblada y mas urbanizada. Las mayores ventajas del metro a dia de hoy son su extrensión (ya que abarca toda la comunidad de madrid) y sus horarios ya abre hasta la 1'30 y reabre sus puertas a las 6 de la mañana."
