"URL","Usuario","Info","Fecha","Reseña"
"https://lh3.googleusercontent.com/a-/ALV-UjWzblVqaRNmVRZy7VBAiDE_T0ZAqJ6D08ws2wqDx56tN-2Uyqj7=w36-h36-p-rp-mo-ba5-br100","Guillermo Musica _","Local Guide · 286 reseñas · 228 fotos","Hace un mes","La estación de metro Pacífico es una estación importante en la red de Metro de Madrid, situada en el distrito de Retiro. Es una estación que sirve a una zona residencial y comercial y cuenta con conexiones a dos líneas de metro. ### Líneas de Metro Pacífico es servida por: - **Línea 1 (Pinar de Chamartín - Valdecarros)** - **Línea 6 (Circular)** ### Ubicación La estación se encuentra en el barrio de Pacífico, en la intersección de las calles de Doctor Esquerdo y Avenida de la Ciudad de Barcelona. Esta ubicación proporciona acceso a una zona residencial con diversas opciones comerciales y de servicios. ### Servicios y Facilidades La estación de Pacífico ofrece varias facilidades para los usuarios: - **Ascensores y escaleras mecánicas** para mejorar el acceso. - **Instalaciones accesibles** para personas con movilidad reducida. - **Máquinas expendedoras** de billetes y puntos de recarga para abonos. - **Conexiones con autobuses urbanos**, permitiendo a los pasajeros continuar su viaje hacia diferentes partes de la ciudad. ### Importancia Pacífico es una estación clave debido a la intersección de las líneas 1 y 6 del metro. Esta combinación facilita el acceso a muchas partes de Madrid, haciendo de Pacífico un punto de intercambio importante para los viajeros diarios. La Línea 1 conecta el norte y sur de Madrid, pasando por el centro, mientras que la Línea 6, al ser circular, permite desplazarse eficientemente alrededor de la ciudad. ### Lugares de Interés Cercanos - **Parque del Retiro:** Uno de los parques más grandes y populares de Madrid, ideal para paseos y actividades al aire libre. - **Real Observatorio de Madrid:** Un importante centro científico e histórico, situado en el Parque del Retiro. - **Centro Deportivo Municipal La Chopera:** Ofrece diversas instalaciones para actividades deportivas y recreativas. - **Museo del Ferrocarril:** Situado a poca distancia, en la estación de Delicias, este museo ofrece una colección de vehículos ferroviarios y exposiciones sobre la historia del ferrocarril en España. Si necesitas más detalles, como horarios específicos o información adicional sobre los servicios disponibles en la estación, estaré encantado de proporcionártela."
"https://lh3.googleusercontent.com/a-/ALV-UjW3jX9zWkkQwYG3AwM0UgpglZNA0P_6Tjqm88Ol-PBpBAkTHtVV=w36-h36-p-rp-mo-ba5-br100","George I. King","Local Guide · 343 reseñas · 502 fotos","Hace 4 años","Una estacion de metro que conecta el circular con la linea 1. Y como es la primera conexión del tramo sur de L1 suele tener mucho trafico de pasajeros. A veces la señalización esta mal tan mal echa que es facil de equivocarse uno y perderse por el labirinto que junta las dos lineas.  Hace unos dias me llamo atencion los carteles que indican los andenes del circular como segun el cartel para ir a anden 1 tienes que bajar al anden 2 que es imposible en realidad.  Hoy tambien pase por la estacion y todo sigue igual"
"https://lh3.googleusercontent.com/a/ACg8ocLtqUXqUa-Ri_yFjKWT7oT6BgEEgqpSBpdtiYiK1lsm-hweruw=w36-h36-p-rp-mo-ba6-br100","T","Local Guide · 343 reseñas · 809 fotos","Hace 7 meses","Estación de metro por donde pasan la línea 1 y 6."
"https://lh3.googleusercontent.com/a-/ALV-UjWSIMDEHAUmuKkiGG6KQIq5xvsRJqem6PRpQS2ZvkaeEsYXTxg=w36-h36-p-rp-mo-ba2-br100","Rolando Michell Soto Matos","Local Guide · 12 reseñas · 15 fotos","Hace 11 meses","No es posible que las autoridades del metro no vean por las cámaras o de otra forma que en el ascensor entran todas las personas y no dejan pasar los carritos con bebés ni discapacitados. Un día ya tuve problemas con una persona que dijo pues te esperas al otro habiendo llenado ese ascensor todos personas jóvenes, hoy igual entran todos y les da igual. Todos los días pasa esto y muy claro dice que es para embarazadas , carritos de bebés y discapacitados"
"https://lh3.googleusercontent.com/a-/ALV-UjUAJrEeWBTsSZ3gqgiq5DwHh_IJiouZHYxy3u2PsgEYPOf69mhL=w36-h36-p-rp-mo-ba6-br100","Caboalles Falo","Local Guide · 296 reseñas · 753 fotos","Hace un año","Estación de metro del barrio con el mismo nombre. Muy bien equipada, con ascensor, cargadores de móviles distribuidos a lo largo de la estación y con varios paneles informativos donde te mantienen muy bien informado . Con dos líneas de metro, la 1 y la circular, 6 tiene múltiples combinaciones . Ascensor para comunicar la calle con línea 1 y otro ascensor para comunicar línea 1 y línea 6 ..."
"https://lh3.googleusercontent.com/a-/ALV-UjVf-qAJl0cAV3qbianG6bURKTLAOjnn5s4JbyUvs8_ZVtavBk-cJw=w36-h36-p-rp-mo-ba3-br100","Amina AE","Local Guide · 29 reseñas · 33 fotos","Hace un año","La línea 1 en general acostumbra a ser un desastre. Especialmente en horas punta como suelen ser Las 8:00 o las 18:00 de la tarde. Terrible completamente colapsada hay que esperar varios metros para poder subir en uno (cabe decir que la gente va enlatada, en las latas de sardinas hay más espacio)"
"https://lh3.googleusercontent.com/a/ACg8ocLoc1OwO99A-LQWBd_Ge4NDCb6tt3s1PkcapwJoVZrJ06x8oA=w36-h36-p-rp-mo-ba4-br100","varoal varoalvaro","Local Guide · 39 reseñas · 61 fotos","Hace 3 años","Los horario de los trenes están en el promedio habitual, rondando los 8 minutos entre trenes. Un metro muy concurrido, haciendo que a veces se quede pequeño, y existan aglomeraciones, algo no recomendable en la situación de pandemia en la que nos encontramos. No obstante esta bastante limpio y siempre hay alguien a quien puedas pedir información o ayuda."
"https://lh3.googleusercontent.com/a-/ALV-UjV3HKnLEGQfbgEtQEnshR5W10ex8JKjtYDyJ4ylDjHp_Ja-se_N=w36-h36-p-rp-mo-ba5-br100","Joaquin Villalonga Gómez","Local Guide · 103 reseñas · 626 fotos","Hace un año","Estupendamente y no muy aglomerado de público. Desde Atocha a Cuatro Caminos unos 10 min y te avisan de las paradas y cuando la parada es en una curva,te dicen que tengas cuidado al bajar."
"https://lh3.googleusercontent.com/a/ACg8ocLv3dxOVS6YYxaTZDyNw71wRzfE_5j28brUxg5n9jsDyL7Pyw=w36-h36-p-rp-mo-ba2-br100","Ericka Villacís","Local Guide · 25 reseñas · 2 fotos","Hace 2 años","La señora rubia que estaba de responsable bastante maleducada y altanera. El sábado por la noche se me cayó el abono de transporte en el autobús al salir de trabajar. Me dijeron que, al caer el fin de semana, esperase hasta el lunes y llamase a objetos perdidos. Llamé hoy y me dijeron que no lo tenían y que debía sacar un duplicado. Hasta ahí todo correcto. El domingo presenté el ticket de compra del abono recién recargado y la chica que me atendió en Quintana, muy amable, me dio un papel que me permitía ir a trabajar sin necesidad de comprar un billete. Sin embargo, en Pacífico, hoy lunes a las 13h, le explico a la señora que estaba ahí la situación y que me quería dirigir a la oficina de Sol a sacar un duplicado y, con una total falta de empatía y de manera muy desagradable, me quería obligar a comprar un billete. Le explico que, como el día anterior me dejaron pasar sin problemas, no llevaba nada de dinero encima. Que pretenda que pagase por un servicio que ya tengo pagado (y con comprobante) ya me parece mal, pero mi queja viene más que nada por su actitud. Lo que se espera de alguien que trabaja de cara al público es un mínimo de respeto y amabilidad, sobre todo si se le está hablando con mucha educación. Finalmente, me dejó pasar, pero parecía que me estaba perdonando la vida. Me sabe mal poner esta queja, pero todo mal."
"https://lh3.googleusercontent.com/a-/ALV-UjVyRGgfAC8-6vQ_kxjOQnUTf_KNwbi3Yhv4SZD0GvWiHcRQ3B8FaQ=w36-h36-p-rp-mo-ba5-br100","Samara Andino","Local Guide · 244 reseñas · 588 fotos","Hace 8 meses","Línea de metro que te lleva directo al centro turístico de Madrid e interconecta con la línea circular 6"
