"URL","Usuario","Info","Fecha","Reseña"
"https://lh3.googleusercontent.com/a/ACg8ocLtqUXqUa-Ri_yFjKWT7oT6BgEEgqpSBpdtiYiK1lsm-hweruw=w36-h36-p-rp-mo-ba6-br100","T","Local Guide · 343 reseñas · 809 fotos","Hace 8 meses","Palos de la Frontera es una estación de la línea 3 del Metro de Madrid situada bajo la calle del mismo nombre, entre la calle Batalla del Salado y el paseo de las Delicias. Presta servicio al barrio homónimo.

La estación fue inaugurada el 26 de marzo de 1949 junto con la estación de Delicias y recibió el nombre de la calle en la que se encontraba, Palos de Moguer."
"https://lh3.googleusercontent.com/a-/ALV-UjXRqS6Q9dNONl0gFudFaxXTzC_sDEd9R9VNV3PAZzfLvFj8XkxR=w36-h36-p-rp-mo-ba3-br100","Ramon Gomez","Local Guide · 30 reseñas · 3 fotos","Hace 3 meses","Es una parada que te lleva a la avenida de las Delicias número veinticinco que está muy bien"
"https://lh3.googleusercontent.com/a-/ALV-UjV0VVCtPR_YiJDCp1hAAia2yFZt8M4HZzGzebyPMSW4R10K7smh=w36-h36-p-rp-mo-ba6-br100","Fernando F","Local Guide · 427 reseñas · 1.949 fotos","Hace un año","Esta estación de metro de Palos de la Frontera tiene muchas escaleras y un ascensor, pero no tiene escaleras mecánicas y es muy costoso de subir. El ascensor siempre está lleno y yo que tengo discapacidad no puedo pelearme con la gente para subir, ni con el carnet que lo acredita en la mano."
"https://lh3.googleusercontent.com/a/ACg8ocLg4DooJLRyWfXkJyqN07TFMLrFs4aYBhKBPDqK-IEqCk-axall=w36-h36-p-rp-mo-br100","Pilar","16 reseñas","Hace un año","A los pocos minutos de entrar, tuvimos que salir porque se nos había olvidado algo, y el controlador, muy observador,  al volver a vernos entrar a los 10 minutos, nos dejó acceder sin tener que volver a picar billete. Se notó su profesionalidad."
"https://lh3.googleusercontent.com/a-/ALV-UjVPlI3_WxZ-JbiFDSG6A1n_aKR_BFRpvuYb0hLgejNuccGQun5Z=w36-h36-p-rp-mo-ba8-br100","José Julio Melgares","Local Guide · 2.805 reseñas · 12.351 fotos","Hace 7 años","Situada muy cerca del Centro Dotacional Integrado Arganzuela. Ascensores"
"https://lh3.googleusercontent.com/a-/ALV-UjWdX3tAK1ZJlSEdh8h8NGSBOAWGhVcUa-CtxrL2cSRL-XqgIQzj=w36-h36-p-rp-mo-ba8-br100","Ma Ca","Local Guide · 1.250 reseñas · 21.888 fotos","Hace 2 años","Estación de metro que pertenece a la línea 3. Dispone de cobertura móvil además de ascensor. Tiene varios accesos a la calle. Los vagones de esta línea son estrechos. Línea que suele estar muy concurrida de gente."
"https://lh3.googleusercontent.com/a/ACg8ocKgERMVL5Jv0XeWHo8AVShkESLdnCKKHl9i9LygVv1X9_XjvQ=w36-h36-p-rp-mo-br100","Irene Ferreres","21 reseñas · 2 fotos","Hace 7 meses","El ascensor está roto día si y día también por lo que lo de que es accesible es mentira"
"https://lh3.googleusercontent.com/a-/ALV-UjXFcNfQqHq7HSS_Q9MdiGW2QMcHIqYsnvb-Zo02iI3TGIZsi-gbag=w36-h36-p-rp-mo-ba5-br100","dionisio borrallo varela","Local Guide · 244 reseñas · 12 fotos","Hace un mes","Es un buen barrio"
"https://lh3.googleusercontent.com/a/ACg8ocJ-ACMb_AmcPCYnXjDGsqo4OAZpwLkIqDqmhZdxu6a4vjQaOQ=w36-h36-p-rp-mo-ba6-br100","Isabel Ipsan Schery","Local Guide · 492 reseñas · 310 fotos","Hace 8 meses","Debe tener más salidas,por la calle Áncora,usar la anterior de Batalla del Salado y poner escaleras mecánicas que hay muchas personas mayores"
"https://lh3.googleusercontent.com/a-/ALV-UjWiLBVXDMbnwPr5Y3ET8QO63bnUtoyXUyXPN6_r5batI82TNQSw=w36-h36-p-rp-mo-ba4-br100","Andrea Abril","Local Guide · 65 reseñas · 124 fotos","Hace 6 años","Suele tener buena frecuencia de paso de los trenes. En unos 15 minutos llega a callao, en el centro de Madrid. Inexplicablemente, huele muchísimo a alcantarilla. Llevo viviendo en la zona dos años y no recuerdo un día que haya olido bien 🤨…"
