"URL","Usuario","Info","Fecha","Reseña"
"https://lh3.googleusercontent.com/a-/ALV-UjVHP8BfSez3y9HMCkHP-fd2P3oEzu2p_ky_R-gGTW4pgHoAujtD=w36-h36-p-rp-mo-ba6-br100","Iván Sáez","Local Guide · 223 reseñas · 1.040 fotos","Hace un año","Estación de metro en el barrio que su propio nombre indica , línea 11 que conecta con Plaza Elíptica y La Fortuna(barrio de Leganés).
La estación está limpia , tiene acceso para silla de ruedas y puertas para movilidad reducida, mediante ascensores se puede bajar desde la calle al andén y viceversa.
Enlaza también con líneas de autobuses 108,118 y 47.
Para aparcar cerca en la calle hay dos plazas para minusválidos justo al lado del ascensor."
"https://lh3.googleusercontent.com/a-/ALV-UjUdGYsBpVABogc9CFceLx4OqWG8HoP7sexLOlBunm-P6n_SH9B9iw=w36-h36-p-rp-mo-ba6-br100","Julio Diarte","Local Guide · 826 reseñas · 3.509 fotos","Hace un año","Tiene fácil acceso para personas con movilidad reducida.
Cuando he pasado por esta estación se veía limpio y cómodo"
"https://lh3.googleusercontent.com/a-/ALV-UjWdX3tAK1ZJlSEdh8h8NGSBOAWGhVcUa-CtxrL2cSRL-XqgIQzj=w36-h36-p-rp-mo-ba8-br100","Ma Ca","Local Guide · 1.250 reseñas · 21.888 fotos","Hace 6 años","La estación no está mal, pero es antigua. Está ubicada en una zona 'conflictiba'"
"https://lh3.googleusercontent.com/a-/ALV-UjXZCWgLyaXxVpTsLPv4JLvcwTybatXOiAs2BUZ8_Lh-XtZ4Apw=w36-h36-p-rp-mo-ba3-br100","Diana Paredes","Local Guide · 46 reseñas · 2 fotos","Hace 9 meses","Vivo enneste barrio desde hace 12 años y no es nada de lo que me decían, aquí cada quien a su aire nadie se mete con nadie"
"https://lh3.googleusercontent.com/a-/ALV-UjXffLqd6c0twOBw0GEBz6LwMATMn3nJr0oMVoz10igGhGE03wqmAQ=w36-h36-p-rp-mo-ba5-br100","José Luis M. “Jositoxy”","Local Guide · 286 reseñas · 127 fotos","Hace 6 años","La peor experiencia de alquilar una casa es desde que vivimos aquí, no te dejan dormir ni por la noche ni la siesta, abren las bocas de riego durante horas saliendo cientos de litros y nadie hace nada, ni la policía quiere pasar. Te miran mal, gritan constantemente como si fueran sord@s, faltan el respeto a todo dios. Hay mercado y todo."
"https://lh3.googleusercontent.com/a-/ALV-UjUpo3HK1rL55JCmvozCHYBusTFC21YCCOKoIcBDxK6hVCTemwlj=w36-h36-p-rp-mo-br100","El Saber Es Poder","12 reseñas","Hace 10 meses","Una M la línea 11.no puede ser que entre un metro y otro tarde 16minutos una verguenza en dia laboral. Hagan algo por favor pagamos el metro por algo. Pésimo servicio"
"https://lh3.googleusercontent.com/a/ACg8ocJ1PmrGMDRy8TB3-08WXYtSYV8wJQFqe0F17L_yjsMqHNpLIA=w36-h36-p-rp-mo-ba6-br100","ricardo sepulveda palacios","Local Guide · 523 reseñas","Hace 7 meses","Es un buen sitio y muy cerca hay un parque enorme para disfrutar en familia"
"https://lh3.googleusercontent.com/a-/ALV-UjXU2ERKZBikje_TkDRGHF92urYXGhJQUJjD7QtqZFkVIih2aew=w36-h36-p-rp-mo-ba3-br100","juanjo estevez","Local Guide · 28 reseñas","Hace 3 años","Sitio a evitar a ser posbile, sobre todo si no eres de la zona. La estación está bien cuidada y tiene acceso para minusvalidos (con ascensor y demás), pero el barrio en si... hay que tener cuidado."
"https://lh3.googleusercontent.com/a-/ALV-UjVNrCIS5HHQEPPYqoayUqVUi9f_nV-3msu4P_KbAa7mD4qNbizF=w36-h36-p-rp-mo-ba3-br100","unico Antonio l","Local Guide · 47 reseñas · 17 fotos","Hace 5 meses","Muy bueni"
"https://lh3.googleusercontent.com/a-/ALV-UjXDNaib37k7lzbGXeZPKm57mDnp1xZm7cd6qTePU3yCuzkSPSRW=w36-h36-p-rp-mo-br100","saida quispe vilca","2 reseñas · 2 fotos","Hace 7 años","Un no deve jugar por donde vive ni mucho menos de donde seamos lo importante es ser buena persona.... Y siempre dar una oportunidad a otros... Besos aquien lea.."
"https://lh3.googleusercontent.com/a-/ALV-UjUA0XoRiEJbGaWg-H2qomBuaNGR9da7NHCrGR3XQNT4cnfYZeU=w36-h36-p-rp-mo-br100","José Ordóñez Bermúdez","4 reseñas","Hace 7 años","Si no eres de este barrio ten mucho cuidado al adentrarte en las profundidades más oscuras de la zona, algo muy malo podría ocurrite"
"https://lh3.googleusercontent.com/a-/ALV-UjXVr8jmp9tSwrEvvxkZIH1670v2zMlMGGvxdwP17dUDcnRLF03X=w36-h36-p-rp-mo-ba6-br100","Francisco León","Local Guide · 292 reseñas · 1 foto","Hace 4 meses","Muy correcto."
"https://lh3.googleusercontent.com/a-/ALV-UjUWJpgla3k7IdATS8bDbR4m8YuU91C7dV4bxcYHRraGCQUSftc=w36-h36-p-rp-mo-ba5-br100","Emilio Vaquero","Local Guide · 209 reseñas · 51 fotos","Hace un año","Zona por la que hay que ir con cuidado debido a su degradación en muchos aspectos"
"https://lh3.googleusercontent.com/a/ACg8ocLEI5tV4tj9541P-TztdYRz960OIXURsKDRHm6cIqKfDCbawQ=w36-h36-p-rp-mo-ba3-br100","Kawtar Mabrouki","Local Guide · 28 reseñas · 35 fotos","Hace un año","Regular no es seguro andar d noche,"
"https://lh3.googleusercontent.com/a-/ALV-UjU7I8zfrQa6BeIDAB1HG66a-uykTicIaTELlRgwEchWJjB3tURJ=w36-h36-p-rp-mo-ba4-br100","Frodosotomonte","Local Guide · 82 reseñas · 35 fotos","Hace 2 años","Barrio peligroso para andar de noche"
"https://lh3.googleusercontent.com/a-/ALV-UjXQvDO4LTheh32B6lHewoMHrQ_QI1DDF2wtuNq2-5QMQ-8TShMdHg=w36-h36-p-rp-mo-ba4-br100","raul lozano","Local Guide · 126 reseñas · 203 fotos","Hace 7 años","Nunca he tenido problemas, en usar esta estacion, tanto de dia como de noche."
