"URL","Usuario","Info","Fecha","Reseña"
"https://lh3.googleusercontent.com/a-/ALV-UjW_nXwiQw3wRKRr0TRzs9ayC9lrkOfY2R1O7FvTEFnFyFF1bt8I=w36-h36-p-rp-mo-ba5-br100","Enrique Mateos","Local Guide · 286 reseñas · 59 fotos","Hace un mes","Es un intercambiador de autobuses,  de muchas líneas,  es una superficie de piedra sin ninguna estructura.  En verano es muy mal sitio para esperar"
"https://lh3.googleusercontent.com/a-/ALV-UjWGd72If7zzbO8q0s-l09bB9KPARTDA_6hC_ZToDkMRYhuDw1Vt=w36-h36-p-rp-mo-ba7-br100","Laura Cristaldi","Local Guide · 1.753 reseñas · 2.041 fotos","Hace 2 meses","Estación de la metropolitana cómoda y limpia; hay aparcamiento gratuito en zona y en un momento te plantas en el centro de Madrid en metro"
"https://lh3.googleusercontent.com/a/ACg8ocJRLMcZE7kPV-GJtlr2mvy0fj5MEjTq8UQqH9ivK9gqxpe8FA=w36-h36-p-rp-mo-ba2-br100","Rene Luna","Local Guide · 13 reseñas","Hace 4 meses","Vergüenza de servicio hacen perder tiempo como 20 minutos sin moverse por regulaciones de tráfico, deberían despedirlos a todos por incompetentes"
"https://lh3.googleusercontent.com/a/ACg8ocIn9q1dTteL1cKU_UJCMi9gOd2l-nIDhWnZBuvJasfdA68_qg=w36-h36-p-rp-mo-ba4-br100","CLARA SANCHEZ MONREAL","Local Guide · 104 reseñas","Hace 3 meses","Es una estación de metro no está mal voy muy a menudo"
"https://lh3.googleusercontent.com/a-/ALV-UjU5xtYz51wdfEVa0K1YSNajNedwrgwjiFTRLg_Y1RxK4gGXS8v84Q=w36-h36-p-rp-mo-ba5-br100","S P","Local Guide · 125 reseñas · 446 fotos","Hace un año","Pavones tiene metro, intercambiador de autobuses. Hay vigilancia policial (la comisaría está cerca,😊), está bien conectada, hay colegios y varios supermercados cerca. Es una zona segura y recomendable.…"
"https://lh3.googleusercontent.com/a-/ALV-UjWs63pQW_O2GQM5RhwQ4JXL3YAOIyW1m1ndIKL7nsY5quLXg0dexw=w36-h36-p-rp-mo-ba8-br100","VÍCTOR VIRGÓS","Local Guide · 1.719 reseñas · 18.915 fotos","Hace 2 años","Está excelente desde la reciente reforma en la línea 9 y han puesto un ascensor que hacía muchísima falta para llevar las maletas y bajarlas al vestíbulo, ya que la escalera se las trae... Ahora tiene un aspecto mucho más elegante y moderno. Las bocas de pavones están muy bien ubicadas para ir a Lidl, ambulatorio, polideportivo. Esta todo al lado, así como la descomunal y despampanante iglesia de mármol de los mormones, que es un palacio de una ostentación y preciosidad alucinante."
"https://lh3.googleusercontent.com/a-/ALV-UjX2BJWgv-gs1bnCFMQzK_oup63UTlO8a6r-_G9MYqzjwHC3XAf6=w36-h36-p-rp-mo-ba3-br100","Alex Carmona","Local Guide · 35 reseñas · 3 fotos","Hace 4 años","Desde que se reformó, se escucha mejor la megafonía, es mucho más accesible si vas con bici, silla de ruedas o carritos de niño gracias a sus ascensores... Ya no hay apenas averías en las escaleras mecánicas... Ha mejorado mucho el servicio"
"https://lh3.googleusercontent.com/a-/ALV-UjXTvRs31ktsmS9RHpXbQx8_2omuCcOB3aM8Lz3bPPFFF464DSVcdg=w36-h36-p-rp-mo-ba6-br100","Enrique Manuel Hidalgo","Local Guide · 366 reseñas · 3.471 fotos","Hace 2 años","Es una súper grande y cómoda para realizar las compras, pues está en la terminal de varios autobús de la EMT, Metro t aparcamientos para automóviles"
"https://lh3.googleusercontent.com/a-/ALV-UjWuameUyVqDlEkZZyPiTk7NW88Qaq8g5PSPFEsp3Tk9SaP7fq5fEg=w36-h36-p-rp-mo-ba4-br100","Julio CT","Local Guide · 127 reseñas · 2 fotos","Hace 12 años","Curioso,el único barrio de Madrid en el que el mayor grupo inmigrante es el estadounidense. Barrio de tránsito para muchos por el intercambiador y el polideportivo. Por lo demás, cómodo y tranquilo. Y el día que multen a los que ponen la música alta en los semáforos será de 10."
"https://lh3.googleusercontent.com/a-/ALV-UjWvQeeetnLhNN6m83YYn7noh7W6TG5h6NjoYUBNUJE-gK2Xvvi6vw=w36-h36-p-rp-mo-ba5-br100","María Calle Santiago","Local Guide · 151 reseñas · 566 fotos","Hace un año","¡Esto sí que es un ejemplo de civismo, sí todas las estaciones de metro fueron así estaríamos haciendo un gran favor al planeta Tierra! Esta es la estación de Pavones línea 9 en el maravilloso barrio de Moratalaz,  Madrid. Me ha encantado. Yo viví en Moratalaz 7 años, normalmente voy allí a revisiones médicas,  pero cuando he visto la remodelación de la estación ¡me he quedado encantada! Ojalá todas fueran así espero que os guste..."
"https://lh3.googleusercontent.com/a-/ALV-UjVO5JI9L8zXsHkQ4N7iRk7GcBsGblpmOt7A3_vYJX5x6HRfzPEO=w36-h36-p-rp-mo-ba4-br100","Sandra Morales","Local Guide · 120 reseñas · 277 fotos","Hace 7 años","No tiene ascensores, ni está adaptada para minusválidos. Cuenta con 3 entradas y que ninguna de ellas esté adaptada es inexplicable. Por lo demás buenas instalaciones."
"https://lh3.googleusercontent.com/a-/ALV-UjXLfn_FvGm7MLr8OAIns6bvOmMq3ffPE7yazf4j_siCXFeAExbx=w36-h36-p-rp-mo-br100","David Garcia","326 reseñas","Hace 3 años","Como siempre, pero esta vez, me quedé con las ganas de llevarme a casa el salmorejo embotellado de su marca cheff select, que estaba al 2×1.... lástima otra vez será."
"https://lh3.googleusercontent.com/a-/ALV-UjXCF3J7dRnsakfvM_NlsWjB7sue-WaQVl5zokW1SrnBXe7O1Di3IA=w36-h36-p-rp-mo-ba8-br100","Pierre Marteau Van Wetter","Local Guide · 591 reseñas · 14.973 fotos","Hace 4 años","Ha mejorado en limpieza y puede ser mejorada mucho más. Muy cerca de Lidl, el Sepe y el CEP de Moratalaz de Salud Madrid. El Intercambiador de Buses de Pavones tan cerca, es muy práctico."
"https://lh3.googleusercontent.com/a/ACg8ocK_1g1m-U9g7louT5iXDJkwh3pu1A6Ie4jtLYy20VfmrSgLug=w36-h36-p-rp-mo-ba3-br100","Aurori Morais Crespo","Local Guide · 28 reseñas · 9 fotos","Hace 10 meses","Mucho mejor acceso desde que está el ascensor"
