"URL","Usuario","Info","Fecha","Reseña"
"https://lh3.googleusercontent.com/a-/ALV-UjUUgT5BsJM05ohtpcUY212u2eW813ZLJcvJpVrQAc4gBeKfbVrL=w36-h36-p-rp-mo-ba6-br100","Jonathan Hernández","Local Guide · 493 reseñas · 1.013 fotos","Hace 6 años","Estación que pertenece a la línea 8, que va desde Nuevos Ministerios hasta el Aeropuerto T4. Es bastante amplia y además dispone de ascensores y escaleras mecánicas, es decir, está adaptada para minusválidos.

Es una estación bastante nueva y bien cuidada. Con personal de seguridad todo el día."
"https://lh3.googleusercontent.com/a/ACg8ocI2HKEW_bDuqJqcqXowpR8AdnJIA6SOhGzggJ32jvslE1SqKkY=w36-h36-p-rp-mo-ba6-br100","Marta","Local Guide · 553 reseñas · 1.949 fotos","Hace 5 meses","Línea 8 de Metro de Nuevos Ministerios a la Terminal 4 del Aeropuerto de Barajas. Tiene conexión con varias líneas de bus en el exterior. Cuenta con escaleras mecánicas y ascensor. Lo único negativo es que casi nunca suele haber personal en la entrada/salida."
"https://lh3.googleusercontent.com/a-/ALV-UjXCF3J7dRnsakfvM_NlsWjB7sue-WaQVl5zokW1SrnBXe7O1Di3IA=w36-h36-p-rp-mo-ba8-br100","Pierre Marteau Van Wetter","Local Guide · 591 reseñas · 14.973 fotos","Hace 2 años","Estación del metro muy bien mantenida.
Metro de Madrid y EMT, los mejores sistemas de transporte de Europa y el mundo.
Que Viva España!!!"
"https://lh3.googleusercontent.com/a-/ALV-UjU7EqmbJpTifj0XFQjdFkWFLScMxfv7tdtcLBM6MXYJ8XIlW-X2JQ=w36-h36-p-rp-mo-ba7-br100","Cris Sánchez De Paz","Local Guide · 2.144 reseñas · 2.033 fotos","Hace 7 meses","La estación esta genial, es donde se hacen las fiestas del barrio"
"https://lh3.googleusercontent.com/a-/ALV-UjXiCyAHeCFOXslt-8QLD93FTAyRaKFI6dHzXzDEwtyGpdbo1xqb=w36-h36-p-rp-mo-ba4-br100","Mario López Lobo","Local Guide · 43 reseñas · 15 fotos","Hace 6 años","Moderna y amplia estación de metro que conecta el barrio con Nuevos Ministerios, Barajas, Aeropuerto y Colombia en pocos minutos con una accesibilidad maravillosa aunque falle el ascensor de vez en cuando. Gran logro vecinal reivindicatico durante muchos años a las Comunidad de Madrid  y al ayuntamiento."
"https://lh3.googleusercontent.com/a-/ALV-UjVhZt9ga4Vx3eAvPAC85DxXeC02Lc6jEiEf1-uADH5qK-UXdzFFdg=w36-h36-p-rp-mo-ba7-br100","Elba Pazos","Local Guide · 825 reseñas · 9.750 fotos","Hace 3 años","Pinar del Rey me resulta muy agradable para caminarlo. Sus parques y áreas verdes son muy lindas y es un barrio con mucha vida, cálido en su estilo y con todo tipo de servicios y locales. En Pinar del Rey está la Catedral de Santa María Magdalena, iglesia rusa ortodoxa, de arquitectura muy atractiva y que 1 vez a la semana ofrece una visita guiada y explicada de su interior y de las diferencias entre la religión ortodoxa y la católica que resulta muy interesante. La cercanía de este barrio al Centro Comercial Gran Vía de Hortaleza lo une y extiende a toda la zona de Canillas, Hortaleza, y le da mucho más movimiento."
"https://lh3.googleusercontent.com/a-/ALV-UjVDZXGkjgdEkmQiJbmY1Ydn_hGWdfBRl49lpcOoADRC-Z96S2w=w36-h36-p-rp-mo-br100","angel pujol moreno","5 reseñas","Hace 3 años","Hoy día 23 de octubre a las 18:25, mi esposa fue con mi hijo en carrito y resulta q el portillon grande de acceso estaba roto, le dice ella q si le puede ayudar a levantar el carro o a sujetar al bebé para poder acceder y éste se niega, le pide una solución y dice q busque a otro pasajero para q le ayude q el no lo va a hacer, indignante q parte de mis impuestos vaya para gente tan inútil y tan poco solidaria."
"https://lh3.googleusercontent.com/a-/ALV-UjU6tDOFeM2Ia4bD1i95lRz0NGH-ANdn6MW48aDJ8LiI17CUoE-0=w36-h36-p-rp-mo-ba7-br100","K","Local Guide · 1.256 reseñas · 2.864 fotos","Hace 4 años","El ascensor está situado en medio de la avenida, tienes que cruzar ""si o si"" si quieres subir, un tanto absurdo y poco accesible."
"https://lh3.googleusercontent.com/a-/ALV-UjVwm4_TcONaL4aY3h_fCMepBeLETssTFQ7MaxsPUmTafPWEIrle=w36-h36-p-rp-mo-ba5-br100","Eliot Escalante","Local Guide · 245 reseñas · 87 fotos","Hace 2 meses","Buen sitio"
"https://lh3.googleusercontent.com/a-/ALV-UjUhvRj7iwgb52MAbdAMiwoAh0i8bpuPX-2QtsAAgPk19MGv8AiQOw=w36-h36-p-rp-mo-ba4-br100","Cesar Rodriguez","Local Guide · 148 reseñas · 163 fotos","Hace 3 años","Muy linda estación lastima que el día que fui hoy no funcionan las escaleras mecánicas"
