"URL","Usuario","Info","Fecha","Reseña"
"https://lh3.googleusercontent.com/a/ACg8ocIuL1hGdWN9JJ2Ae45H78XcVGTA3NI57WY0RIsJUuU6DExoNg=w36-h36-p-rp-mo-ba5-br100","Juan Jose Iturregui Endemaño","Local Guide · 270 reseñas · 219 fotos","Hace 3 meses","Las maravillas de la Plaza de Castilla y de su entorno con los jardines del Canal son dignos de disfrutarlos, además de que es un centro neurálgico de comunicaciones del norte de Madrid. Dispone de intercambiador de autobuses tanto subterráneo como de superficie, además de su estación de metro con varías líneas. Está en la prolongación del Paseo de la Castellana hacia las cinco torres y al final, el Hospital La Paz."
"https://lh3.googleusercontent.com/a-/ALV-UjV-SBd2srJ7ymtI32oLrbMQLBLgajUNZZ7SX5wqssZeFxkKHQ-pvQ=w36-h36-p-rp-mo-ba6-br100","Guillermo Begué","Local Guide · 457 reseñas · 4.764 fotos","Hace 5 meses","Un lugar turístico de gran interés por lsus monumentos y modernos edificios, con las grandes torres de Madrid al fondo."
"https://lh3.googleusercontent.com/a/ACg8ocJiU9doOHD8u5-MwqUlm6kMc3yjJy-unhnbk08Yp-oKBquEzAY=w36-h36-p-rp-mo-ba6-br100","Maritza Casamayor","Local Guide · 216 reseñas · 2.189 fotos","Hace 10 meses","Este lugar es impresionante, la estación de trasporte público  allí ubicada  en la Plaza Castilla  es enorme,impecablemente limpia, al salir al exterior cuando subes la mirada ves la p
Plaza Castilla ,hermosa, rodeada de inmensas edificaciones. Es un espectáculo arquitectónico para el deleite de la vista humana.
Hay que tomarse el tiempo necesario para recorrer y conocer, es una experiencia inolvidable."
"https://lh3.googleusercontent.com/a-/ALV-UjVJ6de5lEcQKAYmreSBFbw8YyB3cKeXwuSPzrJ1U39YseOv6vXoLg=w36-h36-p-rp-mo-ba4-br100","Rafa","Local Guide · 206 reseñas · 124 fotos","Hace 3 semanas","El intercambiador está bien organizado y señalizado. Hay varias líneas de autobuses que conectan con varios puntos de la Comunidad de Madrid. También pasan por aquí las líneas 1, 9 y 10 del metro. Arriba tienes tiendas de ropa y de telefonía, además de algunas cafeterías"
"https://lh3.googleusercontent.com/a/ACg8ocK_VBE2qavX-hzCYuH9tpAViLFJ2r6eH1Ar5vUuHtgKiVUWqQ=w36-h36-p-rp-mo-ba4-br100","Jhosedlin Gallardo","Local Guide · 62 reseñas · 50 fotos","Hace 10 meses","Estoy descontenta con el servicio que me brindaron en la tienda @metro  ya que intenté comprar varios artículos y el personal indicó que no tenían sistema y por ende no podían vender ningún artículo cabe señalar que la tienda estaba abierta, de manera que le sugerí que si había alguna forma manual de realizar la compra y este me indicó que fuera en otra oportunidad no soy de Madrid pero me hubiese gustado traerme los souvenirs que quería comprar ojalá reparen esto y que la atención al cliente mejore"
"https://lh3.googleusercontent.com/a/ACg8ocJLaDRY16AHeHw_Ll1Uvxg2-HXCACGvZYnLsVrOHkj0j6pA9g=w36-h36-p-rp-mo-ba2-br100","Pérez F.","Local Guide · 13 reseñas","Hace 3 semanas","Lugar neurálgico de tránsito, cruce de concurridas avenidas y centro del moderno eje Madrid-Norte. Confluencia de negocios e intereses urbanisticos, su uso es sobre todo administrativo (oficinas, juzgados) y comercial (hoteles, restaurantes). Importante intercambiador de transportes y estación de ferrocarril próxima (Chamartin). Tráfico intenso."
"https://lh3.googleusercontent.com/a-/ALV-UjWSzIby1v-mn3IKbu8NvDvSt6kkec7ehmW6u1dRUeDAX1Dl1icE_A=w36-h36-p-rp-mo-ba4-br100","Deyri Castellón","Local Guide · 64 reseñas · 7 fotos","Hace un mes","La línea 9 entre plaza Castilla  y Paco de Lucia siempre tiene una avería mañana  y tarde muy pésima gestión!!! Mientras Oscar PUENTE  juega al golf!!! Averías y más averías en le metro!"
"https://lh3.googleusercontent.com/a-/ALV-UjXK0T8QoqmmRrbsqlqsfKDLMTNUdrMBG-IU6YQwjrd4k83l4Rlz=w36-h36-p-rp-mo-ba6-br100","Jeonghak Rhie","Local Guide · 814 reseñas · 2.536 fotos","Hace 2 meses","Los visitantes por primera vez o los usuarios que no están familiarizados pueden tener dificultades para encontrar la parada de autobús que necesitan. Por lo tanto, se recomienda que obtengan información en el punto de información."
"https://lh3.googleusercontent.com/a-/ALV-UjV6zD-JBtc3CeS0m4eCEwRw72_AblB5l0p9eaykCHrU4q8CvyPT=w36-h36-p-rp-mo-ba4-br100","Natalie's Diary","Local Guide · 95 reseñas · 466 fotos","Hace un año","El lugar es maravilloso, pero en el metro hay un empleado muy grosero y los conductores te muestran el camino equivocado."
"https://lh3.googleusercontent.com/a-/ALV-UjWdX3tAK1ZJlSEdh8h8NGSBOAWGhVcUa-CtxrL2cSRL-XqgIQzj=w36-h36-p-rp-mo-ba8-br100","Ma Ca","Local Guide · 1.250 reseñas · 21.908 fotos","Hace 6 años","Desde que reformaron el intercambiador hace unos años lo han dejado muy bien. Tiene 3 plantas de Intercambiador, 2 subterráneas y una planta calle. Tienen aseos dentro (en los cuales hay una señorita fuera que dispensa papel higiénico fuera, dando voluntad, porque no tienen dentro) y en la planta de la calle también hay aseos. El metro tiene 3 líneas, la 1, la 9 y la 10. Muy moderna. También hay tiendas en el intercambiador."
"https://lh3.googleusercontent.com/a-/ALV-UjXCF3J7dRnsakfvM_NlsWjB7sue-WaQVl5zokW1SrnBXe7O1Di3IA=w36-h36-p-rp-mo-ba8-br100","Pierre Marteau Van Wetter","Local Guide · 591 reseñas · 14.973 fotos","Hace 4 años","Es una esta estación muy cómoda, limpia, bonita y eficiente, además de su personal oficial muy atento y cordial.

Es una de mis estaciones preferidas de Metro y de autobuses, porque es muy amigable.

Desde allí caminar sus alrededores es muy agradable y si te provoca, camínate el Paseo la Castellana hasta Cibeles rematando por el Prado hasta Atocha, la experiencia no tiene precio.

Madrid es Madrid!!!"
"https://lh3.googleusercontent.com/a-/ALV-UjWUHwGDJ8j_3FNaLgp8OYNy3hZ06gIJNEIPnoprvCQErVuVBOTz=w36-h36-p-rp-mo-ba6-br100","AD613","Local Guide · 388 reseñas · 2.087 fotos","Hace 5 años","Es una de las paradas del metro más grande de la red. Tres lines se cruzan la 10 la 9 y la 1 también está la parada de autobuses que se dirigen a la zona aledañas.  Está siempre limpia y tiene staff on site.  Consta de varios restaurantes en la salida"
"https://lh3.googleusercontent.com/a-/ALV-UjUF1Uk8Ogpb30y38YtUiyNcveUiITLUB98hoa2MP_MzxCAbAw00xA=w36-h36-p-rp-mo-ba5-br100","Rianda Diel","Local Guide · 159 reseñas · 205 fotos","Hace 11 meses","Bonito lugar para pasear, y un pequeño parque para contemplar las torres kio."
"https://lh3.googleusercontent.com/a/ACg8ocLcSYLZ6A2BJwVc4Jb3xrW3TCpEelKPoaYVsUtrNVxnxtKjIQ=w36-h36-p-rp-mo-ba2-br100","juan cruz","Local Guide · 16 reseñas · 1 foto","Hace 4 meses","Lamentable servicio en autobuses interurbanos, los horarios no corresponden con los estipulados, deja mucho que desear, el resto es estupendo."
"https://lh3.googleusercontent.com/a-/ALV-UjWgFC5w7H7goleFJzjdqcZeHrjUZZcwpFzPmvaWSOatX1iF289L=w36-h36-p-rp-mo-ba6-br100","Valle Gallego","Local Guide · 331 reseñas · 1.767 fotos","Hace un año","En pleno centro de Madrid.
Olvídate de aparcar.

Dando un paseo podrás contemplar sus carismáticas torres."
"https://lh3.googleusercontent.com/a-/ALV-UjVBc_epU9sdQsjFXzLAPdXzjw_7mXfCSzUHMnS51XqzykquHPCW=w36-h36-p-rp-mo-ba3-br100","Juan Altuve","Local Guide · 28 reseñas · 14 fotos","Hace 4 meses","El bus 154c a San Sebastián se retraso sin motivo y ninguno de los trabajadores de la terminal hace nada por ello"
"https://lh3.googleusercontent.com/a-/ALV-UjWFiSTfallm6-XYbIPfQ7rkr4A-I1S_I93wzIuF_Bu8p_9j4xgp=w36-h36-p-rp-mo-ba5-br100","Loyda Matos","Local Guide · 161 reseñas · 768 fotos","Hace 8 meses","Intercambiador Norte de transporte de Madrid, moderno accesible"
"https://lh3.googleusercontent.com/a-/ALV-UjUuXXXbqw-R_OXg_Q3KgOdh-3fMwcGFjHBEJyd_Q0RQLxYPsP0thQ=w36-h36-p-rp-mo-ba4-br100","CCM M","Local Guide · 50 reseñas · 37 fotos","Hace un año","Muy bien todo. Un punto de comunicación muy importante de Madrid. Convergen metro y autobuses."
"https://lh3.googleusercontent.com/a-/ALV-UjWyZaupLKUQMlAB_CoHumBFm7pdWU3V9uB0Dp7vOKfZGrK-iWvc6Q=w36-h36-p-rp-mo-ba8-br100","ANTONIO CRUZ SANCHEZ","Local Guide · 3.635 reseñas · 8.906 fotos","Hace 3 meses","Estación moderna y grande, toda ella accesible a personas con movilidad reducida"
"https://lh3.googleusercontent.com/a-/ALV-UjW1JJO7rTFF_EDAqCYHfSpgGXOtnfBji1TaXURwv02fngsGhMQ=w36-h36-p-rp-mo-ba6-br100","Michael Espina","Local Guide · 124 reseñas · 1.071 fotos","Hace 5 años","Estación de Metro que forma parte del intercambiador de transportes subterráneo que hay en Plaza de Castilla. Fue reformada y ahora tiene ascensores para que las personas con discapacidad puedan acceder al servicio de Metro. También hay cargadores USB en los andenes y en los trenes de algunas líneas. También hay carteles informando que hay desfibrilador por si alguien sufre un infarto de miocardio. Hay personal en las taquillas y agentes de seguridad patrullando la estación. Recomendable."
"https://lh3.googleusercontent.com/a-/ALV-UjUyl_EleaX2TK1BKm1cfukQ4CkqbXw4ySduSfY2BzGjXWIWgsm2=w36-h36-p-rp-mo-ba5-br100","Dimitri George","Local Guide · 246 reseñas · 791 fotos","Hace 3 años","Estacion de metro e intercambiador de transporte que conecta el centro con el norte de Madrid. Cruza las líneas 1 (azul clara), 10 (azul oscura) y 9 (morada) de metro. En la foto se ve el andén de la línea 9 (morada) en dirección a Paco de Lucia."
"https://lh3.googleusercontent.com/a-/ALV-UjUGBY2OIDdUaRV0yXAuEvOssESSEBCLdDnfFM5gAMpUz8v3a1Zn8g=w36-h36-p-rp-mo-ba4-br100","Karolina Avila","Local Guide · 79 reseñas","Hace un mes","Muy bien, ya que hay sitios para comer y darse un capricho, además está muy comunicada ."
