"URL","Usuario","Fecha","Reseña"
"https://lh3.googleusercontent.com/a-/ALV-UjWzblVqaRNmVRZy7VBAiDE_T0ZAqJ6D08ws2wqDx56tN-2Uyqj7=w36-h36-p-rp-mo-ba5-br100","Guillermo Musica _","Hace un mes","### Reseña: Estación de Metro Prosperidad #### Ubicación y Contexto - **Localización:** La estación de Metro Prosperidad se encuentra en el barrio de Prosperidad, en el distrito de Chamartín, Madrid, España. Está situada en la intersección de la calle del Vallehermoso y la calle de la Prosperidad. - **Líneas:** Es una estación de la línea 4 (naranja) del Metro de Madrid. #### Historia y Desarrollo - **Inauguración:** La estación de Prosperidad fue inaugurada el 24 de enero de 1944 como parte de la extensión de la línea 4. - **Nombre:** La estación recibe su nombre del barrio de Prosperidad, que a su vez hace referencia al concepto de prosperidad y bienestar. #### Infraestructura y Servicios - **Accesos:** La estación cuenta con accesos desde la calle de Vallehermoso y la calle de la Prosperidad. Está equipada con escaleras mecánicas y ascensores para facilitar el acceso a personas con movilidad reducida. - **Instalaciones:** Ofrece servicios como máquinas expendedoras de billetes, taquillas y paneles informativos electrónicos. También hay algunos comercios y servicios adicionales en las inmediaciones. - **Seguridad:** La estación está equipada con cámaras de vigilancia y cuenta con personal de seguridad para garantizar la seguridad de los pasajeros. #### Conexiones y Transporte - **Líneas de Metro:** - **Línea 4:** Conecta Prosperidad con Argüelles y Pinar de Chamartín, pasando por estaciones importantes como Bilbao y Goya. - **Autobuses:** Varias líneas de autobuses de la EMT Madrid tienen paradas cerca de la estación, proporcionando conexiones adicionales con otras áreas de la ciudad. - **Cercanías:** Aunque la estación no está directamente conectada con la red de Cercanías Renfe, se puede hacer transbordo en estaciones cercanas como Nuevos Ministerios. #### Importancia y Uso - **Flujo de Pasajeros:** Prosperidad es una estación de uso moderado, principalmente utilizada por residentes del barrio de Prosperidad y personas que trabajan o se desplazan por la zona. - **Puntos de Interés:** La estación está cerca de áreas residenciales y comerciales del barrio de Prosperidad. También se encuentra relativamente cerca de otras zonas de interés en el distrito de Chamartín. #### Opiniones y Experiencias de los Usuarios - **Accesibilidad:** Los usuarios aprecian la accesibilidad de la estación, con buenas instalaciones para personas con movilidad reducida. - **Conectividad:** La estación proporciona una conexión conveniente dentro de la línea 4, facilitando el acceso a diferentes partes de Madrid. - **Mantenimiento:** La estación es generalmente bien considerada por su limpieza y mantenimiento, ofreciendo un entorno seguro y cómodo para los pasajeros. En resumen, la estación de Metro Prosperidad es una parte importante de la línea 4 en Madrid, proporcionando acceso a una de las áreas residenciales del distrito de Chamartín. Su ubicación y servicios la hacen conveniente para quienes viven y trabajan en la zona."
"https://lh3.googleusercontent.com/a-/ALV-UjWayWyNqNOT-60T4TsX24ye92XluiV_nrzlNaI82tSK6YLgHbQ=w36-h36-p-rp-mo-ba6-br100","francisco guevara","Hace 3 años","Una estacion en el barrio se prosperidad en el medio de toda la plaza maravillosa una estacion que a si do grandiosa su remodelaciòn con  falta de ascesos para personas con discapacidad pero muy amplia moderna y elegante solo una entrada y un solo trabajador del metro en una caseta muy pequeña cerca del mercado del mismos nombre de estacion mis amplia"
"https://lh3.googleusercontent.com/a-/ALV-UjWZt_jbFS5ejzJ4qXSsEkDxjdscVGJAIXnBxxeh6opQDNUIK4P_=w36-h36-p-rp-mo-br100","Cenón de Zitión","Hace 2 años","Prosperidad es un barrio lleno de tiendas donde poder disfrutar de todo en un pequeño mundo muy mágico"
"https://lh3.googleusercontent.com/a-/ALV-UjXT8TzfJ17jRbeMJvQt4aId3ShiTQFLfKAC_zTLLy9T0aM2bnL4=w36-h36-p-rp-mo-ba3-br100","Maite Do Cor","Hace 5 meses","No tiene acceso para ancianos ni minusválidos"
"https://lh3.googleusercontent.com/a-/ALV-UjU7EqmbJpTifj0XFQjdFkWFLScMxfv7tdtcLBM6MXYJ8XIlW-X2JQ=w36-h36-p-rp-mo-ba7-br100","Cris Sánchez De Paz","Hace 6 meses","La estación esta genial, plaza está llena de bares"
"https://lh3.googleusercontent.com/a/ACg8ocJbhh-2UZcBPMZoHkIOKo0ira-TWwcQvSi8CVDkXu9MjqYv3g=w36-h36-p-rp-mo-ba6-br100","María del Carmen Ruiz Fernández","Hace un año","En la plaza a veces, hay niños jugando con balón, es zona de paso y de bancos para personas, puede ser peligroso inclusive se puede  salir el balón a la calle"
"https://lh3.googleusercontent.com/a/ACg8ocJ6nC4zHTz0hQo0Fw4EAaN-_qIPco0-Ptd5czysaYlxQ6sV4Pg=w36-h36-p-rp-mo-ba4-br100","Philippe Calpe Delgado","Hace 5 años","Estación de la línea 4 (marrón) del metro de Madrid que sirve a uno de los barrios más tranquilos de la ciudad. Tiene una sola salida, es pequeña y aún NO está adaptada para personas con discapacidad física. Da a la plaza de la Prosperidad. Comercios cercanos y variados. Varias líneas de autobús cerca. Es una buena zona para quedarse si quieres visitar Madrid y no quieres pagar demasiado en un hotel pequeño del centro. En metro, 45 minutos hasta el centro (Plaza del Sol). Tiene suficientes máquinas de billetes y está tan limpia como toda la red. NO tiene cobertura móvil."
"https://lh3.googleusercontent.com/a/ACg8ocLws2k1RItrXFzF6sSFFATpZFJDBDuukk0vvbDMgQ0m_cCGEQ=w36-h36-p-rp-mo-ba5-br100","Danny Ramírez","Hace 4 años","Es un barrio muy agradable pero la.plaza esta llena de indigentes y sucia, a boca de metro al menos deberian cuidar eso. Tiene supermercados, tiendas de bricolaje, bancos y bares muy monos"
"https://lh3.googleusercontent.com/a-/ALV-UjW_ycWXVB8uKLxK2Q7WT6grrrkKwl1l1pHuFpRMbES1cpKEFh_P=w36-h36-p-rp-mo-ba4-br100","ana maria torres figueredo","Hace 11 meses","Es una plaza concurrida,ideal para encuentros con amigas y de ahí partir a los sitios de tapeo"
"https://lh3.googleusercontent.com/a-/ALV-UjWEiJy_NY5TpfZAShxnl7PwarCJG1KFspzHJ5CXfqsIvYvbdidUHw=w36-h36-p-rp-mo-ba5-br100","Ernesto Gonzalez Franco","Hace un mes","Cumple su función como estación de metro"
"https://lh3.googleusercontent.com/a-/ALV-UjXv6bK2KWFOroF_rXmpMIwIpr_z9KJgDCFbcgeBqpXuGfxa69NX=w36-h36-p-rp-mo-ba5-br100","Agustina Gomez Rodriguez","Hace 3 años","El 27 de agosto fui a buscar a Mickye, mi fiel gatito y compañero de 1 año, a la Residencia Gatosphera, un Hotel 5* que dejé al cuidado de dos Auxiliares de Veterinaria y no se dieron cuenta que el gato comenzó a pasar un ESTRÉS tan importante que no quería comer, sin hacer sus necesidades los últimos día, padeciendo una obstrucción por el estrés. Según la Veterinaria del Hospital Parque de Berlín, lo pesó y observó que perdió casi 400 grs, en una semana, además tenía la vejiga a punto de romper por la cantidad de orina acumulada y el intestino muy ocupado, siendo indicio de que llevaba días, sin que lo observarán en ese HOTEL 5 ESTRELLAS GATOSPHERA. Hubo que sondearlo  y vaciarle toda la orina acumulada y la heces rápidamente, porque estaba en una situación crítica ante un Fallo Renal. Alguien de la Residencia Gatosphera  se ha hecho responsable ante ésta situación??? Únicamente se limitaron a llamar a mi móvil para preguntar cómo seguía, después de escribirles cómo se encontraba el gato y por supuesto, negando los  hechos con evidencia del profesional veterinario que le atendió desde que lo saqué de ese Hotel Felino. He pasado una situación muy angustiante y encima, me amenazan conque tienen amistades en la Dirección de Consumo y Reclamo y que no pagarán nada, porque nada reconocen. Han actuado con negligencia y aún así se consideran impugnes. Sólo quien tiene una mascota, sabe cuánto amor nos brindan, aún ante el sentirse indefensos con gente sin escrúpulos y sin hacerse cargo de una equivocacion. Dios nos proteja."
"https://lh3.googleusercontent.com/a/ACg8ocICcSwEFExGRAL0jsNO4JuM67ptQkPxtOtqDRh9_MqyPYPIUQ=w36-h36-p-rp-mo-ba3-br100","Irene Jimenez Hidalga","Hace 3 años","Utilizo esa linea y en concreto esa estación para trabajar. Por lo general va bien, esta remodelada y estupenda....lo que no entiendo es que cierren las puertas de acceso para que no haya mucha gente en el anden....Esto lo que hace es crear una cola fuera, para acceder casi con mas gente que en la propia vía, cuando te abren y coges el metro te encuentras que va con bastante gente...asi que no entiendo nada....Unos al lado de otros sin distancia ni nada... La lógica brilla por su ausencia...los trabajadores hacen lo que pueden , pero no hay por donde cogerlo."
"https://lh3.googleusercontent.com/a/ACg8ocIBEbwSkQRLttECf95yBvyyHDr2-Lbm-lQOc6zfB3gHwJFu7w=w36-h36-p-rp-mo-ba4-br100","Víctor Manuel MM","Hace un año","Increíble que después de meses y meses en obras y de una inversión con 2.700.000 euros de presupuesto según el cartel de las obras (que se dice pronto, y seguro que el desembolso final habrá sido mucho mayor), no hayan puesto ascensor para discapacitados como sí están poniendo en la práctica totalidad de las estaciones que están siendo remodeladas. Aparte del suelo y supongo que los cableados e instalaciones, que por supuesto será caro, ¿dónde han ido a parar 2,7 millones de euros? Una vergüenza la carencia de ascensor. Se ve que para la Comunidad de Madrid no todos los barrios merecen un ascensor en su metro. Sin palabras... y lo más irónico es que en el cartel se dice que han mejorado la accesibilidad, cuando ni siquiera se ha sustituido alguna escalera tradicional por una mecánica."
"https://lh3.googleusercontent.com/a-/ALV-UjUFQHw8S2Li-CCHneDhCmHG2K3CyTylyMo1AuOWiB6VaZ-R2K9NSw=w36-h36-p-rp-mo-ba8-br100","ANTONIO ORELLANA MARTIN","Hace 6 años","La estación forma parte de la ampliación de la linea 4 del Metro de Madrid para dar servicio a los barrios del noroedte de Madrid, (Prosperidad, Arturo Soria y Canillas) ampliación que no se llevó a cabo hasta la segunda mital del siglo XX. Es una estación  sin conexión alguna en la plaza Prosperidad, con sensación  de suciedad y sin wifi."
