"URL","Usuario","Fecha","Reseña"
"https://lh3.googleusercontent.com/a-/ALV-UjVXBqJfcIDV4PeXWAJeuNmjuR5WOT8XUKi1yppc-j6YVWwOMzs=w36-h36-p-rp-mo-ba4-br100","LTMusics LTLife","Hace 4 meses","Una estación que presume de moderna y  accesible , que se supone ""cubierta"" pero que cuando llueve, al menos la parte de METRO MADRID se convierte en una pista de patinaje porque tiene infinitas goteras que dejan los andenes encharcados, para lo grandes que es no dispone de personal de Seguridad y por las noches siempre hay peleas en los andenes"
"https://lh3.googleusercontent.com/a-/ALV-UjWknc_-bB8DTZkmX7QPoRM1Ts5perJut6awo_tblHGr3ktS8j6XEw=w36-h36-p-rp-mo-ba6-br100","Liz Karen Ruiz Bohorquez","Hace 4 meses","Muy amplia, limpia y con una taquilla de atención al viajero con posibilidad de compra de tiquetes, a partir de las 10am"
"https://lh3.googleusercontent.com/a-/ALV-UjUVMynpQS_N8aY8ddEkVuGWdWeRxWnytmx2qXJfwd1Da67QEHcW=w36-h36-p-rp-mo-ba4-br100","Fahad Aljaberi","Hace 7 meses","Fuimos para ver el musical de “We Will Rock You”. El evento ha sido genial y me ha gustado muchísimo!! Pero lo que realmente me llamó la atención es la arquitectura de la estación."
"https://lh3.googleusercontent.com/a-/ALV-UjVyfrW27x0idwX7dY5nq4JHZnERWU_ZIIKccFI-Hgga1XvRUpVSCQ=w36-h36-p-rp-mo-ba3-br100","Nilsa Lucía Benítez","Hace 3 meses","Sitió agradable y confortable un excelente patio de comidas, cuenta con las tiendas más conocidas de España."
"https://lh3.googleusercontent.com/a/ACg8ocImsDBMwVDK90MLs0To751Q3OX4rgRWRYO6gDppI1qDMtn8FA=w36-h36-p-rp-mo-br100","ivan serrano pascual","Hace 2 meses","Ayer día 20 tuve un incidente en la estación Príncipe pio. Me acerqué a las responsables y pedí hielo, en ese momento no tenían pero me dieron alguna solución. Necesitaba un papel para la mutua de trabajo y no sabía que debía solicitarlo. He ido hoy, y la señorita Marta, muy agradable y simpática, me ha prestado ayuda sin dudarlo. Mil gracias, A pesar de atender como a 20 Persones más a la vez, no ha perdido la sonrisa y ha dado soluciones. Hay que valorar a este tipo de trabajadores, que saben hacer su trabajo."
"https://lh3.googleusercontent.com/a/ACg8ocLqbrWpMkX4t2Cf6djskRN3P4Z7ZALGPA3wvPYxGoZjMBhxCw=w36-h36-p-rp-mo-ba5-br100","Agustin Fernandez","Hace 5 meses","No la conocía y me ha sorprendido... Habrá que habituarse para nuevas visitas..."
"https://lh3.googleusercontent.com/a-/ALV-UjUCzRNuyg-7tP6Qv-vD92maOA5Gt4qF1JBPkM6UnZz9yqbLR7E5=w36-h36-p-rp-mo-ba7-br100","GUSTAVO SLVDRS","Hace 4 meses","Buena estación para hacer trasbordo o tomarse un tren para comenzar a recorrer Italia.  Está bien señalado, pero hay ascensores que no funcionan y que dificultan moverse con equipaje grande."
"https://lh3.googleusercontent.com/a-/ALV-UjWfDdgkheZtRu6MrBDn_ewQOPenoMNK4_D85chfE9LMYjFlZ1C_-A=w36-h36-p-rp-mo-ba4-br100","brian anibal mundaca ponce","Hace un año","Muy ordenada y la atención muy amable por parte de las personas. No le pongo 5 estrellas por la salida posterior que no me gustó,  puesto que a mi parecer está descuidada, creo que podría estar más limpia y con algún personal ahí, se sentiría más segura también por las personas que duermen en el exterior."
"https://lh3.googleusercontent.com/a-/ALV-UjUdOo36SjyUvdQu8HURzdPQsRxglLu0tcuACg8vfu-F2Pgn-48JIg=w36-h36-p-rp-mo-ba3-br100","Blasito Hernandez hinojosa","Hace una semana","Está muy bien organizada tiene de todo después de 30 años sin pisarla centro comercial"
"https://lh3.googleusercontent.com/a-/ALV-UjXV5X30Mr_7mvNpzU5cCYOejO1-RDkRQukU7gMXQ2RJrEqEFgg9MQ=w36-h36-p-rp-mo-ba4-br100","felix santamaria","Hace una semana","Es bonita, aparte de que hay autobuses tren y metro 🫣…"
