"URL","Usuario","Fecha","Reseña"
"https://lh3.googleusercontent.com/a-/ALV-UjW3jX9zWkkQwYG3AwM0UgpglZNA0P_6Tjqm88Ol-PBpBAkTHtVV=w36-h36-p-rp-mo-ba5-br100","George I. King","Hace 4 años","Otra estacion de metro abandona en la ultima hora del dia. Son las 23.45 h en el vestíbulo no se ve ningun empleado de metro ni agentes de seguridad. En el anden tampoco se ve gente. Ni empleados ni pasajeros. El suelo con suciedad. Faltan 9 min direccion Valdecarros y 7 min hacia Pinar de Chamartin. Unos minutos mas tarde aparece un hombre con malas pintas gritando algo q no se le entendia bien. Intentando empezar conversacion conmigo hablando mal castellano. Menos mal que esta al otro lado de las vias. No le preste atencion y el hombre se ha ido hacia la otra punta de la estacion gesticulando y obviamente enfadado. Mi pregunta es y eso le pasa a una mujer sola con el tio este todo loco que puede pasar. Donde esta la segurida?"
"https://lh3.googleusercontent.com/a-/ALV-UjWdX3tAK1ZJlSEdh8h8NGSBOAWGhVcUa-CtxrL2cSRL-XqgIQzj=w36-h36-p-rp-mo-ba8-br100","Ma Ca","Hace 2 años","Estación de metro que pertenece a la línea 1. Estación de las antiguas. Dispone de varios accesos además de cobertura móvil como en casi toda la red de metro ya."
"https://lh3.googleusercontent.com/a-/ALV-UjX6Fjrj-bafsS3_im059wkwVaDsw7K-szNFCVApjs8112wbcVtznA=w36-h36-p-rp-mo-ba4-br100","Antonio Luis Ramírez Pérez","Hace una semana","Es mi barrio. Que más puedo decir"
"https://lh3.googleusercontent.com/a-/ALV-UjVfy7ouBqCEVtoJ6m6lDw0Ukko_r8CDctg8hk-UfQ1QMLqTJXsp2g=w36-h36-p-rp-mo-ba6-br100","MENDO CORCHADO Pedro","Hace 2 años","Ver los vídeos, lo dicen todo"
"https://lh3.googleusercontent.com/a-/ALV-UjVPlI3_WxZ-JbiFDSG6A1n_aKR_BFRpvuYb0hLgejNuccGQun5Z=w36-h36-p-rp-mo-ba8-br100","José Julio Melgares","Hace 7 años","Estación con tres accesos/salidas. Dos a ambos lados de la Avenida de la Albufera y uno bajo el Puente de Vallecas, junto a las paradas de los autobuses. Carece de ascensores."
"https://lh3.googleusercontent.com/a-/ALV-UjWzblVqaRNmVRZy7VBAiDE_T0ZAqJ6D08ws2wqDx56tN-2Uyqj7=w36-h36-p-rp-mo-ba5-br100","Guillermo Musica _","Hace 5 meses","me robo un moriqui y huele a pis 0 estrellas"
"https://lh3.googleusercontent.com/a/ACg8ocLLjPQpCBWjoCBGmOEyIlLIKAqLRAVYBw8pLnK-SExdQd_Ung=w36-h36-p-rp-mo-ba3-br100","Rafael Molina Carvajal","Hace 4 años","Bueno gente que me atiende. Néstor me ha cambiado de compañía en los términos establecidos. Amabilidad."
"https://lh3.googleusercontent.com/a-/ALV-UjUAJrEeWBTsSZ3gqgiq5DwHh_IJiouZHYxy3u2PsgEYPOf69mhL=w36-h36-p-rp-mo-ba6-br100","Caboalles Falo","Hace 8 meses","Puente vallecas, intercambiador de buses , hoy actuando un grupo musical mientras se corría la prueba San Silvestre Vallecana ..."
"https://lh3.googleusercontent.com/a-/ALV-UjUsMMpjVG07Twk8Z7hCgPjfwTbrX0jBNQUhyO8yzkWmk6cCvc0=w36-h36-p-rp-mo-ba3-br100","José francisco Alcantarilla de assas","Hace 2 años","Lo q necesita vallecas puente.es más seguridad x las noches a pesar de q la policía hace un servicio excepcional pero no Dan a bastaron los robos en los coches de noche.parque amos acero lo van arreglar no permitamos q la zona q hagan nueva la estopen con las litros.las peleas y todo lo q tenemos hay metido.hay si hace falta buena seguridad."
"https://lh3.googleusercontent.com/a-/ALV-UjUuwi3_cbjuKdSUq1JxxJSOKBARmVvJRIHGwwhvLRFVRcN3RxsT=w36-h36-p-rp-mo-ba5-br100","Óscar Veloso Veloso","Hace 5 años","Todos los días gente saltándose los tornos y pasando de normas y reglas. Los de seguridad y Metro ni mú, mucha gente. Ahora sí, que te pillen a ti sin billete, a ver qué pasa. ¡Qué hartura de tanto doble rasero y vara de medir!"
