"URL","Usuario","Fecha","Reseña"
"https://lh3.googleusercontent.com/a-/ALV-UjXZ77w9lLSPDNl28n1VGRg4t4yllgonkKyFTQt9TdVHRR9PYT0=w36-h36-p-rp-mo-br100","Doge 3.0","Hace 2 semanas","Hoy han sido mas frecuentes los trenes del TFM (el cual tiene fama de tener malas frecuencias) que los de la red normal (5-7 minutos en tfm y 10 minutos en zona normal)"
"https://lh3.googleusercontent.com/a-/ALV-UjX9RdZJ2ntWL9z4b-_TnqBuUjJsTHutiz-D3we5MjjtmFhqlKo=w36-h36-p-rp-mo-br100","The Doge 2.0","Hace una semana","Que gracia os puede dar. Irse por la cara hacia paco de lucia cuando justamente llega el tren de arganda. A ver si espabilamos que hasta 2029 aun queda tiempo"
"https://lh3.googleusercontent.com/a-/ALV-UjWUq-JPmHARsXgIiEqIvfSwOVeqr9EjOF38eANNA_1a0tnZIb86=w36-h36-p-rp-mo-ba3-br100","Tunde Kiss","Hace 8 meses","A las 3 de la tarde del viernes día de la Cabalgata en Puerta de Arganda el tren pasa cada 15 minutos tal y como podéis comprobar en la foto, es halucinante la poca vergüenza que tienen, seguramente pasa la Cabalgata por las vias y por eso tarda tanto, que injustos son con la gente, Vergüenza os deberia de dar 😡"
"https://lh3.googleusercontent.com/a-/ALV-UjVmD2u3FiK1eBH393pM087aCpSAgPl2rqPM6iwbEReSImTFtu_f=w36-h36-p-rp-mo-ba6-br100","JYC A","Hace 5 años","Estación del metro que hace conexión entre linea 9 púrpura de madrid con linea de arganda del rey validando el correspondiente billete. Es el mismo edificio con 2 estaciones la del metro (puerta de Arganda) y la del tren (renfe cercanias de Vicálvaro) línea C2 y C7, cuenta con máquinas para expedir billetes y/o recargar abonos mixtos o de cada transporte, mostrador de atención para ambas estaciones. Cuenta con 2 tiendas de comida, bebidas, revistas, chuches, caramelos, bocadillos, café, pan y bollería en zona inferior y 1 restaurante en planta de entrada. Tiene ascensores (acceso a sillas de ruedas y carritos de bebé) para el metro hasta andén y próximos para cercanías hasta andén (para finales de verano 2019). Servicios en restaurante."
"https://lh3.googleusercontent.com/a-/ALV-UjXR5FF7TOHVCkQWNwIyqXps07i1QbmSV4mgVSbsSg5GhZ108V7m4Q=w36-h36-p-rp-mo-ba5-br100","Silviia Morena","Hace 5 meses","los sabados muy mal no entiendo porque tenemos que estar parados mas de 10 mnts a las 9 d la mñana la gente vamos con prisa para ir al trabajo y llegamos tarde por vuestra culpa como vosotros ya estais en el trabajo parece q no importa y que los demas llegen tarde …/asi va el pais…"
"https://lh3.googleusercontent.com/a-/ALV-UjVRFb4Fx960MWh-uEFGgAueTh4rs7UUJUEz8HaVln1EkhZ9YS8D=w36-h36-p-rp-mo-ba3-br100","Engerber Paz","Hace 10 meses","Hago esta reseña porque trabajo en Madrid y vivo en Arganda y la verdad da ASCO el servicio. No teneis vergüenza alguna, como es posible que TODAS las noches sin excepción la pantalla ponga 8/10/15 minutos y al cumplirse el tiempo APAGUEN LA PANTALLA y te pongan a esperar otros 10/15 minutos solo por no cumplir SUS HORARIOS. Se les debería caer la cara de vergüenza. Da pena somos muchísimos los afectados y no hay ni medios de reclamo, ni de quejas, ni de nada y si preguntas al personal solo te dicen que esperes, cuando solo estas reclamando tu derecho."
"https://lh3.googleusercontent.com/a-/ALV-UjX8R881PVReDgTe3Wtdm7RtWTb7CPjkJVZg7d-15L5Ms3nlId9z=w36-h36-p-rp-mo-br100","Sm","Hace 11 meses","Muy rico el ir a trabajar y que 4 de siete días de la semana el tren hacia Rivas no admita pasajeros, no sé qué ocurre a la noche pero nunca hay aviso, te comes 8 minutos esperando a uno que no admite pasajeros y usualmente otros 16 esperando al siguiente, a parte de que se acumulan personas que vienen de la otra línea. Aún que si eso fuera lo único, lo mejor es coger el metro a las 8 de la mañana y que haya tanta gente que tengas que casi abrazarte con ellos porque no ponen trenes cada menos tiempo."
"https://lh3.googleusercontent.com/a-/ALV-UjVhZt9ga4Vx3eAvPAC85DxXeC02Lc6jEiEf1-uADH5qK-UXdzFFdg=w36-h36-p-rp-mo-ba7-br100","Elba Pazos","Hace 4 años","En esta estación de Puerta de Arganda hay una sensación de inseguridad por la falta obvia de vigilancia. Tanto durante el día como en la noche hay individuos o grupos a la entrada que dan muy mal aspecto. Es una lástima que las autoridades correspondientes no le presten más atención a esta Estación que presta servicios a tantos y tantos usuarios y que mejorarla no resulta difícil sino tener la disposición para hacerlo."
"https://lh3.googleusercontent.com/a-/ALV-UjWc9-iEoxXTZuL8uZA6AQl0sVZ7wvr0kUzB_IfV9uOj8efxdFYr=w36-h36-p-rp-mo-br100","mario villa","Hace 2 años","Debería tener un poco de calefacción el tramo desde puerta de Arganda hasta Arganda del rey, es horrible. Como puede ser posible que llegue a 12 minutos el intervalo entre tren y tren y a las 8 de la mañana. Me parece vergonzoso que cuando llega el metro ligero desde arganda y hay un metro en la estación no espere a que se bajen los viajeros del metro ligero y se puedan montar en el metro. Cogen y se marchan. A él le supondría menos de 30 segundos y nosotros tenemos que estar 10 minutos esperando al siguiente metro. (copiado de otro comentario pero que comparto al 100%)"
"https://lh3.googleusercontent.com/a-/ALV-UjUgaX0Mt3Ry2hVAH6tzU5RJitwNI_Cj9aImF-z3e4628CKNrmJ_=w36-h36-p-rp-mo-ba4-br100","Luis Roman","Hace 6 años","En esta estación se cogen los trenes a las localidades de Rivas y Arganda. Si vienes en la línea 9 desde Madrid seguramente parta justo antes de llegar a la estación sin hacer el transbordo. Hay veces que hay que esperar más de 10 minutos incluso en hora punta. Otras veces va bien de tiempo pero se queda parado en mitad del trayecto. La diferencia entre llegar muy temprano o muy tarde puede depender de muy poco tiempo"
